,open,high,low,close,volume,value
2017-10-06 09:00:00,23.8,24.0,20.8,21.3,0.0333,0.74874
2017-10-07 09:00:00,21.2,24.2,19.9,23.7,0.052,1.15705
2017-10-08 09:00:00,23.7,26.8,22.7,23.2,0.052,1.26314
2017-10-09 09:00:00,23.1,26.1,23.1,25.3,0.0519,1.29628
2017-10-10 09:00:00,25.3,25.7,24.4,24.7,0.0514,1.29012
2017-10-11 09:00:00,24.7,26.1,24.4,26.0,0.0513,1.2915
2017-10-12 09:00:00,26.0,31.2,25.0,30.9,0.0512,1.3958
2017-10-13 09:00:00,30.7,39.2,29.2,38.2,0.0512,1.66595
2017-10-14 09:00:00,38.4,43.2,33.2,36.7,0.0515,1.96025
2017-10-15 09:00:00,36.8,38.2,32.5,33.9,0.0515,1.81292
2017-10-16 09:00:00,33.6,34.7,32.1,32.5,0.0503,1.66899
2017-10-17 09:00:00,32.5,33.3,28.2,31.3,0.0593,1.82535
2017-10-18 09:00:00,31.1,31.8,28.7,30.5,76.0156,2271.27987
2017-10-19 09:00:00,30.7,31.3,29.6,31.1,233.0,7031.1
2017-10-20 09:00:00,31.0,34.5,30.4,33.2,64.86,2002.562
2017-10-24 09:00:00,31.3,33.8,31.0,31.8,2.11,68.407
2017-10-25 09:00:00,31.9,32.5,30.5,31.9,2.31,72.166
2017-10-26 09:00:00,31.8,32.2,30.5,31.4,2.33,72.54
2017-10-27 09:00:00,31.2,31.6,29.8,30.8,2.32,71.114
2017-10-28 09:00:00,30.7,31.1,29.8,30.3,2.14,65.068
2017-10-29 09:00:00,30.4,33.0,29.8,32.4,2.3,72.643
2017-10-30 09:00:00,32.2,32.8,31.1,32.4,3.51,112.143
2017-10-31 09:00:00,32.5,35.2,32.1,35.1,1.99,66.406
2017-11-01 09:00:00,32.2,33.4,26.5,26.5,2.22,66.404
2017-11-02 09:00:00,26.6,28.9,21.3,24.9,2.31,61.016
2017-11-03 09:00:00,24.9,26.5,22.9,25.9,2.31,57.345
2017-11-04 09:00:00,25.9,26.8,24.3,25.0,2.31,59.473
2017-11-05 09:00:00,25.0,25.9,24.5,24.7,1.5,37.797
2017-11-06 09:00:00,24.0,25.7,23.9,25.7,0.61,14.871
2017-11-07 09:00:00,25.4,27.3,24.8,25.6,5.56,142.426
2017-11-08 09:00:00,25.4,30.3,24.8,28.1,5.89,155.689
