,open,high,low,close,volume,value
2019-04-01 09:00:00,13.6,19.7,13.6,15.1,2947362613.74639,47019238499.84231
2019-04-02 09:00:00,15.1,15.1,13.3,13.9,2025946709.6073318,28247125201.035
2019-04-03 09:00:00,13.8,13.8,12.3,12.4,658031063.0417317,8522624580.480078
2019-04-04 09:00:00,12.4,13.2,12.1,12.7,313017168.2330631,3953130885.8720098
2019-04-05 09:00:00,12.7,13.0,12.1,12.2,212885830.63699883,2637716878.5215187
2019-04-06 09:00:00,12.3,12.4,12.0,12.1,105336987.42896314,1283840196.982652
2019-04-07 09:00:00,12.2,12.2,11.7,11.9,102227391.05705822,1217301355.1669607
2019-04-08 09:00:00,11.8,11.9,11.2,11.4,170664166.76204348,1966093723.4242103
2019-04-09 09:00:00,11.4,12.1,11.4,11.9,225522967.14621022,2641439723.204765
2019-04-10 09:00:00,11.9,12.5,11.6,11.9,163337570.77349076,1951870711.737057
2019-04-11 09:00:00,11.9,11.9,10.2,10.6,206768331.68284836,2259782998.389488
2019-04-12 09:00:00,10.6,10.6,9.45,10.3,178767419.59366468,1776483133.2476115
2019-04-13 09:00:00,10.3,10.4,9.93,10.1,40624981.93670509,410612848.9867419
2019-04-14 09:00:00,10.1,11.0,10.0,10.4,143233202.55997524,1498960269.2362485
2019-04-15 09:00:00,10.4,10.6,9.75,9.9,82873755.241187,850910194.6536636
2019-04-16 09:00:00,9.83,10.4,9.77,10.3,69240774.20657931,692855882.7141011
2019-04-17 09:00:00,10.3,11.7,10.2,10.7,365416376.994985,3967542623.839954
2019-04-18 09:00:00,10.7,10.8,10.3,10.5,89914556.10031743,945409300.3441825
2019-04-19 09:00:00,10.5,11.1,10.4,10.9,134256892.4537447,1441774870.1627836
2019-04-20 09:00:00,10.9,10.9,10.5,10.7,51710756.40579322,553818971.0221218
2019-04-21 09:00:00,10.6,10.7,9.82,10.3,101357844.34775145,1030269164.4773164
2019-04-22 09:00:00,10.3,10.3,9.99,10.2,52627418.46965163,531606988.824098
2019-04-23 09:00:00,10.1,10.2,9.9,10.0,69363966.61069325,695849587.069754
2019-04-24 09:00:00,10.0,10.1,9.4,9.46,83495418.60128441,809585119.8405991
2019-04-25 09:00:00,9.44,9.92,9.44,9.6,53552993.08256891,512614736.216431
2019-04-26 09:00:00,9.51,9.74,9.3,9.59,35941138.88402728,339533192.033667
2019-04-27 09:00:00,9.54,10.2,9.54,9.96,26048229.83975835,257751559.0534189
2019-04-28 09:00:00,9.99,10.6,9.86,10.5,43804476.17538469,448828608.9530413
2019-04-29 09:00:00,10.4,11.3,10.2,11.0,152220566.914397,1649488493.466092
2019-04-30 09:00:00,11.0,11.9,10.0,10.4,514739490.40457475,5652836833.297678
2019-05-01 09:00:00,10.4,10.5,10.3,10.4,63370638.62513426,658724807.3807553
2019-05-02 09:00:00,10.5,11.2,9.9,10.8,217397621.1223114,2295424692.055665
2019-05-03 09:00:00,10.7,11.7,10.2,10.3,551369854.4965973,6063704360.227554
2019-05-04 09:00:00,10.3,10.4,9.4,9.77,118545620.5055769,1173583727.1885822
2019-05-05 09:00:00,9.77,9.87,9.41,9.51,23618697.99276847,226204779.96443558
2019-05-06 09:00:00,9.51,9.56,9.02,9.11,46504799.39672202,427332902.83324915
2019-05-07 09:00:00,9.13,9.15,8.47,8.56,126480128.69065624,1102490286.1191022
2019-05-08 09:00:00,8.56,8.61,8.1,8.24,96359642.26716764,792784685.0251683
