,open,high,low,close,volume,value
2017-09-25 09:00:00,3390.0,3475.0,3315.0,3475.0,0.0212,71.8355
2017-09-26 09:00:00,3445.0,3520.0,3245.0,3245.0,0.0516,175.036
2017-09-27 09:00:00,3270.0,3665.0,3185.0,3535.0,0.0509,168.647
2017-09-28 09:00:00,3580.0,3595.0,3070.0,3235.0,0.0496,162.5005
2017-09-29 09:00:00,3265.0,3265.0,2910.0,3075.0,0.0523,161.932
2017-09-30 09:00:00,3055.0,3560.0,3035.0,3355.0,0.0525,173.1795
2017-10-01 09:00:00,3355.0,3470.0,3235.0,3275.0,0.0522,174.0645
2017-10-02 09:00:00,3265.0,3355.0,3100.0,3190.0,0.0524,168.5975
2017-10-03 09:00:00,3190.0,3230.0,2890.0,3230.0,0.0496,151.6235
2017-10-04 09:00:00,3185.0,3200.0,2835.0,2865.0,0.0467,141.283
2017-10-05 09:00:00,2885.0,3160.0,2725.0,3135.0,0.0481,141.1965
2017-10-06 09:00:00,3125.0,3175.0,2890.0,2975.0,0.0499,149.143
2017-10-07 09:00:00,2965.0,3010.0,2815.0,2875.0,0.0521,152.9295
2017-10-08 09:00:00,2875.0,2910.0,2440.0,2530.0,0.0519,139.885
2017-10-09 09:00:00,2495.0,2860.0,2435.0,2715.0,0.0518,133.114
2017-10-10 09:00:00,2735.0,3125.0,2545.0,2985.0,0.0516,150.4435
2017-10-11 09:00:00,3010.0,3475.0,2975.0,3265.0,0.0511,166.3565
2017-10-12 09:00:00,3265.0,3380.0,2880.0,3120.0,0.0513,161.6045
2017-10-13 09:00:00,3125.0,3375.0,2900.0,2995.0,0.051,155.725
2017-10-14 09:00:00,3000.0,3590.0,2910.0,3230.0,0.0515,167.404
2017-10-15 09:00:00,3200.0,3420.0,3045.0,3235.0,0.0515,164.998
2017-10-16 09:00:00,3210.0,3280.0,2950.0,3120.0,0.0505,156.2155
2017-10-17 09:00:00,3105.0,3325.0,3000.0,3195.0,0.0596,185.338
2017-10-18 09:00:00,3225.0,3395.0,2985.0,3245.0,81.0156,263078.7345
2017-10-19 09:00:00,3245.0,3345.0,3070.0,3300.0,235.0,753835.0
2017-10-20 09:00:00,3250.0,3455.0,3130.0,3145.0,64.89,211142.45
2017-10-24 09:00:00,2970.0,3490.0,2970.0,3360.0,2.15,7100.75
2017-10-25 09:00:00,3360.0,3360.0,2800.0,2950.0,2.33,7122.25
2017-10-26 09:00:00,2995.0,3080.0,2825.0,2925.0,2.33,6912.2
2017-10-27 09:00:00,2905.0,3045.0,2850.0,2935.0,2.34,6879.3
2017-10-28 09:00:00,2900.0,2960.0,2830.0,2855.0,2.16,6247.95
2017-10-29 09:00:00,2850.0,2950.0,2620.0,2765.0,2.34,6571.5
2017-10-30 09:00:00,2760.0,2850.0,2670.0,2755.0,3.52,9703.85
2017-10-31 09:00:00,2805.0,2965.0,2700.0,2820.0,1.98,5543.15
2017-11-01 09:00:00,2830.0,3060.0,2390.0,2420.0,2.24,5855.1
2017-11-02 09:00:00,2415.0,2885.0,2140.0,2455.0,2.3,5545.05
2017-11-03 09:00:00,2400.0,3050.0,2300.0,2905.0,2.31,5913.0
2017-11-04 09:00:00,2860.0,2960.0,2595.0,2645.0,2.31,6404.65
2017-11-05 09:00:00,2630.0,2825.0,2570.0,2665.0,1.5,4016.75
2017-11-06 09:00:00,2725.0,3010.0,2720.0,2945.0,0.8,2257.5
2017-11-07 09:00:00,3010.0,3145.0,2785.0,2955.0,5.57,16587.45
2017-11-08 09:00:00,2940.0,3670.0,2715.0,3260.0,5.85,17555.55
2017-11-09 09:00:00,3250.0,4215.0,3135.0,3700.0,5.99,22277.3
2017-11-10 09:00:00,3665.0,3975.0,3045.0,3300.0,5.95,21300.75
2017-11-11 09:00:00,3310.0,3640.0,3140.0,3325.0,5.92,19959.6
2017-11-12 09:00:00,3320.0,3425.0,2735.0,3100.0,5.9,18516.95
2017-11-13 09:00:00,3095.0,3550.0,3075.0,3330.0,5.58,18493.5
2017-11-14 09:00:00,3365.0,3775.0,3365.0,3670.0,5.25,18489.85
2017-11-15 09:00:00,3665.0,3805.0,3485.0,3665.0,6.55,23872.65
2017-11-16 09:00:00,3685.0,3885.0,3325.0,3455.0,6.61,24062.05
2017-11-17 09:00:00,3455.0,3530.0,3090.0,3315.0,4.92,16701.55
2017-11-18 09:00:00,3310.0,3910.0,3190.0,3600.0,176358.17172966,632498803.1270188
2017-11-19 09:00:00,3600.0,3770.0,3335.0,3440.0,287831.3177052,1039918938.4927272
2017-11-20 09:00:00,3480.0,3515.0,3380.0,3440.0,1526309.90332815,5260483993.465044
2017-11-21 09:00:00,3435.0,3440.0,3200.0,3405.0,1283611.45366844,4320333793.911258
2017-11-22 09:00:00,3405.0,3440.0,3365.0,3410.0,779933.67195558,2649508247.7808266
2017-11-23 09:00:00,3410.0,3435.0,3245.0,3355.0,1136441.44748288,3787012861.2530403
2017-11-24 09:00:00,3355.0,3435.0,3220.0,3425.0,1053494.68040688,3538615310.849131
2017-11-25 09:00:00,3420.0,3600.0,3350.0,3560.0,1304884.51797637,4554554074.410327
2017-11-26 09:00:00,3490.0,4105.0,3490.0,3890.0,2623204.20110379,9741756153.078487
2017-11-27 09:00:00,3890.0,4780.0,3770.0,4410.0,2110961.99304879,8559919148.4743185
2017-11-28 09:00:00,4405.0,4435.0,4030.0,4250.0,1737017.17832318,7313966569.754438
2017-11-29 09:00:00,4180.0,4310.0,3230.0,3320.0,2337637.86660448,9351045805.326956
2017-11-30 09:00:00,3320.0,3865.0,3150.0,3740.0,3133991.63160096,10905157150.995745
2017-12-01 09:00:00,3680.0,4060.0,3345.0,3935.0,2548001.27861972,9482573770.50078
2017-12-02 09:00:00,3935.0,4315.0,3425.0,4300.0,5255677.04885763,20813924411.2142
2017-12-03 09:00:00,4300.0,5400.0,4220.0,4755.0,4722053.48803417,22151393003.58371
2017-12-04 09:00:00,4755.0,4970.0,4520.0,4845.0,3348716.57637826,15824779743.837006
2017-12-05 09:00:00,4850.0,5965.0,4740.0,5710.0,5123062.98078059,27866022066.58085
2017-12-06 09:00:00,5710.0,6260.0,5190.0,5525.0,3090538.49853717,17525673346.57094
2017-12-07 09:00:00,5540.0,5950.0,4800.0,5050.0,1865849.07729836,10073164408.111458
2017-12-08 09:00:00,5020.0,5755.0,4100.0,5040.0,1095721.87127385,5158005775.055913
2017-12-09 09:00:00,4965.0,5900.0,4005.0,4470.0,4512456.59217273,21082866441.025543
2017-12-10 09:00:00,4475.0,4650.0,3250.0,4050.0,833212.3920905,3275191828.5684843
2017-12-11 09:00:00,4050.0,4620.0,3915.0,4340.0,680495.78016373,2915076899.798537
2017-12-12 09:00:00,4335.0,5320.0,4100.0,4820.0,1490612.59864517,6879848779.529793
2017-12-13 09:00:00,4820.0,5420.0,4250.0,4955.0,1309787.08486419,6523090308.182431
2017-12-14 09:00:00,4955.0,5325.0,4860.0,5070.0,870112.35413837,4400768934.600658
2017-12-15 09:00:00,5070.0,5140.0,4615.0,4920.0,603986.20684279,2946997071.3004107
2017-12-16 09:00:00,4925.0,5805.0,4890.0,5680.0,1400910.93192606,7436390015.16658
2017-12-17 09:00:00,5640.0,8230.0,5490.0,6795.0,2929272.34397597,19885465832.604965
2017-12-18 09:00:00,6795.0,7865.0,6500.0,7815.0,1367834.02770698,9937610353.995651
2017-12-19 09:00:00,7815.0,9500.0,6490.0,8200.0,2491310.43296805,20236034122.809284
2017-12-20 09:00:00,8195.0,12480.0,7100.0,10400.0,13597057.40943613,140185521827.67188
2017-12-21 09:00:00,10400.0,13140.0,9730.0,11160.0,5317690.21272674,61365474971.41434
2017-12-22 09:00:00,11190.0,11860.0,6200.0,8195.0,2147919.40919605,18651949155.90095
2017-12-23 09:00:00,8195.0,10300.0,7715.0,9430.0,2041260.20606246,18531122601.08343
2017-12-24 09:00:00,9450.0,10300.0,8100.0,9090.0,1505192.60897652,13557633944.402306
2017-12-25 09:00:00,9090.0,10900.0,8585.0,10160.0,3580636.1786547,35839149539.946976
2017-12-26 09:00:00,10180.0,12350.0,10180.0,10800.0,4156853.24720003,45957407555.52147
2017-12-27 09:00:00,10800.0,11090.0,10100.0,10380.0,1115495.08215955,11642560115.203508
2017-12-28 09:00:00,10420.0,11010.0,7820.0,9400.0,1234108.64946945,11553760679.736452
2017-12-29 09:00:00,9400.0,10470.0,8625.0,10450.0,1036428.94744839,9798685378.810822
