,open,high,low,close,volume,value
2023-12-18 09:00:00,110.0,211.0,110.0,138.0,4473597299.773807,738381954151.09
2023-12-19 09:00:00,138.0,138.0,126.0,127.0,901869728.4518126,117500729270.88744
2023-12-20 09:00:00,127.0,132.0,126.0,130.0,400691304.0794686,51594881505.80227
2023-12-21 09:00:00,130.0,130.0,123.0,127.0,264714961.56333852,33661972923.57602
2023-12-22 09:00:00,126.0,127.0,120.0,125.0,187262475.78253508,23084007029.083527
2023-12-23 09:00:00,125.0,136.0,122.0,134.0,184754724.50922766,23702315322.79049
2023-12-24 09:00:00,134.0,152.0,131.0,145.0,735061338.2644534,104788033639.12254
2023-12-25 09:00:00,145.0,147.0,138.0,144.0,309730168.8414689,44116880542.90191
2023-12-26 09:00:00,144.0,161.0,138.0,159.0,466472941.18583256,68143806264.82374
2023-12-27 09:00:00,158.0,183.0,158.0,170.0,1293758178.3465345,222176047929.14163
2023-12-28 09:00:00,170.0,180.0,161.0,169.0,558898632.2690117,94944252547.04486
2023-12-29 09:00:00,168.0,174.0,158.0,171.0,459398770.9463106,76379946261.75487
2023-12-30 09:00:00,171.0,192.0,168.0,191.0,780262946.7993922,139948679233.22906
2023-12-31 09:00:00,190.0,196.0,181.0,183.0,657178202.2229115,123963468672.34628
2024-01-01 09:00:00,183.0,191.0,179.0,187.0,394314915.6798603,72530519237.48578
2024-01-02 09:00:00,187.0,231.0,186.0,222.0,1685336000.5975468,362971398037.1993
2024-01-03 09:00:00,223.0,255.0,186.0,231.0,2857620598.7014575,659208714733.5618
2024-01-04 09:00:00,231.0,247.0,216.0,231.0,1054343776.2298263,245489608330.4221
2024-01-05 09:00:00,231.0,238.0,204.0,215.0,681264440.8644809,146915386987.53568
2024-01-06 09:00:00,215.0,216.0,185.0,190.0,766139088.7383149,148540322402.468
2024-01-07 09:00:00,190.0,197.0,168.0,172.0,655806449.913329,120825537118.81866
2024-01-08 09:00:00,172.0,197.0,152.0,195.0,1033241194.749513,176611256495.27292
2024-01-09 09:00:00,195.0,212.0,177.0,186.0,1077031404.7123976,210264737364.30338
2024-01-10 09:00:00,186.0,207.0,168.0,195.0,649702587.510792,119931341460.53073
2024-01-11 09:00:00,196.0,227.0,195.0,224.0,905755180.9613786,191810236450.0987
2024-01-12 09:00:00,224.0,225.0,201.0,207.0,464361238.2650259,99213809056.76324
2024-01-13 09:00:00,207.0,216.0,192.0,209.0,495435440.481437,100819577436.35889
2024-01-14 09:00:00,208.0,210.0,195.0,197.0,229244915.47905663,46491180457.80766
2024-01-15 09:00:00,197.0,207.0,196.0,204.0,258140481.96643543,52155274062.79766
2024-01-16 09:00:00,205.0,226.0,203.0,224.0,565093707.7046547,121955825977.6403
