,open,high,low,close,volume,value
2019-05-03 09:00:00,4650.0,6255.0,4650.0,6135.0,3130963.56324379,18014797829.30644
2019-05-04 09:00:00,6135.0,6500.0,5520.0,6085.0,1691392.3130898,10269992390.892464
2019-05-05 09:00:00,6080.0,6080.0,5575.0,5645.0,455321.96507603,2603943417.2200165
2019-05-06 09:00:00,5620.0,5655.0,5245.0,5500.0,445610.97709837,2424597554.69633
2019-05-07 09:00:00,5500.0,5805.0,5275.0,5300.0,370244.24682716,2057654401.858111
2019-05-08 09:00:00,5280.0,5300.0,4980.0,5075.0,293260.36851663,1509363062.2116635
2019-05-09 09:00:00,5030.0,5270.0,4270.0,4600.0,387499.39635125,1822560195.7270384
2019-05-10 09:00:00,4600.0,5270.0,4380.0,4510.0,571501.50238412,2681608297.0574923
2019-05-11 09:00:00,4560.0,4855.0,4380.0,4635.0,412138.4231742,1901852436.728293
2019-05-12 09:00:00,4635.0,4720.0,4320.0,4365.0,182429.2686776,826249058.3557496
2019-05-13 09:00:00,4375.0,4880.0,4375.0,4650.0,307875.02368666,1436581646.4100082
2019-05-14 09:00:00,4640.0,4855.0,4565.0,4770.0,269472.48255776,1266775367.7395668
2019-05-15 09:00:00,4765.0,5430.0,4690.0,5370.0,270058.35815512,1350805780.8995538
2019-05-16 09:00:00,5370.0,5665.0,4785.0,5100.0,247074.303186,1289098275.8829043
2019-05-17 09:00:00,5145.0,5785.0,4795.0,5330.0,604178.2198122,3221815500.9974375
2019-05-18 09:00:00,5330.0,6050.0,5210.0,5720.0,402814.83384483,2290549869.3528967
2019-05-19 09:00:00,5725.0,6185.0,5630.0,5790.0,290390.69575287,1714346635.1396897
2019-05-20 09:00:00,5790.0,5830.0,5350.0,5680.0,184874.3361215,1040707541.1984158
2019-05-21 09:00:00,5630.0,5775.0,5415.0,5720.0,135484.04915286,753228460.4525135
2019-05-22 09:00:00,5720.0,5800.0,5275.0,5275.0,185450.432076,1011132269.49825
2019-05-23 09:00:00,5270.0,5380.0,4950.0,5220.0,191554.43846539,978050918.903859
2019-05-24 09:00:00,5220.0,5730.0,5140.0,5395.0,229758.06804381,1239158599.89658
2019-05-25 09:00:00,5395.0,5515.0,5165.0,5280.0,148983.92678389,792823223.6640292
2019-05-26 09:00:00,5245.0,5430.0,5060.0,5375.0,231542.81087667,1211056379.989364
2019-05-27 09:00:00,5375.0,5595.0,5335.0,5520.0,167981.15130645,913229574.6175146
2019-05-28 09:00:00,5520.0,5750.0,5325.0,5655.0,250432.74806723,1370112530.1856449
2019-05-29 09:00:00,5660.0,5965.0,5355.0,5590.0,435820.36278838,2470388861.4315267
2019-05-30 09:00:00,5590.0,8150.0,5570.0,7320.0,8086372.0813936,58136697541.66345
2019-05-31 09:00:00,7330.0,7370.0,6350.0,7030.0,2684145.91703694,18337850808.251076
2019-06-01 09:00:00,7040.0,8100.0,6850.0,7000.0,2353444.88139278,17582223198.394077
2019-06-02 09:00:00,7000.0,7695.0,6760.0,7685.0,718757.395053,5130293943.074886
2019-06-03 09:00:00,7685.0,8860.0,7345.0,8010.0,1582011.51505292,12720707559.58055
2019-06-04 09:00:00,8030.0,8480.0,7115.0,7335.0,1587340.83816676,12566873759.485052
2019-06-05 09:00:00,7335.0,7735.0,6930.0,7555.0,917805.4553399,6828378131.578135
2019-06-06 09:00:00,7560.0,7560.0,6855.0,7300.0,475421.58311045,3426674661.650604
2019-06-07 09:00:00,7300.0,8005.0,7155.0,7650.0,820549.18363532,6252601715.197093
2019-06-08 09:00:00,7660.0,7740.0,7350.0,7530.0,174893.76726868,1313515084.2746563
2019-06-09 09:00:00,7545.0,7580.0,7120.0,7265.0,159832.53370013,1178752835.1108077
2019-06-10 09:00:00,7255.0,7425.0,7015.0,7425.0,185711.12054041,1346146624.9947588
2019-06-11 09:00:00,7425.0,7530.0,7050.0,7245.0,162252.99203932,1170418015.4393456
2019-06-12 09:00:00,7245.0,7590.0,7125.0,7370.0,161754.9334045,1193550421.0722065
2019-06-13 09:00:00,7395.0,7830.0,7280.0,7555.0,279126.57577762,2103735945.5365806
2019-06-14 09:00:00,7585.0,7625.0,7230.0,7540.0,175109.41181362,1300413536.1418915
2019-06-15 09:00:00,7545.0,7575.0,7310.0,7405.0,100203.35535527,745893642.8312092
2019-06-16 09:00:00,7370.0,8030.0,7310.0,7965.0,264493.4509593,2020075699.4650836
2019-06-17 09:00:00,7980.0,8400.0,7745.0,8265.0,311343.60801095,2506658875.212312
