,open,high,low,close,volume,value
2017-09-25 09:00:00,494000.0,500000.0,490000.0,493500.0,0.0212,10500.45
2017-09-26 09:00:00,494500.0,513000.0,493500.0,500000.0,0.0517,26118.85
2017-09-27 09:00:00,497500.0,515000.0,495000.0,513000.0,0.0505,25432.0
2017-09-28 09:00:00,514000.0,533000.0,485500.0,501000.0,0.0498,25444.1
2017-09-29 09:00:00,501000.0,503000.0,483500.0,492500.0,0.0523,25807.75
2017-09-30 09:00:00,490500.0,501000.0,484500.0,489500.0,0.0525,25855.4
2017-10-01 09:00:00,489500.0,496000.0,467500.0,467500.0,0.0524,25261.3
2017-10-02 09:00:00,467500.0,492000.0,467500.0,479500.0,0.0524,24984.1
2017-10-03 09:00:00,482000.0,482500.0,448000.0,462500.0,0.0482,22385.9
2017-10-04 09:00:00,463000.0,466500.0,407000.0,413000.0,0.0464,20472.85
2017-10-05 09:00:00,412000.0,425500.0,399000.0,406000.0,0.0459,18741.7
2017-10-06 09:00:00,405500.0,426500.0,403000.0,417500.0,0.0495,20702.75
2017-10-07 09:00:00,417500.0,419000.0,404000.0,411000.0,0.0521,21462.7
2017-10-08 09:00:00,409000.0,413000.0,379000.0,389000.0,0.0519,20929.1
2017-10-09 09:00:00,389000.0,392500.0,329500.0,358000.0,0.0519,19378.9
2017-10-10 09:00:00,357000.0,407500.0,351500.0,365500.0,0.0514,19144.95
2017-10-11 09:00:00,369000.0,371500.0,353500.0,362500.0,0.0511,18529.2
2017-10-12 09:00:00,363500.0,377000.0,352500.0,364500.0,0.0512,18569.15
2017-10-13 09:00:00,363000.0,370500.0,349500.0,365000.0,0.0512,18399.8
2017-10-14 09:00:00,364500.0,371000.0,357000.0,364000.0,0.0515,18788.55
2017-10-15 09:00:00,365000.0,369000.0,347500.0,353500.0,0.0515,18382.65
2017-10-16 09:00:00,355500.0,360500.0,348000.0,352000.0,0.0504,17836.65
2017-10-17 09:00:00,353500.0,483000.0,348000.0,420500.0,0.0596,23838.65
2017-10-18 09:00:00,423500.0,434500.0,359000.0,389500.0,81.0197,30491537.45
2017-10-19 09:00:00,389500.0,391000.0,367500.0,379000.0,235.0,88852000.0
2017-10-20 09:00:00,374500.0,384500.0,367500.0,371500.0,64.94,24515805.0
2017-10-24 09:00:00,372000.0,393000.0,361000.0,380000.0,2.17,824985.0
2017-10-25 09:00:00,379000.0,388500.0,367500.0,382000.0,2.32,878095.0
2017-10-26 09:00:00,382000.0,406000.0,378500.0,387000.0,2.34,903950.0
2017-10-27 09:00:00,390500.0,434500.0,385000.0,423000.0,2.35,963545.0
2017-10-28 09:00:00,423000.0,493000.0,423000.0,487500.0,2.16,967555.0
2017-10-29 09:00:00,488000.0,613000.0,468500.0,505000.0,2.34,1216105.0
2017-10-30 09:00:00,514000.0,543000.0,470500.0,507000.0,3.52,1784420.0
2017-10-31 09:00:00,509000.0,517000.0,480000.0,501000.0,2.0,1011955.0
2017-11-01 09:00:00,501000.0,628000.0,500000.0,613000.0,2.22,1216970.0
2017-11-02 09:00:00,611000.0,698000.0,580000.0,665000.0,2.31,1462460.0
2017-11-03 09:00:00,670000.0,773000.0,661000.0,708000.0,2.31,1699760.0
2017-11-04 09:00:00,717000.0,718000.0,627000.0,697000.0,2.31,1601430.0
2017-11-05 09:00:00,693000.0,712000.0,649000.0,652000.0,1.5,1025110.0
2017-11-06 09:00:00,725000.0,741600.0,688100.0,697500.0,1.51,1080420.0
2017-11-07 09:00:00,700700.0,711400.0,683500.0,706800.0,5.65,3945256.0
2017-11-08 09:00:00,703800.0,727900.0,617200.0,690700.0,5.85,4120857.0
2017-11-09 09:00:00,695200.0,766800.0,686900.0,743100.0,6.0,4289784.0
2017-11-10 09:00:00,741900.0,1250000.0,738700.0,1150000.0,2260.04048732,2413987727.42307
2017-11-11 09:00:00,1150500.0,1615500.0,1028000.0,1529500.0,7483.61206269,10291841409.297285
2017-11-12 09:00:00,1529500.0,2844000.0,1400000.0,1688500.0,41127.28431165,78979743463.88438
2017-11-13 09:00:00,1688500.0,1749500.0,1176000.0,1550500.0,31329.35863912,45916055214.43149
2017-11-14 09:00:00,1554000.0,1593000.0,1370000.0,1443000.0,22453.92705199,33561936122.80622
2017-11-15 09:00:00,1443000.0,1499500.0,1346000.0,1370000.0,23572.40102373,33472234686.088505
2017-11-16 09:00:00,1370000.0,1370000.0,961000.0,998900.0,34126.51811231,40429219146.06195
2017-11-17 09:00:00,1000000.0,1399500.0,957000.0,1309500.0,66394.37644653,80001568591.52968
2017-11-18 09:00:00,1309500.0,1545000.0,1300000.0,1380000.0,78711.65699975,112213990625.01183
2017-11-19 09:00:00,1381000.0,1388000.0,1238500.0,1284500.0,30481.63577513,40099540551.22941
2017-11-20 09:00:00,1284500.0,1369000.0,1265000.0,1338000.0,22028.28218362,28719904749.117695
2017-11-21 09:00:00,1350000.0,1350000.0,1238500.0,1289500.0,17191.49266412,22423107683.065315
2017-11-22 09:00:00,1289500.0,1529500.0,1289000.0,1434000.0,56721.61113644,79814907646.3039
2017-11-23 09:00:00,1433500.0,1876500.0,1425000.0,1850000.0,122695.61649569,203689016114.33078
2017-11-24 09:00:00,1850000.0,2010000.0,1750000.0,1815000.0,96293.012339,179565459123.97388
2017-11-25 09:00:00,1813500.0,1848000.0,1622000.0,1735000.0,56514.09371293,99396888621.13068
2017-11-26 09:00:00,1735000.0,1948000.0,1713000.0,1906000.0,54579.6318085,98350240121.9209
2017-11-27 09:00:00,1906000.0,1940000.0,1800000.0,1831000.0,34450.10122877,64559657879.36966
2017-11-28 09:00:00,1831000.0,1878000.0,1760500.0,1800000.0,31547.86845539,57332666844.228714
2017-11-29 09:00:00,1800000.0,2156000.0,1450000.0,1539000.0,68202.11287727,127398859845.54079
2017-11-30 09:00:00,1538000.0,1750000.0,1304000.0,1590500.0,44055.43286135,67843488623.591385
2017-12-01 09:00:00,1590500.0,1698000.0,1480000.0,1660000.0,34611.88340613,55180084214.59592
2017-12-02 09:00:00,1660000.0,1741500.0,1574000.0,1650000.0,32745.3662768,54528033925.78981
2017-12-03 09:00:00,1649500.0,1895000.0,1625000.0,1769000.0,62741.47065768,112820992347.79752
2017-12-04 09:00:00,1768500.0,1815000.0,1750500.0,1810500.0,22424.61482125,40071066270.038734
2017-12-05 09:00:00,1810500.0,1916500.0,1785000.0,1789500.0,41623.67450372,76189160522.60571
2017-12-06 09:00:00,1789500.0,2092000.0,1766000.0,1791000.0,37313.88752794,67624454112.610725
2017-12-07 09:00:00,1791000.0,1835000.0,1640000.0,1764000.0,25867.42291356,45182363463.08507
2017-12-08 09:00:00,1745500.0,2470000.0,1587000.0,1749500.0,157662.58409768,315456451648.17596
2017-12-09 09:00:00,1749500.0,1901000.0,1517000.0,1649000.0,38335.92481925,65797066219.03092
2017-12-10 09:00:00,1649500.0,1664500.0,1280500.0,1513000.0,35362.02908379,50491294804.79418
2017-12-11 09:00:00,1512500.0,1706500.0,1494500.0,1613500.0,20480.03431572,33066562586.858265
2017-12-12 09:00:00,1613500.0,1855000.0,1567000.0,1783500.0,43918.99350439,76008762479.00276
2017-12-13 09:00:00,1783000.0,1848000.0,1594500.0,1790000.0,34760.13513314,60993932890.56674
2017-12-14 09:00:00,1790000.0,2325000.0,1759000.0,2198000.0,128719.00165293,270782641977.67206
2017-12-15 09:00:00,2197000.0,2210000.0,1926000.0,2044000.0,46467.77584597,93141628537.4753
2017-12-16 09:00:00,2044000.0,2189000.0,1988500.0,2040000.0,37937.97373526,78050885443.87556
2017-12-17 09:00:00,2040000.0,2220000.0,2023000.0,2115000.0,35951.0396571,75384823930.43753
2017-12-18 09:00:00,2115000.0,2747000.0,2042000.0,2484000.0,108468.53907066,264396460961.11194
2017-12-19 09:00:00,2485000.0,3725000.0,2471000.0,3437000.0,122331.09738088,363406085092.6199
2017-12-20 09:00:00,3436000.0,5617000.0,3428000.0,5050000.0,278445.23940335,1295475090182.4707
2017-12-21 09:00:00,5052000.0,5160000.0,3879000.0,4368000.0,116509.12604825,538571357248.0957
2017-12-22 09:00:00,4368000.0,4578000.0,2650000.0,3531000.0,106634.1030693,371670355750.30927
2017-12-23 09:00:00,3534000.0,4392000.0,3377000.0,4210000.0,89216.49395312,361480154176.3003
2017-12-24 09:00:00,4210000.0,4234000.0,3689000.0,3997000.0,41333.99919261,163524097784.594
2017-12-25 09:00:00,3997000.0,4072000.0,3884000.0,3944000.0,21816.31550778,86403503146.56702
2017-12-26 09:00:00,3944000.0,4199000.0,3888000.0,4053000.0,28795.47081463,115397013708.39272
2017-12-27 09:00:00,4052000.0,4068000.0,3761000.0,3860000.0,17530.3921463,68396246233.40701
2017-12-28 09:00:00,3859000.0,3878000.0,3100000.0,3383000.0,24138.44907265,83223485113.24593
2017-12-29 09:00:00,3383000.0,3879000.0,3119000.0,3506000.0,72685.73407876,254065252513.41763
2017-12-30 09:00:00,3506000.0,3540000.0,3130000.0,3221000.0,33177.87688865,110118787652.93433
2017-12-31 09:00:00,3220000.0,3607000.0,3189000.0,3295000.0,43384.49903933,146573379009.14847
2018-01-01 09:00:00,3299000.0,3475000.0,3193000.0,3252000.0,27262.51139288,90487299601.29631
2018-01-02 09:00:00,3247000.0,3841000.0,3239000.0,3486000.0,65000.48163684,227374100260.02463
2018-01-03 09:00:00,3486000.0,3835000.0,3395000.0,3500000.0,51822.84301536,186325163948.92102
2018-01-04 09:00:00,3500000.0,3702000.0,3253000.0,3550000.0,41237.89790896,144619803712.07153
2018-01-05 09:00:00,3560000.0,4188000.0,3483000.0,3825000.0,75642.03068361,285559682636.19885
2018-01-06 09:00:00,3827000.0,4099000.0,3560000.0,3963000.0,46111.24855434,177041665312.43903
2018-01-07 09:00:00,3963000.0,4429000.0,3867000.0,3995000.0,53939.55917483,224515806375.3144
2018-01-08 09:00:00,3995000.0,4217000.0,3750000.0,4027000.0,38832.53242945,155214358259.17877
2018-01-09 09:00:00,4025000.0,4050000.0,3693000.0,3909000.0,25965.82702834,100763255774.61478
2018-01-10 09:00:00,3909000.0,4395000.0,3519000.0,4055000.0,84330.60900697,339696110875.8755
2018-01-11 09:00:00,4054000.0,4173000.0,2520000.0,3540000.0,61822.99343969,223069322917.29208
2018-01-12 09:00:00,3540000.0,3926000.0,3301000.0,3870000.0,32005.4526441,116671966948.95094
2018-01-13 09:00:00,3870000.0,4213000.0,3731000.0,3933000.0,69157.04271145,276017075485.834
2018-01-14 09:00:00,3933000.0,4096000.0,3361000.0,3560000.0,25919.51165846,96464969835.52242
2018-01-15 09:00:00,3560000.0,3720000.0,3300000.0,3353000.0,24185.90806791,83464036571.42676
2018-01-16 09:00:00,3353000.0,3363000.0,1760500.0,2216000.0,32170.51652204,87400663016.1354
2018-01-17 09:00:00,2215000.0,2547000.0,1720000.0,2324000.0,24441.38941485,51673869522.73778
2018-01-18 09:00:00,2344000.0,2585000.0,2151000.0,2262000.0,12783.24099374,29966487044.4759
2018-01-19 09:00:00,2264000.0,2515000.0,2241000.0,2338000.0,18195.60465188,42836936037.38616
2018-01-20 09:00:00,2339000.0,2771000.0,2315000.0,2666000.0,20530.54585097,52176390368.42243
2018-01-21 09:00:00,2666000.0,2689000.0,2050000.0,2245000.0,12710.56210078,29490529968.9344
2018-01-22 09:00:00,2245000.0,2285000.0,1920000.0,2088000.0,7179.85441102,15010177197.300646
2018-01-23 09:00:00,2087000.0,2101000.0,1840000.0,1948000.0,6313.73698153,12418786345.13682
2018-01-24 09:00:00,1948000.0,2033000.0,1881000.0,1954500.0,6939.46815946,13461554314.01901
2018-01-25 09:00:00,1954500.0,2015000.0,1870000.0,1901000.0,3917.05441226,7597547647.00553
2018-01-26 09:00:00,1900000.0,1920000.0,1640000.0,1834000.0,5925.49823294,10604177828.21043
2018-01-27 09:00:00,1835000.0,1882000.0,1756000.0,1838000.0,2448.10141756,4457333768.354625
2018-01-28 09:00:00,1838000.0,2017000.0,1830500.0,1973500.0,4733.99006736,9183813502.02887
2018-01-29 09:00:00,1980000.0,2014000.0,1860000.0,1890500.0,3776.49117056,7264049741.31241
2018-01-30 09:00:00,1890500.0,1910000.0,1655500.0,1680000.0,4265.3976225,7685426659.085935
2018-01-31 09:00:00,1695000.0,1720000.0,1502500.0,1670000.0,3242.59233204,5288932312.02392
2018-02-01 09:00:00,1670000.0,1685500.0,1375000.0,1400500.0,3964.28651628,5991930165.002135
