,open,high,low,close,volume,value
2023-12-12 09:00:00,250.0,1280.0,250.0,830.0,2102606844.5448947,1839134043311.4954
2023-12-13 09:00:00,829.0,950.0,752.0,836.0,821870382.9336151,708370739244.5852
2023-12-14 09:00:00,836.0,839.0,761.0,778.0,198995659.1087552,157368706717.98438
2023-12-15 09:00:00,778.0,812.0,751.0,768.0,121239557.03595765,94847264670.84679
2023-12-16 09:00:00,768.0,776.0,711.0,725.0,67330509.1041588,48879305455.936424
2023-12-17 09:00:00,724.0,725.0,642.0,648.0,76366700.08330497,51968305622.37906
2023-12-18 09:00:00,648.0,650.0,546.0,606.0,141890068.1787508,83192452123.75334
2023-12-19 09:00:00,606.0,703.0,590.0,675.0,264543876.76615426,175302661255.98685
2023-12-20 09:00:00,673.0,747.0,668.0,693.0,198547424.36986566,142155982782.8852
2023-12-21 09:00:00,693.0,733.0,676.0,696.0,94454052.0007739,66885501302.485565
2023-12-22 09:00:00,695.0,708.0,632.0,662.0,54429340.61481898,36328554095.54701
2023-12-23 09:00:00,662.0,676.0,637.0,653.0,24565259.36085221,16041960331.766262
2023-12-24 09:00:00,652.0,660.0,612.0,628.0,30220716.82953885,19189591042.696575
2023-12-25 09:00:00,629.0,652.0,617.0,634.0,28313946.59036484,17948034214.480236
2023-12-26 09:00:00,634.0,634.0,595.0,625.0,25912364.51511651,15883211760.582125
2023-12-27 09:00:00,625.0,728.0,622.0,707.0,262523952.39030993,181574870643.31763
2023-12-28 09:00:00,707.0,712.0,660.0,678.0,58527920.74714919,39827647581.92986
2023-12-29 09:00:00,677.0,760.0,674.0,750.0,200011540.47382528,145141400571.53256
2023-12-30 09:00:00,750.0,947.0,728.0,940.0,474263457.39915735,411163414435.24725
2023-12-31 09:00:00,941.0,1020.0,858.0,902.0,321795830.948916,309169066746.954
2024-01-01 09:00:00,901.0,993.0,885.0,966.0,221586072.48464635,209260427759.70242
2024-01-02 09:00:00,962.0,1025.0,939.0,986.0,177326910.8396053,173213050817.70532
2024-01-03 09:00:00,985.0,986.0,690.0,924.0,183097160.54245865,163812416446.43774
2024-01-04 09:00:00,924.0,1005.0,837.0,932.0,197907033.6821172,186404193650.10687
2024-01-05 09:00:00,932.0,966.0,840.0,874.0,75631111.55916406,67482987949.970474
2024-01-06 09:00:00,873.0,882.0,749.0,783.0,71262105.60713407,56353777885.019615
2024-01-07 09:00:00,782.0,842.0,684.0,706.0,87527217.06116982,67667042100.958954
2024-01-08 09:00:00,707.0,750.0,607.0,743.0,77311141.54021397,52273359978.145
2024-01-09 09:00:00,741.0,863.0,701.0,787.0,281899290.1210829,225945522835.507
2024-01-10 09:00:00,787.0,842.0,695.0,804.0,89931990.14639924,68649105083.81554
2024-01-11 09:00:00,802.0,836.0,773.0,832.0,83106896.81568326,67124276171.22236
2024-01-12 09:00:00,831.0,833.0,748.0,783.0,48194568.3158571,38582486643.1723
2024-01-13 09:00:00,783.0,830.0,764.0,798.0,48763966.68296322,38854560846.23461
2024-01-14 09:00:00,798.0,818.0,749.0,753.0,29449950.44848007,23157401646.553837
2024-01-15 09:00:00,753.0,775.0,740.0,770.0,27778635.67143664,21062942085.524242
2024-01-16 09:00:00,769.0,805.0,763.0,805.0,50477988.28047911,39693520277.92103
2024-01-17 09:00:00,805.0,822.0,772.0,812.0,36002068.97128945,28773318093.547905
2024-01-18 09:00:00,812.0,815.0,766.0,775.0,22836592.47847277,17907911236.32251
2024-01-19 09:00:00,774.0,789.0,712.0,750.0,26818632.3706172,19905031741.06559
2024-01-20 09:00:00,749.0,750.0,720.0,731.0,8999341.58352024,6554177707.228172
2024-01-21 09:00:00,729.0,756.0,719.0,734.0,14555257.45391471,10726759789.809378
2024-01-22 09:00:00,732.0,754.0,671.0,680.0,18141793.60770838,12872819610.729395
2024-01-23 09:00:00,680.0,708.0,621.0,707.0,24457409.31785883,16217249825.717335
2024-01-24 09:00:00,707.0,708.0,672.0,698.0,12880117.66413062,8885956066.81953
2024-01-25 09:00:00,698.0,711.0,666.0,680.0,14755945.11320998,10130789675.411587
2024-01-26 09:00:00,680.0,727.0,664.0,714.0,14674450.5074496,10186083594.476795
2024-01-27 09:00:00,713.0,741.0,706.0,723.0,14331477.61204196,10375519864.241413
2024-01-28 09:00:00,723.0,727.0,685.0,696.5,10737458.20590645,7623614041.620497
2024-01-29 09:00:00,696.5,709.0,683.1,703.2,6825382.16345267,4739603742.397313
2024-01-30 09:00:00,703.3,746.0,703.3,718.1,54725067.14374551,39938331499.16636
2024-01-31 09:00:00,718.9,725.0,671.9,686.0,13840593.48032617,9680924338.032608
2024-02-01 09:00:00,686.0,687.0,657.0,681.1,6605915.47852637,4436333749.1147
2024-02-02 09:00:00,681.1,684.7,670.0,680.1,5093331.0890418,3450661610.85635
2024-02-03 09:00:00,681.0,690.1,676.7,682.6,3049702.51661885,2079150477.656005
2024-02-04 09:00:00,682.6,683.0,663.5,668.0,3251212.59791965,2190097872.238976
2024-02-05 09:00:00,668.0,683.3,651.1,668.5,6956084.78417983,4645373394.178873
2024-02-06 09:00:00,668.5,701.5,667.0,673.5,28783158.53197422,19763520389.948383
2024-02-07 09:00:00,673.5,674.0,639.0,663.4,11296921.70629029,7382453589.7222395
2024-02-08 09:00:00,662.2,672.0,652.7,664.2,7935267.88952852,5250061155.722263
2024-02-09 09:00:00,664.2,675.0,658.0,672.5,8784095.36814848,5866371099.522576
2024-02-10 09:00:00,672.5,748.8,669.1,711.8,83593593.56110246,60197140492.16244
2024-02-11 09:00:00,711.7,797.0,699.9,753.0,207597027.30079544,157913947358.32248
2024-02-12 09:00:00,753.0,792.0,726.1,751.0,91632626.91572535,69273859582.0046
2024-02-13 09:00:00,751.0,761.0,722.0,736.9,23584874.96407108,17474766154.05959
2024-02-14 09:00:00,737.0,755.0,720.7,744.2,21991104.45317534,16227128604.290363
2024-02-15 09:00:00,744.2,749.4,727.6,744.9,24103453.02282352,17800902744.79974
2024-02-16 09:00:00,745.0,775.5,734.1,752.5,33376792.23299968,25115293572.07662
2024-02-17 09:00:00,753.0,763.7,713.1,730.2,19450333.38658799,14377903747.238111
2024-02-18 09:00:00,730.5,738.2,716.0,733.5,12289407.51481498,8924724820.04434
2024-02-19 09:00:00,733.5,741.2,726.9,740.7,12899159.82574473,9470186628.295553
2024-02-20 09:00:00,740.0,809.2,737.0,785.8,138403953.54439417,107776461159.98123
2024-02-21 09:00:00,786.0,809.4,760.0,801.8,54377093.63298093,42541273828.300354
2024-02-22 09:00:00,801.8,833.0,781.4,785.1,47949815.44526228,38523480717.90798
2024-02-23 09:00:00,785.2,808.7,763.3,768.7,31303850.54468476,24698491866.107872
