,open,high,low,close,volume,value
2018-08-02 09:00:00,180.0,700.0,180.0,228.0,85850208.7587809,28975862032.851215
2018-08-03 09:00:00,227.0,229.0,190.0,198.0,9427511.58593982,1912657403.9377189
2018-08-04 09:00:00,199.0,199.0,150.0,182.0,3576602.38939734,659436692.303029
2018-08-05 09:00:00,179.0,200.0,176.0,200.0,550639.81120217,103387471.92621906
2018-08-06 09:00:00,200.0,216.0,181.0,186.0,1854041.97221715,372346392.23929137
2018-08-07 09:00:00,186.0,189.0,175.0,178.0,650659.68529364,119504157.6933464
2018-08-08 09:00:00,175.0,176.0,149.0,149.0,620387.16880099,100968226.77516031
2018-08-09 09:00:00,150.0,174.0,150.0,165.0,419228.93242377,67327773.22190878
2018-08-10 09:00:00,167.0,176.0,146.0,151.0,373796.9439389,61412983.27185596
2018-08-11 09:00:00,150.0,151.0,141.0,143.0,82593.18633064,11991710.25696423
2018-08-12 09:00:00,143.0,148.0,140.0,140.0,79507.46140543,11242703.26302522
2018-08-13 09:00:00,140.0,149.0,126.0,126.0,256776.0148494,35059600.69006929
2018-08-14 09:00:00,127.0,130.0,104.0,124.0,354748.68778679,42957607.26462757
2018-08-15 09:00:00,122.0,135.0,120.0,121.0,290872.14397956,36897033.90153012
2018-08-16 09:00:00,124.0,134.0,121.0,130.0,314647.29190274,40503219.15039333
2018-08-17 09:00:00,130.0,175.0,125.0,153.0,669248.4506863,96860652.80351016
2018-08-18 09:00:00,153.0,183.0,133.0,140.0,2532115.18513435,396151781.8273491
2018-08-19 09:00:00,139.0,145.0,135.0,142.0,317407.80637868,44355685.66046988
2018-08-20 09:00:00,142.0,145.0,131.0,133.0,303413.70393113,41815755.67533301
2018-08-21 09:00:00,132.0,135.0,128.0,130.0,197990.17479326,26075108.74476538
2018-08-22 09:00:00,132.0,139.0,125.0,126.0,297944.96417139,39867396.02709363
2018-08-23 09:00:00,128.0,132.0,121.0,131.0,254361.5526906,32180715.80671234
2018-08-24 09:00:00,131.0,136.0,128.0,136.0,179268.6763588,23329242.4134511
2018-08-25 09:00:00,136.0,144.0,133.0,144.0,163481.51056024,22460545.16790789
2018-08-26 09:00:00,144.0,144.0,136.0,141.0,96913.47974626,13479917.66875945
2018-08-27 09:00:00,140.0,157.0,138.0,151.0,313260.08609259,46754747.03067164
2018-08-28 09:00:00,149.0,158.0,149.0,154.0,328159.1319417,49760418.73744901
2018-08-29 09:00:00,154.0,156.0,148.0,154.0,300929.81568819,45808345.19526765
2018-08-30 09:00:00,153.0,182.0,152.0,172.0,8272625.89719213,1405123898.4498613
2018-08-31 09:00:00,172.0,176.0,153.0,164.0,2916999.7657482,468791759.17961216
2018-09-01 09:00:00,164.0,169.0,159.0,168.0,1307194.48055662,213918074.77534533
2018-09-02 09:00:00,168.0,168.0,155.0,159.0,828804.54717859,132731291.0433872
2018-09-03 09:00:00,158.0,158.0,153.0,158.0,189706.44119234,29507017.2155534
2018-09-04 09:00:00,157.0,160.0,155.0,157.0,350972.72227234,55223654.06674921
2018-09-05 09:00:00,157.0,158.0,130.0,130.0,644727.76983983,94453630.12438309
2018-09-06 09:00:00,130.0,135.0,123.0,132.0,316079.6813456,40497652.16963032
2018-09-07 09:00:00,132.0,138.0,124.0,127.0,290634.72023615,38604142.45259027
2018-09-08 09:00:00,130.0,130.0,116.0,118.0,206498.56512533,25425273.10787298
2018-09-09 09:00:00,118.0,129.0,115.0,127.0,78792.27178706,9588551.44510462
2018-09-10 09:00:00,125.0,155.0,125.0,130.0,604122.19427988,79360602.84608328
2018-09-11 09:00:00,130.0,131.0,119.0,123.0,152935.57164457,19220520.25198587
2018-09-12 09:00:00,123.0,123.0,114.0,117.0,168353.65450899,19750649.0141078
2018-09-13 09:00:00,120.0,130.0,118.0,127.0,205508.01170193,25598147.69835885
2018-09-14 09:00:00,127.0,128.0,117.0,122.0,115525.80242752,14109939.08185617
2018-09-15 09:00:00,122.0,126.0,120.0,120.0,115380.61310107,14131777.55505939
2018-09-16 09:00:00,121.0,136.0,118.0,125.0,1658772.26608532,214894825.89156938
2018-09-17 09:00:00,125.0,137.0,114.0,120.0,2114761.81067525,277617854.06690514
2018-09-18 09:00:00,119.0,125.0,117.0,123.0,249850.909222,30119018.81763685
2018-09-19 09:00:00,123.0,130.0,121.0,126.0,316460.04488116,39714677.57603175
2018-09-20 09:00:00,126.0,130.0,124.0,128.0,406275.25975429,51877111.34600738
2018-09-21 09:00:00,129.0,160.0,125.0,138.0,1401612.37867107,197625155.8925661
2018-09-22 09:00:00,137.0,144.0,128.0,138.0,340410.80446355,46253768.02764261
2018-09-23 09:00:00,136.0,142.0,134.0,137.0,461324.47726831,63909085.30352192
2018-09-24 09:00:00,136.0,142.0,129.0,131.0,257177.04807869,34963393.61188096
2018-09-25 09:00:00,132.0,145.0,124.0,135.0,1769780.74183798,238115269.27072775
2018-09-26 09:00:00,135.0,140.0,132.0,136.0,195022.50792512,26391061.26548013
2018-09-27 09:00:00,136.0,144.0,133.0,143.0,486902.53800464,66251268.52780016
2018-09-28 09:00:00,144.0,147.0,138.0,145.0,556642.72161741,79441781.84331216
2018-09-29 09:00:00,144.0,146.0,140.0,144.0,245149.70024559,34889004.15270368
2018-09-30 09:00:00,144.0,155.0,139.0,140.0,1011826.68756123,145271878.03994456
2018-10-01 09:00:00,141.0,142.0,127.0,139.0,447341.38586037,60820424.25100287
2018-10-02 09:00:00,138.0,148.0,137.0,142.0,239983.46496368,34082262.80561643
2018-10-03 09:00:00,141.0,142.0,135.0,138.0,64961.460318,8934375.68708045
2018-10-04 09:00:00,138.0,142.0,138.0,140.0,106579.17961042,14815400.50900428
2018-10-05 09:00:00,142.0,147.0,137.0,142.0,533243.57298797,75454192.50480095
2018-10-06 09:00:00,145.0,152.0,142.0,142.0,484144.93013388,71599587.51100941
2018-10-07 09:00:00,143.0,146.0,139.0,143.0,86588.17964805,12266168.37059529
2018-10-08 09:00:00,142.0,145.0,140.0,143.0,130815.8190099,18611531.58902441
2018-10-09 09:00:00,143.0,144.0,139.0,141.0,102143.51918653,14367927.12682301
2018-10-10 09:00:00,141.0,205.0,137.0,150.0,12175824.93776264,1972417998.483862
2018-10-11 09:00:00,150.0,150.0,126.0,130.0,3044322.22680391,423600925.4464323
2018-10-12 09:00:00,130.0,139.0,124.0,133.0,1011068.69325147,133203459.36381657
2018-10-13 09:00:00,133.0,146.0,133.0,137.0,1464639.94970533,203453601.58345023
2018-10-14 09:00:00,137.0,141.0,134.0,135.0,772148.90364935,105551240.19437014
2018-10-15 09:00:00,135.0,166.0,134.0,148.0,10632289.75959828,1617174501.5275416
2018-10-16 09:00:00,148.0,150.0,141.0,145.0,1356765.18266404,195251845.33637914
2018-10-17 09:00:00,144.0,156.0,142.0,147.0,1672012.5300328,247918207.58827224
2018-10-18 09:00:00,146.0,151.0,144.0,146.0,616264.61995309,90792186.3631494
2018-10-19 09:00:00,148.0,158.0,145.0,154.0,4245363.26267086,646360206.5702168
2018-10-20 09:00:00,154.0,162.0,150.0,160.0,1539047.63739352,241573075.63801536
2018-10-21 09:00:00,160.0,163.0,152.0,154.0,1381501.99923158,215881331.1334046
2018-10-22 09:00:00,153.0,154.0,147.0,153.0,1817616.03710966,273007686.8128941
2018-10-23 09:00:00,153.0,153.0,148.0,152.0,663389.79120357,100277054.15420642
2018-10-24 09:00:00,151.0,154.0,150.0,151.0,469146.32813883,71148572.8140855
2018-10-25 09:00:00,153.0,154.0,146.0,146.0,792338.24188027,118080681.33147395
2018-10-26 09:00:00,148.0,154.0,144.0,152.0,1980925.55931738,296261885.7436615
2018-10-27 09:00:00,152.0,166.0,151.0,156.0,2170740.54995899,345549093.70315725
2018-10-28 09:00:00,156.0,163.0,151.0,161.0,980383.51266623,153492744.17437398
2018-10-29 09:00:00,162.0,163.0,142.0,147.0,961802.52060784,145181112.29768774
2018-10-30 09:00:00,148.0,155.0,143.0,153.0,575927.04045262,85713392.54260008
2018-10-31 09:00:00,152.0,158.0,148.0,157.0,379009.62819304,57837707.3990147
2018-11-01 09:00:00,157.0,171.0,155.0,163.0,1027561.91917717,167250968.77249375
2018-11-02 09:00:00,164.0,176.0,161.0,165.0,682406.36412557,113650540.8164205
2018-11-03 09:00:00,165.0,177.0,165.0,168.0,2232204.24905616,381788421.6477342
2018-11-04 09:00:00,168.0,172.0,160.0,161.0,989184.09904458,162407475.4879927
2018-11-05 09:00:00,161.0,164.0,157.0,158.0,455517.60953942,72618673.82393607
2018-11-06 09:00:00,158.0,161.0,151.0,155.0,635481.38300194,98882081.86705327
2018-11-07 09:00:00,154.0,177.0,153.0,158.0,7392954.34632834,1234621994.7685893
2018-11-08 09:00:00,158.0,159.0,150.0,154.0,1483899.81426848,228718586.28171653
2018-11-09 09:00:00,154.0,155.0,148.0,150.0,452620.59895647,68472288.12795901
2018-11-10 09:00:00,151.0,151.0,147.0,150.0,182981.86792919,27219573.86307356
2018-11-11 09:00:00,151.0,151.0,146.0,146.0,688508.22773076,102401887.81039043
2018-11-12 09:00:00,146.0,147.0,141.0,143.0,369320.00974293,53154629.49525789
2018-11-13 09:00:00,144.0,150.0,141.0,144.0,715715.83393713,103619938.50830843
2018-11-14 09:00:00,144.0,149.0,115.0,123.0,787725.69281151,104518373.1001196
2018-11-15 09:00:00,124.0,125.0,109.0,114.0,852412.6572532,96461239.41721487
2018-11-16 09:00:00,114.0,116.0,110.0,112.0,325650.41821282,36978417.49064904
2018-11-17 09:00:00,113.0,115.0,109.0,111.0,211427.13915984,23460676.19486154
2018-11-18 09:00:00,111.0,113.0,111.0,113.0,228557.55377096,25609002.3826524
2018-11-19 09:00:00,113.0,113.0,85.2,86.7,1580303.00971013,154257476.07162362
2018-11-20 09:00:00,86.7,101.0,72.4,83.4,1110840.74075906,93591754.42539354
2018-11-21 09:00:00,85.4,97.3,79.9,85.5,1146830.87533204,97401227.01707497
2018-11-22 09:00:00,86.3,89.6,76.7,77.3,825782.12042144,69473724.92110854
2018-11-23 09:00:00,77.5,80.1,73.0,76.6,319819.1905918,24210940.4269149
2018-11-24 09:00:00,76.6,77.7,66.0,67.8,416201.91408111,30604590.37275432
2018-11-25 09:00:00,67.8,69.0,58.5,61.9,527223.14668336,34024302.58305659
2018-11-26 09:00:00,67.7,70.9,60.3,64.2,654833.10172321,44053178.07590408
2018-11-27 09:00:00,64.5,66.9,60.2,65.2,305910.62159245,19480113.08872877
2018-11-28 09:00:00,65.6,79.1,65.6,75.0,1952318.22633688,139272357.5517844
2018-11-29 09:00:00,75.7,84.0,71.9,79.0,2207765.42504104,175546849.02084625
2018-11-30 09:00:00,78.5,82.0,70.3,72.2,567515.53628265,43570776.50710687
2018-12-01 09:00:00,75.9,80.0,71.5,77.2,531820.21370268,39710075.01752832
2018-12-02 09:00:00,77.3,79.5,75.0,79.5,701796.54077697,54595059.83268579
2018-12-03 09:00:00,79.5,92.0,68.8,70.1,4950695.21839125,405942094.2745024
2018-12-04 09:00:00,70.1,74.4,67.2,69.2,1022567.32627163,72235002.31285328
2018-12-05 09:00:00,69.2,74.2,67.3,67.9,1178362.45269506,83281166.04800908
2018-12-06 09:00:00,67.9,71.0,60.3,60.3,682832.97323898,45577563.41109533
2018-12-07 09:00:00,60.2,68.0,53.8,64.3,933469.3611888,57808288.84959943
2018-12-08 09:00:00,64.3,69.5,59.6,61.8,1197002.76555451,77790656.52060737
2018-12-09 09:00:00,62.0,68.1,61.2,63.1,348248.33506996,21945812.2432102
2018-12-10 09:00:00,64.0,67.9,62.0,62.4,284677.36296266,18450178.44281476
2018-12-11 09:00:00,62.6,63.4,57.8,59.3,716134.92518678,43202107.21831324
2018-12-12 09:00:00,59.6,63.0,59.6,60.4,137819.3591045,8352693.84863058
2018-12-13 09:00:00,60.4,62.5,56.3,56.3,170804.46972177,10150670.07273971
2018-12-14 09:00:00,56.3,58.0,53.4,53.6,87230.05756605,4838345.1194405
2018-12-15 09:00:00,53.6,56.9,52.6,52.6,307381.25436182,16693361.47020484
2018-12-16 09:00:00,52.8,55.3,52.6,54.1,103294.27397505,5618855.36418859
2018-12-17 09:00:00,54.1,59.0,53.4,57.8,192308.12232622,10760940.10295066
2018-12-18 09:00:00,57.8,60.5,56.1,58.8,297934.21046493,17290719.79998969
2018-12-19 09:00:00,59.4,66.5,58.8,60.1,526016.65300158,33018765.81794478
2018-12-20 09:00:00,60.1,69.6,59.9,67.3,237015.20574481,15402711.51071402
2018-12-21 09:00:00,67.5,70.3,62.5,63.9,490536.71822313,32082245.34145494
2018-12-22 09:00:00,64.1,69.0,63.2,66.1,1662926.346964,109255027.97466522
2018-12-23 09:00:00,66.8,68.9,64.6,65.8,261479.44767377,17462768.86938969
2018-12-24 09:00:00,66.7,78.3,66.6,68.3,2530051.63359052,182651797.79880145
2018-12-25 09:00:00,68.3,76.6,60.2,61.2,5637047.08417495,391141846.67633647
2018-12-26 09:00:00,61.2,64.6,60.0,62.8,959561.40566997,59261057.17268078
2018-12-27 09:00:00,62.9,65.5,56.6,59.8,663223.76939066,39392633.88118698
2018-12-28 09:00:00,59.4,63.2,56.0,62.0,766317.80901285,45322844.17218414
2018-12-29 09:00:00,62.3,63.0,59.0,62.3,513014.6399269,31560625.6009297
2018-12-30 09:00:00,62.3,62.5,59.4,60.6,374492.44281038,22660826.60477988
2018-12-31 09:00:00,60.7,62.9,41.2,60.0,424377.9563958,25520792.01219049
2019-01-01 09:00:00,60.0,60.9,56.3,60.2,669654.56322872,38665394.1553777
2019-01-02 09:00:00,60.2,62.1,59.5,61.4,430764.05222193,26028212.19176026
2019-01-03 09:00:00,61.4,62.0,59.8,60.4,316759.14197643,19184963.85419436
2019-01-04 09:00:00,60.4,62.0,59.8,61.5,405527.86162776,24657119.91449126
2019-01-05 09:00:00,61.6,63.0,60.8,60.8,379141.27112914,23360656.57690034
2019-01-06 09:00:00,61.0,65.9,60.1,64.3,703903.27205555,44382161.9742795
2019-01-07 09:00:00,64.7,65.5,62.0,63.2,865355.45371904,54843885.57597892
2019-01-08 09:00:00,63.3,63.4,61.1,62.6,252700.23767381,15688041.42764953
2019-01-09 09:00:00,62.6,65.3,62.1,62.5,1051525.53483324,65889381.74704501
2019-01-10 09:00:00,62.4,63.5,54.3,55.2,906206.55329248,53994738.15258448
2019-01-11 09:00:00,55.6,56.0,54.3,55.0,234052.20883514,12838863.69152097
2019-01-12 09:00:00,55.9,56.4,54.1,55.6,109689.39653146,5983067.31116089
2019-01-13 09:00:00,55.6,59.4,52.3,52.3,261440.34024875,14552641.4697121
2019-01-14 09:00:00,52.9,56.6,52.7,55.3,69437.78650242,3727573.78603205
2019-01-15 09:00:00,55.8,58.2,54.4,54.4,146355.47332461,8105880.62278141
2019-01-16 09:00:00,54.4,63.0,54.3,57.5,248832.62967115,14187699.6841285
2019-01-17 09:00:00,58.4,63.7,56.9,62.3,2300634.86939342,137058184.65444154
2019-01-18 09:00:00,62.3,62.3,58.2,58.7,242080.41697273,14515468.30736483
