,open,high,low,close,volume,value
2018-03-22 09:00:00,7600.0,7990.0,6890.0,7780.0,25941362.53340436,192561563396.38968
2018-03-23 09:00:00,7775.0,9190.0,7010.0,7640.0,32650862.93102893,244898364372.25757
2018-03-24 09:00:00,7640.0,7880.0,7270.0,7300.0,8277845.38915948,63082472589.81995
2018-03-25 09:00:00,7300.0,7525.0,7165.0,7220.0,4565251.7795515,33433542913.538784
2018-03-26 09:00:00,7220.0,7285.0,5940.0,6420.0,7577286.62517489,50446090677.49774
2018-03-27 09:00:00,6425.0,7145.0,5715.0,6455.0,20386944.99942716,133487178403.46405
2018-03-28 09:00:00,6450.0,7070.0,6265.0,6820.0,15663891.84428608,106209027460.92493
2018-03-29 09:00:00,6820.0,7070.0,6440.0,6605.0,10621910.02708137,71264219916.58629
2018-03-30 09:00:00,6595.0,6800.0,6215.0,6645.0,9035491.17165479,59425200768.90173
2018-03-31 09:00:00,6645.0,6770.0,6505.0,6555.0,2286684.66318441,15219879988.292543
2018-04-01 09:00:00,6560.0,6615.0,5645.0,6150.0,4436608.90967039,27016077399.08694
2018-04-02 09:00:00,6150.0,6485.0,5970.0,6340.0,3975872.59700132,24819113693.275425
2018-04-03 09:00:00,6335.0,6710.0,6230.0,6600.0,5374588.17390824,34720115374.002525
2018-04-04 09:00:00,6600.0,6630.0,6050.0,6220.0,3561059.83145064,22533890025.19402
2018-04-05 09:00:00,6220.0,7050.0,5900.0,6915.0,12211000.25003584,80032908260.89818
2018-04-06 09:00:00,6915.0,6950.0,6090.0,6395.0,8586017.81739411,55727509511.395905
2018-04-07 09:00:00,6395.0,6530.0,6280.0,6400.0,2197874.15034796,14098649458.582323
2018-04-08 09:00:00,6400.0,6525.0,6315.0,6455.0,1466708.54272976,9397598113.162191
2018-04-09 09:00:00,6455.0,6575.0,6285.0,6415.0,2152655.05347828,13851966978.029861
2018-04-10 09:00:00,6420.0,6575.0,6270.0,6490.0,1837948.17434171,11831800774.236773
2018-04-11 09:00:00,6490.0,9500.0,6450.0,9090.0,37190811.79901082,292491220152.5243
2018-04-12 09:00:00,9100.0,9620.0,8250.0,9090.0,28815867.96963603,262175638238.18402
2018-04-13 09:00:00,9090.0,9970.0,8710.0,9315.0,16079130.44783005,151947865131.22076
2018-04-14 09:00:00,9315.0,9505.0,8360.0,9010.0,13007528.51720554,116298171556.964
2018-04-15 09:00:00,9010.0,9085.0,7570.0,8790.0,14908777.07703799,126198045466.22884
2018-04-16 09:00:00,8795.0,8875.0,8365.0,8680.0,3550920.44445257,30586936774.663692
2018-04-17 09:00:00,8680.0,9580.0,8625.0,9100.0,9744570.32453766,90009175040.17477
2018-04-18 09:00:00,9100.0,9730.0,9065.0,9565.0,3140257.12953319,29340347418.314865
2018-04-19 09:00:00,9565.0,10310.0,9460.0,10190.0,4335697.80423779,42731110544.14966
2018-04-20 09:00:00,10180.0,12660.0,9980.0,12360.0,10500298.73769034,119731938677.4146
2018-04-21 09:00:00,12360.0,13300.0,11000.0,12080.0,8632201.51410621,103292648473.11882
2018-04-22 09:00:00,12090.0,12960.0,11590.0,12330.0,9265904.1635731,115640102696.05373
2018-04-23 09:00:00,12330.0,12920.0,12200.0,12670.0,4028111.09758546,50726392994.966
2018-04-24 09:00:00,12680.0,17450.0,12670.0,16550.0,31693071.92703926,471716735887.75555
2018-04-25 09:00:00,16550.0,17350.0,14580.0,15980.0,25107517.45485904,399707941836.6027
2018-04-26 09:00:00,15980.0,16980.0,15180.0,16900.0,9239993.44102671,149341393734.0498
2018-04-27 09:00:00,16900.0,19490.0,16280.0,18220.0,14142067.75420334,254102774777.97974
2018-04-28 09:00:00,18240.0,20960.0,18050.0,20170.0,14559957.65260869,290097282148.5765
2018-04-29 09:00:00,20170.0,25170.0,20170.0,23230.0,32732291.10102569,741179223343.755
2018-04-30 09:00:00,23230.0,23520.0,18270.0,19220.0,32462319.82716765,659652538456.2074
2018-05-01 09:00:00,19220.0,20690.0,17620.0,20350.0,29726083.1155547,560323176897.4921
2018-05-02 09:00:00,20350.0,21300.0,19870.0,20810.0,14761508.32809641,302912316344.2719
2018-05-03 09:00:00,20830.0,21030.0,18880.0,19430.0,14066449.97312944,277596236992.6997
2018-05-04 09:00:00,19430.0,19880.0,18000.0,18770.0,9785042.64004123,184920788523.28928
2018-05-05 09:00:00,18760.0,20420.0,18650.0,19440.0,10803368.86631382,213127141435.59988
2018-05-06 09:00:00,19450.0,19770.0,18390.0,19250.0,8908546.46380059,170077675690.47766
2018-05-07 09:00:00,19250.0,20380.0,18650.0,19870.0,13553356.05472871,265095070693.083
2018-05-08 09:00:00,19850.0,20810.0,19680.0,19980.0,8487183.16574899,171200798047.97955
2018-05-09 09:00:00,19990.0,20100.0,18910.0,19800.0,8080167.53952363,157891347081.7046
2018-05-10 09:00:00,19800.0,20530.0,19020.0,19180.0,6645548.32695787,132437175337.55795
2018-05-11 09:00:00,19190.0,19570.0,15300.0,16280.0,27401371.46811722,466639672316.00134
2018-05-12 09:00:00,16280.0,16830.0,14170.0,15650.0,35228153.18804806,543380461586.42584
2018-05-13 09:00:00,15640.0,16870.0,15070.0,16510.0,17292189.41200779,276415883715.3949
2018-05-14 09:00:00,16520.0,16690.0,14920.0,15620.0,16047151.30992395,253411551238.81006
2018-05-15 09:00:00,15620.0,15950.0,14020.0,14410.0,9179757.89248409,139320758851.61716
2018-05-16 09:00:00,14400.0,14750.0,13220.0,14120.0,13122268.54473928,180772647511.88632
2018-05-17 09:00:00,14110.0,15550.0,13520.0,13850.0,15612809.25658645,229003480255.4771
2018-05-18 09:00:00,13860.0,14610.0,13320.0,14340.0,9800413.19693956,136944682169.09094
2018-05-19 09:00:00,14350.0,14750.0,13940.0,14480.0,6214453.2653886,89057179028.38664
2018-05-20 09:00:00,14480.0,15530.0,14320.0,15330.0,8681760.69834372,130580862192.55333
2018-05-21 09:00:00,15330.0,15680.0,14620.0,14930.0,8439826.16159956,127804332977.82771
2018-05-22 09:00:00,14920.0,14940.0,13540.0,13580.0,6863997.19745538,97739303726.35327
