,open,high,low,close,volume,value
2017-09-25 09:00:00,11900.0,12200.0,11800.0,12100.0,0.0212,255.485
2017-09-26 09:00:00,12150.0,13600.0,12050.0,12850.0,0.0517,652.17
2017-09-27 09:00:00,12750.0,14550.0,12700.0,14250.0,0.0502,680.28
2017-09-28 09:00:00,14250.0,15600.0,13900.0,14500.0,0.0498,718.74
2017-09-29 09:00:00,14500.0,15150.0,13650.0,14150.0,0.0523,745.74
2017-09-30 09:00:00,14150.0,14950.0,14150.0,14750.0,0.0525,771.46
2017-10-01 09:00:00,14750.0,14900.0,14350.0,14550.0,0.0524,762.58
2017-10-02 09:00:00,14550.0,14750.0,14100.0,14150.0,0.0524,756.41
2017-10-03 09:00:00,14250.0,14300.0,13400.0,14150.0,0.0488,677.945
2017-10-04 09:00:00,14150.0,14350.0,13600.0,13700.0,0.0465,646.935
2017-10-05 09:00:00,13650.0,13950.0,13350.0,13600.0,0.0454,617.41
2017-10-06 09:00:00,13600.0,14200.0,13500.0,14150.0,0.0499,691.61
2017-10-07 09:00:00,14200.0,14250.0,13700.0,14050.0,0.0521,724.33
2017-10-08 09:00:00,14050.0,14150.0,13450.0,13700.0,0.0519,721.635
2017-10-09 09:00:00,13750.0,13900.0,12800.0,13000.0,0.0519,701.56
2017-10-10 09:00:00,13100.0,13350.0,12800.0,13100.0,0.0515,676.325
2017-10-11 09:00:00,13200.0,13350.0,12950.0,13200.0,0.0513,674.365
2017-10-12 09:00:00,13200.0,13750.0,12900.0,13700.0,0.0512,683.265
2017-10-13 09:00:00,13600.0,14150.0,13150.0,13800.0,0.0511,698.41
2017-10-14 09:00:00,13750.0,14200.0,13500.0,13800.0,0.0516,712.2
2017-10-15 09:00:00,13850.0,14200.0,13100.0,13500.0,0.0514,698.68
2017-10-16 09:00:00,13400.0,13750.0,13200.0,13350.0,0.0503,677.065
2017-10-17 09:00:00,13450.0,14300.0,13200.0,13500.0,0.0593,805.035
2017-10-18 09:00:00,13550.0,13650.0,12400.0,13200.0,81.0195,1041858.345
2017-10-19 09:00:00,13250.0,13300.0,12600.0,12900.0,235.0,3041000.0
2017-10-20 09:00:00,12800.0,13100.0,12550.0,12850.0,64.94,839390.0
