,open,high,low,close,volume,value
2019-09-17 09:00:00,112.0,648.0,112.0,146.0,345002439.20402175,89354334370.78802
2019-09-18 09:00:00,147.0,147.0,105.0,107.0,113122511.13843001,14096438451.481087
2019-09-19 09:00:00,107.0,107.0,64.8,70.2,174220293.88315842,14272386701.88873
2019-09-20 09:00:00,70.2,73.3,56.6,62.6,181951610.3092501,11213478116.015032
2019-09-21 09:00:00,62.5,67.8,53.9,57.6,135391903.44955772,8191829248.0423975
2019-09-22 09:00:00,57.5,58.4,46.1,48.0,134651551.64706475,6723538610.246522
2019-09-23 09:00:00,47.8,47.9,42.2,44.6,103916209.58196804,4592250798.7495365
2019-09-24 09:00:00,44.6,52.8,33.9,35.1,188919412.1470242,8763825578.918156
2019-09-25 09:00:00,35.6,37.8,30.3,36.0,90326137.5485568,3103868478.265702
2019-09-26 09:00:00,36.1,37.5,32.0,34.9,38213041.48281866,1362390006.8107002
2019-09-27 09:00:00,34.9,45.3,33.2,45.1,134286344.73971897,5498479002.93349
2019-09-28 09:00:00,45.0,50.7,44.1,47.9,127911000.07154477,6111789719.214732
2019-09-29 09:00:00,47.9,49.8,38.6,43.1,142567200.06372848,6397258342.481972
2019-09-30 09:00:00,43.1,51.7,41.7,45.7,189933012.10658517,8905444966.281963
2019-10-01 09:00:00,45.6,47.9,43.9,46.9,67500886.53781027,3131263712.0068593
2019-10-02 09:00:00,46.9,47.7,43.1,45.2,46437043.84553205,2098702331.5891604
2019-10-03 09:00:00,45.2,47.5,43.9,45.4,55492926.41900786,2542963461.0308046
2019-10-04 09:00:00,45.5,47.3,43.9,46.6,53133529.95375571,2435572065.051846
2019-10-05 09:00:00,46.8,51.6,45.9,50.0,118715422.36221558,5829468750.17592
2019-10-06 09:00:00,50.0,50.2,45.1,45.7,23300206.80809306,1112790474.8334765
2019-10-07 09:00:00,45.7,46.5,43.3,45.5,22553562.51856493,1006929976.9711958
2019-10-08 09:00:00,45.4,46.9,44.1,46.3,22902712.45960657,1043595605.7734958
2019-10-09 09:00:00,46.3,47.5,45.5,46.5,25070623.59939602,1166877381.8433833
2019-10-10 09:00:00,46.5,46.7,43.7,45.4,10265255.46225303,460237396.1755607
2019-10-11 09:00:00,45.4,45.4,41.8,42.7,9788738.27347924,424424157.22670674
2019-10-12 09:00:00,42.7,43.1,41.2,41.8,4914367.58025563,207077790.1082141
2019-10-13 09:00:00,41.6,42.6,39.1,39.4,11302663.41593507,460518698.8360307
2019-10-14 09:00:00,39.4,42.3,38.2,41.4,19727807.36812321,799273589.9615635
2019-10-15 09:00:00,41.3,42.1,40.1,41.4,5881803.4568197,243923918.0350076
2019-10-16 09:00:00,41.0,45.6,40.0,44.4,28224321.24534112,1231762774.5701332
2019-10-17 09:00:00,44.4,44.5,40.4,41.5,12421171.2796062,519225115.3184314
2019-10-18 09:00:00,41.5,42.7,39.9,40.3,16033347.3478744,661695576.5955753
2019-10-19 09:00:00,40.3,40.8,38.9,39.9,9378849.61442075,373556853.2625266
2019-10-20 09:00:00,39.9,40.2,38.4,39.3,7037336.46668543,275337291.1210221
2019-10-21 09:00:00,39.4,40.7,38.8,39.4,10657824.89903663,425405123.3559832
2019-10-22 09:00:00,39.3,39.9,37.2,37.2,11373071.29666981,434267888.38118076
2019-10-23 09:00:00,37.3,37.8,31.4,33.0,29175739.19885979,998171670.5950084
2019-10-24 09:00:00,32.9,35.0,31.4,33.7,18566615.25332848,609870723.8935302
2019-10-25 09:00:00,33.7,37.6,33.5,35.8,38509563.17787627,1335800338.125668
2019-10-26 09:00:00,35.8,38.5,33.9,35.4,29038996.50897374,1056630526.4829203
2019-10-27 09:00:00,35.4,37.4,34.0,36.6,17266416.10597026,612856160.6977528
2019-10-28 09:00:00,36.6,38.9,35.1,36.8,33402900.6882003,1224866757.023692
2019-10-29 09:00:00,36.8,39.9,36.7,39.5,32889958.75452012,1259134451.8044958
2019-10-30 09:00:00,39.6,39.7,37.0,38.4,9780740.72244184,374525524.88067484
2019-10-31 09:00:00,38.4,39.9,36.5,38.8,15325445.20709079,587180945.1552585
2019-11-01 09:00:00,38.8,41.6,37.8,40.5,23049009.8688469,918588166.7072948
2019-11-02 09:00:00,40.7,40.7,38.9,40.2,5985473.56505008,236428390.8608565
2019-11-03 09:00:00,40.2,43.4,39.0,43.3,12019635.28850703,493534273.163715
2019-11-04 09:00:00,43.3,45.7,41.4,42.2,29336050.27004285,1282975056.243805
2019-11-05 09:00:00,42.0,42.9,40.6,42.2,8215390.40393212,343296703.9066525
2019-11-06 09:00:00,42.2,42.2,38.6,39.5,8619610.31633288,345680261.7895556
2019-11-07 09:00:00,39.5,40.0,36.6,38.0,5807662.58005985,221762168.11048272
2019-11-08 09:00:00,38.1,41.2,38.0,38.1,16069551.73051881,632168312.4899101
2019-11-09 09:00:00,38.2,45.6,37.8,43.0,42972313.36260416,1827534058.0139918
2019-11-10 09:00:00,43.0,43.0,40.5,41.3,23306859.80446411,962732146.7944775
2019-11-11 09:00:00,41.3,41.6,39.0,40.2,9308300.81559568,373724424.69495845
2019-11-12 09:00:00,40.1,41.3,39.6,40.9,5153466.57482171,208370282.894549
2019-11-13 09:00:00,40.9,41.2,38.8,41.1,19829320.75398119,792575481.5948119
2019-11-14 09:00:00,41.0,41.9,38.1,39.6,8085018.79827951,324742213.5666661
2019-11-15 09:00:00,39.6,40.2,37.0,38.0,7208008.05393315,277568158.3741696
2019-11-16 09:00:00,38.1,38.8,37.2,38.5,3837009.80638771,145900800.31445286
2019-11-17 09:00:00,38.1,41.3,38.0,38.5,12175592.89605848,482463293.7868142
2019-11-18 09:00:00,38.5,38.6,35.4,36.1,6167315.23852305,229437870.30201727
2019-11-19 09:00:00,36.2,36.4,32.8,35.4,7370715.59441968,254416179.4531676
2019-11-20 09:00:00,35.4,36.8,33.9,34.7,5298462.31822026,185070171.1024943
2019-11-21 09:00:00,34.4,34.7,31.0,32.4,4866215.89635277,157680251.3894548
2019-11-22 09:00:00,32.4,33.9,29.9,31.3,4463923.87251277,143880196.64331615
2019-11-23 09:00:00,31.3,33.5,28.9,30.8,35913952.25570277,1090274510.67743
2019-11-24 09:00:00,30.8,31.1,28.4,28.6,7296766.56000058,215289557.57026675
2019-11-25 09:00:00,28.6,29.9,26.0,28.6,8192297.20975691,226955069.695655
2019-11-26 09:00:00,28.4,29.9,27.6,28.7,6818412.26772367,194751067.54285368
2019-11-27 09:00:00,28.7,35.5,27.6,34.8,33659441.74369746,1082448498.7878368
2019-11-28 09:00:00,34.8,41.4,32.2,38.9,32313774.01550786,1221363310.5387087
2019-11-29 09:00:00,38.9,38.9,33.0,35.0,12302674.66589424,438105275.4597068
2019-11-30 09:00:00,35.0,37.9,32.4,33.7,11185519.31865514,396705150.16853356
2019-12-01 09:00:00,33.8,36.1,32.4,35.5,5445683.5979251,188536841.49773008
2019-12-02 09:00:00,35.4,36.4,32.7,33.8,3836761.5775677,130280235.65143938
2019-12-03 09:00:00,33.6,35.0,32.0,32.9,5955910.47466318,195538752.2917249
2019-12-04 09:00:00,32.4,32.9,30.5,31.4,3860467.88721396,120389830.79144518
2019-12-05 09:00:00,31.4,31.4,28.9,29.6,3701332.52439743,108873644.50034972
2019-12-06 09:00:00,29.6,30.5,28.0,29.7,2548919.12667552,74877583.23618805
2019-12-07 09:00:00,29.8,29.9,28.6,29.0,1049789.9235154,30475190.16127883
2019-12-08 09:00:00,29.4,30.3,28.1,30.1,3342029.61778986,96688494.74786395
2019-12-09 09:00:00,30.1,30.5,28.6,29.3,2240985.8788924,66512505.58307959
2019-12-10 09:00:00,29.4,30.0,26.9,27.7,7414775.3053175,205616690.13842574
2019-12-11 09:00:00,27.5,28.3,27.0,27.9,1157685.62335091,31995210.09831235
2019-12-12 09:00:00,27.9,27.9,26.7,27.4,689651.61994081,18741643.04918666
2019-12-13 09:00:00,27.4,29.6,26.7,29.1,7095593.08382306,203141869.43816692
2019-12-14 09:00:00,29.1,29.4,27.0,27.4,5139664.32525961,145138459.36884746
2019-12-15 09:00:00,27.4,27.9,26.7,27.8,1831481.65599792,49954952.2970897
2019-12-16 09:00:00,28.0,28.0,26.1,26.3,2159032.25069429,57778256.44889706
2019-12-17 09:00:00,26.3,26.8,22.8,23.1,4515278.4981817,107740312.34139499
2019-12-18 09:00:00,22.9,24.7,22.4,24.5,5644950.23016081,133664103.31221312
2019-12-19 09:00:00,24.5,24.5,22.9,23.5,2397966.32502287,56064170.29453974
2019-12-20 09:00:00,23.4,24.2,23.0,23.9,1724979.17990109,40606493.36048346
2019-12-21 09:00:00,23.9,23.9,23.0,23.4,1335364.07090831,31338214.21805216
2019-12-22 09:00:00,23.4,24.0,23.2,23.7,2143086.81368915,50539756.64764531
2019-12-23 09:00:00,23.6,23.7,22.3,23.0,8837113.92736606,201248841.74579117
2019-12-24 09:00:00,23.0,23.7,22.7,23.2,2521284.59441412,58820025.95545436
2019-12-25 09:00:00,23.3,23.4,22.8,23.3,1177222.59483301,27159887.28635331
2019-12-26 09:00:00,23.3,23.9,22.5,22.8,2881089.22759557,66747133.33260316
2019-12-27 09:00:00,22.8,23.6,22.3,22.9,3927625.52865979,90281880.12636583
2019-12-28 09:00:00,22.9,23.8,22.8,23.5,1614829.54997371,37462172.39607456
2019-12-29 09:00:00,23.5,24.1,22.7,23.2,3085819.46807102,71980631.13135695
2019-12-30 09:00:00,23.2,23.6,22.6,22.8,3828670.48377328,88247505.76177958
2019-12-31 09:00:00,22.9,22.9,21.0,21.7,7686371.21056528,166706906.19494557
2020-01-01 09:00:00,21.8,21.8,21.2,21.6,1748173.03837644,37571286.13401513
2020-01-02 09:00:00,21.6,21.7,19.8,20.4,5162472.7018793,106124690.03345628
2020-01-03 09:00:00,20.4,20.8,19.7,20.7,4189984.60430218,85371996.83301754
2020-01-04 09:00:00,20.7,21.4,20.4,20.9,4912149.27948675,102079103.78018878
2020-01-05 09:00:00,20.9,21.5,20.7,20.9,4255732.09485261,89471723.30681147
2020-01-06 09:00:00,21.1,21.4,20.5,21.2,4091409.74527953,85586286.47375862
2020-01-07 09:00:00,21.2,21.2,20.4,20.8,3125040.00059135,64826878.65559524
2020-01-08 09:00:00,20.8,20.8,20.1,20.2,2059410.17344898,42217362.9782539
2020-01-09 09:00:00,20.2,20.6,19.8,20.1,1626599.30959271,32832714.52437313
2020-01-10 09:00:00,20.3,20.3,19.1,19.9,2816543.76436101,55620031.72973717
2020-01-11 09:00:00,19.9,20.1,19.4,19.9,1506798.82370172,29811076.61556132
2020-01-12 09:00:00,19.9,20.6,19.7,20.3,3865278.79564432,77386432.65525559
2020-01-13 09:00:00,20.3,20.3,19.7,20.1,3836190.01304703,76461105.32331762
2020-01-14 09:00:00,20.1,21.8,19.9,20.8,16462591.18182285,341883168.5528372
2020-01-15 09:00:00,20.8,23.0,20.5,22.5,37672461.33325643,821336665.7996746
2020-01-16 09:00:00,22.5,27.4,22.0,23.9,81049576.31240264,2017707599.4504707
2020-01-17 09:00:00,23.9,25.7,23.1,25.0,26420525.90367726,642925731.9765421
2020-01-18 09:00:00,25.0,25.3,23.2,23.9,17123610.43870577,415183644.7911883
2020-01-19 09:00:00,23.9,24.5,21.5,22.2,19199166.78475952,442467751.2009924
2020-01-20 09:00:00,22.3,22.6,21.8,22.4,5455274.88920765,121750222.90940805
2020-01-21 09:00:00,22.4,25.6,22.2,24.6,28596952.4772602,687887578.5895981
2020-01-22 09:00:00,24.6,26.4,24.0,26.0,24725198.84279887,626358547.2074133
2020-01-23 09:00:00,26.0,27.2,23.5,25.0,19472488.57747342,493218502.2797148
2020-01-24 09:00:00,25.0,26.2,24.2,26.2,8633902.14189736,217513734.85728025
2020-01-25 09:00:00,26.2,26.2,24.8,25.8,3644237.89207217,92258102.59114298
2020-01-26 09:00:00,25.8,25.8,24.6,25.2,5642840.6931271,140840461.53305623
2020-01-27 09:00:00,25.3,25.3,24.2,24.8,7047015.65155026,173965926.90799016
2020-01-28 09:00:00,24.8,25.9,24.1,25.1,16017692.88570059,399951437.4193208
2020-01-29 09:00:00,25.1,27.7,24.5,26.1,43642918.01373282,1130856543.1053858
2020-01-30 09:00:00,26.1,26.4,24.9,26.4,13301284.44222794,339392627.7284728
2020-01-31 09:00:00,26.1,26.4,25.1,26.0,12265800.95988494,314419280.4476759
2020-02-01 09:00:00,26.0,26.5,25.5,26.2,10559777.05634955,272367635.3807414
2020-02-02 09:00:00,26.2,26.8,25.6,26.7,19994015.96328701,522481058.8218801
2020-02-03 09:00:00,26.5,26.9,26.1,26.8,10076133.5605794,267006643.4181391
2020-02-04 09:00:00,26.9,29.6,26.2,28.6,49473979.5846575,1394002969.8873184
2020-02-05 09:00:00,28.8,32.9,27.3,29.2,87708921.2717798,2694312587.743483
2020-02-06 09:00:00,29.2,36.3,28.1,32.4,147127927.88072154,4944385051.4544525
2020-02-07 09:00:00,32.4,32.4,30.8,31.7,19417597.35598939,614221743.9690233
2020-02-08 09:00:00,31.7,31.7,30.0,30.5,9464664.75831128,289531407.7692963
2020-02-09 09:00:00,30.5,32.2,30.2,31.4,26268769.87391833,820781299.7871428
2020-02-10 09:00:00,31.4,31.4,29.6,30.4,7607761.12396659,231318524.71672195
2020-02-11 09:00:00,30.3,43.3,29.6,41.7,249407228.98175275,9396460212.167917
2020-02-12 09:00:00,41.1,292.0,40.1,246.0,1657568050.7753503,231727967094.4478
2020-02-13 09:00:00,246.0,687.0,200.0,265.0,1168027630.9739423,441069330657.14624
2020-02-14 09:00:00,265.0,349.0,235.0,259.0,225548983.52835014,61240380919.15572
2020-02-15 09:00:00,259.0,259.0,170.0,177.0,162399262.74769,35910970482.86231
2020-02-16 09:00:00,177.0,178.0,127.0,150.0,123341055.10406196,18130521581.882114
2020-02-17 09:00:00,150.0,196.0,127.0,167.0,238065595.1916202,38598239550.68387
2020-02-18 09:00:00,168.0,168.0,136.0,149.0,53704821.58294244,8164632578.169946
2020-02-19 09:00:00,149.0,169.0,143.0,145.0,56191693.51985619,8746678198.041977
2020-02-20 09:00:00,145.0,161.0,129.0,137.0,40272837.55547841,5907686102.4780035
2020-02-21 09:00:00,137.0,141.0,110.0,113.0,34132692.14741392,4124600190.6592627
2020-02-22 09:00:00,113.0,129.0,113.0,122.0,40239481.88292247,4910678054.84175
