,open,high,low,close,volume,value
2018-09-14 09:00:00,650.0,3000.0,650.0,811.0,21711805.62767645,20343539379.176434
2018-09-15 09:00:00,811.0,1040.0,805.0,1000.0,18550577.99645235,17488354515.007557
2018-09-16 09:00:00,1000.0,1110.0,920.0,928.0,14650638.32716405,14622570534.504885
2018-09-17 09:00:00,928.0,929.0,794.0,812.0,4792640.58998,4166297551.320667
2018-09-18 09:00:00,811.0,866.0,794.0,823.0,2933461.32919096,2439927125.708592
2018-09-19 09:00:00,820.0,823.0,759.0,792.0,1150151.01927907,916639751.7235312
2018-09-20 09:00:00,792.0,813.0,767.0,805.0,848730.35469804,670231812.6316087
2018-09-21 09:00:00,803.0,891.0,775.0,841.0,1449743.36491673,1203709571.9407184
2018-09-22 09:00:00,841.0,842.0,775.0,785.0,468969.49880381,375423226.1206747
2018-09-23 09:00:00,783.0,863.0,777.0,841.0,621735.35792661,511294226.39832854
2018-09-24 09:00:00,840.0,880.0,784.0,808.0,496577.74282026,414914198.08733374
2018-09-25 09:00:00,799.0,910.0,749.0,798.0,1931051.00960253,1594818214.2301557
2018-09-26 09:00:00,798.0,835.0,787.0,806.0,558992.31194101,449786632.93448704
2018-09-27 09:00:00,791.0,815.0,760.0,808.0,394040.21849324,311282699.21401477
2018-09-28 09:00:00,801.0,814.0,774.0,789.0,290695.35928682,230746682.99779204
2018-09-29 09:00:00,789.0,796.0,775.0,792.0,110874.98218143,86882769.90472773
2018-09-30 09:00:00,791.0,856.0,785.0,794.0,298059.18009213,243182115.03527558
2018-10-01 09:00:00,794.0,853.0,794.0,840.0,384420.12501093,315857927.062948
2018-10-02 09:00:00,840.0,960.0,825.0,870.0,426180.2228083,376301813.10198224
2018-10-03 09:00:00,870.0,912.0,811.0,885.0,481609.62230195,416958999.88853735
2018-10-04 09:00:00,884.0,983.0,866.0,899.0,677078.15491893,633283013.0907907
2018-10-05 09:00:00,898.0,949.0,864.0,905.0,599692.70997048,543562412.9171653
2018-10-06 09:00:00,899.0,905.0,854.0,869.0,135233.81679142,119459282.910892
2018-10-07 09:00:00,862.0,889.0,855.0,882.0,152689.11308709,132718493.00896838
2018-10-08 09:00:00,874.0,886.0,859.0,879.0,99513.92158599,87116937.50907
2018-10-09 09:00:00,879.0,881.0,840.0,857.0,99398.22609562,85826031.4740804
2018-10-10 09:00:00,857.0,988.0,790.0,864.0,1123650.53499103,992933440.3628162
2018-10-11 09:00:00,864.0,864.0,740.0,740.0,646289.07855567,506038341.8990943
2018-10-12 09:00:00,740.0,764.0,713.0,740.0,405612.62358845,298702619.7012865
2018-10-13 09:00:00,740.0,777.0,733.0,767.0,176367.63275074,132640972.8795881
2018-10-14 09:00:00,762.0,853.0,755.0,774.0,1273242.26132397,1030664988.1152675
2018-10-15 09:00:00,774.0,812.0,747.0,779.0,457984.75143785,357286307.5692786
2018-10-16 09:00:00,779.0,824.0,776.0,792.0,396068.10195596,314870876.19636333
2018-10-17 09:00:00,792.0,870.0,788.0,800.0,1703360.26853821,1406790085.3132885
2018-10-18 09:00:00,800.0,857.0,787.0,835.0,699486.85788204,573274090.6562932
2018-10-19 09:00:00,833.0,841.0,799.0,827.0,142158.77725674,116409791.6604814
2018-10-20 09:00:00,827.0,860.0,810.0,850.0,193448.88422741,162003248.5426359
2018-10-21 09:00:00,844.0,968.0,840.0,853.0,2638438.85543192,2417012386.544669
2018-10-22 09:00:00,845.0,892.0,838.0,877.0,740342.35648695,642788042.059466
2018-10-23 09:00:00,877.0,1190.0,862.0,1160.0,6031658.86122815,6286984018.942359
2018-10-24 09:00:00,1160.0,1260.0,1030.0,1130.0,3536579.30863004,4044871213.043883
2018-10-25 09:00:00,1130.0,1180.0,1010.0,1050.0,1725335.70789354,1865182297.654666
2018-10-26 09:00:00,1050.0,1070.0,999.0,1030.0,861256.74510061,889299858.622854
2018-10-27 09:00:00,1020.0,1040.0,947.0,1010.0,751846.32582446,747512714.1931428
2018-10-28 09:00:00,1010.0,1190.0,987.0,1130.0,2472342.77601119,2709197599.047799
2018-10-29 09:00:00,1130.0,1250.0,1030.0,1060.0,4029434.90161571,4641813500.195828
2018-10-30 09:00:00,1060.0,1140.0,1020.0,1110.0,1262938.92721441,1357729173.8463974
2018-10-31 09:00:00,1100.0,1150.0,1040.0,1110.0,1165515.13438175,1285931357.9984744
2018-11-01 09:00:00,1100.0,1120.0,1050.0,1120.0,574975.7615977,623818398.399139
2018-11-02 09:00:00,1120.0,1180.0,1110.0,1140.0,1014533.31765241,1159552568.7494256
2018-11-03 09:00:00,1140.0,1310.0,1130.0,1230.0,3182257.43766392,3945932569.6771946
2018-11-04 09:00:00,1230.0,1250.0,1110.0,1140.0,2056335.09824421,2401348270.300393
2018-11-05 09:00:00,1140.0,1150.0,1050.0,1070.0,2146902.1398106,2323224919.3633833
2018-11-06 09:00:00,1070.0,1090.0,1000.0,1070.0,2608583.10881441,2687354105.656479
2018-11-07 09:00:00,1080.0,1100.0,1030.0,1070.0,1033708.31483693,1104146789.0815094
2018-11-08 09:00:00,1070.0,1070.0,1030.0,1070.0,580115.23650452,607475202.9382426
2018-11-09 09:00:00,1060.0,1080.0,1010.0,1010.0,419147.55876661,437197543.89071536
2018-11-10 09:00:00,1010.0,1060.0,1000.0,1050.0,396802.19806123,406175267.66498154
2018-11-11 09:00:00,1050.0,1060.0,1010.0,1020.0,295275.12446108,305157247.3498673
2018-11-12 09:00:00,1030.0,1040.0,950.0,978.0,465956.54704789,458665178.635996
2018-11-13 09:00:00,978.0,978.0,912.0,920.0,545402.84781755,513756434.6574886
2018-11-14 09:00:00,920.0,926.0,753.0,824.0,639658.27881812,548394702.9619036
2018-11-15 09:00:00,824.0,840.0,685.0,757.0,456163.90669086,339031265.0354556
2018-11-16 09:00:00,758.0,798.0,726.0,757.0,258844.43119241,197396903.24436766
2018-11-17 09:00:00,757.0,757.0,700.0,717.0,169571.00216251,121866539.2382429
2018-11-18 09:00:00,718.0,759.0,717.0,752.0,124162.09304731,91142364.14064983
2018-11-19 09:00:00,750.0,752.0,550.0,588.0,362078.79364168,228598423.18148813
2018-11-20 09:00:00,585.0,604.0,451.0,508.0,482212.20058763,250705831.93749186
2018-11-21 09:00:00,506.0,549.0,482.0,521.0,173321.56743402,88626872.43215373
