,open,high,low,close,volume,value
2018-03-23 09:00:00,3700.0,6495.0,3650.0,4465.0,62535393.16321606,263638509557.55563
2018-03-24 09:00:00,4455.0,4760.0,3895.0,3970.0,9495738.62594248,41004709152.073235
2018-03-25 09:00:00,3970.0,4200.0,3765.0,3870.0,4780862.31320491,18626348322.11799
2018-03-26 09:00:00,3875.0,3900.0,3200.0,3390.0,3021369.42226732,10601426428.697401
2018-03-27 09:00:00,3390.0,3550.0,2990.0,3140.0,4482761.79947809,14778049143.261215
2018-03-28 09:00:00,3140.0,3445.0,3060.0,3160.0,2359849.25129407,7571564354.141107
2018-03-29 09:00:00,3155.0,3165.0,2550.0,2620.0,4917819.899791,13912978582.10467
2018-03-30 09:00:00,2620.0,2705.0,2290.0,2460.0,3462320.934597,8586608498.518562
2018-03-31 09:00:00,2455.0,2615.0,2375.0,2410.0,961852.68074752,2407511307.273878
2018-04-01 09:00:00,2410.0,2420.0,2045.0,2250.0,1064130.24754208,2379642952.3063374
2018-04-02 09:00:00,2265.0,2415.0,2165.0,2340.0,1243861.4562205,2853866141.7594385
2018-04-03 09:00:00,2340.0,2745.0,2270.0,2590.0,1412931.86092926,3491913378.7791643
2018-04-04 09:00:00,2590.0,2595.0,2255.0,2270.0,819336.4355872,1996476416.4144444
2018-04-05 09:00:00,2315.0,2315.0,2070.0,2175.0,944827.43954991,2055602318.344675
2018-04-06 09:00:00,2175.0,2350.0,2015.0,2100.0,1361155.11256481,2916350573.2218757
2018-04-07 09:00:00,2095.0,2675.0,2070.0,2240.0,5603889.54045443,13201520063.01736
2018-04-08 09:00:00,2240.0,2330.0,2210.0,2280.0,855483.26408522,1934341022.8306122
2018-04-09 09:00:00,2280.0,2370.0,2120.0,2195.0,705312.92772582,1600815207.852068
2018-04-10 09:00:00,2195.0,2345.0,2120.0,2300.0,549565.74942194,1231252122.4570806
2018-04-11 09:00:00,2300.0,2545.0,2255.0,2480.0,1384077.79914298,3374295740.613709
2018-04-12 09:00:00,2485.0,2965.0,2385.0,2730.0,4936917.83619219,12904314588.560114
2018-04-13 09:00:00,2730.0,2960.0,2630.0,2730.0,1842856.56575032,5176746396.363242
2018-04-14 09:00:00,2730.0,2840.0,2605.0,2690.0,409353.19348071,1122250761.5928824
2018-04-15 09:00:00,2700.0,2965.0,2690.0,2940.0,662947.54129251,1877991265.590316
2018-04-16 09:00:00,2950.0,3215.0,2845.0,3115.0,2287954.31514097,7001833166.178027
2018-04-17 09:00:00,3115.0,3145.0,2990.0,3040.0,613011.96005456,1877160492.7965243
2018-04-18 09:00:00,3040.0,3520.0,3005.0,3465.0,1071181.18004131,3444048767.1488204
2018-04-19 09:00:00,3465.0,3835.0,3355.0,3665.0,978468.14949929,3499557606.512682
2018-04-20 09:00:00,3660.0,3915.0,3300.0,3860.0,1306346.83208839,4789828725.837448
2018-04-21 09:00:00,3860.0,4170.0,3420.0,3860.0,1864380.87947318,7262590217.582022
2018-04-22 09:00:00,3870.0,3920.0,3670.0,3825.0,534857.35783054,2032344750.001271
2018-04-23 09:00:00,3830.0,4300.0,3815.0,4225.0,1528807.70744571,6198840544.312413
2018-04-24 09:00:00,4225.0,5460.0,4215.0,4760.0,8938358.12682766,42177758717.60027
2018-04-25 09:00:00,4755.0,5040.0,3825.0,4115.0,7346131.18998914,32207157831.731865
2018-04-26 09:00:00,4115.0,4650.0,3890.0,4595.0,2478701.51003333,10457342672.169485
2018-04-27 09:00:00,4595.0,5260.0,4400.0,4690.0,6632688.3426447,32400384733.999344
2018-04-28 09:00:00,4695.0,5325.0,4660.0,5165.0,4519356.47478915,23018210289.15943
2018-04-29 09:00:00,5165.0,5260.0,4640.0,5080.0,2822743.42211084,14151216741.709002
2018-04-30 09:00:00,5080.0,5080.0,4550.0,4780.0,1528147.90836488,7374121046.132311
2018-05-01 09:00:00,4775.0,4875.0,4370.0,4750.0,1457271.83532191,6701381120.531503
2018-05-02 09:00:00,4750.0,4830.0,4595.0,4790.0,880504.33399107,4171700621.1677046
2018-05-03 09:00:00,4790.0,5030.0,4700.0,4860.0,1641182.83825165,7951536674.51551
2018-05-04 09:00:00,4860.0,5035.0,4595.0,4985.0,1390216.55011972,6653928061.16955
2018-05-05 09:00:00,4990.0,4990.0,4755.0,4820.0,1121117.06606069,5414752887.554994
2018-05-06 09:00:00,4820.0,4830.0,4500.0,4700.0,950324.75873166,4424891878.925521
2018-05-07 09:00:00,4700.0,4785.0,4375.0,4755.0,754186.09730617,3422626931.9243035
2018-05-08 09:00:00,4760.0,4960.0,4570.0,4875.0,1029555.43496474,4929704571.252754
2018-05-09 09:00:00,4875.0,4875.0,4475.0,4685.0,678634.20443887,3173145606.3430214
2018-05-10 09:00:00,4690.0,4910.0,4170.0,4245.0,1006839.51057068,4642927244.665407
2018-05-11 09:00:00,4235.0,7240.0,3500.0,4450.0,22220220.74143165,105565819973.91081
2018-05-12 09:00:00,4455.0,4670.0,3910.0,4325.0,5223222.05640402,22533729900.732773
2018-05-13 09:00:00,4320.0,4640.0,4170.0,4490.0,2342433.03587643,10261873704.037111
2018-05-14 09:00:00,4485.0,4610.0,4185.0,4440.0,2443851.93727242,10702011459.148388
2018-05-15 09:00:00,4440.0,5050.0,4360.0,4375.0,8710820.34078384,40934426917.36002
2018-05-16 09:00:00,4375.0,4455.0,3980.0,4230.0,2041160.42894594,8550829827.040445
2018-05-17 09:00:00,4230.0,4445.0,3895.0,3960.0,2444603.04010124,10284943979.097233
2018-05-18 09:00:00,3960.0,4020.0,3730.0,4020.0,1650561.18478212,6370526093.301458
2018-05-19 09:00:00,4020.0,4020.0,3830.0,3905.0,785956.22473566,3074753082.6131516
2018-05-20 09:00:00,3905.0,4045.0,3840.0,3985.0,956084.21303132,3761944581.2646527
2018-05-21 09:00:00,3980.0,3990.0,3755.0,3830.0,1218783.39501588,4765667887.771057
2018-05-22 09:00:00,3825.0,3845.0,3365.0,3390.0,1428904.13830838,5149407016.989424
2018-05-23 09:00:00,3390.0,3445.0,2965.0,2995.0,1662893.21550469,5326919762.684831
2018-05-24 09:00:00,2995.0,3160.0,2840.0,3100.0,1263776.24535006,3810175076.801761
2018-05-25 09:00:00,3100.0,3140.0,2900.0,2960.0,727023.00376169,2190297156.204075
2018-05-26 09:00:00,2960.0,3010.0,2865.0,2890.0,321973.89164564,947387860.6552608
2018-05-27 09:00:00,2885.0,2890.0,2700.0,2790.0,826466.93662848,2291705645.070021
2018-05-28 09:00:00,2795.0,2825.0,2420.0,2435.0,1158633.70374287,3010834747.023979
2018-05-29 09:00:00,2435.0,3090.0,2430.0,2895.0,3371032.13597277,9412135319.975498
2018-05-30 09:00:00,2900.0,3145.0,2785.0,2975.0,2621263.21674106,7826650278.58817
2018-05-31 09:00:00,2975.0,3125.0,2855.0,3045.0,1211008.40026125,3605507209.6131997
2018-06-01 09:00:00,3045.0,3150.0,2925.0,2985.0,927198.97151168,2786879565.065996
2018-06-02 09:00:00,2985.0,3180.0,2940.0,3045.0,1314048.85181012,4026081666.2180066
2018-06-03 09:00:00,3045.0,3145.0,3015.0,3080.0,1430280.11175615,4413158616.653662
2018-06-04 09:00:00,3080.0,3150.0,2835.0,2900.0,2266135.25845884,6768669320.607954
2018-06-05 09:00:00,2900.0,3005.0,2780.0,2940.0,1331135.34743687,3818872149.8461947
2018-06-06 09:00:00,2930.0,2940.0,2850.0,2895.0,597415.05967988,1733801749.3690016
2018-06-07 09:00:00,2895.0,2950.0,2825.0,2835.0,578411.24378403,1670083148.9577303
2018-06-08 09:00:00,2835.0,2865.0,2730.0,2835.0,764962.78119147,2133858968.6819737
2018-06-09 09:00:00,2840.0,2840.0,2705.0,2710.0,663611.0147418,1844232723.7528164
2018-06-10 09:00:00,2715.0,2730.0,2250.0,2365.0,1354510.98671108,3397260754.1242166
2018-06-11 09:00:00,2350.0,2400.0,2235.0,2370.0,775172.95385911,1797785898.5807703
2018-06-12 09:00:00,2385.0,2435.0,2050.0,2120.0,1098297.64020596,2494835347.323158
2018-06-13 09:00:00,2120.0,2370.0,2060.0,2210.0,2134274.26815632,4665191377.620817
2018-06-14 09:00:00,2215.0,2600.0,2160.0,2530.0,1479729.12028548,3521516795.877186
2018-06-15 09:00:00,2530.0,2535.0,2260.0,2305.0,723171.90675011,1738259534.444357
2018-06-16 09:00:00,2300.0,2320.0,2190.0,2265.0,1010974.01495868,2272019983.3169045
2018-06-17 09:00:00,2270.0,2340.0,2220.0,2225.0,469069.83333857,1066161766.000252
2018-06-18 09:00:00,2240.0,2375.0,2130.0,2330.0,729635.09343678,1652878932.2900589
2018-06-19 09:00:00,2330.0,2440.0,2280.0,2365.0,534993.72761905,1257883220.4834034
2018-06-20 09:00:00,2365.0,2365.0,2100.0,2295.0,1004042.38175558,2236958963.8184032
2018-06-21 09:00:00,2300.0,2310.0,2215.0,2225.0,297939.82096299,673291403.9174052
2018-06-22 09:00:00,2220.0,2250.0,2020.0,2040.0,610220.02061273,1295037991.6743982
2018-06-23 09:00:00,2030.0,2075.0,1920.0,2000.0,241636.44103902,481203631.7902415
2018-06-24 09:00:00,2000.0,2010.0,1655.0,1815.0,602013.51181764,1097442194.385655
2018-06-25 09:00:00,1815.0,1895.0,1745.0,1865.0,464108.64696561,846380415.4185251
2018-06-26 09:00:00,1855.0,1870.0,1680.0,1715.0,541758.72927817,973024863.5936955
2018-06-27 09:00:00,1715.0,1765.0,1660.0,1755.0,520328.06576688,888119979.1820291
2018-06-28 09:00:00,1755.0,1795.0,1670.0,1675.0,319023.57453306,556221343.208333
2018-06-29 09:00:00,1675.0,1730.0,1580.0,1700.0,539723.48305953,888924395.2204914
