,open,high,low,close,volume,value
2024-02-07 09:00:00,988.0,1045.0,674.1,711.1,652236495.3817815,487427652086.0484
2024-02-08 09:00:00,711.1,774.4,659.3,748.4,665512999.787673,477781084540.0726
2024-02-09 09:00:00,746.6,879.4,735.3,847.6,721337641.7427882,594022044476.8647
2024-02-10 09:00:00,847.7,898.6,810.0,871.8,440850048.81401175,377041424200.6688
2024-02-11 09:00:00,871.9,897.0,823.0,842.9,347411623.7026035,298420030556.52924
2024-02-12 09:00:00,842.8,857.9,813.1,828.8,211262284.79185045,174705387066.5796
2024-02-13 09:00:00,828.7,842.9,773.2,797.4,167096682.9488009,133932166865.82524
2024-02-14 09:00:00,797.4,803.1,775.2,802.1,122814168.6536218,97142479694.69278
2024-02-15 09:00:00,802.0,868.3,801.6,827.1,292047900.7484225,241826283166.82755
2024-02-16 09:00:00,827.4,840.2,800.1,822.2,108766693.2666964,89603968469.1661
2024-02-17 09:00:00,822.3,825.7,787.3,807.5,65790758.54455507,53028080689.332954
2024-02-18 09:00:00,807.5,877.9,807.0,866.1,328048462.0105075,275571393372.96643
2024-02-19 09:00:00,866.2,890.0,840.0,880.0,191700703.9058596,164790348381.12372
2024-02-20 09:00:00,880.0,978.5,866.0,908.8,500025328.4746332,460679484136.2351
2024-02-21 09:00:00,908.7,911.2,847.9,879.8,143045408.38016745,125556183217.74667
2024-02-22 09:00:00,879.8,879.8,840.4,853.7,74703859.91568153,63994790308.35298
2024-02-23 09:00:00,854.0,875.7,829.9,844.9,80112635.1751328,68066657548.41132
2024-02-24 09:00:00,844.9,847.1,820.0,836.0,47005129.83144219,39163038468.7082
2024-02-25 09:00:00,836.0,836.0,810.0,828.7,38680877.92920973,31750840559.074963
2024-02-26 09:00:00,828.8,845.4,796.0,839.5,63562489.46328245,52394148899.49019
2024-02-27 09:00:00,839.5,839.7,804.4,821.9,57032905.70757066,46781628516.77834
2024-02-28 09:00:00,821.2,829.1,790.7,817.5,87594755.94674224,71320622284.96626
2024-02-29 09:00:00,817.5,836.0,797.3,822.9,93264688.19548309,75885834034.05775
2024-03-01 09:00:00,823.1,935.9,822.9,881.0,276251255.71112525,241834665330.4104
2024-03-02 09:00:00,881.0,1025.0,852.2,926.3,435151939.3487478,405056967011.1772
2024-03-03 09:00:00,926.3,962.9,850.0,911.5,191826124.04098812,176645165187.987
2024-03-04 09:00:00,911.5,948.9,870.0,904.1,126391256.44706897,115508019854.01393
2024-03-05 09:00:00,904.1,920.0,806.0,845.6,129641283.56728968,113416261158.90912
2024-03-06 09:00:00,845.5,968.8,805.8,952.8,109715832.83794808,97265214748.44197
2024-03-07 09:00:00,952.0,1167.0,935.0,1034.0,297899180.7339163,309037950901.46014
2024-03-08 09:00:00,1034.0,1122.0,1000.0,1116.0,144884491.85662088,154771178880.2988
2024-03-09 09:00:00,1117.0,1227.0,1072.0,1179.0,113847522.97324589,130413015777.82506
2024-03-10 09:00:00,1179.0,1201.0,1131.0,1134.0,10008302.9539059,11683383440.16585
