,open,high,low,close,volume,value
2018-07-25 09:00:00,28.0,63.9,28.0,36.2,5062167354.117637,214506631964.38028
2018-07-26 09:00:00,36.4,37.8,28.0,29.2,1030481397.0717803,32792713150.824295
2018-07-27 09:00:00,29.3,35.8,24.2,30.6,1830792780.7811692,54807425976.40901
2018-07-28 09:00:00,30.7,31.9,29.3,30.3,176217466.70277143,5331744138.079167
2018-07-29 09:00:00,30.3,31.6,30.1,30.6,185627529.01752672,5695403835.604335
2018-07-30 09:00:00,30.5,30.7,27.7,29.0,101383976.92072238,2938532160.1801844
2018-07-31 09:00:00,28.8,29.0,25.2,25.5,118648224.96012948,3137191644.750326
2018-08-01 09:00:00,25.8,26.2,24.3,25.6,71124919.93529817,1783743304.442392
2018-08-02 09:00:00,25.6,25.9,22.9,23.4,97545505.80309209,2371139839.0714035
2018-08-03 09:00:00,23.5,28.3,21.9,23.9,296834895.1841656,7222578832.265989
2018-08-04 09:00:00,23.9,24.6,22.0,22.8,79385877.69759835,1865924266.7077754
2018-08-05 09:00:00,22.9,23.8,22.3,23.8,26721707.65341411,622979127.5505245
2018-08-06 09:00:00,23.7,24.1,22.4,22.8,26507898.48075341,620372370.8623282
2018-08-07 09:00:00,22.8,23.7,22.1,22.1,54001709.33204766,1236428029.5444129
2018-08-08 09:00:00,22.3,22.5,18.7,19.0,49594353.08288962,1022944620.2225282
2018-08-09 09:00:00,19.3,22.1,18.6,20.7,102636811.91261697,2080652047.9422698
2018-08-10 09:00:00,20.7,20.7,18.9,18.9,34913968.18311282,689439703.4013991
2018-08-11 09:00:00,19.1,19.1,16.4,17.2,23724284.5836139,421109884.5299526
2018-08-12 09:00:00,17.2,17.5,16.5,16.7,19842572.64494348,335490533.41959697
2018-08-13 09:00:00,16.7,17.7,14.6,14.9,36177265.34557476,599569332.516817
2018-08-14 09:00:00,14.9,15.0,11.9,13.2,37527932.69059856,484464044.05847967
2018-08-15 09:00:00,13.2,14.4,12.8,13.2,35261758.80379585,473145109.55701345
2018-08-16 09:00:00,13.2,14.4,12.9,13.7,21574678.37878014,296727014.4008793
2018-08-17 09:00:00,13.9,18.6,13.6,18.3,122268996.04787076,1981067982.4434366
2018-08-18 09:00:00,18.3,19.8,15.2,16.2,69339979.61737745,1198996900.5906281
2018-08-19 09:00:00,16.2,17.3,15.6,17.0,26611330.5969705,441711067.7488379
2018-08-20 09:00:00,17.0,17.6,15.2,15.3,27412133.37989412,452964824.3268503
2018-08-21 09:00:00,15.2,16.2,14.9,15.1,19825367.92288821,307298895.6785284
2018-08-22 09:00:00,15.3,17.6,14.2,14.9,54169256.71824313,874563200.1690221
2018-08-23 09:00:00,14.8,15.9,14.6,15.6,16833671.69642085,256510619.42129368
2018-08-24 09:00:00,15.6,16.0,15.1,15.9,17880459.43255903,278054146.84398264
2018-08-25 09:00:00,15.9,16.4,15.3,16.1,12188653.56502311,193496142.40998188
2018-08-26 09:00:00,16.2,16.3,15.4,16.2,16940527.65546008,267224327.9878366
2018-08-27 09:00:00,16.0,17.1,15.7,16.9,53129102.03974599,869239984.8828412
2018-08-28 09:00:00,16.9,18.7,16.5,18.4,81150846.69805628,1414080064.3746364
2018-08-29 09:00:00,18.6,18.6,16.7,17.3,56541790.29230966,1001848566.9721206
2018-08-30 09:00:00,17.3,17.3,15.7,16.7,34694544.27418832,567044648.7559934
2018-08-31 09:00:00,16.7,17.9,16.3,17.7,25339363.5467662,429093727.5919115
2018-09-01 09:00:00,17.7,19.6,17.5,19.0,60106148.66534862,1103831581.5686238
