,open,high,low,close,volume,value
2018-08-04 09:00:00,910.0,1700.0,910.0,951.0,43577421.95391387,48173958669.20249
2018-08-05 09:00:00,949.0,1065.0,916.0,1040.0,9730704.8111907,9878485869.79838
2018-08-06 09:00:00,1040.0,1050.0,904.0,940.0,3032293.54964904,3015449871.4433336
2018-08-07 09:00:00,940.0,948.0,810.0,830.0,7406148.72866195,6522306483.523469
2018-08-08 09:00:00,830.0,830.0,699.0,710.0,3059055.5019689,2357318622.678037
2018-08-09 09:00:00,714.0,768.0,697.0,739.0,1581478.14047142,1170183104.4795713
2018-08-10 09:00:00,745.0,747.0,653.0,673.0,1229854.31831498,861675893.0957879
2018-08-11 09:00:00,673.0,680.0,598.0,614.0,667297.59256792,417620249.0504568
2018-08-12 09:00:00,614.0,649.0,610.0,634.0,332319.02506883,208576254.66643846
2018-08-13 09:00:00,634.0,645.0,500.0,533.0,619727.96285615,376349864.64103425
2018-08-14 09:00:00,539.0,539.0,450.0,519.0,566641.06904735,281871303.32997346
2018-08-15 09:00:00,519.0,578.0,502.0,514.0,593633.79896385,323426346.87145907
2018-08-16 09:00:00,512.0,550.0,502.0,537.0,201820.34339167,106502382.6515582
2018-08-17 09:00:00,537.0,645.0,533.0,642.0,851255.30447794,491963669.3086612
2018-08-18 09:00:00,646.0,660.0,538.0,568.0,704049.09406041,420511785.1216123
2018-08-19 09:00:00,568.0,651.0,552.0,614.0,597599.0996491,366066355.32558
2018-08-20 09:00:00,615.0,628.0,570.0,581.0,410438.19369826,246296521.98722187
2018-08-21 09:00:00,580.0,603.0,572.0,580.0,188339.20771769,110309955.03954937
2018-08-22 09:00:00,592.0,628.0,528.0,546.0,346536.39252151,203483183.30325985
2018-08-23 09:00:00,547.0,581.0,546.0,574.0,183168.02274056,102782340.79972455
2018-08-24 09:00:00,574.0,605.0,563.0,588.0,188917.79738412,109038726.38862507
2018-08-25 09:00:00,590.0,613.0,587.0,608.0,222886.95136271,134102092.31344731
2018-08-26 09:00:00,606.0,645.0,587.0,634.0,349599.23234775,212424369.69967398
2018-08-27 09:00:00,633.0,757.0,622.0,742.0,1443108.14869615,984568558.5142196
2018-08-28 09:00:00,743.0,873.0,720.0,845.0,1763759.28988686,1410385078.977926
2018-08-29 09:00:00,849.0,895.0,792.0,804.0,1122423.26398083,958283039.2719857
2018-08-30 09:00:00,804.0,819.0,747.0,809.0,627807.64449556,492029180.2936385
2018-08-31 09:00:00,809.0,828.0,784.0,796.0,465744.9958138,374314652.0084072
2018-09-01 09:00:00,797.0,834.0,794.0,822.0,530330.72006733,434171776.19364625
2018-09-02 09:00:00,822.0,822.0,790.0,799.0,395479.93950342,318836448.7523675
2018-09-03 09:00:00,799.0,808.0,775.0,781.0,254209.32020714,200452114.24243838
2018-09-04 09:00:00,782.0,819.0,778.0,794.0,333544.65543257,265940466.29532942
2018-09-05 09:00:00,794.0,806.0,650.0,650.0,611688.66538711,458045923.0401062
2018-09-06 09:00:00,650.0,718.0,620.0,684.0,610524.70688754,395360524.43837976
2018-09-07 09:00:00,695.0,718.0,639.0,654.0,279842.29552696,188836345.2543106
2018-09-08 09:00:00,655.0,675.0,608.0,615.0,128193.41782059,83469380.22972973
2018-09-09 09:00:00,616.0,672.0,597.0,635.0,181483.84834349,114774366.38028137
2018-09-10 09:00:00,635.0,681.0,635.0,657.0,191459.88127731,126885072.46952626
2018-09-11 09:00:00,659.0,676.0,614.0,630.0,150800.48439666,97005234.16855462
2018-09-12 09:00:00,631.0,637.0,586.0,625.0,256054.17889628,155209820.54152685
2018-09-13 09:00:00,625.0,673.0,625.0,651.0,198657.06532767,128800638.44005693
2018-09-14 09:00:00,651.0,706.0,631.0,665.0,377818.88725096,252642065.79423833
2018-09-15 09:00:00,652.0,677.0,638.0,651.0,241478.00154739,158414278.4195261
2018-09-16 09:00:00,651.0,665.0,632.0,651.0,760600.45570096,496007267.3331866
2018-09-17 09:00:00,651.0,659.0,597.0,619.0,412801.66055602,263446233.59353554
2018-09-18 09:00:00,610.0,627.0,589.0,611.0,1010824.66962999,618302830.5669965
2018-09-19 09:00:00,615.0,615.0,583.0,602.0,657916.47507035,395935453.7497952
2018-09-20 09:00:00,602.0,646.0,592.0,634.0,515305.96138314,313848022.3386993
2018-09-21 09:00:00,634.0,699.0,623.0,699.0,829349.92957419,543202162.9870218
2018-09-22 09:00:00,694.0,725.0,639.0,681.0,482746.28458775,329168883.0685131
2018-09-23 09:00:00,681.0,706.0,665.0,677.0,236468.22925587,162638727.69256338
2018-09-24 09:00:00,680.0,690.0,616.0,634.0,630138.09346434,404005403.8900861
2018-09-25 09:00:00,625.0,644.0,595.0,640.0,427483.13526622,262391522.95743096
2018-09-26 09:00:00,640.0,645.0,612.0,620.0,271941.45198157,171253526.25909626
2018-09-27 09:00:00,620.0,662.0,604.0,651.0,356965.51136681,227258590.92731953
2018-09-28 09:00:00,650.0,655.0,621.0,639.0,287446.64224188,183134698.9175702
2018-09-29 09:00:00,633.0,642.0,622.0,632.0,158818.36906111,99993481.80493379
2018-09-30 09:00:00,632.0,642.0,625.0,628.0,156119.51848164,98526446.3311824
