,open,high,low,close,volume,value
2018-08-02 09:00:00,23.0,350.0,23.0,33.3,1753371289.815207,84861062953.93994
2018-08-03 09:00:00,33.4,35.5,26.5,27.7,569739592.5293788,16453944730.254856
2018-08-04 09:00:00,27.7,27.7,24.0,24.7,162736711.9397309,4162085982.745676
2018-08-05 09:00:00,24.6,25.9,23.6,25.3,72525878.5692041,1812998933.2730906
2018-08-06 09:00:00,25.3,25.8,23.8,24.6,47312473.19102351,1169172226.1556103
2018-08-07 09:00:00,24.6,25.6,23.7,24.0,56866439.81567716,1403682222.0864627
2018-08-08 09:00:00,24.0,24.2,17.5,19.5,55296739.91457109,1172074436.4108076
2018-08-09 09:00:00,19.5,26.0,19.2,22.6,146319247.6066667,3294768015.4713807
2018-08-10 09:00:00,22.6,23.2,19.9,20.1,45684644.57356953,995693982.1608894
2018-08-11 09:00:00,20.2,21.8,19.3,20.3,40962796.31564804,831470839.1052139
2018-08-12 09:00:00,20.2,21.2,20.1,20.9,16071275.12615118,332552203.05800915
2018-08-13 09:00:00,20.9,20.9,18.2,18.3,21292031.15369755,425627699.291274
2018-08-14 09:00:00,18.3,18.6,14.3,16.1,39564656.78671349,634488248.0184387
2018-08-15 09:00:00,16.2,17.0,15.5,15.6,28219783.36947387,458013119.3069996
2018-08-16 09:00:00,15.6,16.2,15.0,16.0,13931484.1576049,216458834.64724937
2018-08-17 09:00:00,16.0,18.1,15.6,17.8,74797476.17144929,1234668457.0207973
2018-08-18 09:00:00,17.9,19.6,15.7,16.3,80473500.40538278,1414420690.5326407
2018-08-19 09:00:00,16.2,19.0,15.6,17.0,107294204.25508507,1853124746.24295
2018-08-20 09:00:00,16.9,18.2,15.2,15.5,70353294.79037146,1182232336.2459078
2018-08-21 09:00:00,15.5,16.0,15.0,15.3,33045204.83753736,509610843.46580493
2018-08-22 09:00:00,15.4,16.4,14.1,14.7,59613065.94891325,918148744.0391073
2018-08-23 09:00:00,14.8,15.3,14.5,15.3,27855845.86146141,412957033.71961826
2018-08-24 09:00:00,15.3,15.3,14.4,15.2,28776848.35145337,428351537.29003644
2018-08-25 09:00:00,15.2,15.8,14.7,15.2,43391267.83923215,658445824.9314151
2018-08-26 09:00:00,15.1,15.3,14.4,14.9,28432560.72370891,420927212.3413159
2018-08-27 09:00:00,14.8,17.0,14.3,16.1,184390364.05196333,2916598713.838434
2018-08-28 09:00:00,16.1,18.8,15.8,17.9,244836794.02364048,4293566201.9997168
2018-08-29 09:00:00,17.8,17.8,15.8,16.5,196863308.9427927,3337201733.883323
2018-08-30 09:00:00,16.6,16.7,14.9,16.0,105379430.6734549,1654103529.1083264
2018-08-31 09:00:00,15.9,16.1,15.2,15.8,110077294.55619003,1704148000.7147152
2018-09-01 09:00:00,15.9,17.2,15.6,16.7,142784438.6728743,2329713090.6007338
2018-09-02 09:00:00,16.7,17.7,16.0,16.7,227723181.96968964,3879291412.5076375
2018-09-03 09:00:00,16.7,17.0,16.0,16.6,110500106.29047967,1807390718.1204367
2018-09-04 09:00:00,16.6,16.8,15.8,16.3,148516886.008307,2421214435.865407
2018-09-05 09:00:00,16.4,16.5,13.1,13.3,160175572.08828682,2437978120.1911387
2018-09-06 09:00:00,13.3,13.5,12.0,13.3,110251442.29623325,1401449662.6463823
2018-09-07 09:00:00,13.3,13.7,12.3,12.6,70230001.07338253,909618720.2875863
2018-09-08 09:00:00,12.5,12.7,11.5,11.7,41866267.0878264,507407756.3526859
2018-09-09 09:00:00,11.7,12.2,11.1,11.7,39499168.89617591,463220065.1712288
2018-09-10 09:00:00,11.7,12.1,11.1,11.3,35463572.55038084,410554128.36637986
2018-09-11 09:00:00,11.2,11.8,10.2,10.7,61247159.31687425,673385636.0864974
2018-09-12 09:00:00,10.8,11.0,9.82,10.5,49634639.83078716,512011606.1556857
2018-09-13 09:00:00,10.4,11.2,10.2,11.0,61837493.82996814,660264884.3026356
2018-09-14 09:00:00,11.0,11.3,10.1,10.5,89165234.24830806,944954296.419196
2018-09-15 09:00:00,10.5,10.9,10.3,10.6,24148422.93764249,254987117.76831833
2018-09-16 09:00:00,10.6,11.6,10.1,11.0,71002006.63346823,764048394.2764027
2018-09-17 09:00:00,11.0,11.5,10.1,10.4,90206620.36718582,964702619.6909803
2018-09-18 09:00:00,10.4,10.8,10.0,10.7,54714724.79605965,567176751.7825795
2018-09-19 09:00:00,10.7,10.7,10.1,10.5,60743472.96777177,631211876.6602536
2018-09-20 09:00:00,10.4,10.9,10.2,10.8,60843652.76970706,635870724.0620306
2018-09-21 09:00:00,10.8,11.3,10.3,11.1,167396744.5936792,1809974439.6343107
2018-09-22 09:00:00,11.0,11.3,10.5,10.8,72623277.42525083,781175467.4159092
2018-09-23 09:00:00,10.8,11.2,10.6,11.0,76216837.51150823,828351062.4876693
2018-09-24 09:00:00,11.0,13.0,11.0,11.6,400636615.9493733,4773693515.311837
2018-09-25 09:00:00,11.6,12.4,10.6,11.4,255118753.70617375,2896125798.992457
2018-09-26 09:00:00,11.4,11.6,10.9,11.1,86067796.40953226,966597331.3251684
2018-09-27 09:00:00,11.1,11.4,10.6,11.1,81574173.17723262,894644945.5580416
2018-09-28 09:00:00,11.1,11.3,10.7,10.9,71365342.7636892,782681887.2687604
2018-09-29 09:00:00,10.9,11.2,10.5,11.0,56402638.32226436,609758768.3673536
2018-09-30 09:00:00,10.9,11.1,10.7,10.9,49753711.61543409,541733283.842295
2018-10-01 09:00:00,10.9,11.0,10.5,10.8,60385591.61089848,650528726.2456394
2018-10-02 09:00:00,10.8,11.1,10.7,10.9,40490005.65250149,441250669.7309674
2018-10-03 09:00:00,10.9,11.0,10.6,10.8,36801069.20382426,396620147.6476031
2018-10-04 09:00:00,10.9,11.1,10.8,11.0,36657361.25967353,400689121.59211564
2018-10-05 09:00:00,11.0,11.1,10.6,11.1,74489581.70070352,811020687.484401
2018-10-06 09:00:00,11.0,11.1,10.8,11.0,30919610.93132383,338979870.00504696
2018-10-07 09:00:00,10.9,11.1,10.8,11.1,21527002.61079965,234951494.12602258
