,open,high,low,close,volume,value
2020-08-14 09:00:00,75.0,145.0,75.0,84.3,845574430.6761429,72952970173.7108
2020-08-15 09:00:00,84.3,85.2,80.1,83.1,612080850.8392372,50323515219.52297
2020-08-16 09:00:00,83.1,87.0,81.3,85.3,330745450.0483724,27723577018.757397
2020-08-17 09:00:00,85.3,97.7,83.4,86.2,483777486.56888056,43099687832.32503
2020-08-18 09:00:00,86.2,86.9,77.3,79.1,108754880.10819091,8939079389.991766
2020-08-19 09:00:00,79.1,79.7,69.5,71.0,99737937.22150286,7236534542.339606
2020-08-20 09:00:00,71.0,73.5,69.6,72.0,42894223.06177461,3062285450.788771
2020-08-21 09:00:00,71.9,74.1,56.5,57.7,132217118.20408493,8526364711.542367
2020-08-22 09:00:00,57.5,61.1,51.1,59.4,72766241.49411494,4077958019.6449637
2020-08-23 09:00:00,59.4,66.3,55.9,62.8,44081388.05128349,2700757897.976277
2020-08-24 09:00:00,62.8,74.9,60.5,74.7,72424197.97523883,5012803653.780391
2020-08-25 09:00:00,74.7,75.6,63.0,66.9,75657445.63033274,5220867010.486463
2020-08-26 09:00:00,67.3,71.7,64.0,70.4,37436736.64816917,2570334115.9759283
2020-08-27 09:00:00,70.3,70.3,60.8,64.5,18294067.14977801,1225409755.7595246
2020-08-28 09:00:00,64.5,68.6,63.0,66.8,12005018.94621862,795452196.8521384
2020-08-29 09:00:00,66.8,68.1,63.0,63.6,15660279.06087445,1029214870.6136483
2020-08-30 09:00:00,63.6,75.3,63.2,69.6,81766141.86778244,5823655882.342348
2020-08-31 09:00:00,70.0,73.0,67.6,69.9,56283115.76608793,3929555019.9755836
2020-09-01 09:00:00,69.6,70.0,64.7,67.2,37790636.78791577,2563222867.4046555
2020-09-02 09:00:00,67.4,73.9,66.6,72.3,140002981.77261955,9901098036.910255
2020-09-03 09:00:00,72.3,85.1,66.1,67.9,367988416.3894548,28788384539.15768
2020-09-04 09:00:00,67.6,69.5,53.6,59.6,169462530.40722662,10627874104.266493
2020-09-05 09:00:00,59.6,60.8,44.6,46.5,117159010.52288291,5970821458.136599
2020-09-06 09:00:00,46.5,49.6,38.3,48.5,119463229.42923267,5271930581.816899
2020-09-07 09:00:00,48.2,48.9,41.8,47.1,70848128.38776955,3196344474.093059
2020-09-08 09:00:00,47.1,49.9,44.1,47.3,46279616.44437655,2164382709.5984755
2020-09-09 09:00:00,47.3,50.0,45.6,48.9,39430362.86626533,1880507870.7058322
2020-09-10 09:00:00,48.8,51.8,48.0,51.4,41579569.53131974,2094618466.220072
2020-09-11 09:00:00,51.5,51.7,47.6,50.0,29592941.97567485,1469104178.8151002
2020-09-12 09:00:00,50.0,50.1,47.6,48.9,14082652.50070722,689024528.6400638
2020-09-13 09:00:00,48.7,49.7,45.2,46.9,14886174.85039095,710995620.3418953
2020-09-14 09:00:00,46.9,48.0,45.2,46.4,9747706.91271362,453931317.5578768
2020-09-15 09:00:00,46.4,46.8,44.1,44.5,13954751.03942568,631210764.7826735
2020-09-16 09:00:00,44.6,55.5,39.1,48.6,171116460.93005034,7976297264.568467
2020-09-17 09:00:00,48.6,51.3,47.0,50.8,43882004.26641976,2136182586.7509918
2020-09-18 09:00:00,50.8,52.6,48.9,50.6,34840740.44471763,1774410510.8316934
