,open,high,low,close,volume,value
2020-07-23 09:00:00,2980.0,4000.0,2980.0,3200.0,1673991.05341691,6024315399.822165
2020-07-24 09:00:00,3215.0,3395.0,2880.0,2955.0,245685.51572402,780689726.205118
2020-07-25 09:00:00,2965.0,3125.0,2795.0,2815.0,105426.87683816,315734874.15600234
2020-07-26 09:00:00,2815.0,2900.0,2525.0,2740.0,137573.44865575,377641460.40854186
2020-07-27 09:00:00,2740.0,2840.0,2255.0,2415.0,1292528.15144317,3209317607.407943
2020-07-28 09:00:00,2415.0,4500.0,2355.0,3025.0,12245621.53142411,38363988085.36611
2020-07-29 09:00:00,3050.0,3545.0,2915.0,3040.0,6596062.8698104,20662819122.643375
2020-07-30 09:00:00,3040.0,3120.0,2690.0,2880.0,1515137.41093464,4326574116.19738
2020-07-31 09:00:00,2885.0,2960.0,2765.0,2870.0,625164.40555888,1792703050.741216
2020-08-01 09:00:00,2880.0,3055.0,2800.0,2860.0,1131580.82066127,3331414350.004267
2020-08-02 09:00:00,2870.0,2955.0,2415.0,2785.0,592575.89905879,1643082918.736126
2020-08-03 09:00:00,2775.0,2975.0,2775.0,2895.0,428458.50680745,1251777933.2704146
2020-08-04 09:00:00,2895.0,3420.0,2880.0,3330.0,1465587.59431369,4623906307.93771
2020-08-05 09:00:00,3330.0,3545.0,3150.0,3500.0,904084.30143786,3016134571.0872145
2020-08-06 09:00:00,3500.0,4340.0,3495.0,3980.0,3387188.21355887,13271522683.082325
2020-08-07 09:00:00,4000.0,4590.0,3830.0,4195.0,1240018.21141103,5201975042.908896
2020-08-08 09:00:00,4195.0,5335.0,4065.0,5005.0,2399071.07292625,11384233438.462152
2020-08-09 09:00:00,5005.0,5565.0,4630.0,5505.0,1090678.69236658,5400162939.530673
2020-08-10 09:00:00,5500.0,5950.0,4950.0,5260.0,1036096.86949342,5693340938.765569
2020-08-11 09:00:00,5260.0,5375.0,4520.0,4885.0,679439.76857943,3355500660.0704713
2020-08-12 09:00:00,4870.0,5450.0,4520.0,5345.0,508344.12878916,2573140555.8599567
2020-08-13 09:00:00,5340.0,5350.0,4710.0,4900.0,746546.95335824,3708488540.227513
2020-08-14 09:00:00,4895.0,5245.0,4790.0,5085.0,700742.18746455,3496260957.812225
2020-08-15 09:00:00,5085.0,5675.0,4795.0,5300.0,575354.60411635,3027087246.1508813
2020-08-16 09:00:00,5300.0,6330.0,5245.0,5945.0,1344954.81752739,8002536175.332539
2020-08-17 09:00:00,5945.0,6450.0,5320.0,5470.0,664356.26093464,3946631107.044366
2020-08-18 09:00:00,5475.0,5815.0,4870.0,5065.0,533722.7231395,2835353523.6383357
2020-08-19 09:00:00,5055.0,5400.0,4660.0,4880.0,634140.9534786,3194474437.894352
2020-08-20 09:00:00,4880.0,5765.0,4880.0,5375.0,804656.78946811,4300361452.692775
2020-08-21 09:00:00,5370.0,5380.0,4640.0,4650.0,837232.17286432,4198370576.549257
2020-08-22 09:00:00,4650.0,4930.0,4200.0,4735.0,692520.50365229,3154664556.557982
2020-08-23 09:00:00,4760.0,5045.0,4445.0,4910.0,442283.26285623,2084258393.121621
2020-08-24 09:00:00,4925.0,5100.0,4750.0,4945.0,391887.36092335,1928873450.6326556
2020-08-25 09:00:00,4950.0,4955.0,4485.0,4650.0,457650.11095781,2171807409.7853384
2020-08-26 09:00:00,4660.0,5020.0,4550.0,4795.0,514702.24476635,2462165159.953208
2020-08-27 09:00:00,4790.0,4955.0,4410.0,4620.0,578143.6351448,2721037990.622284
2020-08-28 09:00:00,4615.0,4870.0,4500.0,4800.0,256950.66975755,1206510302.3608913
