,open,high,low,close,volume,value
2018-10-26 09:00:00,500.0,607.0,500.0,526.0,29797975.19284264,16736548069.202574
2018-10-27 09:00:00,526.0,563.0,515.0,519.0,11107374.10424002,6001830503.603786
2018-10-28 09:00:00,519.0,525.0,508.0,512.0,2266223.44434893,1162065637.9158554
2018-10-29 09:00:00,512.0,516.0,469.0,473.0,39162813.23935587,19167850154.56667
2018-10-30 09:00:00,471.0,486.0,468.0,483.0,42748826.7181113,20478033394.04224
2018-10-31 09:00:00,484.0,494.0,468.0,486.0,37576169.71970523,18071382244.896584
2018-11-01 09:00:00,486.0,493.0,482.0,490.0,32775041.96461272,15983956358.147608
2018-11-02 09:00:00,490.0,490.0,478.0,483.0,926024.47332372,448265143.05884176
2018-11-03 09:00:00,483.0,484.0,465.0,470.0,486262.68437311,230690211.63167697
2018-11-04 09:00:00,470.0,470.0,456.0,460.0,605326.53827689,278804074.1810396
2018-11-05 09:00:00,460.0,464.0,435.0,438.0,613052.63763802,276196381.7740534
2018-11-06 09:00:00,438.0,454.0,430.0,453.0,726094.83528438,320625311.7606471
2018-11-07 09:00:00,453.0,462.0,442.0,458.0,525071.03098905,239326737.08841744
2018-11-08 09:00:00,461.0,462.0,445.0,456.0,292975.17848531,132550770.58643225
2018-11-09 09:00:00,455.0,455.0,440.0,442.0,481172.30356882,214713551.73643005
2018-11-10 09:00:00,444.0,447.0,439.0,443.0,231317.84361362,102392178.07731844
2018-11-11 09:00:00,446.0,447.0,429.0,433.0,148108.89571503,65106466.14162205
2018-11-12 09:00:00,434.0,439.0,421.0,427.0,210495.81244388,90576651.50278562
2018-11-13 09:00:00,427.0,429.0,404.0,406.0,299803.86095851,123980433.97844377
2018-11-14 09:00:00,407.0,416.0,341.0,358.0,484839.09792327,189793454.3359229
2018-11-15 09:00:00,358.0,362.0,297.0,334.0,320755.07214867,106078593.4468215
2018-11-16 09:00:00,334.0,343.0,309.0,322.0,91265.785829,29932118.32445057
2018-11-17 09:00:00,322.0,326.0,300.0,309.0,179360.75903987,55521250.52444573
2018-11-18 09:00:00,310.0,320.0,302.0,310.0,85721.49002262,26867165.37194499
2018-11-19 09:00:00,310.0,322.0,242.0,250.0,286511.98769986,83142668.46567653
2018-11-20 09:00:00,266.0,266.0,185.0,209.0,364002.91296442,79595927.19729973
2018-11-21 09:00:00,219.0,237.0,207.0,221.0,126436.41460994,28464138.27434093
2018-11-22 09:00:00,229.0,238.0,220.0,220.0,34583.96038558,7941882.99661857
2018-11-23 09:00:00,223.0,243.0,200.0,220.0,394585.06443012,87169000.5659441
2018-11-24 09:00:00,220.0,226.0,190.0,196.0,130088.07150706,27155652.80587127
2018-11-25 09:00:00,195.0,195.0,166.0,186.0,154985.02763345,27709797.28490451
2018-11-26 09:00:00,186.0,200.0,175.0,179.0,390287.40711744,73149029.2187461
2018-11-27 09:00:00,179.0,194.0,174.0,183.0,245483.83557017,45032616.81597558
2018-11-28 09:00:00,183.0,218.0,183.0,213.0,891799.738407,177207278.23874274
2018-11-29 09:00:00,213.0,280.0,202.0,217.0,2332812.13306754,535534020.04888266
2018-11-30 09:00:00,220.0,228.0,187.0,201.0,818141.71170555,171660191.66325134
