,open,high,low,close,volume,value
2020-08-04 09:00:00,9795.0,80000.0,9795.0,11760.0,2277077.18801742,32062022024.219753
2020-08-05 09:00:00,11750.0,11750.0,11000.0,11210.0,390314.8447406,4439257028.236984
2020-08-06 09:00:00,11260.0,12120.0,11150.0,12050.0,251037.76421347,2892732377.4843025
2020-08-07 09:00:00,12050.0,12110.0,11090.0,12040.0,162749.87034429,1914903512.603248
2020-08-08 09:00:00,12040.0,16360.0,11780.0,14970.0,824759.17400302,11523765590.05884
2020-08-09 09:00:00,14970.0,17360.0,14080.0,16310.0,1299377.77486521,20323306983.43116
2020-08-10 09:00:00,16340.0,16590.0,15070.0,15880.0,785648.30134537,12501427657.571548
2020-08-11 09:00:00,15880.0,16000.0,14260.0,15540.0,541788.48029078,8280250346.697088
2020-08-12 09:00:00,15540.0,19840.0,14960.0,19510.0,1217904.12305916,21568129722.317974
2020-08-13 09:00:00,19520.0,21670.0,19020.0,20140.0,1845437.55000964,37078695113.43759
2020-08-14 09:00:00,20110.0,20740.0,19300.0,19960.0,581397.8501797,11625170184.605175
2020-08-15 09:00:00,19960.0,23200.0,19430.0,22470.0,1037453.16585448,22484700687.27058
2020-08-16 09:00:00,22480.0,23500.0,21660.0,21920.0,588876.82541106,13251035283.808336
2020-08-17 09:00:00,21920.0,22950.0,19400.0,19750.0,635356.50140391,13674804535.335327
2020-08-18 09:00:00,19740.0,20400.0,17260.0,18970.0,1341709.26213444,25501952652.69217
2020-08-19 09:00:00,18920.0,20320.0,17570.0,19150.0,1321706.28904638,25246059179.955093
2020-08-20 09:00:00,19150.0,19710.0,18550.0,18920.0,547284.66564135,10496451883.428068
2020-08-21 09:00:00,18920.0,19000.0,15500.0,16460.0,1446809.02571416,24957149406.679054
2020-08-22 09:00:00,16520.0,19340.0,16430.0,18700.0,1126477.80059204,19991097307.37793
2020-08-23 09:00:00,18700.0,18970.0,17410.0,17940.0,509997.73709187,9186295990.706274
2020-08-24 09:00:00,17990.0,18780.0,17380.0,17920.0,353393.03667989,6378336837.366509
2020-08-25 09:00:00,17870.0,18100.0,16150.0,16800.0,434660.66472535,7507861771.251307
2020-08-26 09:00:00,16830.0,18500.0,16710.0,18020.0,454259.07667246,7979739541.623735
2020-08-27 09:00:00,18020.0,18370.0,16650.0,17200.0,407247.42268841,7192078967.310751
2020-08-28 09:00:00,17220.0,18200.0,16850.0,17820.0,195771.46265899,3428523752.604392
2020-08-29 09:00:00,17820.0,19960.0,17560.0,19250.0,414762.62629614,7820945760.803958
2020-08-30 09:00:00,19250.0,20860.0,19140.0,19230.0,449002.73809055,9007848816.985586
2020-08-31 09:00:00,19220.0,19880.0,18310.0,18420.0,241660.3828842,4648247061.085811
2020-09-01 09:00:00,18410.0,19300.0,17960.0,18850.0,341053.22564927,6376316910.943438
2020-09-02 09:00:00,18830.0,19120.0,16870.0,17650.0,349399.48563942,6244350459.436354
2020-09-03 09:00:00,17650.0,17900.0,13510.0,14420.0,545241.83787362,8766447182.886644
2020-09-04 09:00:00,14420.0,15580.0,13350.0,15000.0,683223.68359145,10004112479.508663
2020-09-05 09:00:00,14980.0,15390.0,11480.0,12940.0,629825.67836873,8495761113.3735485
2020-09-06 09:00:00,12940.0,15890.0,11800.0,15420.0,1264333.3976595,17854816889.995564
2020-09-07 09:00:00,15460.0,16000.0,13520.0,14920.0,1083608.16130537,16030697811.141657
2020-09-08 09:00:00,14920.0,15220.0,13430.0,14110.0,766568.72058802,10972109541.526176
2020-09-09 09:00:00,14050.0,15050.0,13700.0,14730.0,411619.25662066,5928290778.203887
2020-09-10 09:00:00,14710.0,15800.0,14540.0,14920.0,362775.68442833,5514071683.291112
2020-09-11 09:00:00,14970.0,15120.0,14310.0,14780.0,164143.78762335,2417918613.951653
2020-09-12 09:00:00,14780.0,15110.0,14400.0,15100.0,137098.79416792,2017476745.1528676
2020-09-13 09:00:00,15060.0,15680.0,14110.0,14500.0,287134.45038432,4297574420.348121
