,open,high,low,close,volume,value
2018-06-12 09:00:00,235.0,389.0,235.0,254.0,217915243.88459554,67288314936.01195
2018-06-13 09:00:00,253.0,253.0,202.0,212.0,19619591.84292771,4575369307.934586
2018-06-14 09:00:00,212.0,234.0,202.0,234.0,9465722.90918179,2025824579.5619283
2018-06-15 09:00:00,235.0,237.0,218.0,223.0,2763171.33659301,627197563.5254782
2018-06-16 09:00:00,222.0,224.0,213.0,220.0,1160538.89308373,253217966.72640836
2018-06-17 09:00:00,221.0,225.0,212.0,215.0,963435.8099083,208391549.61332902
2018-06-18 09:00:00,215.0,232.0,210.0,227.0,5080683.54577604,1131348924.9326856
2018-06-19 09:00:00,228.0,228.0,216.0,222.0,4701185.83941615,1040122867.2490387
2018-06-20 09:00:00,222.0,222.0,197.0,209.0,4753039.05246099,970845249.3697832
2018-06-21 09:00:00,209.0,210.0,197.0,200.0,1674189.65995863,341347251.55610603
2018-06-22 09:00:00,199.0,199.0,170.0,171.0,3220722.98147706,587255918.7682519
2018-06-23 09:00:00,170.0,177.0,156.0,162.0,1121859.18416446,183988505.3438835
2018-06-24 09:00:00,162.0,208.0,141.0,166.0,8636657.02830617,1482503845.1655033
2018-06-25 09:00:00,167.0,200.0,165.0,176.0,11588893.70990467,2115488461.3390174
2018-06-26 09:00:00,176.0,178.0,155.0,156.0,2697195.45046844,457153132.96790004
2018-06-27 09:00:00,157.0,178.0,157.0,163.0,2512767.54774927,414512093.03007716
2018-06-28 09:00:00,165.0,167.0,153.0,154.0,840557.01149006,136455764.46007603
2018-06-29 09:00:00,155.0,176.0,153.0,175.0,1646517.59655312,268563071.65576816
2018-06-30 09:00:00,174.0,198.0,173.0,193.0,1465515.14503091,270110014.17239213
2018-07-01 09:00:00,192.0,198.0,180.0,192.0,751732.11386034,143088393.36007112
2018-07-02 09:00:00,192.0,228.0,188.0,222.0,3010955.6852475,627530802.9280893
2018-07-03 09:00:00,223.0,278.0,220.0,220.0,12128998.27670849,2912674210.174944
2018-07-04 09:00:00,225.0,243.0,209.0,233.0,6752655.89238151,1531377066.6052854
2018-07-05 09:00:00,234.0,240.0,217.0,222.0,4105201.85142701,937264331.9884435
2018-07-06 09:00:00,221.0,480.0,200.0,316.0,148521329.75425434,50329501210.75033
2018-07-07 09:00:00,316.0,316.0,257.0,281.0,92805416.28371029,26552024494.622913
2018-07-08 09:00:00,281.0,281.0,251.0,261.0,31835897.18338966,8398730748.774537
2018-07-09 09:00:00,261.0,261.0,240.0,242.0,20819749.5280708,5232910721.805199
2018-07-10 09:00:00,242.0,246.0,215.0,217.0,20543848.89566497,4716498101.61995
2018-07-11 09:00:00,216.0,234.0,202.0,224.0,36285242.0393937,8092218565.773199
2018-07-12 09:00:00,224.0,224.0,202.0,208.0,9622565.9761499,2031020363.724511
2018-07-13 09:00:00,208.0,216.0,205.0,209.0,8284751.56146359,1738697231.266437
2018-07-14 09:00:00,209.0,222.0,207.0,217.0,6800183.10789252,1451729538.0084636
2018-07-15 09:00:00,217.0,223.0,213.0,219.0,7145951.09702689,1564491954.103631
2018-07-16 09:00:00,218.0,250.0,215.0,245.0,19160496.79355685,4405554238.839191
2018-07-17 09:00:00,245.0,311.0,243.0,288.0,69080807.53095597,18632748426.44718
2018-07-18 09:00:00,288.0,310.0,258.0,278.0,58748382.41605334,17141952877.219318
2018-07-19 09:00:00,278.0,278.0,250.0,261.0,19390881.20002081,5103578641.228757
2018-07-20 09:00:00,261.0,261.0,221.0,230.0,11273976.9774404,2720539473.236454
2018-07-21 09:00:00,230.0,241.0,214.0,237.0,7182446.94995602,1635031011.4104238
2018-07-22 09:00:00,236.0,244.0,224.0,228.0,8738340.80693884,2031888449.9206955
2018-07-23 09:00:00,228.0,235.0,209.0,214.0,12572089.76928749,2778222459.180166
2018-07-24 09:00:00,214.0,239.0,197.0,220.0,19571741.21021078,4172187450.1589336
2018-07-25 09:00:00,220.0,263.0,212.0,225.0,23403560.20146842,5503720268.038149
2018-07-26 09:00:00,224.0,243.0,204.0,215.0,7848104.39461028,1786001159.6539955
2018-07-27 09:00:00,215.0,240.0,204.0,219.0,10314344.26264945,2242467293.6457534
2018-07-28 09:00:00,219.0,252.0,214.0,225.0,19074485.25662089,4379268142.179693
2018-07-29 09:00:00,225.0,226.0,215.0,220.0,3246603.59802204,711529008.4259795
2018-07-30 09:00:00,218.0,219.0,205.0,214.0,2859370.15293759,606357403.4261557
2018-07-31 09:00:00,214.0,214.0,184.0,191.0,4741135.69100201,936641998.6195569
2018-08-01 09:00:00,191.0,202.0,175.0,198.0,2785322.38875991,520170667.06862646
2018-08-02 09:00:00,198.0,204.0,179.0,186.0,2829525.93341144,529328752.99694204
2018-08-03 09:00:00,185.0,185.0,162.0,170.0,5369172.63547299,918451253.8926111
2018-08-04 09:00:00,170.0,174.0,152.0,157.0,3700428.75389164,599424901.1513715
2018-08-05 09:00:00,157.0,161.0,150.0,159.0,3185202.61001535,496458664.90590495
2018-08-06 09:00:00,159.0,163.0,149.0,153.0,2701149.68668019,422806138.57539964
2018-08-07 09:00:00,153.0,159.0,145.0,148.0,2059527.46449891,316130457.62044996
2018-08-08 09:00:00,147.0,147.0,119.0,121.0,5341467.52519412,703230047.6008655
2018-08-09 09:00:00,120.0,140.0,117.0,128.0,9028695.44352801,1175755414.51257
2018-08-10 09:00:00,128.0,132.0,115.0,117.0,4271634.92720388,523472378.4643225
2018-08-11 09:00:00,116.0,118.0,103.0,107.0,2374155.60799253,257428571.1479701
2018-08-12 09:00:00,107.0,113.0,105.0,105.0,2417809.1606945,261739693.49507296
2018-08-13 09:00:00,107.0,107.0,88.1,90.4,3558313.91134151,358131164.90471303
2018-08-14 09:00:00,89.3,90.4,72.3,79.1,2932874.24906926,231239522.74000764
2018-08-15 09:00:00,79.1,88.6,74.6,82.0,2892403.46742841,237987916.1834361
2018-08-16 09:00:00,80.2,102.0,80.2,91.5,3685874.49322243,333096629.8134724
2018-08-17 09:00:00,91.5,109.0,88.7,109.0,3802198.02610575,381194952.1117127
2018-08-18 09:00:00,109.0,117.0,90.4,95.5,4186864.64051844,425581251.7364322
2018-08-19 09:00:00,95.5,106.0,92.1,102.0,6960578.13609288,698684673.4148331
2018-08-20 09:00:00,102.0,103.0,91.3,92.8,2583089.20463825,255405451.36266443
2018-08-21 09:00:00,92.8,98.0,90.0,97.0,1628295.39986028,151713948.48602623
2018-08-22 09:00:00,97.0,106.0,90.3,92.9,3020498.09182518,298727577.1026729
2018-08-23 09:00:00,91.7,98.5,90.6,98.0,881863.03407843,83518443.35646011
2018-08-24 09:00:00,98.0,113.0,93.9,105.0,5221604.37430511,551348990.694434
2018-08-25 09:00:00,105.0,111.0,99.5,107.0,3012261.32198316,314839942.76884365
2018-08-26 09:00:00,108.0,123.0,101.0,117.0,10143607.9392259,1170844795.1700501
2018-08-27 09:00:00,117.0,130.0,116.0,123.0,12432854.84701248,1533933370.4506772
2018-08-28 09:00:00,122.0,128.0,119.0,125.0,3936116.68654758,483163042.2257035
2018-08-29 09:00:00,124.0,134.0,119.0,121.0,5728156.37265161,736261188.9206613
2018-08-30 09:00:00,121.0,151.0,121.0,148.0,20281793.44127321,2749046528.3258677
2018-08-31 09:00:00,147.0,150.0,130.0,141.0,20408894.57994195,2765885667.4879613
2018-09-01 09:00:00,140.0,143.0,136.0,142.0,9473005.09517199,1313742811.1024003
2018-09-02 09:00:00,142.0,142.0,131.0,136.0,5081248.78755318,692807535.0928656
2018-09-03 09:00:00,135.0,135.0,127.0,130.0,3578254.89079635,466849282.8806325
2018-09-04 09:00:00,131.0,133.0,128.0,130.0,3570875.75857774,466551695.0747832
2018-09-05 09:00:00,130.0,131.0,100.0,101.0,6828133.54888492,790251841.7424095
2018-09-06 09:00:00,101.0,103.0,88.2,102.0,5474045.29025807,524233040.33367103
2018-09-07 09:00:00,102.0,107.0,95.6,100.0,5765659.81114496,587721988.3344316
2018-09-08 09:00:00,100.0,101.0,87.0,89.8,3319703.46242607,307002801.4321637
2018-09-09 09:00:00,89.8,93.0,84.7,87.9,3644936.91316627,322813912.08739126
2018-09-10 09:00:00,87.9,89.5,83.9,86.5,3043957.37558181,263134449.15550467
2018-09-11 09:00:00,86.5,86.9,77.9,80.3,2553863.81534548,211007673.92481688
2018-09-12 09:00:00,81.0,81.0,72.0,79.2,2644877.87418023,200220953.8277128
2018-09-13 09:00:00,79.4,95.5,79.1,95.4,7333051.12019292,654100746.1640376
2018-09-14 09:00:00,95.4,95.8,85.5,89.3,9938762.59961115,891832621.7612386
2018-09-15 09:00:00,89.3,92.0,88.7,91.4,2898706.38337166,261700146.51126158
2018-09-16 09:00:00,91.0,97.8,88.0,95.2,4185758.50259678,390108419.43920636
2018-09-17 09:00:00,95.2,99.9,84.8,87.5,4158185.11830675,394970094.9961146
2018-09-18 09:00:00,87.3,92.2,85.3,92.0,1785319.54869985,159357177.7927162
2018-09-19 09:00:00,91.5,94.9,87.4,90.4,770619.49001744,70222402.55219667
2018-09-20 09:00:00,91.0,93.8,89.0,93.8,1280665.810028,117552246.5688578
2018-09-21 09:00:00,93.8,108.0,92.0,102.0,4563215.83166286,455310413.6753265
2018-09-22 09:00:00,102.0,110.0,97.8,100.0,4686633.71535221,489429767.05811304
2018-09-23 09:00:00,100.0,104.0,99.5,100.0,3848259.04678427,388470498.9633212
2018-09-24 09:00:00,100.0,104.0,94.2,95.1,2601801.26812062,254398264.940967
2018-09-25 09:00:00,95.1,99.9,89.4,96.9,3945086.32410522,372667547.63286066
2018-09-26 09:00:00,97.0,106.0,94.0,97.5,4084921.26721229,408581717.3351783
2018-09-27 09:00:00,98.8,117.0,98.5,114.0,8351147.74238641,889769922.4885936
2018-09-28 09:00:00,114.0,119.0,104.0,109.0,4262585.55696154,466856333.5597217
2018-09-29 09:00:00,109.0,120.0,103.0,110.0,4779991.39632896,545063261.7725742
2018-09-30 09:00:00,110.0,126.0,108.0,117.0,7552695.98339765,903490440.8996928
2018-10-01 09:00:00,117.0,126.0,116.0,119.0,3262368.76992749,392064430.9149991
2018-10-02 09:00:00,119.0,121.0,116.0,117.0,647160.40067298,76847252.00520423
2018-10-03 09:00:00,117.0,118.0,111.0,113.0,754238.04924635,85831667.71525966
2018-10-04 09:00:00,113.0,118.0,112.0,117.0,580899.83999634,66971461.38152575
2018-10-05 09:00:00,117.0,124.0,112.0,123.0,1417877.959976,167075560.62341493
2018-10-06 09:00:00,123.0,141.0,123.0,128.0,6264565.75108211,828138954.995801
2018-10-07 09:00:00,130.0,130.0,124.0,130.0,1218252.14242198,154707103.44048464
2018-10-08 09:00:00,130.0,132.0,126.0,131.0,1192426.84924541,153082652.9486094
2018-10-09 09:00:00,132.0,136.0,128.0,130.0,1220211.01679083,161260122.5980218
2018-10-10 09:00:00,131.0,246.0,131.0,153.0,99386257.64192252,16790663311.893505
2018-10-11 09:00:00,154.0,156.0,124.0,130.0,35772456.31825499,4967062484.812703
2018-10-12 09:00:00,131.0,183.0,125.0,147.0,199754987.2827834,32229934597.22894
2018-10-13 09:00:00,146.0,152.0,141.0,146.0,24461673.68405549,3569164875.6265335
2018-10-14 09:00:00,146.0,153.0,140.0,141.0,16667639.73426825,2430349433.442526
2018-10-15 09:00:00,141.0,143.0,134.0,139.0,14579221.13079376,2008123253.7146518
2018-10-16 09:00:00,139.0,144.0,135.0,143.0,8044977.95274215,1121155352.7112603
2018-10-17 09:00:00,143.0,145.0,139.0,141.0,7328803.74877861,1039106456.5835849
2018-10-18 09:00:00,141.0,142.0,136.0,139.0,7269727.01180317,1017043599.3619869
2018-10-19 09:00:00,138.0,140.0,129.0,134.0,9699103.17329235,1295460648.6786306
2018-10-20 09:00:00,133.0,140.0,132.0,137.0,4940253.5941407,668370444.2059829
2018-10-21 09:00:00,137.0,153.0,137.0,144.0,19173437.21041964,2775276442.052644
2018-10-22 09:00:00,144.0,146.0,140.0,144.0,6933809.27310265,992032010.9688824
2018-10-23 09:00:00,144.0,144.0,138.0,139.0,4376315.66390764,616547794.1766045
2018-10-24 09:00:00,139.0,140.0,137.0,137.0,2913427.95390039,402813377.34335184
2018-10-25 09:00:00,137.0,138.0,131.0,134.0,3270131.12647268,437523472.9115117
2018-10-26 09:00:00,134.0,138.0,133.0,135.0,1797085.2125735,242157132.57945675
2018-10-27 09:00:00,135.0,135.0,130.0,132.0,1196887.94266877,158768931.91045016
2018-10-28 09:00:00,132.0,135.0,127.0,134.0,2114613.9888784,276846553.35126597
2018-10-29 09:00:00,134.0,135.0,122.0,124.0,3521700.07472316,449532126.1509791
2018-10-30 09:00:00,123.0,130.0,123.0,128.0,1706491.87764433,216004251.73319516
2018-10-31 09:00:00,129.0,133.0,127.0,131.0,2464192.26117691,321864914.1301108
2018-11-01 09:00:00,131.0,137.0,130.0,132.0,2076169.91775103,275698925.33457565
2018-11-02 09:00:00,132.0,134.0,127.0,131.0,2950502.60951223,386730408.55697256
2018-11-03 09:00:00,131.0,131.0,126.0,128.0,1592946.38687352,204468048.70378435
2018-11-04 09:00:00,126.0,128.0,123.0,127.0,1918870.41683125,239739126.83533624
2018-11-05 09:00:00,126.0,130.0,123.0,124.0,2292106.37540944,287918234.67496467
2018-11-06 09:00:00,123.0,126.0,119.0,125.0,2597784.09010225,317072692.551849
2018-11-07 09:00:00,126.0,129.0,122.0,129.0,4645564.30175647,580499783.7560985
2018-11-08 09:00:00,129.0,129.0,125.0,126.0,1735705.68273198,219538427.98412815
2018-11-09 09:00:00,126.0,132.0,124.0,125.0,2571525.09853606,328910754.33101684
2018-11-10 09:00:00,127.0,128.0,124.0,127.0,596365.69433731,74995593.49245837
2018-11-11 09:00:00,126.0,134.0,122.0,125.0,5022051.886998,648503142.2725476
2018-11-12 09:00:00,125.0,134.0,124.0,130.0,9560716.59038377,1240201620.6460817
2018-11-13 09:00:00,130.0,130.0,119.0,121.0,4117459.05070462,514671497.355696
2018-11-14 09:00:00,121.0,131.0,101.0,109.0,24114965.39156555,2937023214.676447
2018-11-15 09:00:00,109.0,112.0,91.0,103.0,5174161.53269601,524317809.6912107
2018-11-16 09:00:00,103.0,105.0,94.1,95.6,2423323.11875836,242017429.0032258
2018-11-17 09:00:00,96.5,96.6,90.4,91.9,1787007.71292759,165101598.6695172
2018-11-18 09:00:00,91.9,97.4,91.9,94.8,1217647.69063139,115202375.1908418
2018-11-19 09:00:00,94.7,95.0,72.5,76.6,5510386.75473864,447737137.0101777
2018-11-20 09:00:00,76.2,76.8,57.4,66.5,4385305.05968898,289720467.77357686
2018-11-21 09:00:00,66.5,70.0,62.8,67.2,2959682.77440377,197997417.1537179
2018-11-22 09:00:00,67.9,69.3,60.9,61.3,2605066.45403903,172733817.48457965
2018-11-23 09:00:00,62.9,64.0,57.3,60.6,2679459.63180394,158291574.9660671
2018-11-24 09:00:00,60.3,62.2,51.7,52.6,2085128.77662827,124263453.84251595
2018-11-25 09:00:00,54.8,55.0,44.1,54.1,1791194.65675726,91000029.54397231
2018-11-26 09:00:00,54.0,59.2,50.3,54.7,5128445.56071727,285253483.6050689
2018-11-27 09:00:00,53.8,56.7,50.5,55.7,2444249.36539952,131086739.41759592
2018-11-28 09:00:00,55.7,73.8,55.6,66.6,25286179.28153122,1603158337.1615272
2018-11-29 09:00:00,66.7,66.8,61.4,63.6,5402944.05478461,345211802.84783304
2018-11-30 09:00:00,63.3,64.6,53.8,57.8,4730931.59901674,283815657.3854652
2018-12-01 09:00:00,57.9,69.0,57.8,62.5,15785144.32086948,1006338347.5360655
2018-12-02 09:00:00,62.5,73.2,61.5,64.7,20577145.12475231,1381570455.3983219
2018-12-03 09:00:00,64.7,64.8,56.9,58.2,6036894.11301218,364023366.97903425
2018-12-04 09:00:00,58.2,60.2,55.9,59.2,4319947.73511349,252351450.36037308
2018-12-05 09:00:00,59.4,59.4,54.5,54.5,1679755.95653816,94899937.03523438
2018-12-06 09:00:00,55.0,57.1,45.9,45.9,2709106.33829216,141307151.19216356
2018-12-07 09:00:00,45.9,57.4,41.3,52.5,2969240.11589823,143796129.87679768
2018-12-08 09:00:00,52.5,56.9,49.0,52.6,2697863.0529801,142691059.01473683
2018-12-09 09:00:00,52.6,55.7,50.5,53.5,1209825.88490118,63229414.62136103
2018-12-10 09:00:00,53.0,59.0,51.5,56.8,4117229.4537494,228305446.9911154
2018-12-11 09:00:00,56.3,57.4,47.6,49.9,3140612.60240307,164808436.9505019
2018-12-12 09:00:00,49.3,50.7,46.1,49.2,1891777.05763119,92683293.34355646
2018-12-13 09:00:00,49.2,49.4,45.0,45.0,2264636.73756884,105723736.08076659
2018-12-14 09:00:00,45.0,45.8,41.8,41.9,1216166.94245529,53883868.50826868
2018-12-15 09:00:00,42.9,45.3,41.8,44.9,1279518.69308107,55583102.76014508
2018-12-16 09:00:00,44.5,45.7,43.0,43.8,1985580.84614447,88426199.30813459
2018-12-17 09:00:00,43.5,47.9,43.1,47.2,2389391.51513334,109199488.11304706
2018-12-18 09:00:00,47.2,48.3,44.3,48.1,2883148.78505113,133590728.49446854
2018-12-19 09:00:00,48.1,51.5,45.9,48.0,5938839.68677799,285752118.5131315
2018-12-20 09:00:00,48.0,56.8,47.2,54.3,6429380.75542029,327183370.8914701
2018-12-21 09:00:00,54.2,58.3,50.0,50.8,5195246.819974,285576662.0833349
2018-12-22 09:00:00,50.9,59.5,50.7,55.1,4823222.29546382,262720989.44928423
2018-12-23 09:00:00,55.0,56.9,53.2,56.1,1322000.37417078,73162606.03842089
2018-12-24 09:00:00,54.7,62.0,54.6,57.9,5354827.73034436,317874315.30098563
2018-12-25 09:00:00,57.9,58.0,48.1,50.3,3056517.85685305,156941861.20658717
2018-12-26 09:00:00,49.9,51.9,48.7,51.4,1951729.58734524,98423510.04661638
2018-12-27 09:00:00,51.4,51.7,45.5,46.4,1221437.52597946,59855490.23882524
2018-12-28 09:00:00,46.4,55.1,45.3,51.1,7616890.75684341,380674085.7704329
2018-12-29 09:00:00,51.1,53.1,48.5,48.5,2000492.92079242,102317324.46984124
2018-12-30 09:00:00,48.9,51.9,47.5,49.3,428987.06209155,21018317.00083274
2018-12-31 09:00:00,49.4,66.1,33.5,50.3,2431737.53835572,122476647.38445604
2019-01-01 09:00:00,50.8,52.5,48.5,50.7,1227878.76543875,61284481.81450078
2019-01-02 09:00:00,50.6,56.3,50.1,55.1,1288080.85167598,68083029.34918384
2019-01-03 09:00:00,55.1,61.5,54.3,54.7,7772673.71036513,449979281.5425905
2019-01-04 09:00:00,54.7,55.3,53.3,54.2,2209213.39985787,120389195.33096644
2019-01-05 09:00:00,54.3,56.1,53.5,54.0,1314079.66744141,71751344.22219762
2019-01-06 09:00:00,54.0,56.0,52.5,55.1,2456493.29401118,133489270.44311292
2019-01-07 09:00:00,55.1,64.2,53.0,56.4,11307549.57321457,660437351.2032931
2019-01-08 09:00:00,56.4,57.9,53.5,55.2,4252481.74312135,237232670.17308348
2019-01-09 09:00:00,55.2,56.7,54.5,55.0,1330524.06127677,73966459.40696439
2019-01-10 09:00:00,55.0,55.8,46.2,47.0,3062231.87712001,156110509.539315
2019-01-11 09:00:00,47.0,49.5,46.0,48.4,1297147.80056982,61530831.08575673
2019-01-12 09:00:00,48.4,49.1,47.0,48.2,317875.3254149,15291273.36106478
2019-01-13 09:00:00,48.1,48.3,43.1,45.2,1458378.34660524,68298840.60077941
2019-01-14 09:00:00,45.3,49.4,44.8,48.9,1114462.12535022,51971477.5261291
2019-01-15 09:00:00,49.0,49.9,47.1,47.3,694468.81980208,33573921.41418971
2019-01-16 09:00:00,48.8,55.9,47.5,50.6,4914771.17081836,257250805.37439337
2019-01-17 09:00:00,50.9,51.8,48.7,51.6,2213669.49767947,111538691.51239134
2019-01-18 09:00:00,51.6,52.3,49.2,49.7,1231923.25977337,62411128.29059715
2019-01-19 09:00:00,49.7,53.2,49.6,53.1,1208015.30378185,62360161.66565683
2019-01-20 09:00:00,52.5,52.8,47.8,49.1,3651677.7242444,179810521.36745676
2019-01-21 09:00:00,49.1,49.7,47.4,49.1,1463378.92717645,70590946.2733942
2019-01-22 09:00:00,49.1,49.8,47.4,49.6,892003.4150977,43205307.75122006
2019-01-23 09:00:00,49.4,54.0,49.2,50.5,2114190.95519497,109353866.88971448
2019-01-24 09:00:00,51.2,53.5,50.2,51.9,2434567.94825965,126055698.53943886
