,open,high,low,close,volume,value
2017-09-25 09:00:00,6550.0,6820.0,6480.0,6750.0,0.0213,143.0
2017-09-26 09:00:00,6720.0,6990.0,6700.0,6760.0,0.0517,354.278
2017-09-27 09:00:00,6800.0,7020.0,6600.0,6980.0,0.0506,344.241
2017-09-28 09:00:00,7000.0,7020.0,6510.0,6510.0,0.0497,335.3
2017-09-29 09:00:00,6540.0,6630.0,6060.0,6330.0,0.0523,333.357
2017-09-30 09:00:00,6330.0,6960.0,6250.0,6590.0,0.0525,346.813
2017-10-01 09:00:00,6550.0,6620.0,6160.0,6200.0,0.0522,332.926
2017-10-02 09:00:00,6200.0,6590.0,6100.0,6190.0,0.0525,329.556
2017-10-03 09:00:00,6190.0,6690.0,5920.0,6580.0,0.0481,300.584
2017-10-04 09:00:00,6630.0,6790.0,6260.0,6420.0,0.0467,302.389
2017-10-05 09:00:00,6430.0,6450.0,6080.0,6140.0,0.0474,296.195
2017-10-06 09:00:00,6140.0,6230.0,5950.0,6120.0,0.0493,299.972
2017-10-07 09:00:00,6130.0,6130.0,5720.0,5850.0,0.0521,310.081
2017-10-08 09:00:00,5850.0,5900.0,5120.0,5290.0,0.0519,289.197
2017-10-09 09:00:00,5320.0,5720.0,5020.0,5400.0,0.0519,283.772
2017-10-10 09:00:00,5410.0,5800.0,5190.0,5650.0,0.0516,280.049
2017-10-11 09:00:00,5730.0,6300.0,5690.0,6200.0,0.0512,312.028
2017-10-12 09:00:00,6210.0,6420.0,5610.0,5790.0,0.0512,304.075
2017-10-13 09:00:00,5760.0,5970.0,5260.0,5460.0,0.0511,285.169
2017-10-14 09:00:00,5470.0,5660.0,5200.0,5420.0,0.0515,277.97
2017-10-15 09:00:00,5380.0,5700.0,5070.0,5590.0,0.0515,274.684
2017-10-16 09:00:00,5600.0,5840.0,5270.0,5610.0,0.0504,275.74
2017-10-17 09:00:00,5600.0,6020.0,5400.0,5850.0,0.0597,336.079
2017-10-18 09:00:00,5880.0,5970.0,5500.0,5920.0,81.0177,466702.232
2017-10-19 09:00:00,5940.0,6080.0,5530.0,5750.0,235.0,1357830.0
2017-10-20 09:00:00,5720.0,5870.0,5530.0,5570.0,64.91,369825.2
2017-10-24 09:00:00,5860.0,6990.0,5670.0,6480.0,2.15,13399.3
2017-10-25 09:00:00,6540.0,6540.0,5810.0,5950.0,2.33,14063.0
2017-10-26 09:00:00,5950.0,6230.0,5660.0,5920.0,2.35,13998.7
2017-10-27 09:00:00,5960.0,6030.0,5630.0,5770.0,2.33,13449.6
2017-10-28 09:00:00,5750.0,5900.0,5400.0,5500.0,2.16,12146.2
2017-10-29 09:00:00,5490.0,5820.0,5370.0,5490.0,2.34,12920.9
2017-10-30 09:00:00,5510.0,5720.0,5300.0,5610.0,3.52,19166.1
2017-10-31 09:00:00,5550.0,5670.0,5350.0,5390.0,1.98,10953.8
2017-11-01 09:00:00,5430.0,5490.0,5080.0,5090.0,2.24,11788.2
2017-11-02 09:00:00,5120.0,5430.0,4660.0,5010.0,2.3,11600.6
2017-11-03 09:00:00,5010.0,5220.0,4855.0,5170.0,2.32,11626.25
2017-11-04 09:00:00,5150.0,5440.0,4910.0,5150.0,2.31,11915.65
2017-11-05 09:00:00,5210.0,5230.0,4995.0,5070.0,1.49,7647.15
2017-11-06 09:00:00,5160.0,5390.0,5000.0,5355.0,0.78,4022.45
2017-11-07 09:00:00,5305.0,6065.0,5275.0,5995.0,5.59,31024.75
2017-11-08 09:00:00,5940.0,8180.0,5590.0,6755.0,5.85,36076.4
2017-11-09 09:00:00,6775.0,7740.0,6575.0,7295.0,5.99,43347.75
2017-11-10 09:00:00,7305.0,7465.0,6055.0,6435.0,5.94,40407.9
2017-11-11 09:00:00,6430.0,7280.0,6120.0,6585.0,5.93,39372.05
2017-11-12 09:00:00,6570.0,7170.0,5580.0,6605.0,5.91,37667.2
