,open,high,low,close,volume,value
2019-03-28 09:00:00,70.0,96.5,52.0,73.9,837689429.3299348,68231942041.99373
2019-03-29 09:00:00,73.9,75.3,67.1,68.4,1456496598.2253387,100236449979.20143
2019-03-30 09:00:00,68.4,68.4,62.4,64.2,270451504.2616912,17415073263.592007
2019-03-31 09:00:00,64.2,65.2,61.7,64.3,151835496.00087503,9586932667.11863
2019-04-01 09:00:00,64.3,65.5,62.2,64.4,21546454.64798227,1378562494.088046
2019-04-02 09:00:00,64.4,65.5,61.4,64.6,26558305.95759723,1695826819.0055737
2019-04-03 09:00:00,64.6,68.3,63.0,64.1,16419930.15795349,1082127923.9310482
2019-04-04 09:00:00,64.3,68.0,63.3,67.8,10721411.20333495,708638722.6447377
2019-04-05 09:00:00,67.7,68.3,65.2,67.3,6495151.03473803,434269228.5095677
2019-04-06 09:00:00,67.3,68.2,66.3,67.6,3420125.3652587,230477230.95636934
2019-04-07 09:00:00,67.6,72.2,66.8,70.0,10359893.88519728,728843420.444586
2019-04-08 09:00:00,70.0,70.3,65.3,68.3,6874599.61878284,468009502.7158084
2019-04-09 09:00:00,68.2,74.7,64.0,65.7,32425488.7954566,2267933458.1891704
2019-04-10 09:00:00,66.3,67.9,64.5,65.3,5738122.61583227,380193076.9883353
2019-04-11 09:00:00,65.5,65.6,58.1,61.3,4097970.14545816,251767572.96975505
2019-04-12 09:00:00,61.3,62.9,57.6,61.4,1265734.08153341,75696420.34957716
2019-04-13 09:00:00,60.9,65.3,60.7,64.5,2827882.26875239,179941123.64800543
2019-04-14 09:00:00,64.3,66.6,62.6,64.8,3962158.42646549,256638643.9924747
2019-04-15 09:00:00,64.8,65.1,60.2,61.2,2857556.21035824,179724542.08404717
2019-04-16 09:00:00,60.8,66.0,60.5,65.1,6306258.55851757,395353310.2385746
2019-04-17 09:00:00,65.1,65.9,62.1,63.1,4857976.30494532,309761072.8210556
2019-04-18 09:00:00,62.8,65.0,62.8,64.5,2456827.79861724,157483573.268627
2019-04-19 09:00:00,64.3,69.7,63.3,67.1,4669999.69731616,309575618.6720447
2019-04-20 09:00:00,67.1,70.2,66.7,66.8,4605871.44937046,314876052.4638473
2019-04-21 09:00:00,66.8,67.5,62.2,64.1,2845048.76597505,182632971.24526694
2019-04-22 09:00:00,64.1,64.6,62.4,64.3,805777.63817567,51088135.14138863
2019-04-23 09:00:00,64.1,66.5,63.0,64.0,1865485.62927886,121439370.19703247
2019-04-24 09:00:00,64.0,64.5,58.8,61.2,1561220.04295981,95283307.70549539
2019-04-25 09:00:00,61.1,61.9,56.3,56.8,1134932.8911615,67421788.14605698
2019-04-26 09:00:00,57.0,61.3,54.7,57.2,3690517.21615082,214347701.64549932
2019-04-27 09:00:00,57.2,58.0,55.7,57.4,658741.86854519,37327072.03067781
2019-04-28 09:00:00,57.7,60.0,56.0,57.1,726351.20751593,42327030.66280443
2019-04-29 09:00:00,59.4,59.4,54.4,56.0,468387.62686386,26181045.46049764
2019-04-30 09:00:00,56.4,58.7,55.0,58.3,384679.46787105,21987761.91876758
2019-05-01 09:00:00,58.5,59.4,57.8,58.5,149792.64593827,8749815.48132813
2019-05-02 09:00:00,58.6,59.8,58.2,59.3,1105204.30029175,65224698.14790557
2019-05-03 09:00:00,59.5,60.6,58.7,59.3,1409018.73827182,83952395.19054167
2019-05-04 09:00:00,59.4,60.0,54.4,56.5,1362082.40405562,78414032.45703202
2019-05-05 09:00:00,57.0,59.5,56.5,58.7,760426.72471221,43951907.16102185
2019-05-06 09:00:00,58.6,59.6,56.2,59.4,503571.67176603,29272226.3057539
2019-05-07 09:00:00,58.8,59.5,56.4,56.4,501083.86319918,29389856.34416283
2019-05-08 09:00:00,56.3,57.2,54.5,55.8,655966.04321326,36292458.18427468
2019-05-09 09:00:00,56.2,56.8,51.4,52.6,692255.95009622,37999274.24749641
2019-05-10 09:00:00,52.2,56.9,50.9,55.3,5757512.79957653,313002492.74019504
2019-05-11 09:00:00,55.3,58.8,54.5,58.5,1285608.85526443,72578815.49302714
2019-05-12 09:00:00,58.5,59.3,53.0,53.7,883411.49909564,48871111.31775689
2019-05-13 09:00:00,54.5,64.0,54.1,55.1,4272162.48336327,252928115.31428722
2019-05-14 09:00:00,56.4,60.5,55.7,60.5,2819533.3816916,164248714.86060005
2019-05-15 09:00:00,60.5,68.8,59.7,66.5,5863332.39881006,372161021.35628736
2019-05-16 09:00:00,66.9,72.4,62.1,68.4,7659645.6488661,524188903.1743349
2019-05-17 09:00:00,68.4,71.6,57.2,64.2,3210422.054035,198872932.26574975
2019-05-18 09:00:00,65.1,70.1,63.8,65.9,1326276.25924275,89585988.0663315
2019-05-19 09:00:00,66.0,68.5,65.6,66.2,645317.443844,43258576.43252534
2019-05-20 09:00:00,66.3,66.6,63.2,64.5,858984.86130867,55519788.48347925
2019-05-21 09:00:00,65.2,71.1,64.5,68.4,1640486.01446579,112090043.58645669
2019-05-22 09:00:00,68.2,73.2,66.3,67.9,4964714.91828418,343336335.3116517
2019-05-23 09:00:00,67.8,77.8,63.8,75.6,4278187.68019271,306571053.8669023
2019-05-24 09:00:00,75.6,82.3,70.6,71.1,20911394.07145701,1634746354.0503244
2019-05-25 09:00:00,73.0,75.8,70.4,71.5,5478549.07568176,397959137.44363683
2019-05-26 09:00:00,71.1,77.6,68.3,70.7,7994511.70987356,586418741.1067364
2019-05-27 09:00:00,70.8,73.3,70.5,71.4,1434240.06173412,102559308.14637642
2019-05-28 09:00:00,71.4,74.7,70.0,72.6,2985884.81589646,215734166.0177254
2019-05-29 09:00:00,73.3,84.6,69.6,74.0,58224164.71245258,4637771461.970577
2019-05-30 09:00:00,74.0,76.9,68.5,69.4,2861373.08733497,210732568.22769943
2019-05-31 09:00:00,69.5,79.7,66.3,72.8,14006555.94876783,1033484480.364017
2019-06-01 09:00:00,72.8,73.7,69.8,70.8,896282.06372301,64562302.93579524
2019-06-02 09:00:00,70.9,74.0,70.9,73.4,1038735.15212366,75406555.25723805
2019-06-03 09:00:00,73.3,74.9,67.2,67.2,3853832.28933338,278787038.1315132
2019-06-04 09:00:00,67.2,68.0,61.4,64.0,1065335.80943581,68883183.80637307
2019-06-05 09:00:00,64.0,68.7,63.0,64.6,1299394.64536223,84365335.01303081
2019-06-06 09:00:00,64.6,72.1,64.0,68.5,2599084.13162614,178876493.23196736
2019-06-07 09:00:00,69.0,74.6,67.6,70.8,6450999.22022252,463290629.10859495
2019-06-08 09:00:00,71.2,74.2,70.3,72.2,5251836.01991722,379579492.8267745
2019-06-09 09:00:00,72.9,79.5,69.5,70.4,25371323.18566147,1913294659.5847876
2019-06-10 09:00:00,70.7,77.6,68.1,73.5,13147189.75283992,958111920.4967465
2019-06-11 09:00:00,73.5,73.9,69.7,72.1,2402821.09344725,172558454.7690272
2019-06-12 09:00:00,72.1,72.1,69.3,69.6,1376482.40277751,97411475.13246766
2019-06-13 09:00:00,70.1,71.5,67.9,68.6,2261405.35482181,158280756.97906825
2019-06-14 09:00:00,68.6,71.2,66.9,69.1,2959306.19877268,204398896.86539966
2019-06-15 09:00:00,69.0,72.1,67.8,69.4,1343454.10887122,93884050.59298348
2019-06-16 09:00:00,70.1,72.0,66.6,67.4,910514.98885794,62300040.23355823
2019-06-17 09:00:00,67.4,69.5,66.3,67.2,668220.97010594,45272904.0501479
2019-06-18 09:00:00,67.3,70.9,65.5,67.8,5998609.25813415,410972905.24187315
2019-06-19 09:00:00,68.0,71.0,66.9,69.0,1988896.38803874,136350196.11410764
2019-06-20 09:00:00,69.7,70.0,66.2,67.5,938615.79815945,64202262.98571055
2019-06-21 09:00:00,67.8,69.4,65.8,66.0,568911.39609586,38419819.02105116
2019-06-22 09:00:00,65.9,66.9,62.3,64.1,927277.93601329,59923599.8107722
2019-06-23 09:00:00,64.4,69.6,61.6,62.7,4489635.83591648,293609099.95207983
2019-06-24 09:00:00,62.9,66.0,62.1,63.2,927011.30337438,59167516.88757563
2019-06-25 09:00:00,63.3,65.0,61.1,61.5,1675622.89895704,105729874.7662624
2019-06-26 09:00:00,61.6,65.5,58.5,60.8,3064722.09990855,192690142.5356155
2019-06-27 09:00:00,60.8,62.1,55.1,56.8,1707676.32417899,99493802.27284576
2019-06-28 09:00:00,56.7,58.7,54.8,58.0,1319243.4996385,74589769.40628517
