,open,high,low,close,volume,value
2019-06-20 09:00:00,2.1,18.9,2.1,6.65,26000310802.479305,211046680458.06122
2019-06-21 09:00:00,6.65,6.87,5.62,5.87,39287625600.26268,239748424674.72504
2019-06-22 09:00:00,5.87,5.9,4.65,4.81,5796081982.477851,29817785551.464714
2019-06-23 09:00:00,4.81,5.06,4.34,4.59,9549182033.32493,44569535760.49356
2019-06-24 09:00:00,4.58,5.23,4.49,5.0,4104829924.47264,20512642216.31103
2019-06-25 09:00:00,5.0,5.24,4.66,4.91,2048307808.757694,10273598157.680717
2019-06-26 09:00:00,4.93,6.24,4.66,5.54,3711917675.8213735,20785578094.817528
2019-06-27 09:00:00,5.54,6.1,5.03,5.33,2035227539.017433,11437927209.503366
2019-06-28 09:00:00,5.39,5.6,4.89,5.25,613155416.6448181,3142773514.573016
2019-06-29 09:00:00,5.25,5.41,4.9,5.09,403968108.7769421,2051548175.0209172
2019-06-30 09:00:00,5.09,5.12,4.51,4.72,291495869.6384331,1418266170.3346572
2019-07-01 09:00:00,4.67,4.96,4.58,4.77,641021704.5988915,3072582579.937842
2019-07-02 09:00:00,4.8,5.04,4.6,4.9,823182165.6658921,3978960909.4409823
2019-07-03 09:00:00,4.9,5.0,4.67,4.84,266640319.99860173,1276782096.300697
2019-07-04 09:00:00,4.84,4.9,4.66,4.76,235289415.96406674,1123076418.9394658
2019-07-05 09:00:00,4.76,4.89,4.6,4.74,180039125.05034903,854939836.9527811
2019-07-06 09:00:00,4.75,4.87,4.72,4.79,158517492.63146287,759162388.7612046
2019-07-07 09:00:00,4.8,5.02,4.75,5.01,326324715.4997129,1590020643.1423976
2019-07-08 09:00:00,5.01,5.06,4.71,4.78,361351829.55155766,1743558686.1224716
2019-07-09 09:00:00,4.77,4.79,4.62,4.64,182580442.58154726,855522636.9819728
2019-07-10 09:00:00,4.64,4.65,3.85,3.99,353791997.12029946,1484125144.2723331
2019-07-11 09:00:00,3.98,3.99,3.24,3.42,357273904.69031936,1250427054.6785233
2019-07-12 09:00:00,3.4,3.65,3.34,3.57,305596500.03303003,1063519717.1892922
2019-07-13 09:00:00,3.57,3.59,3.37,3.48,85810145.8127644,297621545.67816556
2019-07-14 09:00:00,3.48,3.48,3.1,3.18,81972465.3768831,270155786.1995823
2019-07-15 09:00:00,3.15,3.16,2.76,3.02,232304240.17562565,673777835.2646908
2019-07-16 09:00:00,3.05,3.11,2.51,2.54,138516300.1833039,391564989.6981166
2019-07-17 09:00:00,2.54,2.6,2.32,2.58,111980388.4011681,278697461.81975585
2019-07-18 09:00:00,2.58,2.84,2.5,2.73,299232738.35091805,801751276.0932738
2019-07-19 09:00:00,2.74,3.45,2.73,3.14,751930997.0940768,2366893963.7646456
2019-07-20 09:00:00,3.13,3.25,2.96,3.18,193695152.1900499,598212264.8637292
2019-07-21 09:00:00,3.16,3.4,2.89,3.07,205425696.3912881,654545948.8541582
2019-07-22 09:00:00,3.06,3.62,2.96,3.35,654891786.4937288,2131524548.418915
2019-07-23 09:00:00,3.35,3.47,2.99,3.07,295494611.32068866,960065767.1993465
2019-07-24 09:00:00,3.08,3.1,2.79,2.9,89102340.74300884,257942092.64726427
2019-07-25 09:00:00,2.91,3.18,2.86,2.99,283656940.0909304,840798403.9624012
2019-07-26 09:00:00,2.96,3.7,2.83,3.24,921199870.5140946,3015065798.38994
2019-07-27 09:00:00,3.25,4.07,2.87,3.05,2206077221.626573,7583141320.910581
2019-07-28 09:00:00,3.05,3.29,2.82,2.94,446528752.9404987,1365035550.9452794
2019-07-29 09:00:00,2.97,3.09,2.81,2.99,374353402.8855732,1102896076.3080528
2019-07-30 09:00:00,2.99,3.22,2.85,2.94,502571282.6733314,1533532972.6412916
2019-07-31 09:00:00,2.95,3.1,2.87,3.0,187865490.4991679,558489152.1282731
2019-08-01 09:00:00,3.0,3.1,2.91,2.98,269242960.36420584,811892310.368294
2019-08-02 09:00:00,2.98,3.0,2.86,2.91,91156643.68581876,266380638.11275926
2019-08-03 09:00:00,2.91,2.93,2.69,2.76,75278611.67082185,211934222.73037577
2019-08-04 09:00:00,2.76,2.79,2.6,2.75,52257946.2786685,139642781.59867707
2019-08-05 09:00:00,2.75,2.76,2.56,2.68,72552161.00002238,192031331.26044363
2019-08-06 09:00:00,2.66,2.71,2.5,2.54,62314000.28660896,161864211.38825974
2019-08-07 09:00:00,2.53,2.54,2.46,2.51,29355281.24374262,73339662.28179735
2019-08-08 09:00:00,2.51,2.54,2.36,2.42,120336168.92462987,289935935.51176745
2019-08-09 09:00:00,2.42,2.48,2.12,2.22,140962896.151131,319589817.2774897
2019-08-10 09:00:00,2.21,2.26,2.03,2.25,114064340.04595417,244178055.80726507
2019-08-11 09:00:00,2.25,2.34,2.16,2.28,208390747.51682752,465685039.46719366
2019-08-12 09:00:00,2.28,2.29,2.12,2.17,161126546.52630502,351206575.6806699
2019-08-13 09:00:00,2.17,2.23,2.07,2.14,126328525.1052444,272510402.41435045
2019-08-14 09:00:00,2.13,2.25,2.05,2.11,215598576.22814646,465205205.7603604
2019-08-15 09:00:00,2.1,2.21,1.89,2.12,191761695.36110252,387057925.9691207
2019-08-16 09:00:00,2.12,2.12,1.97,2.0,94080929.63829902,190460511.97687915
2019-08-17 09:00:00,2.0,2.03,1.98,2.03,25637416.17494094,51448757.02297741
2019-08-18 09:00:00,2.03,2.07,1.95,2.07,73213508.75258245,146935341.46912065
2019-08-19 09:00:00,2.07,2.09,2.02,2.06,58046506.58797384,118836386.65713893
2019-08-20 09:00:00,2.07,2.07,1.94,1.99,77008451.43180148,153286733.35374817
