,open,high,low,close,volume,value
2018-10-05 09:00:00,5.0,50.0,5.0,9.8,8578473251.553541,100927507599.74615
2018-10-06 09:00:00,9.79,10.0,8.15,8.43,1244725494.8656757,11354296352.732883
2018-10-07 09:00:00,8.42,8.48,7.55,7.77,507178198.55153877,3977389571.445208
2018-10-08 09:00:00,7.79,8.37,7.72,8.19,1914436137.889063,15411563277.542984
2018-10-09 09:00:00,8.19,8.2,7.79,7.96,206746512.8032107,1652729389.144203
2018-10-10 09:00:00,7.98,9.23,7.41,7.88,573018377.7229217,4645649003.652812
2018-10-11 09:00:00,7.89,8.2,6.71,6.72,318407160.58553684,2357028385.0010824
2018-10-12 09:00:00,6.72,8.23,6.67,6.99,282619245.44449997,2063107257.1936553
2018-10-13 09:00:00,6.94,7.33,6.86,7.08,75361218.7248712,531162163.8633364
2018-10-14 09:00:00,7.08,7.79,7.0,7.33,248937275.81897163,1832290880.3981357
2018-10-15 09:00:00,7.33,7.54,7.11,7.35,127683624.52511638,933889603.1141591
2018-10-16 09:00:00,7.35,7.72,7.26,7.49,106148782.86042668,791063335.8978143
2018-10-17 09:00:00,7.49,7.83,7.28,7.44,159726987.08887595,1189940254.1287735
2018-10-18 09:00:00,7.39,7.82,7.35,7.52,246695213.190518,1858512166.0078354
2018-10-19 09:00:00,7.51,7.55,7.21,7.47,100919642.44117193,745784807.1090175
2018-10-20 09:00:00,7.47,7.52,7.38,7.52,74942639.7272485,557558786.3609976
2018-10-21 09:00:00,7.52,7.72,7.45,7.57,140386455.23242643,1062158996.9437
2018-10-22 09:00:00,7.57,7.68,7.42,7.54,88943502.00691415,667385567.845978
2018-10-23 09:00:00,7.54,7.83,7.45,7.68,221374433.77579004,1690301602.7671535
2018-10-24 09:00:00,7.68,7.76,7.56,7.76,99423337.91175131,761040488.9571564
2018-10-25 09:00:00,7.76,7.76,7.43,7.53,75305301.1848273,569569720.1311429
2018-10-26 09:00:00,7.56,7.57,7.1,7.4,66352472.51360147,488594909.3001489
2018-10-27 09:00:00,7.4,7.41,7.24,7.27,30787767.68014009,225694244.18534917
2018-10-28 09:00:00,7.27,7.34,7.11,7.26,37697726.62212197,271833345.0041307
2018-10-29 09:00:00,7.26,7.3,6.8,6.9,79186092.59619498,559933224.8102862
2018-10-30 09:00:00,6.9,7.09,6.89,7.06,22413113.65515884,157499898.09110427
2018-10-31 09:00:00,7.06,7.18,6.93,7.06,39868120.66692548,279995078.82129574
2018-11-01 09:00:00,7.07,7.2,7.01,7.11,27380057.41020736,193672079.97620222
2018-11-02 09:00:00,7.1,7.11,6.87,7.03,72769573.28265825,508704804.83801097
2018-11-03 09:00:00,7.03,7.04,6.87,6.95,63944888.40807402,442727648.67338103
2018-11-04 09:00:00,6.94,6.95,6.7,6.87,77947974.5433234,532254151.98069054
2018-11-05 09:00:00,6.87,6.9,6.65,6.71,73764467.1494474,498783282.0517074
2018-11-06 09:00:00,6.72,7.57,6.57,7.35,808536155.521427,5640037191.77783
2018-11-07 09:00:00,7.33,8.99,7.05,8.61,1309115368.3760846,10719840138.572893
2018-11-08 09:00:00,8.63,9.27,7.93,8.15,898667013.2022576,7630017813.028377
2018-11-09 09:00:00,8.15,8.17,7.42,7.53,337887121.3128594,2608485198.848283
2018-11-10 09:00:00,7.53,8.02,7.47,7.6,302751364.39535934,2346893432.125956
2018-11-11 09:00:00,7.63,7.97,7.28,7.48,311547255.26113945,2380618035.745857
2018-11-12 09:00:00,7.49,7.78,7.29,7.41,169372795.8065585,1263937610.67479
2018-11-13 09:00:00,7.4,7.52,7.12,7.5,162415323.55110714,1183424671.866899
2018-11-14 09:00:00,7.5,7.81,6.65,6.97,281569514.12659454,2046569039.039963
2018-11-15 09:00:00,6.95,6.99,5.88,6.43,133218359.29688536,854842240.5434273
2018-11-16 09:00:00,6.43,6.62,6.12,6.23,75073563.08193123,475410121.8513707
2018-11-17 09:00:00,6.22,6.32,5.89,6.12,70481839.55274373,426977756.723523
2018-11-18 09:00:00,6.08,6.64,6.08,6.24,82109814.17814071,517901923.04637843
2018-11-19 09:00:00,6.22,6.24,4.79,4.94,240871414.3118765,1275780044.2398136
2018-11-20 09:00:00,4.93,5.25,3.65,4.25,189641402.1292581,840283299.5658305
2018-11-21 09:00:00,4.21,4.72,4.0,4.48,81310352.89823306,357720032.12384576
2018-11-22 09:00:00,4.48,4.7,4.2,4.22,47582146.29760199,208091229.5448155
2018-11-23 09:00:00,4.22,4.32,3.89,4.28,60581474.72101602,248533213.40983436
2018-11-24 09:00:00,4.28,4.4,3.66,3.84,79790990.96354628,321536879.22895736
2018-11-25 09:00:00,3.81,3.82,3.0,3.58,159018636.28890258,548494676.2345139
2018-11-26 09:00:00,3.56,4.17,3.27,3.68,287196021.2757324,1058249145.4432061
2018-11-27 09:00:00,3.67,4.38,3.52,4.25,356948430.25448585,1392845875.054425
2018-11-28 09:00:00,4.25,5.12,4.09,4.65,384753662.73534924,1731245592.4146912
2018-11-29 09:00:00,4.64,4.91,4.23,4.37,195675431.57534796,875005167.7240801
2018-11-30 09:00:00,4.36,4.37,3.82,4.02,118462616.0671675,481115787.679202
2018-12-01 09:00:00,4.02,4.45,3.93,4.26,171136868.4341479,717707831.379627
2018-12-02 09:00:00,4.25,4.46,4.08,4.24,116558722.73959956,495483339.66301084
2018-12-03 09:00:00,4.24,4.52,3.92,3.98,113464865.42621347,468970396.01030636
2018-12-04 09:00:00,3.98,4.3,3.82,4.15,127554232.94748826,513012807.7405068
2018-12-05 09:00:00,4.13,4.13,3.79,3.9,50456627.7761177,198090970.19485125
2018-12-06 09:00:00,3.86,3.92,3.22,3.26,72073081.14238805,264078661.44744208
2018-12-07 09:00:00,3.26,3.47,2.79,3.09,112254722.94786286,340558100.59021854
2018-12-08 09:00:00,3.07,3.4,2.9,3.11,42303386.57624557,131418150.96696553
2018-12-09 09:00:00,3.09,3.23,2.99,3.18,45357980.36210573,140780665.52162963
2018-12-10 09:00:00,3.18,3.28,2.99,3.09,58212950.47536824,179410385.0905142
2018-12-11 09:00:00,3.05,3.22,2.97,3.1,76549702.69142486,236709690.40107906
2018-12-12 09:00:00,3.1,3.59,3.1,3.53,96901350.73101874,323461004.5499061
2018-12-13 09:00:00,3.51,4.19,3.51,3.57,461735922.753035,1813750307.5752661
2018-12-14 09:00:00,3.61,4.08,3.47,3.64,223636031.58845925,846831594.5764526
2018-12-15 09:00:00,3.64,3.89,3.38,3.52,115815208.03191315,419680663.3258312
2018-12-16 09:00:00,3.56,4.1,3.48,3.71,135371657.8747072,498570859.2236785
2018-12-17 09:00:00,3.72,4.0,3.57,3.96,134420532.97767195,500865887.6482304
2018-12-18 09:00:00,3.97,4.12,3.74,4.11,232532064.99496785,910748282.4089684
2018-12-19 09:00:00,4.12,4.35,3.92,4.12,244340604.2135227,1000118843.7194631
2018-12-20 09:00:00,4.1,4.32,3.8,4.27,540243715.0155516,2209889733.643119
2018-12-21 09:00:00,4.26,4.49,3.6,3.86,390444757.36710924,1554409795.685327
2018-12-22 09:00:00,3.86,4.03,3.7,3.9,94157532.70092697,360905962.38292575
2018-12-23 09:00:00,3.9,3.95,3.76,3.92,98629316.1480462,381065860.2152136
2018-12-24 09:00:00,3.92,4.07,3.85,3.93,280888470.1361798,1109874273.0984676
2018-12-25 09:00:00,3.93,3.94,3.43,3.51,102142107.57269634,369952529.7195387
2018-12-26 09:00:00,3.51,3.58,3.35,3.49,86442180.28835538,299737758.8993921
2018-12-27 09:00:00,3.48,3.5,3.19,3.2,47037434.39308884,156924522.2732331
2018-12-28 09:00:00,3.21,3.45,3.11,3.41,95313580.93901497,308755160.0884203
2018-12-29 09:00:00,3.39,3.42,3.22,3.26,78902597.42768678,262777822.9894294
2018-12-30 09:00:00,3.26,3.35,3.21,3.28,44311848.9324985,145136617.82129088
2018-12-31 09:00:00,3.28,3.5,3.01,3.24,69349965.81329972,230730742.6233842
2019-01-01 09:00:00,3.24,3.3,3.15,3.26,39235698.78604852,126423979.71062288
2019-01-02 09:00:00,3.26,3.35,3.15,3.32,97884117.69592199,317380142.36897135
2019-01-03 09:00:00,3.33,3.6,3.25,3.5,259231059.00543597,882416548.9477439
2019-01-04 09:00:00,3.5,3.8,3.41,3.64,267665525.19290283,957327139.9470654
2019-01-05 09:00:00,3.63,3.65,3.46,3.53,79447615.42845918,280021809.6278509
2019-01-06 09:00:00,3.53,3.6,3.47,3.58,61320954.53366587,215929501.49224135
2019-01-07 09:00:00,3.58,3.58,3.42,3.49,45526053.50166257,158713260.92807114
2019-01-08 09:00:00,3.49,3.5,3.36,3.45,58093986.97096238,198381393.66607
2019-01-09 09:00:00,3.44,3.5,3.33,3.4,45352660.75507292,154863053.66248357
2019-01-10 09:00:00,3.42,3.44,2.92,3.06,115907172.3408984,365331629.4754803
2019-01-11 09:00:00,3.05,3.15,2.95,3.12,42286097.44171736,128574096.85255048
2019-01-12 09:00:00,3.12,3.15,3.0,3.1,21402310.61069661,65714229.92360381
2019-01-13 09:00:00,3.1,3.1,2.9,2.97,26158907.57360778,78396855.88860859
2019-01-14 09:00:00,2.99,3.12,2.96,3.04,40342556.52080791,122319035.55702956
2019-01-15 09:00:00,3.07,3.1,2.94,3.03,56435288.03437974,169328196.75252825
2019-01-16 09:00:00,3.02,3.13,2.97,3.06,69403585.16419756,211148179.35314974
2019-01-17 09:00:00,3.06,3.22,2.99,3.1,94122014.62692103,289659455.43587023
2019-01-18 09:00:00,3.11,3.13,2.98,3.07,76961207.32897688,233125931.20435303
2019-01-19 09:00:00,3.05,4.43,3.04,4.19,3946002527.9623013,15547884603.648392
2019-01-20 09:00:00,4.19,4.4,3.53,3.88,862980331.6668186,3428425639.0235
2019-01-21 09:00:00,3.89,3.89,3.53,3.64,229379977.36627936,836905023.8217636
2019-01-22 09:00:00,3.66,3.66,3.27,3.52,176294866.89051354,607749592.1379141
2019-01-23 09:00:00,3.52,3.85,3.45,3.63,189726368.5333426,690588772.5490257
2019-01-24 09:00:00,3.63,3.64,3.37,3.46,76555767.4182734,263578075.28604165
2019-01-25 09:00:00,3.45,3.48,3.13,3.3,174966673.18050188,571641131.9519554
2019-01-26 09:00:00,3.28,3.35,3.19,3.29,72135444.78262807,236104651.68737248
2019-01-27 09:00:00,3.28,3.31,3.12,3.25,51078537.46280686,164427720.31523642
2019-01-28 09:00:00,3.25,3.25,2.96,3.03,112788623.90836623,343260929.79811937
