,open,high,low,close,volume,value
2023-10-24 09:00:00,555.0,4425.0,555.0,1020.0,932946061.8804444,1735354358747.7083
2023-10-25 09:00:00,1025.0,1040.0,860.0,919.0,262307250.36539537,246353263549.28784
2023-10-26 09:00:00,920.0,989.0,846.0,883.0,114844667.7174043,105519253004.05309
2023-10-27 09:00:00,884.0,887.0,822.0,846.0,34663855.96864623,29239420478.465412
2023-10-28 09:00:00,846.0,861.0,825.0,839.0,35044872.52613713,29456756853.071777
2023-10-29 09:00:00,839.0,875.0,820.0,835.0,32846939.71840818,27562233691.804447
2023-10-30 09:00:00,835.0,878.0,826.0,858.0,32101206.76812563,27408106879.491936
2023-10-31 09:00:00,858.0,866.0,774.0,802.0,24449391.31645257,20230021622.861458
2023-11-01 09:00:00,802.0,820.0,767.0,807.0,14517808.6276483,11452657643.194254
2023-11-02 09:00:00,808.0,826.0,770.0,790.0,13180631.02360732,10535739041.893229
2023-11-03 09:00:00,789.0,811.0,769.0,807.0,12348012.66895697,9752032797.82261
2023-11-04 09:00:00,807.0,813.0,795.0,810.0,10200102.22233972,8208110789.167247
2023-11-05 09:00:00,809.0,842.0,785.0,799.0,16584656.87613048,13432028139.284657
2023-11-06 09:00:00,799.0,833.0,776.0,832.0,12641660.19776169,10130126305.351274
2023-11-07 09:00:00,832.0,838.0,788.0,813.0,15660015.82911311,12781044030.734047
2023-11-08 09:00:00,813.0,843.0,801.0,842.0,8650807.435573,7117410302.830864
2023-11-09 09:00:00,842.0,1025.0,830.0,908.0,302945975.75938886,289465873941.30817
2023-11-10 09:00:00,905.0,962.0,892.0,936.0,93204027.496952,85893462887.50555
2023-11-11 09:00:00,936.0,948.0,875.0,909.0,28675260.20527064,26059464942.071983
2023-11-12 09:00:00,909.0,911.0,860.0,888.0,14701923.6145016,13002661036.234465
2023-11-13 09:00:00,888.0,928.0,840.0,850.0,22831449.3949244,20022762793.718075
2023-11-14 09:00:00,850.0,853.0,790.0,806.0,17940959.39152132,14830269439.79936
2023-11-15 09:00:00,806.0,845.0,795.0,842.0,13987559.25130668,11449822054.888884
2023-11-16 09:00:00,842.0,864.0,797.0,813.0,12749242.51509094,10636559619.735851
2023-11-17 09:00:00,812.0,829.0,789.0,817.0,8320945.687796,6745546281.318165
2023-11-18 09:00:00,818.0,860.0,784.0,818.0,20486445.802133,16885033139.586288
2023-11-19 09:00:00,817.0,839.0,795.0,835.0,8383801.07415906,6839070882.985682
2023-11-20 09:00:00,835.0,896.0,831.0,857.0,43527795.67708948,37894902190.357994
2023-11-21 09:00:00,857.0,895.0,790.0,796.0,41560366.94596688,35818119587.0116
2023-11-22 09:00:00,796.0,847.0,792.0,838.0,15318473.42297524,12582222918.098799
2023-11-23 09:00:00,837.0,939.0,836.0,921.0,102844745.09283368,92265433152.63461
2023-11-24 09:00:00,921.0,1040.0,901.0,1015.0,139686337.29404834,136518079850.67685
2023-11-25 09:00:00,1015.0,1195.0,996.0,1090.0,184253799.90462047,204999125421.13803
2023-11-26 09:00:00,1085.0,1115.0,989.0,1015.0,80610120.59751198,84193185463.83215
2023-11-27 09:00:00,1015.0,1015.0,917.0,951.0,43550935.40788704,41685837934.59935
2023-11-28 09:00:00,951.0,998.0,897.0,994.0,46163166.07869312,43911235839.82428
2023-11-29 09:00:00,994.0,1005.0,929.0,940.0,39781279.79000945,38686938480.767456
2023-11-30 09:00:00,940.0,1000.0,939.0,958.0,85849404.52321696,83570350151.00922
2023-12-01 09:00:00,957.0,1045.0,956.0,1005.0,58705638.2407038,58357011321.91991
2023-12-02 09:00:00,1010.0,1045.0,989.0,1010.0,25592341.053894,25701303786.898655
2023-12-03 09:00:00,1015.0,1015.0,964.0,990.0,29413935.90978372,29053160445.234226
