,open,high,low,close,volume,value
2020-02-21 09:00:00,1620.0,2620.0,1010.0,1230.0,52881861.78890968,89266013862.9943
2020-02-22 09:00:00,1225.0,1300.0,856.0,912.0,57488624.39241866,52927335126.46497
2020-02-23 09:00:00,913.0,995.0,860.0,918.0,44447672.98509212,41235337801.55831
2020-02-24 09:00:00,919.0,943.0,820.0,828.0,4209895.97720899,3688337570.079157
2020-02-25 09:00:00,827.0,869.0,685.0,740.0,21724789.73314558,17027985077.130623
2020-02-26 09:00:00,740.0,777.0,690.0,734.0,11172102.42524408,8218438599.597354
2020-02-27 09:00:00,734.0,990.0,690.0,788.0,25445273.63815697,20751092148.782127
2020-02-28 09:00:00,785.0,894.0,759.0,837.0,15859664.42463285,13138106327.39403
2020-02-29 09:00:00,837.0,850.0,785.0,794.0,4824737.39381877,3882592730.1731763
2020-03-01 09:00:00,795.0,800.0,727.0,733.0,5246071.34466044,3953227560.473201
2020-03-02 09:00:00,733.0,766.0,732.0,751.0,3657071.39273687,2725915057.796568
2020-03-03 09:00:00,752.0,755.0,713.0,727.0,3581046.15408871,2639493112.9545636
2020-03-04 09:00:00,726.0,737.0,676.0,693.0,4110928.15623884,2886823215.612157
2020-03-05 09:00:00,693.0,720.0,664.0,699.0,5582784.95694242,3859075568.0349207
2020-03-06 09:00:00,699.0,964.0,671.0,888.0,57814185.83611893,49900028684.20656
2020-03-07 09:00:00,888.0,932.0,824.0,841.0,22338904.53403001,19586455119.81433
2020-03-08 09:00:00,842.0,865.0,705.0,737.0,14417180.81905995,11598392460.177353
2020-03-09 09:00:00,735.0,785.0,690.0,743.0,11236392.49503358,8279355477.964651
2020-03-10 09:00:00,742.0,749.0,704.0,726.0,5132133.43929682,3716578797.864502
2020-03-11 09:00:00,726.0,730.0,680.0,714.0,4451173.94976269,3127585543.516505
2020-03-12 09:00:00,714.0,947.0,482.0,576.0,65337491.31392432,47489125248.24191
2020-03-13 09:00:00,577.0,656.0,399.0,613.0,68693089.3214393,39461850327.3598
2020-03-14 09:00:00,613.0,647.0,542.0,600.0,32169429.30528689,19472941639.323097
2020-03-15 09:00:00,598.0,612.0,550.0,570.0,8035146.89234748,4668691031.787035
2020-03-16 09:00:00,570.0,571.0,419.0,457.0,14260551.92423747,6730839152.231525
2020-03-17 09:00:00,456.0,483.0,428.0,467.0,9868135.70109257,4520196987.995246
2020-03-18 09:00:00,467.0,469.0,407.0,433.0,5862399.8694605,2543600879.225379
2020-03-19 09:00:00,433.0,517.0,414.0,466.0,16167727.70613033,7425531284.284977
2020-03-20 09:00:00,467.0,510.0,429.0,450.0,19879486.42212821,9434679620.065834
2020-03-21 09:00:00,450.0,496.0,424.0,494.0,7002002.31652644,3160476196.0229144
2020-03-22 09:00:00,494.0,495.0,431.0,435.0,11434184.49917365,5309569331.79503
2020-03-23 09:00:00,437.0,449.0,407.0,434.0,7133676.35419824,3043540492.010846
2020-03-24 09:00:00,433.0,435.0,402.0,418.0,5454530.63392668,2272165064.00353
2020-03-25 09:00:00,419.0,419.0,405.0,410.0,3198404.5020011,1312463224.9722495
2020-03-26 09:00:00,410.0,411.0,371.0,392.0,5881339.7944289,2278531138.2671013
2020-03-27 09:00:00,392.0,392.0,364.0,370.0,4313740.11505236,1637445218.7437959
2020-03-28 09:00:00,371.0,371.0,331.0,348.0,4012923.80600261,1392993572.3214033
2020-03-29 09:00:00,349.0,408.0,344.0,357.0,19466200.23942639,7339601299.278375
2020-03-30 09:00:00,357.0,366.0,346.0,360.0,6974275.54709418,2483185518.1218753
2020-03-31 09:00:00,360.0,371.0,338.0,354.0,5329060.85092262,1870447016.965099
2020-04-01 09:00:00,352.0,354.0,336.0,347.0,2992832.28180884,1022359980.2713441
2020-04-02 09:00:00,346.0,353.0,335.0,343.0,3163182.57920343,1082424939.3912427
2020-04-03 09:00:00,343.0,350.0,334.0,340.0,2331145.61590242,798217449.9828589
2020-04-04 09:00:00,339.0,342.0,333.0,337.0,2507060.60373992,845370246.0920699
2020-04-05 09:00:00,337.0,337.0,317.0,325.0,3251919.97086111,1066669888.5996889
2020-04-06 09:00:00,324.0,331.0,313.0,330.0,5560581.39772904,1775919296.1137714
2020-04-07 09:00:00,330.0,331.0,311.0,315.0,6248417.51753132,1993126144.9626672
2020-04-08 09:00:00,314.0,325.0,304.0,317.0,6304054.24926405,1982584346.935511
2020-04-09 09:00:00,317.0,317.0,299.0,309.0,4094913.99487704,1263657047.2832584
2020-04-10 09:00:00,308.0,309.0,278.0,283.0,4558629.47581242,1322274147.209141
2020-04-11 09:00:00,284.0,292.0,281.0,286.0,2347068.62949372,671730576.0545818
2020-04-12 09:00:00,285.0,287.0,280.0,284.0,1581522.2916354,449630492.2298846
2020-04-13 09:00:00,283.0,286.0,264.0,272.0,4661785.13291396,1265378791.7585876
2020-04-14 09:00:00,272.0,279.0,266.0,274.0,2803886.06280212,763049420.1017668
2020-04-15 09:00:00,274.0,276.0,261.0,264.0,2056793.34966383,552765972.7934932
2020-04-16 09:00:00,263.0,264.0,246.0,259.0,3824818.66526802,980125549.4775789
2020-04-17 09:00:00,258.0,259.0,246.0,252.0,4052647.19577943,1021371027.3020239
2020-04-18 09:00:00,252.0,318.0,250.0,296.0,41452268.53043478,12133422030.607992
2020-04-19 09:00:00,296.0,314.0,285.0,297.0,20336263.21473723,6058183953.8374815
2020-04-20 09:00:00,297.0,301.0,275.0,275.0,11851406.55478934,3432825619.4598866
2020-04-21 09:00:00,276.0,285.0,255.0,259.0,5731485.96862239,1525892836.7667482
2020-04-22 09:00:00,259.0,289.0,255.0,279.0,12001240.33393567,3299376385.9009967
2020-04-23 09:00:00,279.0,300.0,266.0,273.0,15077526.63723119,4185821510.4206614
2020-04-24 09:00:00,272.0,278.0,266.0,273.0,7714636.20978659,2102538821.3717017
2020-04-25 09:00:00,272.0,273.0,266.0,268.0,3244781.09152143,872922962.8626183
2020-04-26 09:00:00,268.0,272.0,264.0,270.0,4295852.49737473,1146486949.1573746
2020-04-27 09:00:00,269.0,270.0,261.0,264.0,3005554.40342528,799324070.687934
2020-04-28 09:00:00,264.0,265.0,254.0,258.0,2562324.86924895,661456754.4346311
