,open,high,low,close,volume,value
2017-09-25 09:00:00,9040.0,9860.0,8930.0,9800.0,0.0212,197.257
2017-09-26 09:00:00,9810.0,10300.0,9580.0,9970.0,0.0517,511.695
2017-09-27 09:00:00,10000.0,10600.0,9790.0,10450.0,0.0505,517.913
2017-09-28 09:00:00,10450.0,10650.0,9730.0,9980.0,0.0498,507.5
2017-09-29 09:00:00,9980.0,10250.0,9230.0,9520.0,0.0523,505.818
2017-09-30 09:00:00,9520.0,10850.0,9490.0,10550.0,0.0525,532.459
2017-10-01 09:00:00,10550.0,11350.0,10150.0,10350.0,0.0524,557.45
2017-10-02 09:00:00,10350.0,11150.0,10150.0,10150.0,0.0524,556.705
2017-10-03 09:00:00,10150.0,10700.0,8980.0,9490.0,0.0486,469.858
2017-10-04 09:00:00,9440.0,10100.0,9020.0,9810.0,0.0468,447.628
2017-10-05 09:00:00,9760.0,9830.0,9080.0,9540.0,0.0458,432.648
2017-10-06 09:00:00,9530.0,9620.0,8520.0,8790.0,0.0504,461.231
2017-10-07 09:00:00,8790.0,9220.0,8110.0,8170.0,0.0521,449.107
2017-10-08 09:00:00,8150.0,8650.0,6730.0,7040.0,0.0518,402.432
2017-10-09 09:00:00,7050.0,7900.0,6270.0,6720.0,0.0519,366.63
2017-10-10 09:00:00,6850.0,10200.0,6840.0,9050.0,0.0516,416.414
2017-10-11 09:00:00,9210.0,9260.0,8350.0,8650.0,0.0512,444.931
2017-10-12 09:00:00,8660.0,9480.0,7670.0,8390.0,0.0512,430.003
2017-10-13 09:00:00,8280.0,9510.0,7840.0,8900.0,0.0512,434.2
2017-10-14 09:00:00,8880.0,9240.0,8040.0,8150.0,0.0515,440.202
2017-10-15 09:00:00,8130.0,8670.0,7850.0,8190.0,0.0514,420.136
2017-10-16 09:00:00,8130.0,8610.0,8020.0,8420.0,0.0504,415.817
2017-10-17 09:00:00,8420.0,9030.0,8260.0,8720.0,0.0598,513.591
2017-10-18 09:00:00,8700.0,9540.0,8210.0,9140.0,81.0197,727327.06
2017-10-19 09:00:00,9150.0,9450.0,8190.0,8370.0,234.0,2083590.0
2017-10-20 09:00:00,8390.0,8810.0,7980.0,8250.0,64.93,553746.2
2017-10-24 09:00:00,9140.0,9770.0,8340.0,9440.0,2.17,19868.7
2017-10-25 09:00:00,9330.0,11100.0,8450.0,10900.0,2.33,22622.0
2017-10-26 09:00:00,10800.0,11600.0,9590.0,9990.0,2.34,24641.5
2017-10-27 09:00:00,10100.0,10950.0,9740.0,10350.0,2.34,24135.3
2017-10-28 09:00:00,10150.0,10800.0,10150.0,10300.0,2.17,22633.0
2017-10-29 09:00:00,10300.0,10700.0,8700.0,9840.0,2.34,23674.5
