,open,high,low,close,volume,value
2020-10-21 09:00:00,1.22,2.74,1.22,2.27,51460930441.50824,115560816131.2937
2020-10-22 09:00:00,2.27,2.36,1.69,1.72,9078042567.003199,17704515864.60254
2020-10-23 09:00:00,1.72,1.85,1.53,1.58,5277778624.436441,8829950747.26305
2020-10-24 09:00:00,1.59,1.6,1.44,1.48,1109695115.2839737,1673956218.8550353
2020-10-25 09:00:00,1.48,1.56,1.42,1.51,1045844493.0372223,1562070534.659304
2020-10-26 09:00:00,1.51,1.52,1.38,1.43,443050082.96664363,637098816.71312
2020-10-27 09:00:00,1.42,1.48,1.35,1.38,1289204232.387126,1816680730.399599
2020-10-28 09:00:00,1.38,1.39,1.25,1.3,895361308.3933696,1184272047.2773829
2020-10-29 09:00:00,1.29,1.34,1.17,1.21,868839055.9927793,1082754285.826645
2020-10-30 09:00:00,1.21,1.24,1.11,1.17,850184091.7842045,995283835.3845198
2020-10-31 09:00:00,1.17,1.43,1.16,1.24,3992402877.714389,5179578001.502216
2020-11-01 09:00:00,1.25,1.26,1.19,1.21,438608254.2262156,534236888.1891544
2020-11-02 09:00:00,1.22,1.24,1.16,1.17,625263091.981991,740706794.7201712
2020-11-03 09:00:00,1.16,1.27,1.15,1.21,1225867818.991183,1485083273.7672243
2020-11-04 09:00:00,1.2,1.24,1.17,1.19,506034075.0978157,604499272.1918215
2020-11-05 09:00:00,1.19,1.23,1.17,1.22,575288101.3321491,688135652.1877636
2020-11-06 09:00:00,1.21,1.29,1.19,1.28,1023567860.4108655,1264292803.9229076
2020-11-07 09:00:00,1.28,1.35,1.19,1.25,2058188524.0092494,2680561122.767242
2020-11-08 09:00:00,1.24,1.29,1.2,1.27,404649061.0790673,509267264.8043017
2020-11-09 09:00:00,1.26,1.39,1.24,1.32,3876854048.5566797,5071274143.569518
2020-11-10 09:00:00,1.32,1.33,1.26,1.3,742287195.0353491,957737703.0985359
2020-11-11 09:00:00,1.3,1.45,1.27,1.4,1519226949.7172563,2058981362.5941534
2020-11-12 09:00:00,1.38,2.33,1.37,1.61,24945099213.874306,47307914400.19023
2020-11-13 09:00:00,1.61,1.63,1.43,1.51,4119855904.87108,6133591821.052338
2020-11-14 09:00:00,1.5,1.5,1.36,1.4,1216449468.8824182,1704912632.015836
2020-11-15 09:00:00,1.39,1.44,1.36,1.41,547333934.4069023,760102835.6173137
2020-11-16 09:00:00,1.42,1.53,1.41,1.45,2900503992.1262197,4260457848.696958
2020-11-17 09:00:00,1.45,1.46,1.34,1.38,857823501.7835581,1197814339.5272174
2020-11-18 09:00:00,1.38,1.4,1.29,1.33,680335204.8625835,905259546.6496894
2020-11-19 09:00:00,1.32,1.32,1.25,1.28,572290430.9385917,732332024.1228491
2020-11-20 09:00:00,1.28,1.35,1.28,1.33,1495195774.1224294,1970377934.5664089
2020-11-21 09:00:00,1.32,1.33,1.28,1.32,761035145.0077372,987979928.70033
2020-11-22 09:00:00,1.32,1.88,1.29,1.44,13829334465.25517,21583215921.8895
