,open,high,low,close,volume,value
2017-09-25 09:00:00,24750.0,29700.0,24500.0,28600.0,0.0211,573.335
2017-09-26 09:00:00,28800.0,30150.0,27300.0,29300.0,0.0517,1505.32
2017-09-27 09:00:00,29400.0,37350.0,29350.0,35200.0,0.0505,1703.515
2017-09-28 09:00:00,35200.0,36400.0,30250.0,32500.0,0.0498,1649.43
2017-09-29 09:00:00,32600.0,33800.0,29000.0,31850.0,0.0523,1662.42
2017-09-30 09:00:00,31950.0,38500.0,31650.0,38400.0,0.0525,1837.49
2017-10-01 09:00:00,38350.0,40700.0,35700.0,40150.0,0.0524,1973.495
2017-10-02 09:00:00,40100.0,44600.0,39500.0,41950.0,0.0524,2168.435
2017-10-03 09:00:00,41950.0,42150.0,36300.0,39000.0,0.049,1913.035
2017-10-04 09:00:00,38900.0,40450.0,34650.0,36150.0,0.047,1778.62
2017-10-05 09:00:00,36100.0,38450.0,33650.0,36750.0,0.0456,1652.035
2017-10-06 09:00:00,36950.0,39200.0,36750.0,38400.0,0.0503,1911.295
2017-10-07 09:00:00,38450.0,41050.0,37900.0,41050.0,0.052,2022.095
2017-10-08 09:00:00,40700.0,41950.0,34450.0,36450.0,0.0519,2044.64
2017-10-09 09:00:00,36300.0,37400.0,31350.0,33250.0,0.0519,1818.84
2017-10-10 09:00:00,33500.0,36050.0,32150.0,33700.0,0.0514,1747.76
2017-10-11 09:00:00,34150.0,36200.0,33800.0,34500.0,0.0512,1786.02
2017-10-12 09:00:00,34550.0,35200.0,32150.0,33000.0,0.0511,1712.44
2017-10-13 09:00:00,32350.0,34700.0,30950.0,33450.0,0.0512,1655.38
2017-10-14 09:00:00,33350.0,33500.0,31000.0,31250.0,0.0515,1675.19
2017-10-15 09:00:00,31250.0,32450.0,30300.0,31100.0,0.0515,1604.12
2017-10-16 09:00:00,31250.0,32800.0,30300.0,31850.0,0.0501,1573.805
2017-10-17 09:00:00,32100.0,38050.0,31450.0,36150.0,0.0598,2025.84
2017-10-18 09:00:00,36500.0,36550.0,32500.0,34150.0,81.0197,2759777.085
2017-10-19 09:00:00,34250.0,34650.0,32300.0,33100.0,235.0,7788700.0
2017-10-20 09:00:00,32500.0,33750.0,31950.0,32700.0,64.94,2144195.5
2017-10-24 09:00:00,34100.0,38050.0,34100.0,35250.0,2.18,77847.0
2017-10-25 09:00:00,35450.0,35450.0,32650.0,33050.0,2.32,78837.0
2017-10-26 09:00:00,32900.0,34400.0,31850.0,32400.0,2.34,76967.5
2017-10-27 09:00:00,32700.0,33950.0,32250.0,33750.0,2.35,77866.0
2017-10-28 09:00:00,33700.0,33750.0,31800.0,32200.0,2.17,71199.0
2017-10-29 09:00:00,32000.0,32650.0,30800.0,31250.0,2.36,75224.0
2017-10-30 09:00:00,31400.0,33300.0,31300.0,32650.0,3.52,113709.5
2017-10-31 09:00:00,32700.0,35300.0,32150.0,32750.0,2.0,66330.5
2017-11-01 09:00:00,32400.0,33100.0,30250.0,31050.0,2.22,69549.5
2017-11-02 09:00:00,30800.0,30800.0,26850.0,28550.0,2.31,67375.0
2017-11-03 09:00:00,28700.0,30850.0,28450.0,30550.0,2.31,68496.0
2017-11-04 09:00:00,30500.0,31600.0,28950.0,29800.0,2.31,69641.0
2017-11-05 09:00:00,30000.0,30050.0,29100.0,29350.0,1.5,44228.0
2017-11-06 09:00:00,30900.0,30900.0,29820.0,30820.0,1.55,47119.3
2017-11-07 09:00:00,30320.0,30700.0,29630.0,30410.0,5.65,170443.1
2017-11-08 09:00:00,30400.0,38910.0,29540.0,34450.0,5.86,184419.1
2017-11-09 09:00:00,34270.0,37670.0,33840.0,36340.0,5.99,216111.4
2017-11-10 09:00:00,36430.0,36810.0,30560.0,32360.0,5.95,203252.1
2017-11-11 09:00:00,32290.0,34640.0,31140.0,32530.0,5.93,195110.7
2017-11-12 09:00:00,32280.0,34590.0,29650.0,33060.0,5.93,189491.6
2017-11-13 09:00:00,32990.0,33960.0,31300.0,32520.0,5.61,183606.5
2017-11-14 09:00:00,32670.0,34490.0,32330.0,34240.0,5.25,174374.8
2017-11-15 09:00:00,34190.0,40000.0,32540.0,33660.0,89383.15208606,3017006455.0776815
2017-11-16 09:00:00,33660.0,34620.0,31450.0,31980.0,148041.21721624,4882429214.964159
2017-11-17 09:00:00,32000.0,46990.0,31300.0,44970.0,347834.9493551,13212746040.69173
2017-11-18 09:00:00,44960.0,53300.0,40210.0,47280.0,709800.32609135,33721030473.694904
2017-11-19 09:00:00,47280.0,50330.0,40040.0,43460.0,594837.54341887,27234040363.095234
2017-11-20 09:00:00,43460.0,47400.0,39150.0,40040.0,1052002.86286105,46155309555.89089
2017-11-21 09:00:00,40400.0,41290.0,35800.0,38030.0,658889.15168671,25717106128.87019
2017-11-22 09:00:00,38030.0,41790.0,38020.0,39830.0,764508.47449514,30531810322.252895
2017-11-23 09:00:00,39810.0,40300.0,38120.0,38670.0,513117.20134765,20060930648.3781
2017-11-24 09:00:00,38670.0,39970.0,37500.0,39200.0,479406.95842705,18612485891.161243
2017-11-25 09:00:00,39200.0,44800.0,37550.0,42990.0,982708.69735034,41394266422.16496
2017-11-26 09:00:00,43140.0,44460.0,41800.0,42890.0,496460.39507502,21217354349.269592
2017-11-27 09:00:00,42600.0,48550.0,42390.0,46500.0,585208.00285523,26482519284.84266
2017-11-28 09:00:00,46510.0,46600.0,43880.0,45940.0,531543.59995357,24171704197.73808
2017-11-29 09:00:00,45940.0,48960.0,36500.0,37200.0,624986.31992451,28001592759.63394
2017-11-30 09:00:00,37200.0,42280.0,33610.0,39490.0,816872.31243989,30955163256.552277
2017-12-01 09:00:00,39310.0,43450.0,36620.0,41240.0,1576402.00002573,64890718408.26485
2017-12-02 09:00:00,41240.0,43450.0,39600.0,41550.0,805840.58124573,33624842763.256798
2017-12-03 09:00:00,41550.0,44970.0,41110.0,42740.0,582178.06367133,24690113588.829197
2017-12-04 09:00:00,42740.0,51300.0,42610.0,49640.0,1635061.23763694,77341881981.66145
2017-12-05 09:00:00,49640.0,52600.0,47790.0,48750.0,868009.23637591,43219049796.59545
2017-12-06 09:00:00,48750.0,49970.0,45780.0,46620.0,467942.05768199,22392135281.4953
