,open,high,low,close,volume,value
2018-09-28 09:00:00,700.0,10000.0,700.0,3095.0,22339064.23841503,82327323749.40233
2018-09-29 09:00:00,3070.0,3290.0,2190.0,2285.0,4778095.11004363,12822613989.71414
2018-09-30 09:00:00,2285.0,2285.0,1740.0,1845.0,2417609.20899201,4615619643.315382
2018-10-01 09:00:00,1845.0,1845.0,1575.0,1645.0,887880.94629714,1484601820.4798853
2018-10-02 09:00:00,1645.0,1735.0,1545.0,1560.0,569253.97576417,923735349.3402677
2018-10-03 09:00:00,1560.0,1560.0,1365.0,1410.0,491989.84440185,705827411.3508563
2018-10-04 09:00:00,1410.0,1575.0,1390.0,1445.0,1260877.6830762,1882459574.8921008
2018-10-05 09:00:00,1445.0,1445.0,1260.0,1305.0,864455.27653646,1137229838.0287738
2018-10-06 09:00:00,1305.0,1315.0,1220.0,1255.0,263021.16231042,333037741.7598292
2018-10-07 09:00:00,1255.0,1260.0,1190.0,1215.0,159248.43790689,194126820.5614159
2018-10-08 09:00:00,1210.0,1255.0,1185.0,1220.0,394884.53308412,481846139.5599548
2018-10-09 09:00:00,1220.0,1225.0,1150.0,1190.0,248236.11992933,294467063.7857832
2018-10-10 09:00:00,1190.0,1230.0,1105.0,1150.0,372548.15976199,430178721.70126504
2018-10-11 09:00:00,1150.0,1230.0,996.0,1020.0,425834.91409118,457556630.77202964
2018-10-12 09:00:00,998.0,1015.0,955.0,980.0,194296.50757392,191483912.8506167
2018-10-13 09:00:00,980.0,990.0,958.0,980.0,64481.59931818,62688909.56764619
2018-10-14 09:00:00,980.0,1510.0,980.0,1330.0,12290073.44352622,16531560367.857359
2018-10-15 09:00:00,1335.0,1425.0,1135.0,1200.0,2319494.16816604,2840091315.7740474
2018-10-16 09:00:00,1200.0,1305.0,1130.0,1185.0,2249651.17524506,2733938117.795381
2018-10-17 09:00:00,1185.0,1185.0,1120.0,1155.0,342223.69288454,388855417.14303076
2018-10-18 09:00:00,1155.0,1305.0,1125.0,1165.0,3012394.22935742,3619593152.143325
2018-10-19 09:00:00,1165.0,1165.0,1080.0,1135.0,430762.65211188,483244235.735127
2018-10-20 09:00:00,1135.0,1135.0,1100.0,1130.0,224856.58466661,251391593.87293595
2018-10-21 09:00:00,1130.0,1130.0,1100.0,1115.0,203095.61259642,226797500.87606165
2018-10-22 09:00:00,1115.0,1180.0,1080.0,1105.0,479940.22507296,533929992.1345092
2018-10-23 09:00:00,1105.0,1105.0,1055.0,1095.0,221097.78512952,237905743.8593082
2018-10-24 09:00:00,1095.0,1095.0,1065.0,1080.0,150267.49037876,161459786.27988926
2018-10-25 09:00:00,1080.0,1080.0,1040.0,1060.0,159095.888066,167237552.12768486
2018-10-26 09:00:00,1060.0,1060.0,1015.0,1035.0,158110.71981631,163725440.1058742
2018-10-27 09:00:00,1035.0,1085.0,1020.0,1040.0,436545.30671585,460706221.2741945
2018-10-28 09:00:00,1035.0,1045.0,1005.0,1030.0,129470.16516551,132843563.2367597
2018-10-29 09:00:00,1030.0,1030.0,955.0,965.0,263650.18932397,260600655.53265226
2018-10-30 09:00:00,961.0,989.0,949.0,970.0,119739.34495174,115082785.24794018
2018-10-31 09:00:00,970.0,1005.0,962.0,978.0,305001.30439775,298935527.94011235
