,open,high,low,close,volume,value
2018-05-03 09:00:00,9500.0,18000.0,9500.0,10870.0,11510846.08946167,125346571905.94492
2018-05-04 09:00:00,10870.0,11530.0,10320.0,10600.0,1390826.56885218,15225757231.26041
2018-05-05 09:00:00,10600.0,11310.0,9960.0,9990.0,772303.84950954,8206429744.29498
2018-05-06 09:00:00,9990.0,10560.0,9470.0,10270.0,753384.34644224,7501111997.855054
2018-05-07 09:00:00,10300.0,10710.0,9450.0,10400.0,626939.89139581,6290260602.6731615
2018-05-08 09:00:00,10400.0,10600.0,9765.0,9960.0,310848.60297462,3151144910.282635
2018-05-09 09:00:00,10000.0,10010.0,9380.0,9865.0,457955.09863504,4437555892.422058
2018-05-10 09:00:00,9910.0,10300.0,8705.0,8910.0,803595.3971515,7839413622.780368
2018-05-11 09:00:00,8910.0,9700.0,7000.0,7960.0,586247.88173772,4863929142.562138
2018-05-12 09:00:00,7960.0,8710.0,6945.0,8145.0,383984.66954534,2934796575.8109994
2018-05-13 09:00:00,8140.0,10080.0,7810.0,9220.0,585538.17126778,5412679660.211681
2018-05-14 09:00:00,9220.0,9500.0,8475.0,8925.0,266256.72130459,2401875613.533786
2018-05-15 09:00:00,8940.0,9315.0,8760.0,8835.0,187465.36838549,1685020348.978061
2018-05-16 09:00:00,8835.0,8835.0,8050.0,8290.0,261418.0199538,2172098721.7479277
2018-05-17 09:00:00,8295.0,8590.0,7590.0,7650.0,423623.70996624,3475883936.06834
2018-05-18 09:00:00,7650.0,7855.0,7305.0,7760.0,210192.01115437,1599346497.8517022
2018-05-19 09:00:00,7760.0,8465.0,7350.0,8075.0,172813.2369884,1354851853.3367507
2018-05-20 09:00:00,8075.0,8800.0,7850.0,8630.0,160392.96556934,1347140644.100574
2018-05-21 09:00:00,8630.0,9450.0,8405.0,8585.0,591269.28349,5280461672.018247
2018-05-22 09:00:00,8560.0,8585.0,7725.0,7740.0,244695.94612599,1998881122.1864905
2018-05-23 09:00:00,7740.0,8200.0,6905.0,7095.0,328404.36464311,2432415436.3275332
2018-05-24 09:00:00,7095.0,7800.0,6680.0,7580.0,476238.1779937,3448703708.9586906
2018-05-25 09:00:00,7570.0,7570.0,7020.0,7285.0,116826.56603195,854001103.003419
2018-05-26 09:00:00,7290.0,7350.0,7100.0,7140.0,56730.52270549,409806821.45306665
2018-05-27 09:00:00,7140.0,7280.0,6970.0,7145.0,52649.36968579,374392705.563346
2018-05-28 09:00:00,7145.0,7250.0,6255.0,6375.0,149245.91308576,1013260792.1547221
2018-05-29 09:00:00,6375.0,7590.0,6130.0,7405.0,221906.73531072,1529700884.3611357
2018-05-30 09:00:00,7405.0,7745.0,6870.0,7220.0,328191.28617242,2399768527.055176
2018-05-31 09:00:00,7280.0,7965.0,7085.0,7895.0,500542.81879443,3726679039.606982
2018-06-01 09:00:00,7895.0,8245.0,7550.0,7790.0,251437.21927597,1976688774.5907583
2018-06-02 09:00:00,7865.0,8695.0,7715.0,8550.0,258733.88724222,2098719397.8444388
2018-06-03 09:00:00,8570.0,9180.0,8390.0,8785.0,326383.48669674,2851175471.1384907
2018-06-04 09:00:00,8800.0,8980.0,8000.0,8295.0,258708.94190734,2171983923.817569
2018-06-05 09:00:00,8295.0,9000.0,7925.0,8870.0,308656.43666787,2595088146.042871
2018-06-06 09:00:00,8865.0,9440.0,8600.0,9345.0,460983.14122955,4199338388.124314
2018-06-07 09:00:00,9300.0,9860.0,8835.0,9010.0,773523.46354133,7198203472.648354
2018-06-08 09:00:00,9035.0,9320.0,8715.0,9110.0,330770.32389548,2998419865.6194963
2018-06-09 09:00:00,9110.0,9240.0,8795.0,8815.0,110698.74738604,1003327673.812435
2018-06-10 09:00:00,8820.0,8845.0,6900.0,7695.0,583858.64843602,4637420935.555579
2018-06-11 09:00:00,7630.0,7815.0,6965.0,7700.0,450137.95121413,3291197142.50197
2018-06-12 09:00:00,7700.0,7825.0,7050.0,7200.0,337046.98467046,2513241147.2922645
2018-06-13 09:00:00,7200.0,7300.0,6190.0,6640.0,390604.84487654,2618298863.2181954
2018-06-14 09:00:00,6640.0,7140.0,6465.0,7015.0,647198.81497528,4401913305.032608
2018-06-15 09:00:00,7020.0,7045.0,6645.0,6700.0,234829.18230091,1598192515.6785295
2018-06-16 09:00:00,6700.0,6870.0,6520.0,6820.0,165578.65789778,1111514008.7950008
2018-06-17 09:00:00,6825.0,7100.0,6775.0,6850.0,122439.50604599,845912652.1927543
2018-06-18 09:00:00,6875.0,7500.0,6705.0,7395.0,200369.73174289,1420893186.2320788
2018-06-19 09:00:00,7410.0,7610.0,7200.0,7595.0,301434.78915811,2243896923.2232704
2018-06-20 09:00:00,7555.0,7600.0,6910.0,7430.0,496987.98170502,3572287449.7287745
2018-06-21 09:00:00,7430.0,7480.0,6995.0,7110.0,430130.72084411,3110591544.2655163
2018-06-22 09:00:00,7110.0,7110.0,6030.0,6130.0,383974.90602639,2522590343.719569
2018-06-23 09:00:00,6130.0,6285.0,5660.0,5810.0,201514.63247612,1184360963.0361443
2018-06-24 09:00:00,5875.0,6200.0,4790.0,5830.0,543346.53166376,2865915958.0627246
2018-06-25 09:00:00,5830.0,6495.0,5450.0,6260.0,429103.9366831,2586555692.740893
2018-06-26 09:00:00,6265.0,6435.0,5860.0,5950.0,225203.09690133,1394244372.9019046
2018-06-27 09:00:00,5950.0,6200.0,5720.0,6075.0,201392.31165954,1200303655.299772
2018-06-28 09:00:00,6055.0,6190.0,5220.0,5450.0,352187.39046763,2064580808.8717256
2018-06-29 09:00:00,5475.0,5985.0,5325.0,5755.0,192303.5998904,1060486285.7066233
2018-06-30 09:00:00,5760.0,6275.0,5760.0,5915.0,399589.33891875,2385977645.103736
2018-07-01 09:00:00,5935.0,5990.0,5600.0,5710.0,205247.8079988,1178775920.6061566
2018-07-02 09:00:00,5750.0,6170.0,5535.0,5935.0,502337.83131533,2923926583.7598605
2018-07-03 09:00:00,5940.0,6320.0,5705.0,5790.0,1075870.3032292,6427644133.858399
2018-07-04 09:00:00,5785.0,5995.0,5440.0,5780.0,782963.41227491,4498130211.481152
2018-07-05 09:00:00,5785.0,5990.0,5550.0,5640.0,701465.88905637,4062958200.1594324
2018-07-06 09:00:00,5620.0,6135.0,5210.0,5725.0,1473714.79143511,8382638185.043794
2018-07-07 09:00:00,5730.0,5730.0,5125.0,5345.0,512472.18553803,2750572119.7594886
2018-07-08 09:00:00,5350.0,5390.0,5110.0,5245.0,298166.57217996,1571301254.904879
2018-07-09 09:00:00,5230.0,5305.0,4875.0,4890.0,298191.3194095,1520372395.214626
2018-07-10 09:00:00,4890.0,5035.0,4310.0,4320.0,494072.67257509,2270381067.356273
2018-07-11 09:00:00,4320.0,4580.0,3975.0,4250.0,406092.72488495,1714798212.7128584
2018-07-12 09:00:00,4250.0,4250.0,3750.0,3945.0,251855.52107272,1004310033.7951864
2018-07-13 09:00:00,3950.0,4130.0,3890.0,3990.0,257358.27584543,1030182302.4255356
2018-07-14 09:00:00,3965.0,4005.0,3795.0,3900.0,135325.25101785,524386136.90754485
2018-07-15 09:00:00,3960.0,4020.0,3900.0,3930.0,228340.5243145,902141860.2616644
2018-07-16 09:00:00,3930.0,4165.0,3910.0,4155.0,304773.23501154,1231867516.0853148
2018-07-17 09:00:00,4150.0,4400.0,4030.0,4310.0,494865.40034097,2073142988.8320312
2018-07-18 09:00:00,4315.0,4745.0,4310.0,4440.0,767282.89685952,3429504164.0847716
2018-07-19 09:00:00,4440.0,4590.0,4195.0,4295.0,369545.44479545,1616881837.8183832
2018-07-20 09:00:00,4255.0,4285.0,3875.0,3895.0,209065.70669626,855682671.3618913
2018-07-21 09:00:00,3905.0,4060.0,3700.0,4060.0,118298.523732,462669956.3197173
2018-07-22 09:00:00,4050.0,4110.0,3765.0,3890.0,100298.83180364,398948214.1028286
2018-07-23 09:00:00,3890.0,4000.0,3710.0,3720.0,176517.29078887,674142723.743756
2018-07-24 09:00:00,3715.0,3900.0,3500.0,3780.0,331789.57695682,1217771881.342945
2018-07-25 09:00:00,3780.0,4220.0,3715.0,3905.0,424936.53203968,1683089993.8237476
2018-07-26 09:00:00,3905.0,4220.0,3710.0,3780.0,266277.1115619,1047142309.8708229
2018-07-27 09:00:00,3780.0,3880.0,3595.0,3775.0,254944.4453457,946499485.665196
2018-07-28 09:00:00,3775.0,3880.0,3665.0,3740.0,77090.9553555,290970745.8375641
2018-07-29 09:00:00,3740.0,3810.0,3630.0,3635.0,68767.91391206,254047381.04736465
2018-07-30 09:00:00,3655.0,3660.0,3455.0,3490.0,102501.34754628,362324382.9438771
2018-07-31 09:00:00,3495.0,3850.0,3215.0,3615.0,1424666.64979014,5063488421.097505
2018-08-01 09:00:00,3615.0,3615.0,3215.0,3345.0,368200.3625273,1231947659.431365
2018-08-02 09:00:00,3335.0,3400.0,2740.0,2810.0,516482.21141351,1544639952.4073699
2018-08-03 09:00:00,2810.0,2810.0,2495.0,2625.0,373882.18623457,975273725.133757
2018-08-04 09:00:00,2630.0,2760.0,2465.0,2530.0,138237.47409726,360729732.8414497
2018-08-05 09:00:00,2530.0,2685.0,2410.0,2615.0,79915.00255697,204843189.99040976
2018-08-06 09:00:00,2610.0,2695.0,2480.0,2535.0,97301.76486396,252641545.82605186
2018-08-07 09:00:00,2535.0,2640.0,2470.0,2475.0,121429.06083448,309473014.0295532
2018-08-08 09:00:00,2470.0,2690.0,2045.0,2105.0,322634.63322641,786879693.1890593
2018-08-09 09:00:00,2170.0,2280.0,2010.0,2200.0,273560.6632727,591843522.1536822
2018-08-10 09:00:00,2200.0,2390.0,1955.0,1985.0,451384.05761258,960368617.1326275
2018-08-11 09:00:00,1985.0,1995.0,1610.0,1715.0,498238.84108945,872755599.5239697
