,open,high,low,close,volume,value
2020-03-31 09:00:00,9.75,27.9,9.75,13.1,1626499441.6871305,23876646802.467922
2020-04-01 09:00:00,13.1,13.3,11.5,12.1,907578266.4039371,10988079408.40981
2020-04-02 09:00:00,12.1,13.1,11.6,12.0,93037971.44434264,1147713199.2491012
2020-04-03 09:00:00,11.9,12.7,11.7,12.0,104081989.98121312,1264742178.3779197
2020-04-04 09:00:00,11.9,12.4,11.8,12.1,34579902.64043074,419471377.23075247
2020-04-05 09:00:00,12.0,12.3,11.9,12.0,7153989.17584477,86089169.48117845
2020-04-06 09:00:00,12.0,12.4,11.9,12.3,20791788.66324726,252051862.25200433
2020-04-07 09:00:00,12.3,12.4,11.9,12.1,19733946.82505574,239920772.91800946
2020-04-08 09:00:00,12.2,13.4,12.0,12.3,46407721.82517526,579053599.394677
2020-04-09 09:00:00,12.1,12.3,11.9,12.0,12280058.10125358,148787975.73139063
2020-04-10 09:00:00,12.1,12.2,11.4,11.6,16092351.2461503,189036254.1868277
2020-04-11 09:00:00,11.8,12.0,11.4,11.8,6646851.53062582,77999691.97959837
2020-04-12 09:00:00,11.8,12.3,11.6,11.9,16068082.44266438,192450171.07660243
2020-04-13 09:00:00,11.9,11.9,11.3,11.6,6844149.2601899,79251790.94140165
2020-04-14 09:00:00,11.6,11.7,10.8,11.1,26389716.85465761,294955493.5123208
2020-04-15 09:00:00,11.1,11.3,10.7,11.0,5342763.25230193,58630119.95189513
2020-04-16 09:00:00,11.0,11.5,10.3,11.5,14548536.25205467,159165141.58007577
2020-04-17 09:00:00,11.5,11.5,11.1,11.4,3550418.80828994,39970470.77909027
2020-04-18 09:00:00,11.2,11.9,11.1,11.7,10816732.59519901,124281381.43873091
2020-04-19 09:00:00,11.7,11.9,11.2,11.6,6189361.81628189,71206846.89403743
2020-04-20 09:00:00,11.4,11.6,11.0,11.2,7635089.24433174,86030896.70227925
2020-04-21 09:00:00,11.2,11.3,10.8,11.1,4776472.89076947,52511195.29050502
2020-04-22 09:00:00,11.0,11.4,11.0,11.3,3512837.75291593,39128846.80447701
2020-04-23 09:00:00,11.3,11.6,10.8,11.6,12848984.0347793,144099838.639458
2020-04-24 09:00:00,11.5,11.7,11.3,11.6,6752518.13355525,77340318.26547769
2020-04-25 09:00:00,11.6,12.0,11.3,11.8,4226098.44089762,49254743.59145732
2020-04-26 09:00:00,11.8,12.3,11.5,11.9,10417139.78903936,124052836.3394633
2020-04-27 09:00:00,11.9,12.5,11.9,12.1,20980370.10052461,255089719.02501982
2020-04-28 09:00:00,12.1,12.1,11.8,11.9,6046571.39405391,72031723.53788745
2020-04-29 09:00:00,11.9,12.3,11.8,12.1,8200623.43861721,98891435.13373879
2020-04-30 09:00:00,12.2,12.6,11.9,12.1,12216892.44873799,150433376.7592006
2020-05-01 09:00:00,12.2,12.7,12.2,12.6,12413577.29111531,154093130.37609738
2020-05-02 09:00:00,12.5,12.7,12.3,12.7,4563551.58718481,56968186.94631151
2020-05-03 09:00:00,12.7,12.8,12.4,12.4,4963440.38955178,62260045.28236574
2020-05-04 09:00:00,12.5,12.5,12.1,12.3,7469693.2095579,92105381.16450582
2020-05-05 09:00:00,12.2,12.5,12.0,12.2,5242763.64302413,64122707.18341724
2020-05-06 09:00:00,12.4,12.8,12.3,12.6,13061339.50670545,163223698.3459551
2020-05-07 09:00:00,12.5,12.9,12.4,12.4,10346652.83950296,129850171.25865594
2020-05-08 09:00:00,12.4,12.7,12.1,12.3,8594499.77213818,106643850.40614963
2020-05-09 09:00:00,12.4,12.6,12.1,12.4,5627854.43237906,69275135.92551205
2020-05-10 09:00:00,12.4,12.4,11.2,11.4,13836924.16195973,160214521.5956051
2020-05-11 09:00:00,11.5,11.6,10.9,11.4,4688749.21099445,52788621.52769781
2020-05-12 09:00:00,11.4,11.6,11.2,11.6,4092680.55787859,46465675.14373932
2020-05-13 09:00:00,11.6,11.8,11.4,11.7,3044059.19778282,35030201.53707921
2020-05-14 09:00:00,11.7,12.4,11.5,11.7,7900609.46944868,94266920.52350496
2020-05-15 09:00:00,11.7,12.0,11.5,11.8,6647330.23957573,77841032.34274673
2020-05-16 09:00:00,11.8,12.9,11.5,12.8,16171009.20582791,198896803.6590537
2020-05-17 09:00:00,12.8,14.8,12.3,13.7,48315944.9135013,657335947.0374206
2020-05-18 09:00:00,13.6,14.0,13.1,13.8,23710606.86129433,318571656.1124566
2020-05-19 09:00:00,13.8,16.0,13.6,15.0,91091824.45256267,1356124213.4069798
2020-05-20 09:00:00,15.0,15.0,13.4,13.9,35205312.7940809,500029122.1961014
2020-05-21 09:00:00,13.8,14.0,12.9,13.4,25361610.81564462,343290650.98541033
2020-05-22 09:00:00,13.4,14.1,13.3,13.8,23276343.4036377,318355404.040629
2020-05-23 09:00:00,13.8,15.0,13.5,14.3,40793860.81619582,581632202.3587487
2020-05-24 09:00:00,14.2,14.5,13.5,13.6,11526938.88637131,160598882.77178073
2020-05-25 09:00:00,13.6,15.9,13.2,15.3,110659628.69603458,1650317503.5476573
2020-05-26 09:00:00,15.3,15.5,14.3,14.6,21515430.21433739,320749084.79798
2020-05-27 09:00:00,14.8,19.4,14.8,17.4,351694771.0511529,6070165549.509625
2020-05-28 09:00:00,17.4,17.4,15.7,16.2,30917483.42768847,501128355.59313923
2020-05-29 09:00:00,16.2,16.3,14.7,15.2,23833382.75463674,366695041.3644491
2020-05-30 09:00:00,15.4,17.1,15.4,16.1,66022937.56993546,1078044505.9809387
2020-05-31 09:00:00,16.2,16.3,15.6,16.0,17199705.04536314,272061241.2465
2020-06-01 09:00:00,16.0,17.2,15.9,16.2,39870821.38394236,657470433.297136
2020-06-02 09:00:00,16.3,16.5,15.3,16.1,20427005.45172612,325538771.2923398
2020-06-03 09:00:00,16.2,16.2,15.5,16.0,16666313.21255242,263787948.3728462
2020-06-04 09:00:00,16.1,17.1,16.0,16.5,65560137.03269224,1081553929.79064
2020-06-05 09:00:00,16.4,17.1,16.2,16.8,39209011.7908202,653111100.8156849
2020-06-06 09:00:00,16.7,17.4,16.4,16.8,23093920.37427645,391671580.17014515
2020-06-07 09:00:00,17.0,17.2,15.8,17.2,22954310.36630594,381759920.88126624
2020-06-08 09:00:00,17.2,17.5,16.5,17.5,14881063.37198079,252275025.16729715
2020-06-09 09:00:00,17.4,18.3,16.8,18.0,23408382.46619402,414757435.92084587
2020-06-10 09:00:00,18.0,18.6,17.6,18.5,20207927.73184027,366863560.44966847
2020-06-11 09:00:00,18.5,19.6,15.9,16.5,60777309.68356835,1085502501.2779593
2020-06-12 09:00:00,16.4,18.0,15.8,17.4,19294078.07377173,332032191.95149106
2020-06-13 09:00:00,17.4,18.8,16.9,17.9,10126240.17534492,179194514.86296627
2020-06-14 09:00:00,17.9,19.1,17.4,17.9,34757558.92849385,641155514.6333196
2020-06-15 09:00:00,18.0,18.1,16.1,17.4,24478978.3500295,411460101.08043987
2020-06-16 09:00:00,17.5,17.7,16.8,17.4,15161024.44419424,260019951.13780534
2020-06-17 09:00:00,17.4,17.7,16.9,17.4,10752744.34467844,186584590.92980808
2020-06-18 09:00:00,17.3,17.7,17.0,17.3,9152631.76645923,158157407.44266233
2020-06-19 09:00:00,17.2,18.3,17.1,18.1,45608405.60045638,810758344.365677
2020-06-20 09:00:00,18.1,19.0,17.7,18.8,19863803.97651229,364296288.55853224
2020-06-21 09:00:00,18.9,19.4,18.4,19.2,14563999.69308693,276204474.74664676
2020-06-22 09:00:00,19.3,21.9,19.3,19.7,95361857.16677777,1930740903.279249
2020-06-23 09:00:00,19.7,19.8,18.8,19.3,13144145.5518644,252405512.38919
2020-06-24 09:00:00,19.3,19.3,18.1,18.7,18325343.93368035,340628415.3570003
2020-06-25 09:00:00,18.4,18.7,17.6,18.7,13413634.48154027,242673085.57266045
2020-06-26 09:00:00,18.6,20.0,18.2,19.0,66782746.71869084,1290526878.7468395
2020-06-27 09:00:00,19.1,19.3,18.3,18.7,12855848.67151483,241399471.89791703
2020-06-28 09:00:00,18.7,19.0,17.3,18.5,14661717.92624155,266159543.50152668
2020-06-29 09:00:00,18.6,19.0,17.8,18.4,9355844.59106918,171276919.81303045
2020-06-30 09:00:00,18.4,18.7,17.5,18.0,9373657.04253306,168997920.17390817
2020-07-01 09:00:00,18.0,19.9,17.7,18.8,28752446.61372303,548182630.957748
2020-07-02 09:00:00,18.8,19.4,18.3,18.7,10281768.83305938,194136915.06054163
2020-07-03 09:00:00,18.6,19.6,18.5,19.3,12008870.19879405,229627415.06876084
2020-07-04 09:00:00,19.3,19.3,18.7,18.9,5819931.4341048,110157816.69355325
2020-07-05 09:00:00,18.9,19.2,18.5,19.1,6229323.66847258,117443410.33999176
2020-07-06 09:00:00,19.1,19.9,19.0,19.6,29254822.47088541,572204454.180368
2020-07-07 09:00:00,19.7,19.9,19.1,19.7,8872835.31026247,171811934.97732028
2020-07-08 09:00:00,19.7,20.4,19.2,19.6,19872455.75752491,389697482.76155496
2020-07-09 09:00:00,19.6,19.7,19.1,19.3,8163000.24454836,157610827.3989777
2020-07-10 09:00:00,19.3,20.5,19.3,20.5,20578683.86625488,409911002.3898641
2020-07-11 09:00:00,20.5,20.6,19.8,20.2,14034916.74127693,283274439.7908388
2020-07-12 09:00:00,20.2,20.3,19.7,20.1,5051602.37528945,101025829.2752884
2020-07-13 09:00:00,20.1,22.0,19.8,21.7,40585151.85515087,845004337.3195958
2020-07-14 09:00:00,21.6,24.1,21.5,22.5,74716035.50529677,1686008346.132855
2020-07-15 09:00:00,22.5,23.0,21.6,22.1,12791709.76491896,282303175.65573466
2020-07-16 09:00:00,22.1,22.2,20.4,21.4,25925324.79276314,551253202.7519665
2020-07-17 09:00:00,21.5,22.5,21.4,22.0,11370805.76604195,250265190.54476938
2020-07-18 09:00:00,22.2,22.2,21.3,21.9,6773614.58659713,146566601.2131995
2020-07-19 09:00:00,21.7,21.9,20.9,21.3,9702731.64640743,206075449.0229402
2020-07-20 09:00:00,21.5,21.5,20.8,21.4,10718428.72845359,226999359.9743277
2020-07-21 09:00:00,21.4,21.6,21.0,21.3,8847343.14754375,188542383.24618405
2020-07-22 09:00:00,21.4,21.5,21.1,21.4,7681612.20872711,163923247.35280895
2020-07-23 09:00:00,21.4,21.6,21.2,21.3,8201217.51054692,175410830.61978608
2020-07-24 09:00:00,21.4,22.0,21.2,21.3,11010296.55854319,237774812.92357305
2020-07-25 09:00:00,21.3,21.6,21.1,21.1,5918952.35120994,125814262.19167434
2020-07-26 09:00:00,21.2,21.6,20.1,20.6,12069038.41255608,249705618.86411065
2020-07-27 09:00:00,20.4,20.7,18.9,19.0,29720704.45038046,583066890.9669654
2020-07-28 09:00:00,19.2,20.7,19.0,19.7,19861335.65748367,391633504.5654956
2020-07-29 09:00:00,19.9,20.4,19.4,20.2,13248843.10673877,262687935.7894878
2020-07-30 09:00:00,20.2,20.2,19.4,20.1,14649535.45308317,290005363.96523374
2020-07-31 09:00:00,20.1,21.1,19.7,20.2,19297459.46728067,394083423.8720629
2020-08-01 09:00:00,20.1,20.2,19.7,20.1,8569701.25760254,171301324.18021256
2020-08-02 09:00:00,20.0,20.2,18.9,19.4,15581136.60339503,305740865.32842284
2020-08-03 09:00:00,19.2,19.9,19.2,19.9,4733987.62946454,92912480.84912848
2020-08-04 09:00:00,19.9,20.1,19.3,19.7,7377805.33365764,145017374.22726032
2020-08-05 09:00:00,19.7,20.4,19.0,20.1,10888506.0316565,215047835.7843686
2020-08-06 09:00:00,20.2,20.2,19.7,20.1,5352206.44726329,106818604.9982247
2020-08-07 09:00:00,20.1,20.2,19.5,19.8,4836789.26995288,96067060.44450366
2020-08-08 09:00:00,19.9,20.1,19.7,19.9,4973313.47094003,98759759.691895
2020-08-09 09:00:00,19.9,20.1,19.7,20.0,8041945.1940437,159953838.83687302
2020-08-10 09:00:00,20.0,21.5,19.7,21.5,24087172.77373569,493071243.8523406
2020-08-11 09:00:00,21.4,21.9,20.6,20.8,16178004.03474571,342659715.3798522
2020-08-12 09:00:00,20.8,21.5,20.0,21.3,16752014.19581795,348439229.6735231
2020-08-13 09:00:00,21.3,21.3,20.3,20.8,11326073.0321306,235453421.92535034
2020-08-14 09:00:00,20.8,21.9,20.5,21.2,23437792.58851096,497757382.8093241
2020-08-15 09:00:00,21.2,21.5,20.7,21.2,10077083.59498531,212679658.4616279
2020-08-16 09:00:00,21.2,21.4,20.8,21.4,13509616.89533303,285249279.17377496
2020-08-17 09:00:00,21.4,21.7,21.0,21.4,11366738.9786136,242595123.74264768
2020-08-18 09:00:00,21.5,26.0,21.4,24.0,173674078.10406667,4150012937.0547853
2020-08-19 09:00:00,24.0,24.7,21.6,22.2,44477808.18771722,1014300543.5350115
2020-08-20 09:00:00,22.2,22.6,21.3,22.3,19968872.01369344,438769185.21809673
2020-08-21 09:00:00,22.3,22.6,21.2,21.3,23452982.32253235,513685839.38178074
2020-08-22 09:00:00,21.3,21.8,20.9,21.8,11206160.23646147,237736470.87582344
2020-08-23 09:00:00,21.7,22.1,21.3,21.6,8004357.13972597,173431070.3880793
2020-08-24 09:00:00,21.6,22.8,21.2,21.9,31632631.96564895,701832271.3788617
2020-08-25 09:00:00,21.9,22.2,21.0,21.4,12532435.53978201,269046866.00009835
2020-08-26 09:00:00,21.4,21.5,20.6,21.1,8987935.12526328,188028315.3905166
2020-08-27 09:00:00,21.0,21.1,20.1,20.4,12568301.23052755,258440152.32361704
2020-08-28 09:00:00,20.5,21.6,20.4,21.1,5257700.21565487,110498929.24502435
2020-08-29 09:00:00,21.1,22.9,20.9,22.1,10540177.54532611,232456559.15889424
2020-08-30 09:00:00,22.3,22.8,21.7,22.2,9624275.53124752,215176709.83456987
2020-08-31 09:00:00,22.0,22.3,21.5,21.9,8742400.99652181,190819194.5630832
2020-09-01 09:00:00,21.7,23.0,21.3,21.6,11024305.67677516,242313194.72348216
2020-09-02 09:00:00,21.4,22.6,20.6,21.1,16704657.20353151,358368444.61680955
2020-09-03 09:00:00,21.1,21.8,19.2,19.7,14975331.86473761,305057410.7284465
2020-09-04 09:00:00,19.7,20.4,19.0,19.6,5774470.90216406,113006906.48627654
2020-09-05 09:00:00,19.6,20.2,17.7,18.0,6271327.78408326,119443054.72917421
2020-09-06 09:00:00,17.9,19.5,17.9,18.9,5634985.18738491,105422769.148714
2020-09-07 09:00:00,18.7,19.3,17.9,18.9,2697597.90576371,49671617.67356048
2020-09-08 09:00:00,18.6,18.9,18.0,18.1,4920113.49880343,89735442.68766588
2020-09-09 09:00:00,18.2,18.4,17.4,18.1,7930866.51030651,141701431.1782374
2020-09-10 09:00:00,18.3,18.8,18.0,18.8,11082853.98193362,203604923.45182526
2020-09-11 09:00:00,18.8,19.2,17.7,18.4,9670931.98796937,177566887.59608722
2020-09-12 09:00:00,18.4,19.0,18.1,18.6,4497397.99039149,83093416.56623583
2020-09-13 09:00:00,18.4,18.7,18.0,18.4,4882732.35263218,89485795.84932014
2020-09-14 09:00:00,18.3,19.2,17.8,18.2,13246228.65460935,242867051.93087733
2020-09-15 09:00:00,18.4,18.5,17.8,18.0,5624835.23925972,101896006.3802413
2020-09-16 09:00:00,18.0,18.8,16.7,17.1,21197724.59729061,378928831.9866949
2020-09-17 09:00:00,17.3,17.9,16.7,17.2,5572605.00541343,96374394.5720634
2020-09-18 09:00:00,17.2,18.2,16.9,17.4,7873767.90238125,137654765.79181448
2020-09-19 09:00:00,17.5,17.9,17.0,17.4,1345575.18236043,23364580.32010903
2020-09-20 09:00:00,17.4,17.6,16.9,17.1,2165137.13205403,37086125.15571691
2020-09-21 09:00:00,17.2,17.2,15.3,16.4,5066793.18730593,82724212.41568226
2020-09-22 09:00:00,16.4,16.7,15.8,16.1,1314436.45812415,21217882.17034056
2020-09-23 09:00:00,16.1,17.7,15.5,15.6,3618734.5244042,58889467.43936854
2020-09-24 09:00:00,15.9,16.9,15.3,16.3,5496521.34841253,86393949.31604084
2020-09-25 09:00:00,16.4,16.4,15.7,16.0,5758543.84395294,91617431.60187171
2020-09-26 09:00:00,15.9,16.2,15.7,16.1,6474488.47739032,103338680.45597272
2020-09-27 09:00:00,16.0,16.3,15.4,15.8,7750587.61495201,122583998.94026823
2020-09-28 09:00:00,15.8,16.5,15.5,15.6,9726512.70043944,154664345.95450982
2020-09-29 09:00:00,15.6,16.3,15.4,15.7,13346955.09255137,210479761.54506427
2020-09-30 09:00:00,15.7,15.9,15.4,15.6,5157569.9332165,80907181.63796121
2020-10-01 09:00:00,15.7,16.8,15.1,15.6,11841915.37620671,187227296.92133462
2020-10-02 09:00:00,15.6,15.7,14.1,14.7,12530781.81991088,186330504.99919888
2020-10-03 09:00:00,14.8,15.2,14.6,14.7,2741434.14119347,40771934.71740919
2020-10-04 09:00:00,14.9,15.3,14.4,14.9,6446586.82705647,94916138.000305
2020-10-05 09:00:00,14.9,15.1,14.3,14.6,4855893.15432315,70879455.543928
