,open,high,low,close,volume,value
2020-09-29 09:00:00,250.0,436.0,250.0,331.0,164751764.58646184,58582766313.679794
2020-09-30 09:00:00,332.0,354.0,299.0,318.0,138195889.90126395,44642380848.8373
2020-10-01 09:00:00,318.0,324.0,295.0,302.0,85630243.74096422,26204549591.804592
2020-10-02 09:00:00,303.0,311.0,272.0,281.0,138851356.99784073,40343450196.056786
2020-10-03 09:00:00,281.0,311.0,279.0,289.0,91710389.41188341,26330818066.420895
2020-10-04 09:00:00,289.0,303.0,273.0,275.0,78623709.03249621,22379457176.645607
2020-10-05 09:00:00,275.0,275.0,251.0,254.0,10918432.35111741,2830349854.4035
2020-10-06 09:00:00,254.0,255.0,203.0,209.0,11313966.00853384,2572134044.078191
2020-10-07 09:00:00,208.0,214.0,185.0,200.0,8314270.48794283,1618234278.2116814
2020-10-08 09:00:00,200.0,439.0,195.0,250.0,123852708.1792258,35368572240.88776
2020-10-09 09:00:00,249.0,403.0,237.0,255.0,143924487.58287635,44073490884.31415
2020-10-10 09:00:00,256.0,257.0,220.0,223.0,13741637.42423681,3265532514.644776
2020-10-11 09:00:00,225.0,247.0,214.0,231.0,12483664.51767859,2919816742.3793
2020-10-12 09:00:00,230.0,256.0,219.0,236.0,21126282.44296743,5035854685.434335
2020-10-13 09:00:00,236.0,248.0,227.0,232.0,8032689.99835081,1917855016.0942934
2020-10-14 09:00:00,232.0,240.0,226.0,230.0,7447431.79427559,1734298545.0669856
2020-10-15 09:00:00,228.0,247.0,225.0,231.0,8107256.50347293,1908326326.9614873
2020-10-16 09:00:00,230.0,231.0,210.0,219.0,4435303.82438995,975117422.2077878
2020-10-17 09:00:00,219.0,227.0,215.0,220.0,935733.18405712,204628727.96662977
2020-10-18 09:00:00,218.0,220.0,211.0,214.0,1302827.87762135,279429263.9954617
2020-10-19 09:00:00,213.0,221.0,201.0,208.0,3708123.0833124,789101529.3187618
2020-10-20 09:00:00,208.0,208.0,195.0,199.0,1775513.86600303,354701748.69337165
2020-10-21 09:00:00,199.0,200.0,182.0,189.0,2808459.91147397,532848438.9516659
2020-10-22 09:00:00,190.0,196.0,182.0,195.0,6217906.6836919,1163134914.4095945
2020-10-23 09:00:00,195.0,224.0,191.0,207.0,17265141.85718627,3663896590.0953426
2020-10-24 09:00:00,207.0,208.0,195.0,198.0,1564099.59211428,310208176.67542994
2020-10-25 09:00:00,198.0,254.0,197.0,214.0,53278618.62673417,12158959124.48554
2020-10-26 09:00:00,215.0,215.0,198.0,204.0,8979330.76651738,1823157878.745297
2020-10-27 09:00:00,205.0,210.0,188.0,195.0,6292019.83787034,1231388708.1294868
2020-10-28 09:00:00,195.0,197.0,188.0,192.0,1496310.88552648,286451849.99078
2020-10-29 09:00:00,194.0,199.0,188.0,192.0,1812438.50489962,348487500.0670199
2020-10-30 09:00:00,191.0,192.0,167.0,178.0,2044517.75710053,363904976.2156646
2020-10-31 09:00:00,176.0,203.0,174.0,184.0,12079436.67412794,2314973753.028292
2020-11-01 09:00:00,184.0,184.0,175.0,184.0,592355.27564631,106826190.14924958
2020-11-02 09:00:00,182.0,183.0,175.0,178.0,635702.18706625,113318009.52974923
2020-11-03 09:00:00,178.0,178.0,163.0,171.0,744199.35820547,126269831.53874841
2020-11-04 09:00:00,172.0,174.0,163.0,164.0,1069614.88780503,179200256.4247732
2020-11-05 09:00:00,165.0,183.0,164.0,173.0,9124831.49857052,1572947401.3236704
2020-11-06 09:00:00,173.0,180.0,166.0,177.0,2117967.12662262,367845604.72351485
2020-11-07 09:00:00,178.0,190.0,169.0,175.0,3758279.59003835,681406519.1791127
2020-11-08 09:00:00,175.0,182.0,173.0,177.0,572124.38905639,101345047.5451602
2020-11-09 09:00:00,179.0,180.0,166.0,173.0,2898474.32992587,506385273.30968785
2020-11-10 09:00:00,171.0,180.0,169.0,177.0,4022681.36501332,706314104.6683064
2020-11-11 09:00:00,177.0,192.0,172.0,188.0,5370752.75998436,983948668.6920142
2020-11-12 09:00:00,187.0,190.0,177.0,179.0,1899674.96839833,347171281.286691
2020-11-13 09:00:00,179.0,208.0,179.0,190.0,8281039.71797542,1595324995.776838
2020-11-14 09:00:00,190.0,207.0,188.0,193.0,6842057.9440196,1346225768.125597
2020-11-15 09:00:00,192.0,195.0,181.0,183.0,1817637.04158184,338707789.73337615
2020-11-16 09:00:00,183.0,189.0,177.0,185.0,2505658.40468583,458297269.9331155
2020-11-17 09:00:00,186.0,186.0,178.0,179.0,1826560.99631528,330704292.3030645
2020-11-18 09:00:00,179.0,183.0,171.0,177.0,2858941.7672454,505476111.3311978
2020-11-19 09:00:00,178.0,182.0,164.0,169.0,2153565.93107651,369978252.7868328
2020-11-20 09:00:00,169.0,190.0,167.0,176.0,5404193.62689489,942536048.4410522
2020-11-21 09:00:00,175.0,180.0,170.0,175.0,1908606.76020099,332353851.06878585
2020-11-22 09:00:00,175.0,184.0,169.0,176.0,5354052.34354839,954791382.9504297
2020-11-23 09:00:00,176.0,208.0,176.0,178.0,15915026.34566992,2971314819.673898
2020-11-24 09:00:00,178.0,229.0,175.0,187.0,31201254.53202033,6122793743.642062
2020-11-25 09:00:00,187.0,203.0,183.0,193.0,15332664.9483373,2941460688.658002
2020-11-26 09:00:00,193.0,207.0,146.0,168.0,12580719.98756017,2307305781.597912
2020-11-27 09:00:00,168.0,176.0,155.0,166.0,3721886.39650754,619877059.5962808
2020-11-28 09:00:00,167.0,170.0,161.0,169.0,1148017.16929022,190912933.75396496
2020-11-29 09:00:00,169.0,178.0,168.0,171.0,4954289.71650098,852675802.4759367
2020-11-30 09:00:00,171.0,182.0,168.0,174.0,6888709.63660671,1192137637.4348178
2020-12-01 09:00:00,174.0,204.0,169.0,180.0,17669539.84428469,3198205501.7671247
2020-12-02 09:00:00,180.0,329.0,176.0,214.0,149898420.40791845,34471231086.67668
2020-12-03 09:00:00,213.0,214.0,191.0,197.0,18295162.66323742,3635344393.397686
2020-12-04 09:00:00,197.0,199.0,173.0,177.0,7494830.82601773,1379128216.4830737
2020-12-05 09:00:00,177.0,203.0,173.0,188.0,12684228.1959454,2394554934.5860147
2020-12-06 09:00:00,189.0,194.0,180.0,187.0,4386377.975444,821317152.1166
2020-12-07 09:00:00,185.0,193.0,182.0,189.0,4457900.70762873,834062318.555036
2020-12-08 09:00:00,189.0,199.0,171.0,180.0,8007400.32998026,1496177810.7149153
2020-12-09 09:00:00,178.0,185.0,161.0,176.0,4259765.44042212,729673908.2055856
2020-12-10 09:00:00,177.0,177.0,139.0,150.0,93742362.66136877,13606457217.44361
2020-12-11 09:00:00,151.0,152.0,132.0,135.0,39452744.05674341,5511493791.134776
2020-12-12 09:00:00,134.0,148.0,132.0,143.0,29663373.92604486,4184168662.4974566
2020-12-13 09:00:00,143.0,145.0,139.0,141.0,11361284.72438603,1606886038.298904
2020-12-14 09:00:00,141.0,142.0,139.0,142.0,4958128.54517695,697276589.4145207
2020-12-15 09:00:00,141.0,146.0,139.0,144.0,9166139.45700378,1305263347.2279742
2020-12-16 09:00:00,144.0,298.0,141.0,204.0,830174937.9431573,193789433454.50266
2020-12-17 09:00:00,203.0,239.0,174.0,196.0,221048604.00194344,44165851479.45691
2020-12-18 09:00:00,196.0,207.0,165.0,181.0,138732491.12532765,25001898465.23169
2020-12-19 09:00:00,181.0,182.0,169.0,177.0,66920116.10856792,11590698473.110212
2020-12-20 09:00:00,176.0,182.0,169.0,170.0,30207658.2153035,5229207009.576518
2020-12-21 09:00:00,169.0,174.0,146.0,161.0,40499834.61509328,6520354910.16066
2020-12-22 09:00:00,162.0,162.0,149.0,158.0,18878646.8543942,2924882794.42464
2020-12-23 09:00:00,159.0,162.0,132.0,137.0,23060406.70398517,3370655355.8838887
2020-12-24 09:00:00,136.0,147.0,129.0,145.0,13544874.60605036,1864111830.1275747
2020-12-25 09:00:00,145.0,155.0,141.0,147.0,16783739.83940724,2479544116.1752048
2020-12-26 09:00:00,147.0,152.0,140.0,146.0,10376152.19463873,1498268370.0256846
2020-12-27 09:00:00,146.0,151.0,138.0,149.0,25347768.05634723,3689780674.6398315
2020-12-28 09:00:00,149.0,154.0,144.0,148.0,16713063.08770945,2495499479.4734597
2020-12-29 09:00:00,149.0,150.0,142.0,149.0,10827115.6192548,1572057300.852099
2020-12-30 09:00:00,148.0,149.0,142.0,147.0,4745081.77645401,686758429.3600672
2020-12-31 09:00:00,145.0,147.0,141.0,146.0,4683968.83685494,672140012.7388271
2021-01-01 09:00:00,145.0,156.0,143.0,155.0,20470472.58978048,3072090512.886764
2021-01-02 09:00:00,155.0,155.0,144.0,150.0,11817700.6338358,1758520706.8826985
2021-01-03 09:00:00,149.0,155.0,141.0,147.0,18238607.83190387,2684046782.5338326
2021-01-04 09:00:00,148.0,152.0,134.0,143.0,21673365.98832491,3097957376.969648
2021-01-05 09:00:00,143.0,145.0,135.0,143.0,10612786.37869316,1491393747.372239
2021-01-06 09:00:00,143.0,145.0,136.0,145.0,18581300.13810928,2617198466.317934
2021-01-07 09:00:00,145.0,151.0,140.0,148.0,27608994.91585886,3995893586.455278
2021-01-08 09:00:00,147.0,159.0,140.0,156.0,46037136.34603483,6879410104.438538
2021-01-09 09:00:00,155.0,164.0,150.0,164.0,31609468.38348652,4972843054.2501545
2021-01-10 09:00:00,164.0,164.0,144.0,151.0,35189480.96093293,5486725830.878805
2021-01-11 09:00:00,150.0,157.0,136.0,144.0,22496833.07381791,3235727869.1759005
2021-01-12 09:00:00,144.0,147.0,138.0,144.0,9950607.85317758,1414721026.0054104
2021-01-13 09:00:00,143.0,149.0,140.0,147.0,11221115.2768898,1625240226.1755383
2021-01-14 09:00:00,147.0,197.0,145.0,152.0,186995825.9938773,30852122591.37632
2021-01-15 09:00:00,152.0,153.0,141.0,148.0,31113780.59874035,4551887239.232921
2021-01-16 09:00:00,147.0,155.0,144.0,152.0,36161005.86041923,5389473297.610254
