,open,high,low,close,volume,value
2017-11-14 09:00:00,245.0,598.0,243.0,315.0,9979697.41083094,3100393038.1255803
2017-11-15 09:00:00,317.0,325.0,265.0,284.0,5685287.88296538,1650509685.246269
2017-11-16 09:00:00,285.0,307.0,259.0,272.0,8727703.62550561,2448784944.191799
2017-11-17 09:00:00,272.0,335.0,257.0,288.0,11623173.70912345,3346397942.609774
2017-11-18 09:00:00,288.0,355.0,281.0,339.0,10022242.12060371,3100500494.923922
2017-11-19 09:00:00,337.0,526.0,322.0,452.0,28447141.9463715,12076721557.256292
2017-11-20 09:00:00,453.0,847.0,433.0,619.0,96417202.5412753,65130977192.72221
2017-11-21 09:00:00,619.0,714.0,500.0,697.0,54934609.44231831,33575668177.560482
2017-11-22 09:00:00,697.0,1100.0,685.0,955.0,101177252.17922592,88887308228.7831
2017-11-23 09:00:00,955.0,968.0,800.0,839.0,52152782.46767879,47025951739.280716
2017-11-24 09:00:00,837.0,945.0,830.0,891.0,35109286.48541481,31147338673.03862
2017-11-25 09:00:00,891.0,913.0,858.0,892.0,16771713.05059296,14886990296.71356
2017-11-26 09:00:00,891.0,939.0,820.0,851.0,28938055.88827151,25142407401.66012
2017-11-27 09:00:00,852.0,878.0,755.0,782.0,21239452.324415,17687399891.078796
2017-11-28 09:00:00,783.0,871.0,744.0,765.0,38058305.77482546,30231486043.622997
2017-11-29 09:00:00,764.0,800.0,550.0,613.0,26864253.84210062,19310077215.76807
2017-11-30 09:00:00,613.0,832.0,570.0,779.0,65831355.04646973,47665400813.719025
2017-12-01 09:00:00,778.0,873.0,711.0,811.0,41944282.07748685,34161240643.19458
2017-12-02 09:00:00,811.0,886.0,740.0,838.0,56312703.57333757,46534353273.64375
2017-12-03 09:00:00,838.0,915.0,815.0,835.0,48696885.61426879,42069874731.32999
2017-12-04 09:00:00,835.0,880.0,815.0,868.0,30329931.91084922,25627829169.487995
2017-12-05 09:00:00,868.0,890.0,831.0,880.0,22399368.94283201,19167167669.151985
2017-12-06 09:00:00,880.0,900.0,784.0,815.0,26207926.12046963,21953571801.859882
2017-12-07 09:00:00,815.0,845.0,670.0,697.0,29861274.27016143,23255606462.283306
2017-12-08 09:00:00,696.0,808.0,551.0,698.0,35914176.03441053,25204025550.046932
2017-12-09 09:00:00,700.0,814.0,634.0,695.0,46647743.49745741,33722969827.691536
2017-12-10 09:00:00,696.0,717.0,462.0,590.0,18362245.10124239,10868905313.04251
2017-12-11 09:00:00,590.0,648.0,566.0,632.0,32557689.3678926,20001328416.838814
2017-12-12 09:00:00,632.0,677.0,599.0,645.0,32004948.50233543,20462689594.583527
2017-12-13 09:00:00,644.0,794.0,550.0,706.0,85738168.58323456,59180588969.48188
2017-12-14 09:00:00,705.0,898.0,680.0,807.0,102551221.47444716,82039560930.48708
2017-12-15 09:00:00,807.0,834.0,703.0,763.0,34425275.10575478,26224643456.269863
2017-12-16 09:00:00,762.0,820.0,752.0,787.0,45723760.99920827,35906951739.08805
2017-12-17 09:00:00,787.0,949.0,760.0,867.0,62126601.80611225,51620782240.38931
2017-12-18 09:00:00,866.0,1490.0,865.0,1235.0,204427988.62022802,244594386693.28787
2017-12-19 09:00:00,1235.0,1485.0,1160.0,1345.0,56266425.0210984,76025259207.9097
2017-12-20 09:00:00,1345.0,1715.0,1175.0,1640.0,50277845.39500935,70573464239.08826
2017-12-21 09:00:00,1640.0,1835.0,1390.0,1665.0,55184402.53550478,91993824862.6765
