,open,high,low,close,volume,value
2019-04-05 09:00:00,1100.0,1850.0,870.0,890.0,44973340.41268977,46807929443.54647
2019-04-06 09:00:00,890.0,940.0,840.0,880.0,22455572.07600158,19791725095.577633
2019-04-07 09:00:00,880.0,890.0,830.0,850.0,46542868.5863288,40527279793.861374
2019-04-08 09:00:00,850.0,870.0,820.0,850.0,4410607.59393773,3738767649.367297
2019-04-09 09:00:00,850.0,880.0,830.0,850.0,2945364.58693883,2490405089.316396
2019-04-10 09:00:00,850.0,880.0,840.0,850.0,2239802.73360746,1914526446.6042023
2019-04-11 09:00:00,850.0,850.0,750.0,780.0,2958293.54823667,2357334599.9906683
2019-04-12 09:00:00,780.0,830.0,740.0,820.0,1910531.69959242,1491962823.585969
2019-04-13 09:00:00,820.0,820.0,790.0,800.0,550685.54075733,444296416.76682985
2019-04-14 09:00:00,800.0,820.0,790.0,820.0,823375.54808271,665122458.125705
2019-04-15 09:00:00,820.0,820.0,780.0,790.0,1181144.3701798,949708020.0847474
2019-04-16 09:00:00,790.0,820.0,780.0,820.0,1263992.25122306,1009949307.7694038
2019-04-17 09:00:00,810.0,840.0,800.0,820.0,915628.01037207,750454722.2191224
2019-04-18 09:00:00,820.0,830.0,800.0,820.0,608536.38864914,495424909.0470218
2019-04-19 09:00:00,810.0,820.0,800.0,800.0,770165.6742321,624175013.902145
2019-04-20 09:00:00,810.0,810.0,790.0,800.0,777840.44761934,622022554.4758934
2019-04-21 09:00:00,800.0,810.0,780.0,800.0,873102.11125319,692836703.2313392
2019-04-22 09:00:00,800.0,810.0,780.0,800.0,483240.1242668,383850036.71321803
2019-04-23 09:00:00,810.0,810.0,790.0,800.0,674448.15457937,541992040.461862
2019-04-24 09:00:00,800.0,800.0,750.0,770.0,1390424.96010164,1077904122.4298012
2019-04-25 09:00:00,770.0,780.0,730.0,740.0,531282.40976788,404538758.6614225
2019-04-26 09:00:00,740.0,760.0,720.0,740.0,630517.29818086,465975070.8334676
2019-04-27 09:00:00,740.0,760.0,730.0,750.0,153855.15748261,113524116.19418988
2019-04-28 09:00:00,750.0,760.0,730.0,730.0,180896.97311551,134906644.47303817
2019-04-29 09:00:00,730.0,740.0,700.0,700.0,489463.67910661,354452282.96590775
2019-04-30 09:00:00,710.0,740.0,700.0,730.0,613413.35123425,439830183.245812
2019-05-01 09:00:00,730.0,750.0,720.0,740.0,416774.25206978,306786845.26341057
2019-05-02 09:00:00,750.0,760.0,730.0,740.0,332981.36598145,248584944.5536159
2019-05-03 09:00:00,740.0,760.0,720.0,750.0,512458.6930933,377811022.24966145
2019-05-04 09:00:00,750.0,750.0,730.0,740.0,409687.28337784,301935403.68039346
2019-05-05 09:00:00,740.0,750.0,720.0,740.0,302828.34231674,221385718.42451662
2019-05-06 09:00:00,740.0,740.0,720.0,720.0,354846.22757429,257945642.9837951
2019-05-07 09:00:00,720.0,740.0,690.0,690.0,647785.28344456,460280943.85170466
2019-05-08 09:00:00,690.0,710.0,680.0,700.0,317862.72062713,221021898.47432765
2019-05-09 09:00:00,700.0,720.0,680.0,690.0,912336.72603656,637669785.2377548
2019-05-10 09:00:00,690.0,700.0,670.0,690.0,513736.49508115,352291530.63526356
2019-05-11 09:00:00,690.0,720.0,690.0,710.0,679236.9395222,477746294.6843726
2019-05-12 09:00:00,710.0,720.0,670.0,680.0,745853.30498511,519783488.1422832
2019-05-13 09:00:00,690.0,750.0,680.0,730.0,2086770.34927831,1501960741.5621555
2019-05-14 09:00:00,730.0,780.0,720.0,750.0,2293352.13315539,1725903297.0167902
2019-05-15 09:00:00,750.0,860.0,740.0,850.0,2898940.09178833,2290310990.437813
2019-05-16 09:00:00,850.0,920.0,810.0,860.0,3626402.55569258,3146056763.112727
2019-05-17 09:00:00,860.0,880.0,730.0,820.0,2678081.10252365,2096940911.1588905
2019-05-18 09:00:00,820.0,1030.0,790.0,860.0,9980688.81761177,9056828233.613865
2019-05-19 09:00:00,860.0,900.0,850.0,870.0,3145422.15184944,2749678804.1693573
2019-05-20 09:00:00,870.0,900.0,830.0,880.0,2680541.96651912,2313354967.006261
2019-05-21 09:00:00,880.0,1070.0,880.0,970.0,24413699.9439996,24124910757.686226
2019-05-22 09:00:00,970.0,1000.0,890.0,910.0,5902873.09369538,5534006939.104575
2019-05-23 09:00:00,900.0,970.0,860.0,940.0,4300784.29741335,3928650968.2444763
2019-05-24 09:00:00,960.0,1040.0,920.0,990.0,9719115.21602492,9530599505.904078
2019-05-25 09:00:00,990.0,1000.0,940.0,950.0,3511890.19770027,3397340136.0824285
2019-05-26 09:00:00,940.0,1010.0,910.0,970.0,8232894.73613055,7906410946.841787
2019-05-27 09:00:00,980.0,1090.0,970.0,1070.0,15607765.5458829,16259993818.044615
2019-05-28 09:00:00,1070.0,1440.0,1060.0,1390.0,27931919.55655098,33747084399.350925
2019-05-29 09:00:00,1390.0,1470.0,1260.0,1290.0,27513323.01062139,36966059100.086945
2019-05-30 09:00:00,1290.0,1330.0,1090.0,1150.0,12602543.45160158,15648987688.75561
2019-05-31 09:00:00,1150.0,1270.0,1110.0,1220.0,12337667.30672842,14690814096.251192
2019-06-01 09:00:00,1230.0,1230.0,1150.0,1200.0,5177984.87937857,6166350958.301809
2019-06-02 09:00:00,1200.0,1290.0,1190.0,1240.0,9039164.20319346,11283908973.840782
2019-06-03 09:00:00,1250.0,1250.0,1140.0,1150.0,4382685.36670988,5215018425.615107
2019-06-04 09:00:00,1150.0,1190.0,1030.0,1070.0,8025143.97777911,8827807460.020262
2019-06-05 09:00:00,1070.0,1140.0,1010.0,1070.0,9532112.6803147,10276345721.214108
2019-06-06 09:00:00,1060.0,1080.0,1010.0,1050.0,2790500.44448713,2915456607.349422
2019-06-07 09:00:00,1050.0,1100.0,1030.0,1080.0,4314445.93227594,4612037391.988219
2019-06-08 09:00:00,1080.0,1090.0,1050.0,1070.0,2176135.61951981,2326516336.9513416
2019-06-09 09:00:00,1070.0,1080.0,1000.0,1020.0,2049008.9768361,2132193151.5470324
2019-06-10 09:00:00,1010.0,1050.0,990.0,1030.0,2609544.42030315,2666880037.1388288
2019-06-11 09:00:00,1040.0,1060.0,1010.0,1030.0,2223746.66148326,2301408070.1010585
2019-06-12 09:00:00,1020.0,1040.0,1020.0,1040.0,1824257.50395005,1878122647.1849384
2019-06-13 09:00:00,1040.0,1060.0,1020.0,1040.0,4086065.10639823,4243481244.674998
2019-06-14 09:00:00,1040.0,1090.0,1030.0,1050.0,3990324.67120947,4199724953.4739966
2019-06-15 09:00:00,1050.0,1090.0,1020.0,1050.0,4158647.01514646,4387005572.757367
2019-06-16 09:00:00,1050.0,1090.0,1040.0,1050.0,3154901.42853755,3345849062.9950814
2019-06-17 09:00:00,1050.0,1090.0,1020.0,1030.0,3387045.52340555,3576122053.00239
2019-06-18 09:00:00,1030.0,1040.0,980.0,1000.0,3441472.73173169,3460337026.5443134
2019-06-19 09:00:00,1000.0,1020.0,980.0,1000.0,2195747.88425618,2198473597.7278028
2019-06-20 09:00:00,1000.0,1010.0,970.0,980.0,2988565.44850128,2952562241.521779
2019-06-21 09:00:00,980.0,1040.0,980.0,1020.0,4604845.60052582,4661148727.178251
2019-06-22 09:00:00,1020.0,1070.0,1000.0,1050.0,4375785.60717909,4497763099.685146
2019-06-23 09:00:00,1050.0,1080.0,1020.0,1040.0,3806187.08058459,4000861742.2064185
2019-06-24 09:00:00,1050.0,1060.0,1020.0,1040.0,1296983.14146546,1352539640.190966
2019-06-25 09:00:00,1040.0,1090.0,1040.0,1070.0,2917628.15311677,3110639541.1086936
2019-06-26 09:00:00,1070.0,1140.0,1050.0,1100.0,5141762.30107592,5575304740.306979
2019-06-27 09:00:00,1100.0,1110.0,1000.0,1030.0,3914001.5863824,4109943721.2601347
2019-06-28 09:00:00,1030.0,1080.0,1030.0,1070.0,2035940.94690231,2139266532.6454835
2019-06-29 09:00:00,1070.0,1080.0,1030.0,1060.0,1614489.02356818,1691758312.6914945
2019-06-30 09:00:00,1070.0,1090.0,1020.0,1040.0,2307915.39542386,2434909804.6574183
2019-07-01 09:00:00,1040.0,1130.0,1020.0,1060.0,5444361.93418639,5846932716.450115
2019-07-02 09:00:00,1060.0,1070.0,1000.0,1030.0,2007106.33148451,2055850925.8616476
2019-07-03 09:00:00,1020.0,1050.0,990.0,1020.0,1568768.58204345,1603155649.9903364
2019-07-04 09:00:00,1020.0,1020.0,970.0,980.0,1266228.13115244,1254853419.1364799
