,open,high,low,close,volume,value
2024-02-27 09:00:00,697.1,1090.0,697.1,1010.0,390694312.26579195,395454776816.6065
2024-02-28 09:00:00,1009.0,1013.0,869.0,954.0,177642459.9917831,168464779111.02444
2024-02-29 09:00:00,954.0,972.9,905.0,915.3,78000910.09329899,73103749327.21864
2024-03-01 09:00:00,915.4,957.9,911.1,943.9,37372937.94083702,35056425854.65153
2024-03-02 09:00:00,943.9,972.5,918.0,959.3,36337609.69179326,34278251284.172417
2024-03-03 09:00:00,959.5,1004.0,885.4,948.9,44770219.93312516,42698635518.71738
2024-03-04 09:00:00,947.9,960.0,895.0,916.0,33182520.57636671,30598876111.73863
2024-03-05 09:00:00,915.9,955.6,800.0,857.4,58662966.79040625,52572016916.1699
2024-03-06 09:00:00,858.2,888.0,805.1,884.0,30581820.17372186,25992905146.348793
2024-03-07 09:00:00,884.1,971.7,877.2,953.2,73805310.80235858,68798407410.7812
2024-03-08 09:00:00,953.2,1027.0,940.1,981.2,89541202.46825722,87971136858.47523
2024-03-09 09:00:00,981.2,993.7,950.0,969.9,36332106.88075828,35318449569.74779
2024-03-10 09:00:00,969.8,969.8,957.9,958.1,3848736.17779502,3703896956.393961
