,open,high,low,close,volume,value
2019-01-15 09:00:00,36.4,89.0,36.4,44.6,790925670.2969152,41126430492.99165
2019-01-16 09:00:00,44.5,44.6,41.6,43.4,408947308.4214709,17553834010.82468
2019-01-17 09:00:00,43.3,46.1,41.1,42.9,1407960041.9469848,59372654450.17204
2019-01-18 09:00:00,42.9,42.9,41.3,42.1,3382138756.0217237,141848225351.9837
2019-01-19 09:00:00,42.1,44.8,41.5,42.7,3461166854.1919127,147375860005.37286
2019-01-20 09:00:00,42.6,42.9,38.0,39.9,1407992733.3434598,59116437028.65755
2019-01-21 09:00:00,39.9,39.9,37.2,38.4,28793345.42097281,1102594310.965775
2019-01-22 09:00:00,38.3,39.6,37.2,39.1,15450804.40891673,591962759.2589449
2019-01-23 09:00:00,39.1,40.0,38.2,39.0,9475715.17765864,369858955.7107409
2019-01-24 09:00:00,38.8,39.4,37.2,38.2,3744130.69218975,142934737.3054071
2019-01-25 09:00:00,38.2,38.3,35.6,37.0,9840257.37677888,362536826.74852335
2019-01-26 09:00:00,37.0,38.3,36.7,38.0,4765565.00891686,178045951.66155207
2019-01-27 09:00:00,38.0,38.2,35.7,36.4,3582603.94716281,132387988.17200696
2019-01-28 09:00:00,36.4,36.4,30.0,33.4,9655992.06534375,315011185.1822251
2019-01-29 09:00:00,32.8,33.1,30.0,32.1,2097722.23562204,66273188.92007376
2019-01-30 09:00:00,32.1,33.1,31.2,32.7,3357189.08603422,108210828.16008367
2019-01-31 09:00:00,32.7,32.8,29.9,30.2,6526286.56435996,203223742.41290808
2019-02-01 09:00:00,30.3,31.6,29.6,31.1,3274891.7746836,100214649.68721129
2019-02-02 09:00:00,31.1,32.0,30.6,31.8,1177035.62861984,36670506.16029024
2019-02-03 09:00:00,31.8,31.9,30.6,30.7,1170966.56841887,36591614.35274513
2019-02-04 09:00:00,31.0,35.0,30.7,31.0,10897127.69828525,352472594.9947245
2019-02-05 09:00:00,31.4,39.5,30.6,34.3,81662064.45486094,2827792120.515919
2019-02-06 09:00:00,34.1,41.7,32.0,32.9,171176855.83336452,6303046407.254452
2019-02-07 09:00:00,32.6,36.4,32.1,33.4,56640833.82749861,1909529133.3965254
2019-02-08 09:00:00,33.4,34.7,31.7,34.0,33344615.26118422,1096024562.7248092
2019-02-09 09:00:00,34.0,40.8,32.0,34.6,200958284.35071623,7406577538.857463
2019-02-10 09:00:00,34.7,36.0,32.9,34.9,45315674.36088793,1561383726.0871267
2019-02-11 09:00:00,35.1,35.1,33.7,34.3,10188909.58419452,346658309.51560205
2019-02-12 09:00:00,34.1,34.3,33.4,33.8,7607489.1541159,257029346.22421435
2019-02-13 09:00:00,33.8,33.9,32.8,33.3,10936668.08305304,364960767.6008172
2019-02-14 09:00:00,33.3,33.3,32.1,33.2,7344714.75183055,239561424.36902744
2019-02-15 09:00:00,33.2,33.5,32.5,32.9,6992196.73369611,231705929.85838407
2019-02-16 09:00:00,32.9,35.3,32.5,33.5,19466340.73261039,649618141.2215481
2019-02-17 09:00:00,33.5,41.1,33.0,35.3,153295918.50334835,5530366151.333757
2019-02-18 09:00:00,35.4,38.7,34.0,35.7,51487487.49935185,1846325139.762585
2019-02-19 09:00:00,35.5,36.0,33.1,35.1,32104680.08391992,1112941284.6468575
2019-02-20 09:00:00,35.1,35.7,34.2,35.2,7070461.06380783,247143925.44125167
2019-02-21 09:00:00,35.2,36.9,34.7,36.6,16366805.60412043,586782918.3693604
2019-02-22 09:00:00,36.5,38.2,35.6,36.5,11840622.5181607,438039451.14558774
2019-02-23 09:00:00,36.5,37.3,35.5,36.6,5920991.99569261,214000810.22468156
2019-02-24 09:00:00,36.6,37.3,31.8,32.3,12611998.79724767,440125304.67315793
2019-02-25 09:00:00,32.3,34.8,32.0,33.3,8396368.35518244,277505180.528359
2019-02-26 09:00:00,33.3,34.8,32.3,34.4,10330892.03054568,349054117.7777768
2019-02-27 09:00:00,34.4,34.6,33.0,33.9,9182450.54594985,311291760.4280768
2019-02-28 09:00:00,33.9,36.6,33.8,35.2,20916544.94055622,730767033.7747515
2019-03-01 09:00:00,35.2,37.2,35.0,36.3,23862722.73844362,863814629.8168387
2019-03-02 09:00:00,36.1,37.7,34.2,37.7,20814564.06921498,741277482.5286237
2019-03-03 09:00:00,37.6,37.7,35.6,36.1,12982018.28972971,474421583.07541054
2019-03-04 09:00:00,36.0,36.5,33.4,34.8,16318990.3487442,563999796.2603105
2019-03-05 09:00:00,34.3,35.7,33.7,35.6,8146220.52783559,284789861.9562606
2019-03-06 09:00:00,35.6,36.0,34.9,35.4,5066545.13005575,179290803.39664757
2019-03-07 09:00:00,35.4,36.4,35.1,36.2,9398507.35530314,334197494.4107144
