,open,high,low,close,volume,value
2017-09-25 09:00:00,9780.0,10800.0,9660.0,10500.0,0.0213,219.504
2017-09-26 09:00:00,10550.0,11550.0,10200.0,10700.0,0.0517,569.7
2017-09-27 09:00:00,10700.0,11250.0,10300.0,11250.0,0.0507,551.925
2017-09-28 09:00:00,11300.0,12000.0,10250.0,11450.0,0.0497,542.395
2017-09-29 09:00:00,11500.0,11550.0,10250.0,11150.0,0.0523,576.16
2017-09-30 09:00:00,11150.0,13350.0,11050.0,13150.0,0.0525,633.32
2017-10-01 09:00:00,13100.0,14550.0,13100.0,14100.0,0.0521,723.2
2017-10-02 09:00:00,14050.0,14200.0,13050.0,13700.0,0.0525,715.075
2017-10-03 09:00:00,13700.0,14300.0,12300.0,14300.0,0.0491,641.92
2017-10-04 09:00:00,14350.0,14450.0,12850.0,13100.0,0.0462,624.945
2017-10-05 09:00:00,13200.0,14300.0,12400.0,13850.0,0.047,636.29
2017-10-06 09:00:00,14000.0,14100.0,13350.0,13550.0,0.0487,668.6
2017-10-07 09:00:00,13550.0,14050.0,13150.0,14050.0,0.0521,699.86
2017-10-08 09:00:00,14100.0,14200.0,12050.0,12250.0,0.0519,697.905
2017-10-09 09:00:00,12200.0,14650.0,12150.0,13950.0,0.0519,681.225
2017-10-10 09:00:00,14000.0,15000.0,13250.0,13800.0,0.0516,716.19
2017-10-11 09:00:00,13950.0,14400.0,13450.0,13900.0,0.0513,714.375
2017-10-12 09:00:00,13900.0,14100.0,12700.0,12850.0,0.0512,679.25
2017-10-13 09:00:00,12800.0,13000.0,11350.0,12500.0,0.0511,618.8
2017-10-14 09:00:00,12550.0,13200.0,11650.0,11800.0,0.0515,629.13
2017-10-15 09:00:00,11650.0,11900.0,11200.0,11500.0,0.0515,593.8
2017-10-16 09:00:00,11500.0,13250.0,11200.0,13050.0,0.0505,598.855
2017-10-17 09:00:00,13000.0,14100.0,12200.0,13650.0,0.0597,771.67
2017-10-18 09:00:00,13650.0,13750.0,12350.0,13100.0,81.0187,1055493.665
2017-10-19 09:00:00,13050.0,14200.0,12900.0,13900.0,235.0,3194600.0
2017-10-20 09:00:00,13800.0,17700.0,13050.0,13050.0,64.91,942074.5
2017-10-24 09:00:00,11700.0,12950.0,11600.0,12400.0,2.15,26600.5
2017-10-25 09:00:00,12400.0,12500.0,11650.0,12100.0,2.33,28087.5
2017-10-26 09:00:00,12000.0,12350.0,11750.0,11950.0,2.34,28128.5
2017-10-27 09:00:00,12000.0,12150.0,11750.0,11750.0,2.33,27738.0
2017-10-28 09:00:00,11800.0,11900.0,11650.0,11750.0,2.16,25394.5
