,open,high,low,close,volume,value
2021-01-21 09:00:00,169.0,523.0,113.0,124.0,2150137727.459097,351419614684.5279
2021-01-22 09:00:00,124.0,135.0,101.0,121.0,985323131.0229731,117320486399.36462
2021-01-23 09:00:00,120.0,125.0,106.0,112.0,247085739.43704617,28362523014.075127
2021-01-24 09:00:00,112.0,115.0,102.0,105.0,157147488.96980613,16913768036.330765
2021-01-25 09:00:00,105.0,111.0,102.0,105.0,187744712.05958077,19850884021.765667
2021-01-26 09:00:00,104.0,107.0,99.1,103.0,98535425.16545117,10037273162.55777
2021-01-27 09:00:00,104.0,104.0,85.0,91.4,109370059.21042036,10108173293.802864
2021-01-28 09:00:00,92.0,101.0,87.2,97.1,153831055.2449099,14799803090.196127
2021-01-29 09:00:00,97.1,108.0,92.4,97.0,183415241.95883414,18243628236.762554
2021-01-30 09:00:00,97.1,101.0,92.9,94.4,57303533.1879587,5537107014.115843
2021-01-31 09:00:00,94.4,99.9,89.3,91.2,60229030.8437179,5623172876.558961
2021-02-01 09:00:00,91.2,92.1,85.0,90.2,53419667.61770391,4707368622.9032135
2021-02-02 09:00:00,90.2,105.0,88.9,103.0,151032268.53232422,14528474325.130482
2021-02-03 09:00:00,103.0,108.0,99.2,104.0,135229031.94913244,13908157824.65754
2021-02-04 09:00:00,104.0,122.0,94.3,109.0,198485959.77384675,21874368446.82528
2021-02-05 09:00:00,108.0,160.0,106.0,153.0,583441235.7501255,79450841953.84277
2021-02-06 09:00:00,153.0,154.0,128.0,140.0,167459483.02857816,23417561283.008335
2021-02-07 09:00:00,140.0,144.0,121.0,138.0,102435457.75948723,13630487472.835682
2021-02-08 09:00:00,138.0,164.0,133.0,152.0,199755119.25565043,30119358543.892323
2021-02-09 09:00:00,151.0,176.0,145.0,162.0,154265110.76860988,24757162404.485977
2021-02-10 09:00:00,161.0,170.0,146.0,159.0,124378210.61478151,19770282738.35989
2021-02-11 09:00:00,159.0,195.0,155.0,172.0,213153220.72646248,36562471845.84298
2021-02-12 09:00:00,172.0,184.0,165.0,177.0,135645462.71853718,24010028514.00652
2021-02-13 09:00:00,177.0,244.0,175.0,223.0,679300195.3842815,146291094985.6078
2021-02-14 09:00:00,223.0,315.0,208.0,291.0,1066535547.7253176,289483326103.84924
2021-02-15 09:00:00,291.0,294.0,230.0,263.0,362186306.64951295,95373202829.64838
2021-02-16 09:00:00,264.0,270.0,243.0,257.0,145513730.75577062,37727609677.48154
2021-02-17 09:00:00,257.0,299.0,233.0,266.0,377840209.18894964,100288885559.59813
2021-02-18 09:00:00,265.0,438.0,257.0,355.0,688387564.1551261,227841801697.63895
2021-02-19 09:00:00,356.0,378.0,306.0,348.0,239703246.48976362,82003968541.53827
2021-02-20 09:00:00,348.0,373.0,321.0,342.0,186923884.5172556,65596259701.94644
2021-02-21 09:00:00,342.0,396.0,332.0,366.0,147500289.14943358,53576064380.41709
2021-02-22 09:00:00,366.0,424.0,264.0,339.0,327594611.07817894,115794430378.94412
2021-02-23 09:00:00,339.0,407.0,196.0,274.0,377559802.7242037,102336342520.98827
2021-02-24 09:00:00,273.0,314.0,239.0,282.0,283434366.18164253,78932796576.4177
2021-02-25 09:00:00,282.0,306.0,262.0,266.0,151702087.50476077,42877960975.75387
2021-02-26 09:00:00,266.0,297.0,256.0,275.0,125885301.72137871,34478393700.22287
2021-02-27 09:00:00,276.0,296.0,270.0,286.0,84684672.97226816,24032973267.087185
2021-02-28 09:00:00,286.0,312.0,229.0,254.0,155610520.5832925,42251522976.833664
2021-03-01 09:00:00,255.0,284.0,245.0,274.0,144006600.04690236,38348826642.65591
2021-03-02 09:00:00,274.0,304.0,263.0,292.0,119152137.70929489,33896802524.313602
2021-03-03 09:00:00,292.0,366.0,284.0,352.0,233643168.60151353,74857487430.49438
2021-03-04 09:00:00,352.0,510.0,329.0,417.0,742752592.4519948,315742073530.7141
2021-03-05 09:00:00,418.0,500.0,394.0,408.0,411421446.66119874,181703417248.2979
2021-03-06 09:00:00,408.0,428.0,366.0,396.0,118563097.83095022,47269489563.52923
2021-03-07 09:00:00,395.0,442.0,389.0,433.0,143369241.85854796,59807219852.21736
2021-03-08 09:00:00,433.0,555.0,430.0,524.0,318445974.5850122,153994832135.30334
2021-03-09 09:00:00,524.0,684.0,523.0,602.0,487163973.1039477,296445375448.6728
2021-03-10 09:00:00,600.0,602.0,521.0,557.0,149240179.70259723,83997401510.29659
2021-03-11 09:00:00,557.0,641.0,546.0,611.0,208004659.7948737,123665553768.81543
2021-03-12 09:00:00,611.0,726.0,595.0,710.0,239159957.93763778,156220249194.5676
2021-03-13 09:00:00,710.0,905.0,633.0,790.0,288323468.5177555,216337030648.8053
2021-03-14 09:00:00,789.0,863.0,742.0,782.0,188947051.04792553,154239871671.5874
2021-03-15 09:00:00,784.0,830.0,680.0,773.0,137664803.76425168,105971902616.88441
2021-03-16 09:00:00,773.0,789.0,665.0,690.0,116455192.90078443,82070681101.33575
2021-03-17 09:00:00,690.0,717.0,575.0,699.0,141284797.09744108,91285374698.1222
2021-03-18 09:00:00,696.0,795.0,652.0,718.0,168607613.78323573,123213746276.32521
2021-03-19 09:00:00,718.0,730.0,680.0,708.0,71568104.72595906,51014949347.49687
2021-03-20 09:00:00,709.0,709.0,620.0,626.0,73191010.03063788,49835418034.83201
2021-03-21 09:00:00,627.0,696.0,608.0,658.0,68478312.51300837,44836451298.992485
2021-03-22 09:00:00,658.0,719.0,636.0,662.0,78813833.96624142,53646631311.752754
2021-03-23 09:00:00,663.0,696.0,598.0,684.0,60457265.95498454,39884333029.54188
2021-03-24 09:00:00,684.0,794.0,659.0,708.0,156407201.92856055,115255639317.51576
2021-03-25 09:00:00,709.0,740.0,652.0,724.0,92571664.3443461,65465622390.92955
2021-03-26 09:00:00,723.0,745.0,691.0,739.0,50978574.93121091,36563429263.32809
2021-03-27 09:00:00,740.0,879.0,720.0,852.0,168559233.91943046,135681866739.2942
2021-03-28 09:00:00,852.0,1090.0,806.0,977.0,309819780.7181854,295896345101.2468
2021-03-29 09:00:00,977.0,1050.0,911.0,942.0,152880785.18771836,148683291461.69727
2021-03-30 09:00:00,942.0,1025.0,925.0,998.0,109581022.22951107,106345936441.79973
2021-03-31 09:00:00,995.0,1025.0,908.0,977.0,109117090.20278795,105641833252.24062
2021-04-01 09:00:00,977.0,981.0,920.0,933.0,66568691.25269475,62913593265.69782
2021-04-02 09:00:00,933.0,975.0,877.0,961.0,110301290.34886432,102638613708.45415
2021-04-03 09:00:00,960.0,962.0,854.0,859.0,55761518.46738197,51083997272.56934
2021-04-04 09:00:00,859.0,938.0,846.0,914.0,46191248.75015985,41440363883.725395
2021-04-05 09:00:00,914.0,932.0,867.0,893.0,50873658.64127467,45925866603.39122
2021-04-06 09:00:00,893.0,910.0,820.0,857.0,47234171.11511339,40842642112.7285
2021-04-07 09:00:00,857.0,886.0,610.0,826.0,73488266.82174848,56494825213.66887
2021-04-08 09:00:00,826.0,909.0,751.0,889.0,114096673.16782811,96751069871.99738
2021-04-09 09:00:00,890.0,976.0,838.0,917.0,95033770.11969876,86331348781.01097
2021-04-10 09:00:00,916.0,917.0,850.0,875.0,42771328.17233736,37857475512.06275
2021-04-11 09:00:00,875.0,897.0,773.0,844.0,39662803.45405168,33516227771.54991
2021-04-12 09:00:00,845.0,966.0,820.0,900.0,143231405.4012824,127882857181.06282
2021-04-13 09:00:00,901.0,902.0,835.0,853.0,41710431.0617677,36057905598.07165
2021-04-14 09:00:00,853.0,854.0,780.0,823.0,25378318.13121671,20732659224.076157
2021-04-15 09:00:00,824.0,873.0,809.0,861.0,26825163.54581301,22586476369.660465
2021-04-16 09:00:00,861.0,937.0,815.0,917.0,135950617.44829923,119005673072.90825
2021-04-17 09:00:00,917.0,918.0,839.0,859.0,59211340.51291369,51388551288.39385
2021-04-18 09:00:00,860.0,866.0,683.0,760.0,57239349.43632446,43265138332.100586
2021-04-19 09:00:00,758.0,769.0,655.0,663.0,36166658.2192235,25724982797.18338
2021-04-20 09:00:00,666.0,674.0,552.0,654.0,43340958.42340439,26442178362.40373
2021-04-21 09:00:00,653.0,716.0,637.0,645.0,34910316.76037995,23647838974.479404
2021-04-22 09:00:00,647.0,673.0,488.0,506.0,37814457.73639045,22681777573.665195
2021-04-23 09:00:00,506.0,529.0,370.0,508.0,35222860.82026999,16044750363.974018
2021-04-24 09:00:00,509.0,521.0,463.0,501.0,16960286.28052735,8387360148.910663
2021-04-25 09:00:00,500.0,546.0,480.0,511.0,26087440.50028997,13546252320.519802
2021-04-26 09:00:00,511.0,597.0,500.0,595.0,34254634.88545287,19091737004.454685
2021-04-27 09:00:00,593.0,638.0,570.0,636.0,33677279.77004833,20407461827.553356
2021-04-28 09:00:00,636.0,732.0,593.0,690.0,216772458.15652084,148015696440.48138
2021-04-29 09:00:00,689.0,717.0,634.0,673.0,38655837.4588534,26219894380.02794
2021-04-30 09:00:00,672.0,755.0,656.0,731.0,58544671.20112303,42122353561.07785
2021-05-01 09:00:00,732.0,746.0,710.0,719.0,20457758.15836869,14842702491.807835
2021-05-02 09:00:00,719.0,723.0,671.0,704.0,15280787.74678481,10708502495.86703
2021-05-03 09:00:00,704.0,832.0,700.0,804.0,73687598.75627393,57021747771.99672
2021-05-04 09:00:00,804.0,905.0,717.0,721.0,256150665.0086011,213569956110.49576
2021-05-05 09:00:00,721.0,759.0,700.0,721.0,52201130.02558885,38235653005.37487
2021-05-06 09:00:00,723.0,724.0,670.0,687.0,32789935.10607161,22851813547.25226
2021-05-07 09:00:00,688.0,695.0,626.0,656.0,33816426.93584762,22390736753.64246
2021-05-08 09:00:00,655.0,684.0,646.0,661.0,20361925.24495948,13526207133.028347
2021-05-09 09:00:00,661.0,669.0,630.0,666.0,15103551.07399762,9835035801.857721
2021-05-10 09:00:00,666.0,667.0,585.0,589.0,21163859.36128643,13328464593.08578
2021-05-11 09:00:00,589.0,628.0,564.0,621.0,27573753.6122918,16657349165.83508
2021-05-12 09:00:00,620.0,650.0,501.0,506.0,29433920.28560741,17835387868.119263
2021-05-13 09:00:00,506.0,573.0,492.0,537.0,25393660.18810138,13615178042.600971
2021-05-14 09:00:00,538.0,558.0,514.0,543.0,15263814.1730941,8218792653.623172
2021-05-15 09:00:00,544.0,637.0,529.0,543.0,91916215.78596953,54614284089.8782
2021-05-16 09:00:00,543.0,569.0,491.0,517.0,29600360.44789443,15794246062.825758
2021-05-17 09:00:00,518.0,519.0,440.0,470.0,29512433.50576562,13924148253.265676
2021-05-18 09:00:00,469.0,518.0,459.0,489.0,48505642.30402495,23978324445.85145
2021-05-19 09:00:00,489.0,499.0,256.0,353.0,59570550.2677141,23361200641.444836
2021-05-20 09:00:00,352.0,398.0,309.0,396.0,41976592.88352224,15136053697.320908
2021-05-21 09:00:00,397.0,449.0,325.0,389.0,69940543.25531127,28206094397.071835
2021-05-22 09:00:00,389.0,650.0,338.0,571.0,1158717165.6891177,581055812192.0017
2021-05-23 09:00:00,572.0,647.0,297.0,363.0,343588390.8973716,143971107672.68332
2021-05-24 09:00:00,361.0,386.0,311.0,377.0,92560647.04144731,32279131687.36349
2021-05-25 09:00:00,378.0,396.0,325.0,360.0,50437026.19658786,17949936229.26135
2021-05-26 09:00:00,359.0,476.0,346.0,446.0,162277379.98474458,67973641654.51162
2021-05-27 09:00:00,447.0,460.0,396.0,410.0,55744877.43341852,23530038305.80504
2021-05-28 09:00:00,406.0,512.0,371.0,414.0,362050338.96773064,157181347643.38
2021-05-29 09:00:00,414.0,414.0,352.0,379.0,45174156.94159428,17385041461.224888
2021-05-30 09:00:00,379.0,405.0,337.0,384.0,56999316.06370078,21517649668.199253
2021-05-31 09:00:00,383.0,393.0,355.0,391.0,30427913.99596328,11378376982.963573
2021-06-01 09:00:00,391.0,393.0,370.0,380.0,18468199.96632311,7024939198.493537
2021-06-02 09:00:00,380.0,395.0,368.0,386.0,21915679.8446969,8354192471.388529
