,open,high,low,close,volume,value
2017-10-27 09:00:00,1140.0,1215.0,1140.0,1175.0,0.99,1166.4
2017-10-28 09:00:00,1170.0,1215.0,1095.0,1115.0,2.14,2435.4
2017-10-29 09:00:00,1110.0,1150.0,1095.0,1125.0,2.28,2556.25
2017-10-30 09:00:00,1120.0,1125.0,1085.0,1110.0,3.51,3890.05
2017-10-31 09:00:00,1110.0,1135.0,1080.0,1120.0,1.99,2214.3
2017-11-01 09:00:00,1125.0,1785.0,1095.0,1115.0,2.22,2578.2
2017-11-02 09:00:00,1140.0,1180.0,1070.0,1150.0,2.31,2597.65
2017-11-03 09:00:00,1150.0,1155.0,1080.0,1110.0,2.31,2569.55
2017-11-04 09:00:00,1105.0,1125.0,1060.0,1105.0,2.31,2549.7
2017-11-05 09:00:00,1100.0,1155.0,1090.0,1105.0,1.5,1676.3
2017-11-06 09:00:00,1120.0,1140.0,1100.0,1135.0,0.7,785.35
2017-11-07 09:00:00,1135.0,1175.0,1100.0,1145.0,5.52,6255.85
2017-11-08 09:00:00,1145.0,1165.0,1070.0,1115.0,5.85,6548.6
2017-11-09 09:00:00,1130.0,1440.0,1090.0,1145.0,5.99,6852.25
2017-11-10 09:00:00,1145.0,1165.0,1030.0,1090.0,5.93,6543.2
2017-11-11 09:00:00,1090.0,1150.0,1055.0,1125.0,5.92,6557.3
2017-11-12 09:00:00,1125.0,1205.0,1025.0,1155.0,5.89,6574.0
2017-11-13 09:00:00,1165.0,1235.0,1110.0,1195.0,5.52,6442.55
2017-11-14 09:00:00,1185.0,1275.0,1100.0,1190.0,5.24,6097.0
2017-11-15 09:00:00,1205.0,1245.0,1120.0,1155.0,6.54,7668.15
2017-11-16 09:00:00,1160.0,1180.0,1055.0,1090.0,6.6,7389.4
2017-11-17 09:00:00,1090.0,1125.0,1035.0,1070.0,4.88,5254.85
2017-11-18 09:00:00,1070.0,1135.0,1040.0,1105.0,6.72,7317.5
2017-11-19 09:00:00,1105.0,1135.0,1035.0,1050.0,6.13,6644.8
2017-11-20 09:00:00,1055.0,1115.0,1040.0,1085.0,6.77,7275.25
2017-11-21 09:00:00,1080.0,1110.0,1035.0,1050.0,6.38,6863.75
2017-11-22 09:00:00,1040.0,3165.0,1040.0,1840.0,2759292.63075482,5335750032.529428
2017-11-23 09:00:00,1835.0,1880.0,1470.0,1515.0,619709.92486874,985643975.2143694
2017-11-24 09:00:00,1515.0,1545.0,1355.0,1435.0,420175.69189104,599980870.0061913
2017-11-25 09:00:00,1440.0,2800.0,1435.0,1890.0,5036142.88118809,10161704270.559654
2017-11-26 09:00:00,1890.0,1890.0,1550.0,1780.0,1651009.08741911,2898007081.305116
2017-11-27 09:00:00,1780.0,2360.0,1745.0,1955.0,2405583.71247884,4770616347.247728
2017-11-28 09:00:00,1955.0,2095.0,1810.0,1860.0,1235545.49828377,2364187949.9057994
2017-11-29 09:00:00,1860.0,1920.0,1335.0,1390.0,1780310.01208963,3183633532.542421
2017-11-30 09:00:00,1395.0,1660.0,1365.0,1540.0,3389643.07259324,5084012363.174804
2017-12-01 09:00:00,1530.0,1940.0,1475.0,1745.0,3315414.57923734,5595146434.565683
2017-12-02 09:00:00,1745.0,3150.0,1725.0,2840.0,8958023.14711272,20770499516.33096
2017-12-03 09:00:00,2840.0,3150.0,2610.0,2725.0,4725506.51432164,13412470594.092001
2017-12-04 09:00:00,2735.0,2970.0,2605.0,2800.0,3305853.78428296,9028473359.57257
2017-12-05 09:00:00,2800.0,4400.0,2705.0,3390.0,6809745.70478698,22480634279.926655
2017-12-06 09:00:00,3385.0,5000.0,3250.0,3950.0,5366888.90558852,21675421209.82305
2017-12-07 09:00:00,3940.0,17000.0,3940.0,17000.0,15285011.59061657,133460357687.20563
2017-12-08 09:00:00,16850.0,25500.0,12400.0,16520.0,15955858.06164916,282423572857.837
2017-12-09 09:00:00,16520.0,16520.0,9590.0,12090.0,3676234.47454421,48025354828.34944
2017-12-10 09:00:00,12090.0,16420.0,4900.0,14050.0,14789411.90372806,179012755658.3966
2017-12-11 09:00:00,14020.0,15250.0,12420.0,14960.0,5927071.58199278,83277200909.19075
2017-12-12 09:00:00,14950.0,15050.0,12730.0,13330.0,2816113.57441675,38814403623.530716
2017-12-13 09:00:00,13350.0,13400.0,9815.0,12100.0,2123771.14419549,25616972898.689114
2017-12-14 09:00:00,12100.0,13030.0,11500.0,12120.0,1992887.48135011,24299201939.899727
2017-12-15 09:00:00,12120.0,14140.0,11130.0,12600.0,2980557.64119874,37538122243.385056
2017-12-16 09:00:00,12600.0,14110.0,12210.0,13120.0,2680850.58286858,35065329568.96017
2017-12-17 09:00:00,13130.0,14030.0,12000.0,13340.0,1907556.05707487,25105285861.87036
2017-12-18 09:00:00,13340.0,17680.0,13020.0,15640.0,5133145.94851344,79870732940.64882
2017-12-19 09:00:00,15630.0,25000.0,14500.0,18250.0,5532463.14421557,101758489383.32571
2017-12-20 09:00:00,18250.0,19460.0,15110.0,18700.0,2771595.82576557,47325020546.14726
2017-12-21 09:00:00,18690.0,21470.0,16710.0,18990.0,3835117.83865447,73208708248.04398
2017-12-22 09:00:00,18970.0,19550.0,8900.0,12490.0,4042544.04272115,54882583701.331535
2017-12-23 09:00:00,12490.0,14300.0,11290.0,13630.0,3234172.83111881,42604664642.054504
2017-12-24 09:00:00,13640.0,16100.0,11900.0,13960.0,3005913.20900261,42074835960.155106
2017-12-25 09:00:00,13940.0,14180.0,12780.0,14090.0,1392241.86424869,18588968321.93222
2017-12-26 09:00:00,14070.0,14590.0,12700.0,13350.0,1066513.0676755,14441619450.388031
2017-12-27 09:00:00,13290.0,13290.0,12360.0,12880.0,637917.59362886,8057143289.582767
2017-12-28 09:00:00,12890.0,12890.0,9000.0,10950.0,1233590.84495617,13383258176.9068
2017-12-29 09:00:00,10950.0,12240.0,9725.0,11310.0,1395367.19670364,15053801723.418776
2017-12-30 09:00:00,11340.0,12490.0,9870.0,10310.0,1183498.13144159,12761954635.94841
2017-12-31 09:00:00,10320.0,10930.0,10050.0,10690.0,819280.524925,8497641044.789063
2018-01-01 09:00:00,10690.0,13160.0,10190.0,11890.0,4436212.49919671,52809798095.616615
2018-01-02 09:00:00,11950.0,17100.0,11680.0,14580.0,7713614.07861857,109059791022.89058
2018-01-03 09:00:00,14580.0,15880.0,12410.0,14080.0,6515438.05629553,92553284397.15092
2018-01-04 09:00:00,14080.0,15050.0,12460.0,13500.0,2753563.82273587,37784602107.19041
2018-01-05 09:00:00,13500.0,14200.0,12180.0,12500.0,1762960.16732061,23407850968.512432
2018-01-06 09:00:00,12500.0,13490.0,10400.0,12790.0,1551647.74361277,19143232193.908123
2018-01-07 09:00:00,12790.0,13950.0,12030.0,13320.0,1925838.72574436,25109426504.786777
2018-01-08 09:00:00,13320.0,14850.0,11200.0,13120.0,3048375.51745408,41093742499.914665
2018-01-09 09:00:00,13120.0,14190.0,12140.0,13130.0,2256881.3004041,29847371830.647293
2018-01-10 09:00:00,13140.0,13230.0,9160.0,9880.0,1137280.21576896,12459033485.32879
2018-01-11 09:00:00,9880.0,10290.0,4190.0,8080.0,1864272.91745746,15102925407.0062
2018-01-12 09:00:00,8080.0,10270.0,7005.0,9540.0,2179884.34392339,19383545735.173862
2018-01-13 09:00:00,9535.0,10960.0,9125.0,10200.0,1705690.56322509,17565524806.10031
2018-01-14 09:00:00,10200.0,10220.0,7750.0,8550.0,709357.819761,6235962223.152881
2018-01-15 09:00:00,8430.0,10310.0,8005.0,8690.0,1438595.58666304,12957921599.408964
2018-01-16 09:00:00,8715.0,8740.0,3700.0,5110.0,1369164.25408198,8391987500.706468
2018-01-17 09:00:00,5110.0,5730.0,3720.0,5355.0,1084543.9376705,5080477699.589418
2018-01-18 09:00:00,5385.0,6270.0,4715.0,5510.0,760320.77839148,4095329106.5095654
2018-01-19 09:00:00,5510.0,8100.0,5410.0,7220.0,4989553.51313105,34678769320.8094
2018-01-20 09:00:00,7255.0,10340.0,7000.0,9730.0,16309143.50228779,152862578402.30838
2018-01-21 09:00:00,9735.0,11580.0,7995.0,10740.0,25555987.30927846,256594866293.8257
2018-01-22 09:00:00,10740.0,11590.0,7905.0,9200.0,11192038.43453495,102829415132.44453
2018-01-23 09:00:00,9200.0,9200.0,7115.0,7800.0,6164426.97987649,49403578911.223145
2018-01-24 09:00:00,7795.0,9615.0,7795.0,9080.0,15221685.12380966,128609126618.27116
2018-01-25 09:00:00,9080.0,9280.0,7985.0,8445.0,5954990.42019416,51295511148.58481
2018-01-26 09:00:00,8450.0,8600.0,6300.0,7750.0,3302833.30208384,24715665322.668575
2018-01-27 09:00:00,7755.0,8430.0,7500.0,7905.0,6085049.7858095,48540366286.098816
2018-01-28 09:00:00,7905.0,8100.0,7505.0,7980.0,2300335.08623848,17835777226.341057
2018-01-29 09:00:00,7980.0,7980.0,7115.0,7370.0,1144535.4253989,8526163508.830423
2018-01-30 09:00:00,7370.0,7405.0,5450.0,5700.0,1646717.42294249,10547176360.169794
2018-01-31 09:00:00,5700.0,6440.0,4495.0,5865.0,3540173.64690146,20203823918.143772
2018-02-01 09:00:00,5870.0,6155.0,4550.0,4695.0,3034754.27275611,16722485772.33555
2018-02-02 09:00:00,4700.0,5150.0,2685.0,4360.0,5630542.18692032,21885484699.71739
2018-02-03 09:00:00,4365.0,4650.0,3410.0,4365.0,3385846.08549995,13995260069.839352
2018-02-04 09:00:00,4365.0,4585.0,3580.0,3760.0,2341212.582621,9766685279.437536
2018-02-05 09:00:00,3715.0,4120.0,3020.0,3075.0,2335233.27042814,8306503570.031789
2018-02-06 09:00:00,3115.0,3685.0,2560.0,3630.0,5699459.70876625,17484793185.504433
