,open,high,low,close,volume,value
2018-04-26 09:00:00,21.0,80.0,21.0,30.3,6470216901.468309,194484718283.99258
2018-04-27 09:00:00,30.2,36.1,29.2,31.2,8822358864.385895,288801854861.63824
2018-04-28 09:00:00,31.2,32.7,30.6,31.9,1568514824.661832,49551238106.25197
2018-04-29 09:00:00,31.9,33.4,29.2,31.0,2218917516.356866,69944286620.42487
2018-04-30 09:00:00,31.0,31.2,29.1,29.6,1188783997.4521008,35575935629.45393
2018-05-01 09:00:00,29.7,29.7,27.0,28.8,1251063004.680705,35428244758.10854
2018-05-02 09:00:00,28.8,30.6,27.9,30.4,896204864.7224667,26105993266.81857
2018-05-03 09:00:00,30.4,32.0,29.5,30.6,1451343185.5130217,44657147234.14395
2018-05-04 09:00:00,30.6,31.8,29.5,30.0,760849497.8211668,23292289621.196747
2018-05-05 09:00:00,30.0,30.6,29.9,30.1,386332061.1348466,11652146163.134079
2018-05-06 09:00:00,30.0,30.1,28.2,29.2,524261041.3164709,15223511221.07005
2018-05-07 09:00:00,29.2,29.4,27.4,28.1,506512582.71107423,14170750185.698338
2018-05-08 09:00:00,28.1,29.8,27.5,28.3,704608969.0169184,20165671537.699844
2018-05-09 09:00:00,28.3,29.0,27.2,28.4,596141593.9802507,16677418385.372463
2018-05-10 09:00:00,28.3,28.5,24.9,25.2,619804912.4573427,16814774182.648317
2018-05-11 09:00:00,25.2,25.6,18.5,21.9,1983156839.7480574,44075965721.59119
2018-05-12 09:00:00,21.9,23.5,20.1,22.3,837983346.4439762,18385613256.377953
2018-05-13 09:00:00,22.4,24.7,21.7,24.3,848816584.444685,19715430710.011436
2018-05-14 09:00:00,24.1,24.4,22.2,23.6,715502400.9727345,16655364811.311853
2018-05-15 09:00:00,23.6,23.8,22.1,22.2,358269372.67368615,8246902268.708266
2018-05-16 09:00:00,22.2,22.5,20.4,21.4,422668870.31877434,8937340989.754505
2018-05-17 09:00:00,21.4,22.0,20.5,20.7,352056969.97391635,7524559361.549933
2018-05-18 09:00:00,20.8,21.1,19.7,20.8,272845781.161977,5575478417.366603
2018-05-19 09:00:00,20.8,21.5,20.8,21.2,201169525.51944476,4251072496.0216513
2018-05-20 09:00:00,21.1,22.5,20.8,22.0,222992341.01102868,4819186926.791879
2018-05-21 09:00:00,22.0,23.0,21.5,21.8,332024877.2459701,7367074847.622722
2018-05-22 09:00:00,21.8,21.9,19.8,20.0,235758908.5824774,4961815462.474811
2018-05-23 09:00:00,20.0,20.5,17.8,17.9,526013138.8904897,10103323922.044123
2018-05-24 09:00:00,17.9,18.7,16.6,18.2,567129196.8229045,10070334017.15958
2018-05-25 09:00:00,18.2,18.3,17.1,17.6,232434161.9671593,4103688576.1934643
