,open,high,low,close,volume,value
2023-08-16 09:00:00,254.0,856.0,250.0,289.0,3657094493.7028,1497024483321.5344
2023-08-17 09:00:00,289.0,293.0,222.0,238.0,1306043706.0776505,336676170049.2201
2023-08-18 09:00:00,238.0,244.0,203.0,229.0,905680781.1436827,199274770978.74414
2023-08-19 09:00:00,230.0,236.0,214.0,222.0,352637995.7220184,78787269855.07767
2023-08-20 09:00:00,222.0,224.0,203.0,209.0,269229009.5051254,57026006079.641655
2023-08-21 09:00:00,209.0,215.0,195.0,205.0,266220328.49553937,53954452737.90023
2023-08-22 09:00:00,205.0,214.0,198.0,211.0,332019351.7683868,68142558039.58169
2023-08-23 09:00:00,211.0,213.0,200.0,208.0,237854460.85235807,49108843918.29048
2023-08-24 09:00:00,207.0,208.0,199.0,202.0,133783319.11931331,27102796103.713135
2023-08-25 09:00:00,201.0,202.0,186.0,190.0,234269908.82960042,44811218078.037926
2023-08-26 09:00:00,190.0,190.0,180.0,181.0,132596319.53012829,24386499274.78099
2023-08-27 09:00:00,180.0,184.0,173.0,180.0,191360367.5352738,34089162091.130363
2023-08-28 09:00:00,180.0,180.0,171.0,174.0,182738574.35638967,31797022319.686146
2023-08-29 09:00:00,174.0,204.0,163.0,196.0,755883146.9377501,136641957225.35628
2023-08-30 09:00:00,196.0,224.0,191.0,203.0,1157199821.7038717,238525769625.6856
2023-08-31 09:00:00,203.0,203.0,178.0,180.0,525821226.2712982,100165020582.94043
2023-09-01 09:00:00,179.0,201.0,174.0,192.0,600408960.18718,111294878580.38312
2023-09-02 09:00:00,191.0,206.0,176.0,179.0,533558751.8522132,101011635076.48036
2023-09-03 09:00:00,180.0,186.0,171.0,175.0,287657996.75643647,51190173856.22405
2023-09-04 09:00:00,175.0,177.0,167.0,171.0,163022313.220208,28032611513.74305
2023-09-05 09:00:00,172.0,172.0,165.0,171.0,130488752.80824617,21953637278.356
2023-09-06 09:00:00,171.0,174.0,167.0,172.0,120893306.56748037,20557384745.865856
2023-09-07 09:00:00,171.0,185.0,170.0,179.0,335232190.2996842,59825745266.770004
2023-09-08 09:00:00,179.0,184.0,172.0,174.0,170271429.47566333,30086983568.607426
2023-09-09 09:00:00,173.0,174.0,168.0,171.0,88611585.16228402,15181983491.5732
2023-09-10 09:00:00,170.0,171.0,162.0,165.0,151110856.2644302,24971951753.175312
2023-09-11 09:00:00,165.0,167.0,156.0,159.0,171762480.74922457,27485799911.63489
2023-09-12 09:00:00,159.0,163.0,156.0,158.0,136210066.2361176,21702562354.40269
2023-09-13 09:00:00,159.0,162.0,156.0,161.0,154374619.53712425,24605437174.900124
2023-09-14 09:00:00,161.0,162.0,157.0,159.0,132619023.62175608,21088836212.768036
2023-09-15 09:00:00,159.0,169.0,155.0,167.0,235084717.81896538,37883599701.073296
2023-09-16 09:00:00,168.0,202.0,164.0,190.0,907825289.7634914,169970107939.66125
2023-09-17 09:00:00,190.0,191.0,165.0,166.0,328690018.73917615,57762948254.98562
2023-09-18 09:00:00,165.0,172.0,161.0,167.0,163339263.65166774,27092176617.93946
2023-09-19 09:00:00,167.0,170.0,162.0,168.0,107997875.10276315,17956163743.7542
2023-09-20 09:00:00,168.0,175.0,164.0,167.0,188608726.75760642,31907713167.70792
