,open,high,low,close,volume,value
2017-09-25 09:00:00,25.0,25.7,24.5,25.3,0.0211,0.53111
2017-09-26 09:00:00,25.5,31.3,25.3,30.2,0.0517,1.42558
2017-09-27 09:00:00,30.4,35.3,30.1,31.9,0.0511,1.68543
2017-09-28 09:00:00,32.2,33.3,30.3,31.4,0.0498,1.57897
2017-09-29 09:00:00,31.4,32.2,29.1,30.7,0.0523,1.59687
2017-09-30 09:00:00,30.7,35.0,30.6,34.2,0.0525,1.70785
2017-10-01 09:00:00,34.2,37.5,33.2,35.3,0.0524,1.85439
2017-10-02 09:00:00,35.3,36.0,32.8,33.8,0.0524,1.79834
2017-10-03 09:00:00,33.8,35.6,29.2,30.6,0.049,1.55539
2017-10-04 09:00:00,30.4,33.1,30.3,31.6,0.0461,1.44877
2017-10-05 09:00:00,31.7,32.4,30.0,31.0,0.0472,1.46943
2017-10-06 09:00:00,31.1,32.4,30.9,32.0,0.0504,1.59309
2017-10-07 09:00:00,32.0,33.1,30.4,30.6,0.0521,1.64436
2017-10-08 09:00:00,31.0,31.5,25.6,28.2,0.0519,1.52607
2017-10-09 09:00:00,28.2,29.3,25.4,26.1,0.0519,1.40808
2017-10-10 09:00:00,26.0,27.4,25.4,27.1,0.0515,1.35516
2017-10-11 09:00:00,27.4,31.5,26.3,30.4,0.0513,1.46566
2017-10-12 09:00:00,30.5,33.1,28.7,30.7,0.0512,1.54526
2017-10-13 09:00:00,30.5,31.7,27.1,28.5,0.0511,1.50843
2017-10-14 09:00:00,28.1,31.0,27.8,29.9,0.0516,1.50587
2017-10-15 09:00:00,30.0,34.2,27.3,33.3,0.0514,1.55978
2017-10-16 09:00:00,33.1,34.2,30.7,32.6,0.0505,1.61316
2017-10-17 09:00:00,32.6,33.2,30.4,30.7,0.0597,1.89901
2017-10-18 09:00:00,30.8,33.0,29.5,32.7,81.0187,2536.67937
2017-10-19 09:00:00,32.7,33.6,29.8,31.7,234.0,7358.6
2017-10-20 09:00:00,31.3,31.9,29.8,30.5,64.94,2021.996
2017-10-24 09:00:00,29.8,33.7,29.7,31.3,2.16,69.087
2017-10-25 09:00:00,30.9,33.2,29.7,33.1,2.32,71.746
2017-10-26 09:00:00,33.4,34.5,31.6,34.3,2.34,77.427
2017-10-27 09:00:00,34.8,41.1,34.5,39.8,2.34,87.116
2017-10-28 09:00:00,39.5,47.5,38.8,43.4,2.16,92.232
2017-10-29 09:00:00,43.3,45.4,39.0,42.5,2.35,99.46
2017-10-30 09:00:00,42.5,44.0,40.9,42.5,3.52,148.947
2017-10-31 09:00:00,42.7,47.8,41.9,46.4,1.99,89.492
2017-11-01 09:00:00,46.7,52.5,45.6,49.6,2.24,110.584
2017-11-02 09:00:00,50.0,50.7,35.5,37.7,2.31,100.454
2017-11-03 09:00:00,37.8,38.7,33.1,34.0,2.31,83.716
2017-11-04 09:00:00,34.1,36.2,32.8,34.7,2.31,80.763
2017-11-05 09:00:00,35.1,36.6,34.7,36.0,1.5,53.441
2017-11-06 09:00:00,34.6,35.2,33.5,33.9,0.67,23.354
2017-11-07 09:00:00,34.0,35.6,33.6,34.6,5.61,193.795
2017-11-08 09:00:00,34.7,37.0,33.6,35.4,5.86,203.154
2017-11-09 09:00:00,35.3,40.3,34.4,37.1,6.04,230.722
2017-11-10 09:00:00,37.4,37.8,32.9,33.3,5.93,210.037
2017-11-11 09:00:00,33.3,34.9,31.6,32.6,5.93,198.88
2017-11-12 09:00:00,32.4,34.2,28.2,31.8,5.93,188.54
2017-11-13 09:00:00,31.8,33.6,30.4,32.3,5.73,182.233
2017-11-14 09:00:00,32.5,32.8,31.1,32.6,5.27,168.846
2017-11-15 09:00:00,32.6,35.4,32.1,34.6,6.55,220.195
2017-11-16 09:00:00,34.4,35.3,30.1,31.8,6.66,223.637
2017-11-17 09:00:00,31.8,31.9,30.0,30.7,5.01,155.106
2017-11-18 09:00:00,30.7,32.3,30.0,31.9,6.72,211.389
2017-11-19 09:00:00,31.9,32.9,30.2,30.9,6.18,195.999
2017-11-20 09:00:00,30.9,37.6,30.7,37.3,6.75,230.89
2017-11-21 09:00:00,36.6,55.8,31.7,38.5,26824032.0787977,1060347468.9812783
2017-11-22 09:00:00,38.5,44.9,36.7,38.5,18279650.14939251,735871168.5884584
2017-11-23 09:00:00,38.5,39.6,35.5,36.4,5736429.8056379,212457937.1082193
2017-11-24 09:00:00,35.9,36.9,33.1,35.2,7290766.26930764,253371425.1839182
2017-11-25 09:00:00,35.2,42.0,34.6,40.4,33444053.77827086,1254304308.7392988
2017-11-26 09:00:00,41.0,43.2,37.0,40.0,186700940.16514185,7341834448.756634
2017-11-27 09:00:00,40.0,48.9,39.8,45.6,196376550.7328014,8492469945.126612
2017-11-28 09:00:00,45.6,79.0,43.2,70.2,306933460.6205741,15947789736.150696
2017-11-29 09:00:00,70.4,108.0,44.2,49.2,1612336381.725565,124881072233.74554
2017-11-30 09:00:00,49.2,67.0,49.0,59.2,869312314.1025078,51506424060.44843
2017-12-01 09:00:00,59.2,82.0,56.9,76.5,1094426245.816648,73254827060.23679
2017-12-02 09:00:00,76.5,98.3,76.0,89.5,2197050931.8947186,192701371803.5659
2017-12-03 09:00:00,89.5,95.0,83.8,87.4,903347344.801845,81286762344.07175
2017-12-04 09:00:00,87.4,93.6,84.5,89.4,647532255.9353808,57566779539.72019
2017-12-05 09:00:00,89.4,93.3,87.0,91.1,576840874.5626209,51549515524.768166
2017-12-06 09:00:00,91.1,98.6,82.7,87.7,854590530.9444376,76846346039.48341
2017-12-07 09:00:00,87.7,92.0,74.1,76.4,640647691.167547,54897312163.523094
2017-12-08 09:00:00,76.4,89.5,56.9,80.0,708927958.9810809,53025944677.95264
2017-12-09 09:00:00,80.0,85.0,65.1,71.0,406608426.369278,30215865659.331345
2017-12-10 09:00:00,71.0,71.1,45.6,61.0,484385459.500227,28038368676.905075
2017-12-11 09:00:00,61.0,78.5,61.0,73.8,769526186.8387316,53661227121.24408
2017-12-12 09:00:00,73.9,73.9,66.8,70.8,296750144.6944759,20801129018.400993
2017-12-13 09:00:00,70.8,74.5,61.4,69.5,318065852.6303771,21872154258.81876
2017-12-14 09:00:00,69.5,88.6,69.0,87.5,723094655.2805696,56420803568.90482
2017-12-15 09:00:00,87.2,87.8,75.1,82.0,408972535.7901799,33257136256.39368
2017-12-16 09:00:00,82.1,154.0,81.1,140.0,4303862282.898349,520219329677.2981
2017-12-17 09:00:00,140.0,235.0,129.0,191.0,4043282445.4433136,783164630247.1871
2017-12-18 09:00:00,190.0,214.0,186.0,207.0,1429518556.1472218,290217176844.81494
2017-12-19 09:00:00,207.0,298.0,200.0,254.0,2644282301.551293,664447202089.5273
2017-12-20 09:00:00,255.0,286.0,232.0,258.0,1242625376.2233582,312559540763.44543
2017-12-21 09:00:00,258.0,268.0,227.0,255.0,1050125349.8005842,266453908910.49762
2017-12-22 09:00:00,255.0,271.0,138.0,197.0,3000785210.6326976,593950535858.6903
2017-12-23 09:00:00,197.0,217.0,179.0,207.0,1753317382.1998765,352350551778.2391
2017-12-24 09:00:00,207.0,207.0,180.0,196.0,595056437.2878458,114285897658.75027
2017-12-25 09:00:00,196.0,204.0,188.0,202.0,443968129.69411904,86997222960.33463
2017-12-26 09:00:00,202.0,203.0,188.0,194.0,283220752.228529,55431707311.98594
2017-12-27 09:00:00,194.0,241.0,188.0,221.0,1240178087.3574116,269761826342.30338
2017-12-28 09:00:00,221.0,221.0,165.0,197.0,852278641.6950257,167079080920.65073
2017-12-29 09:00:00,197.0,241.0,187.0,226.0,1545303690.0212722,329129449931.7964
2017-12-30 09:00:00,226.0,259.0,206.0,228.0,1867062390.6387322,434221824482.8978
2017-12-31 09:00:00,228.0,328.0,226.0,318.0,1960050359.8434074,533283434279.05145
2018-01-01 09:00:00,318.0,423.0,318.0,366.0,3340052641.9528575,1239735416002.466
2018-01-02 09:00:00,366.0,460.0,353.0,433.0,2254383702.603582,923492381120.7556
2018-01-03 09:00:00,432.0,967.0,423.0,928.0,3598265963.9211197,2538827854364.881
2018-01-04 09:00:00,930.0,1055.0,801.0,862.0,1449861124.1545122,1346774901022.8022
2018-01-05 09:00:00,861.0,983.0,774.0,810.0,1337795314.8599596,1168403272962.8635
2018-01-06 09:00:00,811.0,848.0,703.0,829.0,854592875.0564946,672768366115.4954
2018-01-07 09:00:00,829.0,879.0,782.0,841.0,627239908.3364332,513704958545.21136
2018-01-08 09:00:00,842.0,842.0,700.0,779.0,662117732.769296,522748442355.4536
2018-01-09 09:00:00,779.0,813.0,705.0,724.0,535597079.15584487,401924334883.1487
2018-01-10 09:00:00,724.0,735.0,507.0,575.0,1554600194.3893507,941320032554.393
2018-01-11 09:00:00,574.0,670.0,305.0,564.0,3360331302.2650857,1805430564066.5032
2018-01-12 09:00:00,563.0,703.0,505.0,687.0,2559785487.12138,1548846294852.1003
2018-01-13 09:00:00,687.0,792.0,673.0,708.0,1136899556.7858486,820792513348.0382
2018-01-14 09:00:00,708.0,718.0,562.0,613.0,1271317391.164331,790153769660.1858
2018-01-15 09:00:00,612.0,688.0,576.0,592.0,988116540.3731894,610082324962.7242
2018-01-16 09:00:00,592.0,598.0,275.0,398.0,3004206702.3541913,1342180899117.0596
2018-01-17 09:00:00,398.0,478.0,289.0,435.0,4098312228.141487,1457669099846.2358
2018-01-18 09:00:00,434.0,483.0,382.0,436.0,2511364319.172748,1071568859121.7328
