,open,high,low,close,volume,value
2020-11-30 09:00:00,57.0,78.3,40.2,43.0,1902257077.1199906,101234785778.67766
2020-12-01 09:00:00,43.2,43.2,32.7,35.0,1234505800.6936128,43506397802.412415
2020-12-02 09:00:00,34.9,35.0,30.0,33.4,323367041.058432,10263038088.420433
2020-12-03 09:00:00,33.4,33.7,31.0,32.2,108208818.13350733,3439979576.952784
2020-12-04 09:00:00,32.5,37.4,31.2,32.7,210029997.9898259,6974006764.136872
2020-12-05 09:00:00,32.7,34.0,31.7,33.6,146605266.16804194,4820338707.185541
2020-12-06 09:00:00,33.6,35.6,32.6,34.3,136912605.98540506,4686604438.764621
2020-12-07 09:00:00,34.3,35.2,33.4,34.7,80844915.6746087,2772071896.538844
2020-12-08 09:00:00,34.6,34.6,30.6,31.2,81623704.77335858,2631718428.6472735
2020-12-09 09:00:00,31.3,34.2,28.6,31.2,157851978.2241279,5000965049.708967
2020-12-10 09:00:00,31.2,31.4,29.4,30.1,26849921.73579168,807733448.2267
2020-12-11 09:00:00,30.0,30.7,27.0,27.2,51381722.07348021,1447904932.6477711
2020-12-12 09:00:00,27.2,29.7,26.9,28.4,92190177.81334347,2618150717.033932
2020-12-13 09:00:00,28.4,28.5,27.5,28.0,23575346.55691649,658104638.1469944
2020-12-14 09:00:00,28.0,29.2,27.9,28.5,40083144.0538341,1145101560.5860155
2020-12-15 09:00:00,28.5,28.5,27.7,28.4,25154373.94660323,704415799.8224417
2020-12-16 09:00:00,28.2,28.8,27.2,28.4,53128810.20034323,1483467660.9832978
2020-12-17 09:00:00,28.3,28.9,27.9,28.5,33978374.17419968,960341175.5646123
2020-12-18 09:00:00,28.5,32.9,28.1,30.1,207885311.58114254,6235167919.8085375
2020-12-19 09:00:00,30.1,30.9,28.9,30.2,46460875.55384141,1383831004.5393836
2020-12-20 09:00:00,30.2,35.6,29.6,35.2,112854914.16782027,3637840654.5654144
2020-12-21 09:00:00,35.1,35.9,30.0,31.2,150342463.58175656,4775848261.462983
2020-12-22 09:00:00,31.3,31.8,30.1,31.1,49861429.86475271,1539483320.6657412
2020-12-23 09:00:00,30.9,34.1,25.6,26.3,158289618.4245718,4641756590.306343
2020-12-24 09:00:00,26.3,27.9,25.1,27.4,20985000.47658764,551954944.6626952
2020-12-25 09:00:00,27.2,27.8,25.2,26.6,23073232.99655062,621709467.1289471
2020-12-26 09:00:00,26.6,27.4,25.7,26.4,9528901.10187192,249791948.5009748
2020-12-27 09:00:00,26.2,28.5,25.3,26.7,83255559.27133387,2228915687.615609
2020-12-28 09:00:00,26.7,31.1,26.3,27.4,1098692704.871791,30160452279.705154
2020-12-29 09:00:00,27.4,27.5,24.6,25.9,221433380.46729875,5800801975.692884
2020-12-30 09:00:00,25.8,25.8,24.2,25.3,48645816.34379197,1206634110.4132388
2020-12-31 09:00:00,25.2,25.7,24.3,25.1,39907137.42135595,991236437.3426424
2021-01-01 09:00:00,25.0,25.8,24.5,25.4,46900833.10214552,1182187128.9978683
2021-01-02 09:00:00,25.4,25.8,24.6,25.5,41911160.37475239,1056440637.9471203
2021-01-03 09:00:00,25.5,25.5,24.7,25.3,36353984.12493799,906784640.7298671
2021-01-04 09:00:00,25.2,25.3,22.3,24.2,141396834.82373956,3455864205.8961573
2021-01-05 09:00:00,24.1,24.7,23.2,24.4,94963797.9557307,2264225744.394208
2021-01-06 09:00:00,24.4,24.5,23.4,24.2,102788548.02082156,2439321778.881177
2021-01-07 09:00:00,24.2,24.2,23.3,24.0,67528036.69159783,1604319929.457502
2021-01-08 09:00:00,23.9,25.0,23.1,24.7,127585659.13530394,3038337161.1647787
2021-01-09 09:00:00,24.7,26.2,24.2,26.2,131479927.60390653,3311837126.118367
2021-01-10 09:00:00,26.2,27.2,23.9,25.4,112909408.34353434,2887402539.8425913
2021-01-11 09:00:00,25.4,28.3,22.9,25.1,213776254.5288074,5477884691.15909
2021-01-12 09:00:00,25.0,25.7,23.7,25.0,98117743.21305943,2436908475.7107887
2021-01-13 09:00:00,24.9,25.2,24.2,25.1,84179132.80351572,2071962120.6449919
2021-01-14 09:00:00,25.2,26.9,24.5,25.9,133893011.42509916,3426508884.463876
2021-01-15 09:00:00,25.9,35.7,24.7,26.6,1321391674.8730233,38683382048.64557
2021-01-16 09:00:00,26.5,29.1,25.5,27.8,267960726.48969507,7195050588.904487
2021-01-17 09:00:00,27.9,29.7,26.0,27.8,196125303.78404933,5395036261.567719
2021-01-18 09:00:00,27.8,32.7,26.8,28.1,655052198.3888586,18951455676.466198
2021-01-19 09:00:00,28.0,28.6,27.3,27.8,162176430.93966696,4488869663.173525
2021-01-20 09:00:00,27.8,27.9,25.9,27.5,114824864.33531086,3097593680.655259
2021-01-21 09:00:00,27.5,27.5,24.3,24.6,106933836.79169092,2753781016.176608
2021-01-22 09:00:00,24.6,25.5,21.7,24.8,129051960.372029,3077421666.051695
2021-01-23 09:00:00,24.8,24.8,23.6,24.4,41423382.85951401,1001310257.539705
2021-01-24 09:00:00,24.4,25.0,24.0,24.7,26060729.28003773,636086087.4802129
2021-01-25 09:00:00,24.7,25.2,23.9,24.6,67151200.2372845,1652529592.8097448
2021-01-26 09:00:00,24.5,26.0,23.9,25.4,195381394.48278,4892505792.984767
2021-01-27 09:00:00,25.1,25.3,22.4,23.8,72502561.43048853,1733976240.4900696
2021-01-28 09:00:00,23.8,24.6,23.3,24.2,72713230.26214764,1736433360.3998003
2021-01-29 09:00:00,24.3,24.7,23.5,24.1,57780400.40862183,1382937385.5158875
2021-01-30 09:00:00,24.1,25.1,23.7,24.2,47935775.50110006,1162543672.3886807
2021-01-31 09:00:00,24.1,24.2,23.5,24.0,33931970.98505004,807991099.9176784
2021-02-01 09:00:00,23.9,24.4,22.7,23.3,55943335.21771071,1308263868.0990725
2021-02-02 09:00:00,23.4,25.0,23.1,23.6,127399943.18217415,3027136695.4551044
2021-02-03 09:00:00,23.5,25.2,23.4,24.3,114619849.64064391,2776524738.349857
2021-02-04 09:00:00,24.3,25.1,23.4,24.6,81322521.8676179,1982186741.809909
2021-02-05 09:00:00,24.6,25.4,24.0,25.3,100824809.14511442,2490063877.006347
2021-02-06 09:00:00,25.3,26.6,24.5,25.0,122980172.55306001,3105500919.4958277
2021-02-07 09:00:00,24.9,25.1,24.0,24.8,43429056.97758807,1069959050.8862555
2021-02-08 09:00:00,24.9,25.1,24.3,24.9,63189838.25494086,1556987595.7936304
2021-02-09 09:00:00,24.9,25.9,24.5,25.5,126682905.04623735,3176701096.717085
2021-02-10 09:00:00,25.5,27.3,24.9,26.1,302128491.9362432,7902779783.395794
2021-02-11 09:00:00,26.2,27.5,25.5,27.2,183981534.6059602,4867164564.22939
2021-02-12 09:00:00,27.2,28.5,26.2,28.3,322427025.8947888,8896565140.516567
2021-02-13 09:00:00,28.3,30.5,27.0,30.4,409865126.40780395,11859836939.601564
2021-02-14 09:00:00,30.4,32.5,29.3,31.1,365463703.92522913,11318205469.12677
2021-02-15 09:00:00,31.1,31.3,25.3,29.1,196852960.8215461,5646127195.854737
2021-02-16 09:00:00,29.1,30.8,28.3,30.4,114290510.8980959,3361377847.7977347
2021-02-17 09:00:00,30.4,41.6,29.7,37.2,1690342860.1891327,60230197412.17539
2021-02-18 09:00:00,37.2,73.0,34.6,58.6,2537519391.5437803,124566726105.92653
2021-02-19 09:00:00,58.7,83.4,46.0,60.0,3146330661.688606,189570978948.1974
2021-02-20 09:00:00,59.9,61.9,53.5,56.5,838975579.5951302,49284080930.35476
2021-02-21 09:00:00,56.6,61.0,54.1,60.4,487929610.28913367,28314469627.255077
2021-02-22 09:00:00,60.3,61.7,44.5,55.7,602081955.7167552,33307003322.919052
2021-02-23 09:00:00,55.7,55.7,31.9,41.9,619842968.4411684,25724109483.183716
2021-02-24 09:00:00,41.9,52.2,38.1,48.6,610173518.1527548,28351986797.637764
2021-02-25 09:00:00,48.7,73.2,47.0,65.0,3428667051.401526,212628385234.0497
2021-02-26 09:00:00,64.9,79.8,55.0,59.4,1615923338.1840334,102808830464.95552
2021-02-27 09:00:00,59.2,59.2,53.4,56.0,422845979.10206115,23813536629.538
2021-02-28 09:00:00,56.0,57.9,44.0,49.6,375690578.45282954,18515806880.108063
2021-03-01 09:00:00,49.5,52.1,46.4,51.4,315204357.0662141,15636473308.458908
2021-03-02 09:00:00,51.4,51.5,48.2,50.2,274408492.8387524,13539233578.666096
2021-03-03 09:00:00,50.3,57.2,49.1,54.8,605866472.9117937,32033970700.73855
2021-03-04 09:00:00,54.9,58.1,51.8,57.1,723196327.2334858,40137249778.31006
2021-03-05 09:00:00,57.2,64.4,52.6,59.2,751836240.3184247,44086235199.94885
2021-03-06 09:00:00,59.2,62.9,54.7,60.7,519293178.2795461,31058241958.475243
2021-03-07 09:00:00,60.7,61.5,58.1,60.1,234395538.91553405,14002224335.333622
2021-03-08 09:00:00,60.2,65.2,57.6,64.6,719197516.7954801,44744268510.81706
2021-03-09 09:00:00,64.9,75.6,63.5,73.8,1231801808.1437767,86507156762.00572
2021-03-10 09:00:00,73.8,92.0,66.5,79.3,2015431202.5485303,162216889811.2598
2021-03-11 09:00:00,79.4,81.9,72.8,79.6,505283390.20820516,38878841096.03849
2021-03-12 09:00:00,79.6,86.6,76.5,84.2,742449989.9345204,59857859147.72161
2021-03-13 09:00:00,84.1,115.0,82.2,100.0,1861593128.5285513,183091262070.47794
2021-03-14 09:00:00,100.0,115.0,89.3,97.9,731271555.6871983,73106319993.32364
2021-03-15 09:00:00,97.9,128.0,91.6,125.0,1559354300.064734,166713416184.67307
2021-03-16 09:00:00,124.0,165.0,110.0,160.0,1159661266.0108685,149616091483.17578
2021-03-17 09:00:00,160.0,194.0,114.0,155.0,1371710786.6037753,203978039035.31744
2021-03-18 09:00:00,155.0,174.0,135.0,156.0,1152909817.4242463,182418139042.9705
2021-03-19 09:00:00,157.0,181.0,150.0,177.0,698889222.9476566,116601189113.64294
2021-03-20 09:00:00,177.0,209.0,145.0,156.0,909176712.5695951,168645561258.80008
2021-03-21 09:00:00,156.0,176.0,150.0,172.0,440917869.7640567,71814861310.62483
2021-03-22 09:00:00,172.0,194.0,155.0,169.0,756062832.2935159,132283834933.35693
2021-03-23 09:00:00,169.0,185.0,140.0,157.0,601879383.9741585,95282359873.78261
2021-03-24 09:00:00,157.0,168.0,144.0,145.0,383679813.6675909,60489956481.06826
2021-03-25 09:00:00,146.0,152.0,126.0,142.0,421807279.39591813,58260705099.788055
2021-03-26 09:00:00,142.0,162.0,137.0,153.0,614804052.7312659,93479390088.76639
2021-03-27 09:00:00,153.0,154.0,144.0,151.0,193818855.81565994,28907332212.706093
2021-03-28 09:00:00,152.0,162.0,150.0,159.0,380218805.3971657,59091646582.54923
2021-03-29 09:00:00,159.0,170.0,153.0,165.0,474451507.7764024,77298279305.7645
2021-03-30 09:00:00,164.0,192.0,162.0,181.0,757577255.3284005,134628705957.89365
2021-03-31 09:00:00,180.0,185.0,160.0,179.0,543342544.067676,94059752509.47192
2021-04-01 09:00:00,179.0,237.0,174.0,233.0,1058480303.6830745,213156877317.16806
2021-04-02 09:00:00,232.0,306.0,226.0,284.0,1409207422.6553223,377984292173.04004
2021-04-03 09:00:00,283.0,344.0,225.0,242.0,833829691.3466253,228713244748.16034
2021-04-04 09:00:00,242.0,261.0,234.0,258.0,412486283.9023687,103439500184.64882
2021-04-05 09:00:00,257.0,282.0,231.0,244.0,810309975.9006925,212416898461.1121
2021-04-06 09:00:00,242.0,255.0,203.0,224.0,474403816.80253226,107218470304.84135
2021-04-07 09:00:00,225.0,228.0,128.0,159.0,939958686.9302653,159637490874.41028
2021-04-08 09:00:00,159.0,207.0,159.0,202.0,708680562.7864301,128449287805.49644
2021-04-09 09:00:00,203.0,253.0,201.0,233.0,1010900604.5897255,229001361288.3695
2021-04-10 09:00:00,234.0,240.0,212.0,219.0,286366489.41449094,63185938553.866684
2021-04-11 09:00:00,218.0,219.0,175.0,208.0,291915035.92784506,58074376932.85416
2021-04-12 09:00:00,208.0,211.0,192.0,198.0,165905587.11353222,32769605610.60537
2021-04-13 09:00:00,197.0,201.0,181.0,189.0,210694013.556737,39818168166.27787
2021-04-14 09:00:00,189.0,190.0,158.0,170.0,314514433.4353565,53368164458.25668
2021-04-15 09:00:00,170.0,190.0,166.0,181.0,337831121.7928095,60985859402.16427
2021-04-16 09:00:00,181.0,181.0,155.0,164.0,274477696.75861245,45332587140.57461
2021-04-17 09:00:00,164.0,171.0,152.0,169.0,232971899.0641224,37322954993.144905
2021-04-18 09:00:00,169.0,174.0,137.0,152.0,254234026.82613018,38525425809.226036
2021-04-19 09:00:00,152.0,164.0,137.0,143.0,277875687.5584786,41436468862.15644
2021-04-20 09:00:00,143.0,147.0,117.0,136.0,405544254.1232165,53539776486.25852
2021-04-21 09:00:00,137.0,168.0,136.0,149.0,655786973.0058575,100600338573.6445
2021-04-22 09:00:00,150.0,156.0,96.5,111.0,439146515.4234943,58913525073.7097
2021-04-23 09:00:00,111.0,122.0,80.0,110.0,620477407.5985827,61318904876.224724
2021-04-24 09:00:00,110.0,113.0,99.1,105.0,279361629.54616207,29569854476.070076
2021-04-25 09:00:00,106.0,138.0,103.0,117.0,914310491.7179958,111014441040.24504
2021-04-26 09:00:00,117.0,139.0,116.0,139.0,526478265.5499442,69082362225.3843
2021-04-27 09:00:00,139.0,147.0,132.0,145.0,359782091.8907217,50255239869.36036
2021-04-28 09:00:00,144.0,146.0,124.0,137.0,335418467.9201671,44447275618.1539
2021-04-29 09:00:00,137.0,137.0,126.0,134.0,181290208.46286914,23798747969.111332
2021-04-30 09:00:00,134.0,139.0,128.0,138.0,181028980.11923954,23907270816.275906
2021-05-01 09:00:00,139.0,145.0,134.0,139.0,183201994.00207627,25306175984.436924
2021-05-02 09:00:00,139.0,142.0,132.0,139.0,201376210.25845897,27671284918.144707
2021-05-03 09:00:00,139.0,144.0,136.0,141.0,275180913.07754165,38438183991.210556
2021-05-04 09:00:00,141.0,141.0,122.0,125.0,274592875.43544394,35990125389.446
2021-05-05 09:00:00,125.0,127.0,118.0,125.0,226627273.28878963,27630958778.639866
2021-05-06 09:00:00,125.0,128.0,118.0,120.0,279567182.99687946,34276501457.59379
2021-05-07 09:00:00,119.0,130.0,108.0,123.0,369712344.9816321,43419075121.02034
2021-05-08 09:00:00,123.0,124.0,117.0,119.0,120145185.44882841,14371495955.716234
