,open,high,low,close,volume,value
2018-03-23 09:00:00,25.0,97.2,25.0,78.9,20454709581.96762,1222321584795.3528
2018-03-24 09:00:00,78.9,92.5,56.4,58.8,16719903410.20786,1226308206111.7021
2018-03-25 09:00:00,58.9,67.4,55.2,60.4,9538207061.970804,565377146711.0096
2018-03-26 09:00:00,60.4,60.5,46.3,49.1,9179390977.245392,473653969948.65985
2018-03-27 09:00:00,49.1,50.2,40.1,42.3,10880564094.951378,477155839393.9196
2018-03-28 09:00:00,42.4,49.7,40.7,45.9,11961340788.758383,543622104280.4546
2018-03-29 09:00:00,45.9,46.4,41.3,41.8,8007069169.990673,349884810372.97345
2018-03-30 09:00:00,41.8,43.4,39.3,40.4,4066026223.4458904,167531519769.6795
2018-03-31 09:00:00,40.4,41.2,36.5,37.0,1223263784.6538804,48233900347.07752
2018-04-01 09:00:00,37.1,37.4,30.6,33.3,2504481722.908467,83091616466.06804
2018-04-02 09:00:00,33.3,36.6,31.1,33.8,2913126350.5194645,97053841451.23877
2018-04-03 09:00:00,33.7,36.5,32.3,35.0,2035932242.257382,69865015658.86707
2018-04-04 09:00:00,35.0,37.4,31.3,33.5,1261244947.6673532,42536135124.03552
2018-04-05 09:00:00,33.4,35.0,29.5,30.8,1589867272.708803,50243364139.433586
2018-04-06 09:00:00,30.8,32.1,27.7,29.6,655860202.4220537,19552482069.408997
2018-04-07 09:00:00,29.5,31.5,28.6,30.2,704472987.755254,21278196885.931824
2018-04-08 09:00:00,30.1,35.1,29.9,32.0,1193191118.1682303,38662818479.81081
2018-04-09 09:00:00,32.0,32.5,29.8,30.7,549107564.2389294,17104716892.91357
2018-04-10 09:00:00,30.8,31.4,29.8,30.8,328652812.05811536,9967411963.346407
2018-04-11 09:00:00,30.8,34.3,30.5,32.0,601146797.5898184,19264558931.737736
2018-04-12 09:00:00,32.0,37.2,30.5,34.3,1246171582.765391,42055380976.62479
2018-04-13 09:00:00,34.3,37.5,33.0,35.4,1022303573.0833874,35855394719.82006
2018-04-14 09:00:00,35.5,38.2,34.4,36.7,542276813.9711045,19805670770.239986
2018-04-15 09:00:00,36.7,41.9,36.4,39.9,816392380.9548504,32311244730.79205
2018-04-16 09:00:00,39.9,41.2,37.2,38.8,548879094.6142962,21282551985.045876
2018-04-17 09:00:00,38.9,39.8,37.6,38.2,487394026.54046845,18747178333.48903
2018-04-18 09:00:00,38.2,43.9,37.9,41.8,653353652.3563917,26062519864.80247
2018-04-19 09:00:00,41.8,45.3,41.2,44.2,657123571.5043712,28418404975.842266
2018-04-20 09:00:00,44.2,52.7,42.0,52.3,1326117958.0910122,63496077694.05971
2018-04-21 09:00:00,52.3,72.4,51.4,62.6,4995697021.080234,307146861016.1847
2018-04-22 09:00:00,62.6,66.3,57.4,59.8,1439548578.7229266,88078787857.38942
2018-04-23 09:00:00,59.9,62.9,58.5,61.1,866633744.4426506,52169573583.543274
2018-04-24 09:00:00,61.2,74.4,60.0,69.1,2702961220.009606,177876016372.3632
2018-04-25 09:00:00,69.0,88.8,64.6,71.2,6740130423.729398,504960889558.9308
2018-04-26 09:00:00,71.2,72.8,63.6,72.3,1708105769.9918773,117145117016.10962
2018-04-27 09:00:00,72.3,75.2,66.8,68.3,1180020525.8004136,82787265015.23245
2018-04-28 09:00:00,68.4,74.6,67.2,71.9,869656761.2208915,62091395413.41538
2018-04-29 09:00:00,72.0,76.7,65.6,72.6,1426646144.330797,101949815657.63304
2018-04-30 09:00:00,72.6,75.5,68.1,72.0,1672495102.5973437,119799769518.31647
2018-05-01 09:00:00,72.0,72.6,67.2,71.0,789437770.8684052,54622472227.27407
2018-05-02 09:00:00,71.0,73.2,69.0,72.5,472233948.9268782,33658063783.946552
2018-05-03 09:00:00,72.5,73.5,68.8,71.6,478669709.3317134,34254172902.01213
2018-05-04 09:00:00,71.6,73.6,66.6,69.0,477847593.1644465,33423860415.898247
2018-05-05 09:00:00,69.0,69.5,67.3,68.5,294605983.29538643,20186979543.78234
2018-05-06 09:00:00,68.5,70.4,63.5,65.2,423514906.8630539,28036959675.993717
2018-05-07 09:00:00,65.2,65.5,59.5,62.3,405352964.69190013,24829819456.511524
2018-05-08 09:00:00,62.3,63.6,59.5,61.1,258971438.88747114,15924924689.189575
2018-05-09 09:00:00,61.1,61.3,55.2,58.3,425385582.8522442,24512483926.14616
2018-05-10 09:00:00,58.3,58.3,50.9,51.7,495321993.19025564,27529240096.872192
2018-05-11 09:00:00,51.7,52.4,37.3,44.1,1254401182.6095443,56614971577.60868
2018-05-12 09:00:00,44.1,48.2,40.0,45.4,726523969.3370023,32294001622.65436
2018-05-13 09:00:00,45.3,51.5,44.0,50.7,923582125.8686501,45212152196.28465
2018-05-14 09:00:00,50.7,53.8,48.2,50.4,707210228.2039943,35622364954.42927
2018-05-15 09:00:00,50.4,57.2,47.7,52.9,899637186.47419,47764322597.12197
2018-05-16 09:00:00,52.9,53.2,46.7,48.9,501069113.0020212,24537231284.895382
2018-05-17 09:00:00,48.9,54.0,46.9,49.2,555860485.7362343,27376860660.921917
2018-05-18 09:00:00,49.2,53.9,47.6,49.3,860640195.6715412,43405091651.02362
2018-05-19 09:00:00,49.3,49.5,47.7,48.3,129840190.79077676,6298511729.386742
2018-05-20 09:00:00,48.3,49.7,47.7,49.3,178597019.70462036,8709723291.364483
2018-05-21 09:00:00,49.4,51.6,48.4,49.1,461631055.94349146,23036029902.714245
2018-05-22 09:00:00,49.1,49.3,43.1,43.5,276116792.2961737,12832631726.816093
2018-05-23 09:00:00,43.6,45.4,38.1,38.5,471093509.7338852,19630814729.1898
2018-05-24 09:00:00,38.5,40.5,35.3,39.5,581573764.8713423,22081026467.31074
2018-05-25 09:00:00,39.5,39.5,36.4,37.2,250379308.47135752,9438626512.525173
2018-05-26 09:00:00,37.2,37.7,36.5,36.8,151232654.4119125,5594549360.450081
2018-05-27 09:00:00,36.7,36.7,35.4,35.8,118879904.482329,4270827588.876612
2018-05-28 09:00:00,35.8,36.4,31.7,32.0,241618872.5645395,8130039382.221639
2018-05-29 09:00:00,32.0,36.7,31.0,35.8,312870617.4233578,10610838625.334213
2018-05-30 09:00:00,35.8,38.4,34.0,35.3,363659764.8117287,13166843832.211184
2018-05-31 09:00:00,35.3,37.0,34.3,36.6,217276660.52729732,7793911326.421026
2018-06-01 09:00:00,36.5,36.7,35.1,36.1,178665424.1392649,6428355478.480286
2018-06-02 09:00:00,36.0,37.9,35.7,37.3,186953414.36838016,6918017722.930955
2018-06-03 09:00:00,37.3,39.3,37.0,38.2,211026179.60372058,8047210062.27892
2018-06-04 09:00:00,38.2,38.5,35.3,35.7,208107464.66151398,7596970358.865592
2018-06-05 09:00:00,35.7,36.8,34.1,35.9,205165259.30715704,7257637616.088843
2018-06-06 09:00:00,36.0,36.0,34.6,35.3,133552830.12470864,4713068024.338552
2018-06-07 09:00:00,35.3,36.2,34.2,34.5,150838798.98191813,5341321795.998267
2018-06-08 09:00:00,34.4,34.8,33.5,33.8,127816245.68076514,4343337677.037356
2018-06-09 09:00:00,33.8,34.2,32.9,33.0,71611802.19900241,2412208529.7350125
2018-06-10 09:00:00,33.0,33.0,27.1,27.9,403086304.40680057,12080557060.201464
