,open,high,low,close,volume,value
2017-09-25 09:00:00,4500.0,4695.0,4390.0,4650.0,0.0212,97.723
2017-09-26 09:00:00,4640.0,5070.0,4585.0,4870.0,0.0516,248.2215
2017-09-27 09:00:00,4970.0,5310.0,4840.0,5280.0,0.0507,257.2105
2017-09-28 09:00:00,5260.0,5550.0,5120.0,5230.0,0.0498,265.011
2017-09-29 09:00:00,5220.0,5380.0,4900.0,4990.0,0.0523,264.9875
2017-09-30 09:00:00,4990.0,5160.0,4895.0,4995.0,0.0525,263.6745
2017-10-01 09:00:00,4990.0,5120.0,4590.0,4655.0,0.0524,258.2285
2017-10-02 09:00:00,4635.0,4935.0,4345.0,4450.0,0.0524,240.927
2017-10-03 09:00:00,4450.0,4610.0,3865.0,4405.0,0.0493,206.4525
2017-10-04 09:00:00,4360.0,4700.0,4060.0,4215.0,0.0459,199.128
2017-10-05 09:00:00,4225.0,4270.0,4000.0,4050.0,0.0475,194.5645
2017-10-06 09:00:00,4070.0,4400.0,4045.0,4220.0,0.05,210.6955
2017-10-07 09:00:00,4225.0,4595.0,4020.0,4435.0,0.0521,223.8855
2017-10-08 09:00:00,4400.0,4710.0,3905.0,3980.0,0.0519,228.2465
2017-10-09 09:00:00,3990.0,4300.0,3675.0,3845.0,0.0519,208.293
2017-10-10 09:00:00,3850.0,4110.0,3775.0,3895.0,0.0515,200.978
2017-10-11 09:00:00,3950.0,4170.0,3875.0,4040.0,0.0512,206.0715
2017-10-12 09:00:00,4065.0,4065.0,3605.0,3660.0,0.0512,194.321
2017-10-13 09:00:00,3640.0,3885.0,3435.0,3555.0,0.051,183.1835
2017-10-14 09:00:00,3565.0,3570.0,3070.0,3230.0,0.0515,173.434
2017-10-15 09:00:00,3240.0,3480.0,3125.0,3395.0,0.0514,169.3865
2017-10-16 09:00:00,3380.0,3495.0,3165.0,3315.0,0.0504,167.3365
2017-10-17 09:00:00,3340.0,3525.0,3190.0,3490.0,0.0596,200.9995
2017-10-18 09:00:00,3495.0,3890.0,3325.0,3700.0,81.0196,300967.297
2017-10-19 09:00:00,3690.0,3855.0,3435.0,3550.0,235.0,859295.0
2017-10-20 09:00:00,3505.0,3750.0,3325.0,3425.0,64.94,224560.5
2017-10-24 09:00:00,4105.0,4735.0,4030.0,4700.0,2.18,9596.7
2017-10-25 09:00:00,4760.0,5830.0,4410.0,5710.0,2.34,11277.0
2017-10-26 09:00:00,5760.0,5850.0,4570.0,5060.0,2.34,12269.95
2017-10-27 09:00:00,5160.0,5550.0,4840.0,5150.0,2.34,12105.5
2017-10-28 09:00:00,5090.0,5400.0,4875.0,4995.0,2.17,11056.25
2017-10-29 09:00:00,4970.0,5180.0,4400.0,4550.0,2.37,11519.65
2017-10-30 09:00:00,4610.0,5120.0,4270.0,4315.0,3.52,16528.8
2017-10-31 09:00:00,4300.0,4345.0,3720.0,3875.0,2.0,8100.65
2017-11-01 09:00:00,3850.0,3915.0,3480.0,3510.0,2.23,8161.7
2017-11-02 09:00:00,3510.0,3660.0,2810.0,3305.0,2.31,7626.45
2017-11-03 09:00:00,3315.0,3750.0,3080.0,3560.0,2.31,7720.95
2017-11-04 09:00:00,3545.0,3680.0,3280.0,3365.0,2.31,8028.2
2017-11-05 09:00:00,3395.0,3440.0,3255.0,3345.0,1.5,5043.45
2017-11-06 09:00:00,3515.0,3605.0,3435.0,3510.0,0.96,3364.65
2017-11-07 09:00:00,3495.0,3545.0,3370.0,3475.0,5.6,19354.35
2017-11-08 09:00:00,3475.0,4270.0,3265.0,3940.0,5.84,20475.65
2017-11-09 09:00:00,3920.0,4445.0,3895.0,4250.0,5.99,25326.15
2017-11-10 09:00:00,4250.0,4320.0,3420.0,3645.0,5.95,23073.7
2017-11-11 09:00:00,3645.0,3870.0,3410.0,3780.0,5.93,21797.7
2017-11-12 09:00:00,3755.0,3820.0,3205.0,3490.0,5.92,20948.9
2017-11-13 09:00:00,3480.0,3930.0,3440.0,3705.0,5.62,20644.8
2017-11-14 09:00:00,3715.0,4275.0,3695.0,4165.0,5.26,20596.2
2017-11-15 09:00:00,4170.0,4395.0,3940.0,4275.0,6.55,27231.2
2017-11-16 09:00:00,4260.0,4305.0,3565.0,3665.0,6.62,26660.8
