,open,high,low,close,volume,value
2020-07-30 09:00:00,1180.0,24100.0,1180.0,14100.0,16351133.20735792,244620566048.28204
2020-07-31 09:00:00,14200.0,16800.0,8360.0,8520.0,4969531.60559451,59188220828.6787
2020-08-01 09:00:00,8520.0,10300.0,8270.0,9380.0,3294326.6633398,30890444569.607952
2020-08-02 09:00:00,9380.0,9730.0,6750.0,8020.0,1323973.62506294,10729603685.915964
2020-08-03 09:00:00,8010.0,8290.0,7490.0,8180.0,676231.57423002,5258822101.758513
2020-08-04 09:00:00,8170.0,8300.0,6580.0,7090.0,863953.56231915,6216316168.4776945
2020-08-05 09:00:00,7090.0,7210.0,6000.0,6170.0,650634.72072896,4133519485.8479247
2020-08-06 09:00:00,6160.0,6170.0,5410.0,5630.0,427177.83024813,2405674122.312398
2020-08-07 09:00:00,5620.0,5780.0,5100.0,5470.0,156578.52121562,872219995.8660119
2020-08-08 09:00:00,5470.0,6140.0,5390.0,5880.0,326267.84317535,1881095299.020992
2020-08-09 09:00:00,5880.0,6050.0,5560.0,5730.0,219760.75589764,1272768524.5413933
2020-08-10 09:00:00,5740.0,5940.0,5720.0,5840.0,204842.82631264,1191138650.4599304
2020-08-11 09:00:00,5870.0,5980.0,5590.0,5780.0,194003.33960434,1131176971.1522293
2020-08-12 09:00:00,5760.0,5910.0,5670.0,5830.0,81382.96983316,470308265.1045797
2020-08-13 09:00:00,5830.0,5830.0,5650.0,5750.0,120734.44495856,692718420.4512424
2020-08-14 09:00:00,5750.0,5750.0,5410.0,5680.0,112793.16962361,633748956.8948594
2020-08-15 09:00:00,5660.0,5690.0,5590.0,5610.0,29513.434476,166021138.13001928
2020-08-16 09:00:00,5620.0,5750.0,5580.0,5740.0,47186.9899327,267452961.18185353
2020-08-17 09:00:00,5750.0,5940.0,5680.0,5900.0,130562.81520995,758804397.8273195
2020-08-18 09:00:00,5900.0,6070.0,5430.0,5710.0,173550.75315393,1013829926.718578
2020-08-19 09:00:00,5700.0,5740.0,5340.0,5480.0,63203.605675,348689425.161975
2020-08-20 09:00:00,5510.0,5550.0,5300.0,5540.0,43034.44834148,233094508.99296114
2020-08-21 09:00:00,5540.0,5730.0,5170.0,5280.0,113642.01722216,613317224.9264132
2020-08-22 09:00:00,5280.0,5280.0,5000.0,5180.0,32300.9056427,164682246.02712747
2020-08-23 09:00:00,5180.0,5230.0,5040.0,5160.0,25217.95516107,129056405.10047285
2020-08-24 09:00:00,5130.0,5250.0,5070.0,5210.0,100339.44901624,515737958.2342683
2020-08-25 09:00:00,5210.0,5210.0,4850.0,4910.0,62752.17869312,314801041.61893845
2020-08-26 09:00:00,4940.0,5060.0,4640.0,4770.0,57742.03687051,274987260.00245833
2020-08-27 09:00:00,4750.0,5170.0,4360.0,4540.0,126534.26206516,604496788.7894942
2020-08-28 09:00:00,4550.0,4600.0,4370.0,4570.0,68377.17778823,304571916.89941645
2020-08-29 09:00:00,4520.0,4560.0,4390.0,4480.0,34897.2789064,154999853.73843005
2020-08-30 09:00:00,4490.0,4510.0,4390.0,4480.0,26849.16758427,119558163.98133461
2020-08-31 09:00:00,4470.0,4970.0,4430.0,4950.0,155325.9188127,721520762.6870208
2020-09-01 09:00:00,4950.0,4950.0,4600.0,4700.0,45196.42428766,213140622.10156786
2020-09-02 09:00:00,4700.0,4720.0,4300.0,4380.0,48279.3175348,215465352.11801767
2020-09-03 09:00:00,4410.0,4650.0,3990.0,4110.0,88032.10128799,384228836.77361643
2020-09-04 09:00:00,4100.0,4100.0,3480.0,3890.0,45283.69617089,172542473.55730215
2020-09-05 09:00:00,3870.0,3970.0,3500.0,3600.0,38426.88236892,140823342.8399897
2020-09-06 09:00:00,3620.0,4200.0,3120.0,3520.0,262493.13223723,968300711.1416
2020-09-07 09:00:00,3520.0,4010.0,3360.0,3470.0,160233.86312352,586803452.020573
2020-09-08 09:00:00,3470.0,3850.0,3310.0,3650.0,84180.90484073,304012859.6861723
2020-09-09 09:00:00,3670.0,4030.0,3570.0,3940.0,145581.01337726,558784634.8996812
2020-09-10 09:00:00,3910.0,4800.0,3890.0,4270.0,738706.78083577,3241580501.9445925
2020-09-11 09:00:00,4280.0,4300.0,3900.0,4010.0,105560.5577105,427864303.91965085
2020-09-12 09:00:00,4040.0,4440.0,3890.0,4160.0,374671.17979341,1574480030.7976701
2020-09-13 09:00:00,4160.0,4430.0,3760.0,3970.0,181220.11286511,763565678.7121878
2020-09-14 09:00:00,3950.0,3950.0,3770.0,3880.0,18246.13817742,70108832.10110775
2020-09-15 09:00:00,3880.0,4500.0,3850.0,4090.0,449179.25944542,1865964974.3663268
2020-09-16 09:00:00,4090.0,4260.0,3770.0,3880.0,129599.96285805,510487519.3461233
2020-09-17 09:00:00,3890.0,4090.0,3700.0,3840.0,52130.1144085,200082604.45958933
2020-09-18 09:00:00,3830.0,4010.0,3570.0,3810.0,66691.25097726,255908696.9391293
2020-09-19 09:00:00,3850.0,3970.0,3700.0,3810.0,88479.5486402,342896430.69648033
2020-09-20 09:00:00,3810.0,4040.0,3770.0,3900.0,68461.49143936,268162558.50437474
2020-09-21 09:00:00,3900.0,4370.0,3530.0,3630.0,419930.2673108,1727212126.4497232
2020-09-22 09:00:00,3630.0,3780.0,3250.0,3440.0,47883.74201567,165446751.1812741
2020-09-23 09:00:00,3440.0,3450.0,3130.0,3170.0,49339.51262887,161491853.5994262
2020-09-24 09:00:00,3220.0,3680.0,3110.0,3560.0,125887.67111933,425466097.0739229
2020-09-25 09:00:00,3560.0,3590.0,3330.0,3480.0,67063.69418023,232632313.3541823
2020-09-26 09:00:00,3500.0,3580.0,3380.0,3550.0,28421.63606077,99465234.48540525
2020-09-27 09:00:00,3550.0,4150.0,3490.0,3900.0,441095.41236531,1713921593.0035965
2020-09-28 09:00:00,3920.0,4510.0,3880.0,4020.0,780487.45199194,3310753368.2136374
2020-09-29 09:00:00,4020.0,4180.0,3850.0,3970.0,304822.86404854,1232431535.8237789
2020-09-30 09:00:00,3970.0,4150.0,3910.0,4050.0,57795.20040255,233169885.9687374
2020-10-01 09:00:00,4050.0,4050.0,3680.0,3830.0,31679.76846238,123134678.87403437
2020-10-02 09:00:00,3830.0,3840.0,3450.0,3510.0,52251.78090611,186580311.99429208
2020-10-03 09:00:00,3510.0,4000.0,3510.0,3610.0,224388.78188773,833515787.7638682
2020-10-04 09:00:00,3630.0,3820.0,3510.0,3580.0,158324.79970266,577232882.1911894
2020-10-05 09:00:00,3580.0,3610.0,3430.0,3510.0,52446.35132316,183135338.86505765
2020-10-06 09:00:00,3510.0,3580.0,3170.0,3260.0,131632.94609725,446672588.78965986
2020-10-07 09:00:00,3270.0,3300.0,3080.0,3220.0,46428.45155404,146949421.66901672
2020-10-08 09:00:00,3220.0,4990.0,3200.0,3940.0,3957809.60961418,16190872644.144993
2020-10-09 09:00:00,3940.0,4680.0,3850.0,4080.0,2013549.88449097,8571408271.591369
2020-10-10 09:00:00,4080.0,4110.0,3750.0,3860.0,194730.14737109,753778192.0071293
2020-10-11 09:00:00,3860.0,4150.0,3750.0,3870.0,279587.4810128,1093039995.592746
2020-10-12 09:00:00,3850.0,4240.0,3780.0,4150.0,379200.62748638,1526884476.4888012
2020-10-13 09:00:00,4150.0,4190.0,3830.0,3950.0,106816.90690368,422190977.75297034
2020-10-14 09:00:00,3960.0,4120.0,3750.0,3900.0,78273.42922563,305629955.5819926
2020-10-15 09:00:00,3900.0,4000.0,3630.0,3790.0,57330.46275597,216051706.6102745
2020-10-16 09:00:00,3770.0,3880.0,3480.0,3640.0,81764.62334736,300868687.28351444
2020-10-17 09:00:00,3640.0,3700.0,3560.0,3700.0,27871.64256517,100679293.92254162
2020-10-18 09:00:00,3700.0,3940.0,3690.0,3800.0,207669.56449532,798623542.2233987
2020-10-19 09:00:00,3810.0,3810.0,3550.0,3620.0,63577.4290986,232272291.74951208
2020-10-20 09:00:00,3630.0,3870.0,3590.0,3660.0,204866.88154896,767026013.7145532
2020-10-21 09:00:00,3670.0,3800.0,3430.0,3510.0,138798.59692916,497015579.1415837
2020-10-22 09:00:00,3500.0,3560.0,3200.0,3420.0,108360.45971332,369217493.31223047
2020-10-23 09:00:00,3420.0,3540.0,3280.0,3460.0,88750.75823531,302054329.0231003
2020-10-24 09:00:00,3460.0,5320.0,3460.0,3780.0,2220533.98319098,9103779149.767681
2020-10-25 09:00:00,3790.0,3800.0,3510.0,3630.0,249842.8657687,905516627.3458431
2020-10-26 09:00:00,3630.0,4470.0,3610.0,3880.0,1180105.17269389,4742029457.08347
2020-10-27 09:00:00,3870.0,3880.0,3470.0,3820.0,394227.20923363,1440121093.7534523
2020-10-28 09:00:00,3800.0,3820.0,3540.0,3640.0,96509.68064445,352359634.9070254
2020-10-29 09:00:00,3650.0,3720.0,3450.0,3540.0,78916.65536821,280762189.0182449
2020-10-30 09:00:00,3530.0,3600.0,3310.0,3460.0,67961.92619232,233292220.49984282
2020-10-31 09:00:00,3460.0,4180.0,3410.0,3630.0,1205633.90563297,4591115742.266287
2020-11-01 09:00:00,3660.0,4130.0,3630.0,3710.0,500710.84702395,1921001965.452629
2020-11-02 09:00:00,3710.0,3890.0,3550.0,3660.0,264310.24028536,991291012.2890493
2020-11-03 09:00:00,3660.0,3670.0,3450.0,3620.0,56963.35677417,201058582.90721795
2020-11-04 09:00:00,3620.0,3730.0,3450.0,3570.0,96996.25754113,344906630.8509362
2020-11-05 09:00:00,3580.0,3630.0,3500.0,3620.0,64978.40951465,232091449.34074017
2020-11-06 09:00:00,3610.0,3970.0,3590.0,3960.0,160802.93476651,601005395.5659337
2020-11-07 09:00:00,3960.0,4100.0,3660.0,3830.0,205673.75586486,810641602.1700461
