,open,high,low,close,volume,value
2021-04-05 09:00:00,2950.0,5725.0,1825.0,3380.0,305180401.27569556,967845837705.9996
2021-04-06 09:00:00,3385.0,3530.0,2510.0,2680.0,58110709.17716704,173425349127.8053
2021-04-07 09:00:00,2675.0,2765.0,1755.0,2215.0,31976863.8261801,72847553356.9325
2021-04-08 09:00:00,2220.0,2505.0,2020.0,2480.0,14167988.92744516,32595346555.95898
2021-04-09 09:00:00,2480.0,2905.0,2350.0,2625.0,34531564.43391807,91499416291.21312
2021-04-10 09:00:00,2630.0,3250.0,2500.0,2850.0,46667340.11608026,133632075989.53749
2021-04-11 09:00:00,2865.0,2880.0,2495.0,2680.0,9939320.71788245,26515033346.3265
2021-04-12 09:00:00,2680.0,3655.0,2650.0,2930.0,114556306.1853823,359672354171.3229
2021-04-13 09:00:00,2935.0,3880.0,2935.0,3125.0,159784109.57775968,547853836817.66486
2021-04-14 09:00:00,3125.0,3575.0,2720.0,3520.0,122171959.57943499,391281309252.0076
2021-04-15 09:00:00,3525.0,3700.0,3145.0,3400.0,83956523.57750918,274286214373.27103
2021-04-16 09:00:00,3395.0,3400.0,2850.0,3030.0,31863801.81775179,98040815794.72203
2021-04-17 09:00:00,3035.0,3345.0,2840.0,2935.0,20315930.02707598,60348900745.19423
2021-04-18 09:00:00,2940.0,2990.0,2355.0,2685.0,16819180.39107892,44296117987.85319
2021-04-19 09:00:00,2685.0,3560.0,2550.0,2950.0,121594354.44660415,372605958639.13696
2021-04-20 09:00:00,2950.0,3505.0,2860.0,3095.0,110367039.8526523,349857733448.0813
2021-04-21 09:00:00,3095.0,3095.0,2800.0,2845.0,18465540.59647432,53938581341.72678
2021-04-22 09:00:00,2845.0,3105.0,2175.0,2325.0,50961929.30705714,141931111950.29178
2021-04-23 09:00:00,2330.0,2650.0,1810.0,2350.0,31345285.85329648,68265054148.30565
2021-04-24 09:00:00,2350.0,2360.0,2105.0,2180.0,9398379.04201069,20729425884.766895
2021-04-25 09:00:00,2175.0,2385.0,2010.0,2200.0,15293867.44741876,34164819128.867313
2021-04-26 09:00:00,2195.0,2475.0,2115.0,2475.0,18471546.32095714,43157154379.22696
2021-04-27 09:00:00,2470.0,2820.0,2360.0,2645.0,31384124.55207343,81654164111.26622
2021-04-28 09:00:00,2640.0,2770.0,2360.0,2650.0,25645232.8013162,65840850055.13341
2021-04-29 09:00:00,2650.0,2670.0,2445.0,2555.0,10748477.71607131,27327145536.256496
2021-04-30 09:00:00,2555.0,2605.0,2475.0,2580.0,9212477.82751496,23219427328.608116
2021-05-01 09:00:00,2585.0,2590.0,2500.0,2565.0,6535692.26927325,16605764207.751766
2021-05-02 09:00:00,2565.0,2575.0,2470.0,2515.0,6613110.51147303,16599196575.878754
2021-05-03 09:00:00,2510.0,2585.0,2500.0,2550.0,9392579.16562612,23825088532.55057
2021-05-04 09:00:00,2550.0,2795.0,2425.0,2575.0,56155425.92979857,147938929525.8615
2021-05-05 09:00:00,2575.0,2575.0,2480.0,2550.0,14734840.57673116,37166971623.95424
2021-05-06 09:00:00,2550.0,2555.0,2425.0,2470.0,11300301.4828782,28092256862.80388
2021-05-07 09:00:00,2465.0,2490.0,2225.0,2410.0,12142769.60669593,28852945268.320564
2021-05-08 09:00:00,2410.0,2525.0,2385.0,2455.0,11361819.43761022,27929564985.453503
2021-05-09 09:00:00,2455.0,2455.0,2300.0,2380.0,6081226.16550494,14377441837.092861
2021-05-10 09:00:00,2375.0,2385.0,2190.0,2210.0,6595873.23440037,15207210542.974089
2021-05-11 09:00:00,2210.0,2370.0,2125.0,2310.0,9256940.41195039,20864383848.08386
2021-05-12 09:00:00,2310.0,2375.0,1950.0,1955.0,7934260.71988148,17802440845.138355
2021-05-13 09:00:00,1955.0,2150.0,1860.0,2020.0,7416003.49710161,15040782603.141066
2021-05-14 09:00:00,2020.0,2090.0,1990.0,2085.0,4134412.96201592,8416181116.039744
2021-05-15 09:00:00,2085.0,2100.0,1945.0,1970.0,4411356.20871649,8888221454.415094
2021-05-16 09:00:00,1970.0,2015.0,1815.0,1890.0,5722538.78700197,11064081616.26523
2021-05-17 09:00:00,1890.0,1950.0,1580.0,1685.0,10537798.64777752,18299622104.914406
2021-05-18 09:00:00,1695.0,1810.0,1660.0,1755.0,7089222.53809608,12191974769.819456
2021-05-19 09:00:00,1745.0,1750.0,900.0,1260.0,18254368.14446151,24905165667.453754
2021-05-20 09:00:00,1245.0,1375.0,1035.0,1365.0,9867121.5494826,12264018949.688437
2021-05-21 09:00:00,1370.0,1695.0,1175.0,1390.0,22553664.35863156,32277870155.172565
2021-05-22 09:00:00,1390.0,1410.0,1130.0,1280.0,8143471.50548842,10156158266.191303
2021-05-23 09:00:00,1280.0,1300.0,980.0,1130.0,8429298.99978971,9470877789.468967
2021-05-24 09:00:00,1130.0,2240.0,1130.0,1285.0,159442388.4083397,238227699199.29993
2021-05-25 09:00:00,1285.0,1325.0,1150.0,1255.0,18418510.58647225,22768200423.67478
2021-05-26 09:00:00,1255.0,1310.0,1185.0,1310.0,10025021.73844654,12536807890.351795
2021-05-27 09:00:00,1305.0,1515.0,1255.0,1350.0,46387199.21440963,65258806890.23174
2021-05-28 09:00:00,1360.0,1415.0,1120.0,1180.0,15849658.29216376,19590873075.263287
2021-05-29 09:00:00,1180.0,1310.0,1135.0,1200.0,25638422.55433479,31186266480.147533
2021-05-30 09:00:00,1200.0,1220.0,1105.0,1180.0,7555493.70532958,8741784301.919312
2021-05-31 09:00:00,1175.0,1220.0,1115.0,1180.0,7327119.10467323,8476098107.3945
2021-06-01 09:00:00,1180.0,1185.0,1125.0,1150.0,4987098.54393559,5744045563.314623
2021-06-02 09:00:00,1150.0,1200.0,1135.0,1170.0,6468960.81371763,7539472508.126376
2021-06-03 09:00:00,1170.0,1220.0,1155.0,1215.0,6212305.32119446,7396619946.570961
2021-06-04 09:00:00,1210.0,1280.0,1130.0,1190.0,27361792.04083774,33094766580.65565
2021-06-05 09:00:00,1190.0,1240.0,1130.0,1165.0,7348173.58827179,8707821045.54495
2021-06-06 09:00:00,1165.0,1210.0,1130.0,1180.0,11954421.40687377,13976904712.635633
2021-06-07 09:00:00,1180.0,1195.0,1060.0,1075.0,8611114.28133774,9926495780.984844
2021-06-08 09:00:00,1075.0,1105.0,961.0,1055.0,8285175.05611679,8505619938.315346
2021-06-09 09:00:00,1050.0,1090.0,981.0,1075.0,6302718.44525477,6520389936.517421
2021-06-10 09:00:00,1085.0,1090.0,1040.0,1080.0,5388172.97758171,5761448935.784395
2021-06-11 09:00:00,1070.0,1175.0,1025.0,1040.0,16842900.5454259,18383250593.716164
2021-06-12 09:00:00,1040.0,1050.0,946.0,978.0,6033717.55859028,5963124706.969997
2021-06-13 09:00:00,973.0,1055.0,958.0,1025.0,7021542.96324308,6988746104.3094225
2021-06-14 09:00:00,1025.0,1040.0,993.0,1030.0,4917100.13033753,4989263526.48038
2021-06-15 09:00:00,1030.0,1040.0,1005.0,1025.0,4168861.06214175,4258305627.641244
2021-06-16 09:00:00,1030.0,1250.0,1030.0,1100.0,55639966.25555298,63215093941.32756
2021-06-17 09:00:00,1105.0,1150.0,1040.0,1065.0,7923479.66784681,8529536209.244945
2021-06-18 09:00:00,1060.0,1060.0,963.0,988.0,5618840.43179661,5654747484.063245
2021-06-19 09:00:00,984.0,994.0,952.0,970.0,2968043.90973358,2885315052.2234545
2021-06-20 09:00:00,971.0,986.0,879.0,937.0,5759709.37897303,5359105854.279152
2021-06-21 09:00:00,937.0,939.0,671.0,695.0,9769189.89199458,7841520969.370359
2021-06-22 09:00:00,695.0,763.0,592.0,704.0,11648620.82397664,7966850120.405474
2021-06-23 09:00:00,705.0,767.0,665.0,752.0,8171445.96597953,5959571418.371572
2021-06-24 09:00:00,756.0,849.0,704.0,833.0,9295427.6347812,7112470869.785119
2021-06-25 09:00:00,832.0,888.0,751.0,754.0,8427930.0976488,6825178354.881434
2021-06-26 09:00:00,754.0,802.0,705.0,754.0,4179468.761626,3095543786.31972
2021-06-27 09:00:00,754.0,809.0,732.0,795.0,5010549.45682599,3833595010.307823
2021-06-28 09:00:00,795.0,838.0,763.0,823.0,11580070.02513004,9327285870.436506
2021-06-29 09:00:00,824.0,877.0,806.0,875.0,11317695.84895449,9635735232.163713
2021-06-30 09:00:00,875.0,940.0,841.0,930.0,12520733.37147899,11073043163.082123
2021-07-01 09:00:00,930.0,937.0,851.0,914.0,5449888.07938259,4854156018.357964
2021-07-02 09:00:00,913.0,1130.0,903.0,942.0,38778082.02955345,37328570665.25299
2021-07-03 09:00:00,942.0,990.0,905.0,985.0,8205612.48369511,7743379332.059472
2021-07-04 09:00:00,986.0,1030.0,947.0,997.0,11626578.52680109,11518021617.129961
2021-07-05 09:00:00,997.0,1030.0,917.0,954.0,14189748.4871132,13720001611.70716
2021-07-06 09:00:00,954.0,1030.0,949.0,1025.0,20529677.67286365,20245609632.574078
2021-07-07 09:00:00,1030.0,1260.0,1030.0,1145.0,67811171.91245648,76458996997.81944
2021-07-08 09:00:00,1145.0,1515.0,1135.0,1440.0,185234178.03905764,251153685214.79987
2021-07-09 09:00:00,1455.0,1545.0,1180.0,1405.0,80484876.65811189,104713229658.19623
2021-07-10 09:00:00,1400.0,1580.0,1300.0,1465.0,98278246.7222623,141996196871.2963
2021-07-11 09:00:00,1465.0,1750.0,1435.0,1615.0,129911644.59065588,212918173717.74695
2021-07-12 09:00:00,1610.0,1620.0,1395.0,1395.0,30070557.30603913,44749939351.10371
2021-07-13 09:00:00,1395.0,1475.0,1320.0,1390.0,41867349.92816724,58804242347.289894
2021-07-14 09:00:00,1385.0,1565.0,1345.0,1455.0,78694173.3785003,113489413185.70114
2021-07-15 09:00:00,1455.0,1650.0,1390.0,1475.0,67197632.30412889,101792677678.30974
2021-07-16 09:00:00,1475.0,1575.0,1275.0,1300.0,36177979.16870859,51337341164.14961
2021-07-17 09:00:00,1295.0,1310.0,1165.0,1205.0,14645560.20367669,17863638077.893543
2021-07-18 09:00:00,1205.0,1325.0,1140.0,1220.0,22026901.02238944,27616594860.461334
2021-07-19 09:00:00,1220.0,1220.0,1025.0,1080.0,16483385.7416003,18023437881.953773
2021-07-20 09:00:00,1085.0,1085.0,913.0,963.0,15612784.82328487,15142399998.314497
2021-07-21 09:00:00,964.0,1170.0,934.0,1125.0,33439361.09116043,35055548579.897736
2021-07-22 09:00:00,1130.0,1310.0,1120.0,1220.0,53010683.21298646,65486962633.496056
2021-07-23 09:00:00,1225.0,1420.0,1190.0,1360.0,50674742.08371248,65959435464.73151
2021-07-24 09:00:00,1360.0,1515.0,1355.0,1425.0,55461855.06095047,79818946612.23653
2021-07-25 09:00:00,1420.0,1465.0,1305.0,1385.0,26539643.98867587,36492751283.398026
2021-07-26 09:00:00,1385.0,1405.0,1265.0,1330.0,19880294.49926166,26538230085.596832
2021-07-27 09:00:00,1330.0,1365.0,1210.0,1340.0,20930258.78119338,27157326974.7743
2021-07-28 09:00:00,1340.0,1355.0,1275.0,1305.0,11734279.15467503,15400746987.158371
2021-07-29 09:00:00,1300.0,1325.0,1270.0,1315.0,9951305.61839524,12854849646.760546
2021-07-30 09:00:00,1320.0,1545.0,1235.0,1430.0,79347982.61045013,112505829836.03278
2021-07-31 09:00:00,1435.0,1560.0,1355.0,1475.0,46714764.29393519,69297769767.81586
2021-08-01 09:00:00,1470.0,1480.0,1380.0,1400.0,14506959.53785433,20717795410.02619
2021-08-02 09:00:00,1400.0,1550.0,1385.0,1455.0,22387813.28398033,32523739194.28501
2021-08-03 09:00:00,1455.0,1855.0,1450.0,1580.0,168798560.61683413,287057559343.7153
2021-08-04 09:00:00,1585.0,1590.0,1480.0,1575.0,32373540.89831981,49539463598.721176
2021-08-05 09:00:00,1575.0,1575.0,1490.0,1545.0,16410770.61069318,25034251476.213604
2021-08-06 09:00:00,1545.0,1665.0,1510.0,1605.0,31345096.23534672,49885506949.28307
2021-08-07 09:00:00,1605.0,1680.0,1585.0,1620.0,23260047.94882638,37787818023.04426
2021-08-08 09:00:00,1620.0,1670.0,1525.0,1560.0,23884902.08655061,38367058032.46574
2021-08-09 09:00:00,1565.0,1605.0,1480.0,1590.0,10301762.57075174,15926827558.812506
2021-08-10 09:00:00,1590.0,1640.0,1555.0,1625.0,19613037.36613046,31333455290.14467
2021-08-11 09:00:00,1625.0,1715.0,1610.0,1655.0,30394329.84153667,50464362649.55164
2021-08-12 09:00:00,1650.0,1685.0,1535.0,1585.0,22542428.31901551,36240373734.102776
2021-08-13 09:00:00,1585.0,1645.0,1555.0,1640.0,13427121.88797005,21498013046.686714
2021-08-14 09:00:00,1635.0,1675.0,1580.0,1660.0,16088627.4898577,26295847462.29977
2021-08-15 09:00:00,1660.0,1665.0,1575.0,1655.0,10879605.29334634,17682655676.014286
2021-08-16 09:00:00,1655.0,1815.0,1630.0,1765.0,41944053.6924723,73070895040.88844
2021-08-17 09:00:00,1765.0,1835.0,1605.0,1640.0,31644814.17512663,54844457568.15989
2021-08-18 09:00:00,1640.0,1670.0,1535.0,1605.0,14549978.26061619,23474070220.689075
2021-08-19 09:00:00,1610.0,1640.0,1525.0,1635.0,11319961.06519418,17848905368.251316
2021-08-20 09:00:00,1635.0,1715.0,1615.0,1680.0,19407937.73844762,32522947020.930367
2021-08-21 09:00:00,1685.0,1775.0,1670.0,1715.0,22540304.16288182,38898587263.13159
2021-08-22 09:00:00,1715.0,1730.0,1645.0,1700.0,12178941.31490914,20699719889.71142
2021-08-23 09:00:00,1700.0,1760.0,1665.0,1745.0,16660220.38326552,28687524044.800087
2021-08-24 09:00:00,1745.0,1870.0,1645.0,1670.0,36063034.76448557,63763361537.6959
2021-08-25 09:00:00,1670.0,1745.0,1580.0,1740.0,20276105.63794178,33748885146.397575
2021-08-26 09:00:00,1740.0,1740.0,1600.0,1610.0,11566142.19699057,19106517540.584038
2021-08-27 09:00:00,1610.0,1685.0,1550.0,1680.0,14142410.9523306,22864243270.93453
2021-08-28 09:00:00,1680.0,1685.0,1630.0,1670.0,6471912.79531626,10724392199.407883
2021-08-29 09:00:00,1665.0,1765.0,1610.0,1750.0,14860385.72853221,25031871129.89079
2021-08-30 09:00:00,1750.0,1795.0,1645.0,1670.0,11878593.15278,20241753349.981785
2021-08-31 09:00:00,1665.0,1760.0,1630.0,1705.0,16657314.31017131,28429046058.410522
2021-09-01 09:00:00,1705.0,1785.0,1660.0,1745.0,9600886.31832371,16451885377.410786
2021-09-02 09:00:00,1745.0,2070.0,1720.0,1850.0,88454363.50782391,168920758938.70197
2021-09-03 09:00:00,1850.0,1990.0,1790.0,1940.0,28117354.17621553,53141409423.82628
2021-09-04 09:00:00,1940.0,2040.0,1875.0,1965.0,23911802.69562264,46675652706.46581
2021-09-05 09:00:00,1965.0,2015.0,1815.0,1945.0,25856735.54329049,50104378154.91478
2021-09-06 09:00:00,1945.0,2000.0,1855.0,1960.0,14508431.41582148,28114914249.16911
2021-09-07 09:00:00,1960.0,1970.0,1530.0,1620.0,20801567.06346646,36840384152.1226
2021-09-08 09:00:00,1620.0,1755.0,1385.0,1695.0,22360438.32597004,35480447545.63175
2021-09-09 09:00:00,1695.0,1790.0,1615.0,1785.0,12980494.35470779,21972092538.275124
2021-09-10 09:00:00,1785.0,1890.0,1630.0,1695.0,21259809.71594005,37463858153.322075
2021-09-11 09:00:00,1705.0,1740.0,1660.0,1725.0,7902889.52561595,13465629132.15512
2021-09-12 09:00:00,1720.0,1740.0,1655.0,1725.0,7543692.82977933,12865487853.032629
2021-09-13 09:00:00,1725.0,1940.0,1675.0,1860.0,58976152.26394267,105330186862.66446
2021-09-14 09:00:00,1855.0,1900.0,1750.0,1895.0,25053622.69188705,45796229359.05375
2021-09-15 09:00:00,1895.0,1895.0,1810.0,1865.0,10252112.2251812,18894168976.91701
2021-09-16 09:00:00,1860.0,1865.0,1775.0,1805.0,7992229.63076948,14485636233.476501
2021-09-17 09:00:00,1805.0,1815.0,1730.0,1770.0,6460415.15200802,11441236409.047361
2021-09-18 09:00:00,1770.0,1790.0,1745.0,1780.0,4585570.81342205,8121982738.399482
2021-09-19 09:00:00,1775.0,1790.0,1700.0,1725.0,4972745.02642103,8625632758.198706
2021-09-20 09:00:00,1720.0,1720.0,1445.0,1495.0,14392341.09586077,22666103998.604034
2021-09-21 09:00:00,1500.0,1725.0,1400.0,1570.0,50143608.56502332,80080182956.95844
2021-09-22 09:00:00,1575.0,1765.0,1420.0,1710.0,39021229.38327461,61755940973.253235
2021-09-23 09:00:00,1715.0,1805.0,1570.0,1695.0,27819190.33287908,47494120272.895584
2021-09-24 09:00:00,1690.0,1720.0,1490.0,1560.0,15371704.31390106,24374776498.140194
2021-09-25 09:00:00,1565.0,1590.0,1490.0,1560.0,4691608.70508354,7241169151.953048
2021-09-26 09:00:00,1555.0,1615.0,1460.0,1535.0,12411831.35079911,19253425286.463547
2021-09-27 09:00:00,1535.0,1590.0,1470.0,1475.0,10391231.83152693,16068061885.238152
2021-09-28 09:00:00,1475.0,1515.0,1390.0,1395.0,7669334.95160247,11070139892.307945
2021-09-29 09:00:00,1395.0,1450.0,1340.0,1400.0,6632561.89404742,9296995139.444427
2021-09-30 09:00:00,1405.0,1485.0,1395.0,1480.0,6941360.58529166,10013772373.58415
2021-10-01 09:00:00,1480.0,1620.0,1435.0,1620.0,14758891.87333487,22765095278.839783
2021-10-02 09:00:00,1615.0,1680.0,1590.0,1630.0,13044362.73018586,21431467577.02774
2021-10-03 09:00:00,1635.0,1660.0,1575.0,1635.0,8784117.43352446,14300491314.773878
2021-10-04 09:00:00,1630.0,1795.0,1545.0,1735.0,31559784.53744557,53235096838.04226
2021-10-05 09:00:00,1735.0,1770.0,1620.0,1725.0,16402610.65597314,27769044144.645073
2021-10-06 09:00:00,1720.0,1835.0,1620.0,1745.0,24767480.13905029,42703443198.14121
2021-10-07 09:00:00,1740.0,1795.0,1685.0,1755.0,10672289.127401,18528239443.96276
2021-10-08 09:00:00,1755.0,1850.0,1735.0,1820.0,15769693.00836185,28511366997.347862
2021-10-09 09:00:00,1825.0,2525.0,1725.0,2220.0,105282678.6522657,232345602062.81433
2021-10-10 09:00:00,2220.0,2820.0,1990.0,2290.0,276501815.34670883,689336130603.4241
2021-10-11 09:00:00,2295.0,2685.0,2220.0,2315.0,133204936.34346499,330872832624.96405
2021-10-12 09:00:00,2310.0,2570.0,2165.0,2525.0,66850787.10923606,159514970311.13568
2021-10-13 09:00:00,2525.0,3255.0,2505.0,2715.0,177756347.49977508,503147529851.6519
2021-10-14 09:00:00,2715.0,2885.0,2555.0,2700.0,45687398.08180751,124078793804.24329
2021-10-15 09:00:00,2700.0,2760.0,2350.0,2430.0,37512920.98682644,94175041715.62321
2021-10-16 09:00:00,2430.0,2520.0,2320.0,2405.0,16456524.02326685,39775894182.18104
2021-10-17 09:00:00,2405.0,2785.0,2385.0,2760.0,104545491.85307251,273618718747.11353
2021-10-18 09:00:00,2760.0,3580.0,2725.0,3205.0,348066656.7961943,1109997103333.6025
2021-10-19 09:00:00,3205.0,3320.0,2830.0,2870.0,83683361.08943176,249063500694.135
2021-10-20 09:00:00,2865.0,2980.0,2695.0,2940.0,59050576.43823048,165878624817.76123
2021-10-21 09:00:00,2940.0,3000.0,2750.0,2820.0,48399893.76710138,138136667287.10645
2021-10-22 09:00:00,2820.0,2855.0,2655.0,2695.0,27545750.24157096,75589356881.523
2021-10-23 09:00:00,2700.0,2750.0,2600.0,2710.0,13951002.74414712,37050699374.614975
2021-10-24 09:00:00,2710.0,2935.0,2655.0,2720.0,59154034.98718767,166045050178.47375
2021-10-25 09:00:00,2725.0,2725.0,2630.0,2690.0,12921207.83993306,34392225601.8305
2021-10-26 09:00:00,2690.0,2690.0,2600.0,2625.0,11290269.12924508,29682382128.91245
2021-10-27 09:00:00,2625.0,2650.0,2215.0,2310.0,32350771.48457166,78555581765.78448
2021-10-28 09:00:00,2315.0,2365.0,2205.0,2345.0,24749717.76589239,56374642909.117134
2021-10-29 09:00:00,2350.0,2410.0,2290.0,2375.0,24093844.59136603,56415425555.38185
2021-10-30 09:00:00,2375.0,2385.0,2245.0,2270.0,19435417.90328182,44691374299.01654
2021-10-31 09:00:00,2275.0,2275.0,2125.0,2190.0,24481164.97706088,53300807646.18547
2021-11-01 09:00:00,2190.0,2400.0,2135.0,2310.0,49784866.48645101,113593456778.05617
2021-11-02 09:00:00,2310.0,2385.0,2250.0,2320.0,23932459.57755302,55454568908.017456
2021-11-03 09:00:00,2320.0,2485.0,2200.0,2345.0,37034914.78653964,86894439636.66377
2021-11-04 09:00:00,2340.0,2345.0,2260.0,2335.0,11397708.51816708,26124253966.26437
2021-11-05 09:00:00,2335.0,2485.0,2280.0,2425.0,18380527.96137519,43870529201.230446
2021-11-06 09:00:00,2430.0,2455.0,2340.0,2435.0,13559654.42682145,32509425459.706715
2021-11-07 09:00:00,2430.0,2725.0,2395.0,2715.0,54945489.39215475,142110154950.21652
2021-11-08 09:00:00,2710.0,2950.0,2610.0,2800.0,122228434.00579274,337752404411.74554
2021-11-09 09:00:00,2800.0,2885.0,2630.0,2705.0,34368297.4923405,93634920690.4793
2021-11-10 09:00:00,2700.0,2795.0,2510.0,2575.0,36467543.73336372,97682034959.87233
