,open,high,low,close,volume,value
2020-09-04 09:00:00,3245.0,3245.0,2265.0,2470.0,23355140.03221714,57654284287.7825
2020-09-05 09:00:00,2470.0,2535.0,1890.0,2045.0,16868784.97827965,35637371204.161736
2020-09-06 09:00:00,2045.0,2335.0,1855.0,2160.0,3952685.59065731,8273879801.60992
2020-09-07 09:00:00,2165.0,2240.0,1885.0,2090.0,2205044.05665071,4477019473.833436
2020-09-08 09:00:00,2090.0,2150.0,1935.0,1985.0,1685836.81357726,3412009048.119515
2020-09-09 09:00:00,1985.0,2205.0,1945.0,2140.0,1390945.72970285,2878596803.668759
2020-09-10 09:00:00,2130.0,2315.0,2105.0,2130.0,1875131.30558561,4166455244.805753
2020-09-11 09:00:00,2130.0,2175.0,2000.0,2125.0,933007.11839046,1933048502.0109115
2020-09-12 09:00:00,2125.0,2220.0,2025.0,2170.0,1065646.11283333,2261034332.7127557
2020-09-13 09:00:00,2170.0,2300.0,2010.0,2065.0,1760687.45364338,3768534110.0643
2020-09-14 09:00:00,2065.0,2350.0,1965.0,2205.0,2311262.29700824,4872382597.277771
2020-09-15 09:00:00,2205.0,2235.0,1905.0,1925.0,3153531.16283813,6506318143.940995
2020-09-16 09:00:00,1925.0,1935.0,1720.0,1785.0,3140520.73428846,5700658939.609587
2020-09-17 09:00:00,1780.0,1885.0,1670.0,1760.0,2078894.08565318,3671042844.866938
2020-09-18 09:00:00,1760.0,1960.0,1715.0,1810.0,3209871.056722,5965036613.719301
2020-09-19 09:00:00,1805.0,1930.0,1735.0,1845.0,1147342.06374723,2076233161.8338573
2020-09-20 09:00:00,1845.0,1910.0,1750.0,1785.0,912350.32943558,1654866604.3247166
2020-09-21 09:00:00,1795.0,1825.0,1450.0,1495.0,3593404.95640337,5652376557.828049
2020-09-22 09:00:00,1505.0,1555.0,1405.0,1490.0,1909426.35699917,2807944415.7761025
2020-09-23 09:00:00,1490.0,1505.0,1245.0,1265.0,2680011.16887611,3690161112.354666
2020-09-24 09:00:00,1265.0,1440.0,1230.0,1430.0,3295356.1150162,4335196432.076732
2020-09-25 09:00:00,1430.0,1535.0,1315.0,1465.0,2728523.82775135,3843530969.7007527
2020-09-26 09:00:00,1475.0,1615.0,1465.0,1570.0,2047307.26436796,3146872923.688521
2020-09-27 09:00:00,1560.0,2080.0,1485.0,1965.0,5746360.02947195,10348453895.132132
2020-09-28 09:00:00,1965.0,2170.0,1810.0,1840.0,6326894.18723977,12640423227.512726
2020-09-29 09:00:00,1840.0,1965.0,1770.0,1850.0,3448333.26501503,6462797152.23488
2020-09-30 09:00:00,1850.0,2060.0,1805.0,2035.0,2573873.84076806,5001364653.778939
2020-10-01 09:00:00,2030.0,2090.0,1740.0,1810.0,2779459.67266783,5194588492.984997
2020-10-02 09:00:00,1810.0,1830.0,1600.0,1655.0,3671048.87036956,6217325254.656086
2020-10-03 09:00:00,1655.0,1720.0,1620.0,1625.0,1472161.45496937,2468334396.7569504
2020-10-04 09:00:00,1620.0,1635.0,1530.0,1595.0,2320569.98310233,3662235180.1131554
2020-10-05 09:00:00,1590.0,1680.0,1530.0,1590.0,1658547.81526955,2632872663.847907
2020-10-06 09:00:00,1595.0,1595.0,1325.0,1355.0,4750042.33902027,6824830459.233859
2020-10-07 09:00:00,1355.0,1385.0,1255.0,1380.0,2750483.95738818,3620756640.901937
2020-10-08 09:00:00,1380.0,1540.0,1305.0,1515.0,4403888.04094438,6219183252.273378
2020-10-09 09:00:00,1510.0,1590.0,1450.0,1555.0,3467439.3509633,5278593860.114777
2020-10-10 09:00:00,1555.0,1605.0,1455.0,1465.0,2067070.06218864,3177161246.6476264
2020-10-11 09:00:00,1465.0,1535.0,1435.0,1490.0,1469268.78431799,2172870104.617949
2020-10-12 09:00:00,1485.0,1535.0,1425.0,1490.0,1854093.29778236,2750157675.291514
2020-10-13 09:00:00,1490.0,1500.0,1425.0,1450.0,1451241.70589849,2132811384.8157735
2020-10-14 09:00:00,1460.0,1465.0,1365.0,1395.0,1237892.01881853,1749604553.2360713
2020-10-15 09:00:00,1390.0,1490.0,1355.0,1395.0,1440505.38646341,2036417094.5909846
2020-10-16 09:00:00,1395.0,1425.0,1330.0,1365.0,1082656.68386844,1476204993.0515
2020-10-17 09:00:00,1370.0,1415.0,1350.0,1390.0,527199.99743294,729581203.0809
2020-10-18 09:00:00,1390.0,1415.0,1380.0,1395.0,383342.24950992,537283239.4065281
2020-10-19 09:00:00,1400.0,1405.0,1350.0,1355.0,549196.25481024,754953928.6097023
2020-10-20 09:00:00,1360.0,1365.0,1245.0,1290.0,1567902.75732673,2020923410.6455102
