,open,high,low,close,volume,value
2022-03-02 09:00:00,211.0,317.0,211.0,232.0,2203108276.2054167,581309075161.0684
2022-03-03 09:00:00,232.0,233.0,200.0,208.0,576565818.2417954,122655940844.91478
2022-03-04 09:00:00,208.0,208.0,188.0,192.0,566199560.1209675,110989489543.15228
2022-03-05 09:00:00,192.0,204.0,189.0,195.0,294768635.6583901,57894460329.60545
2022-03-06 09:00:00,195.0,195.0,180.0,181.0,158225061.11231133,29410578488.06623
2022-03-07 09:00:00,180.0,182.0,167.0,172.0,214113931.2372289,36755601656.73964
2022-03-08 09:00:00,171.0,177.0,168.0,171.0,179351327.3788436,30683999525.67544
2022-03-09 09:00:00,171.0,176.0,166.0,171.0,151866134.99690875,25838643088.158955
2022-03-10 09:00:00,172.0,172.0,159.0,161.0,144994680.73781532,23662661997.887802
2022-03-11 09:00:00,161.0,162.0,153.0,155.0,96386412.96554823,15034471596.161915
2022-03-12 09:00:00,155.0,156.0,153.0,154.0,37983853.69767896,5865125562.996004
2022-03-13 09:00:00,153.0,154.0,146.0,147.0,64166567.54562825,9600274270.524826
2022-03-14 09:00:00,146.0,169.0,143.0,153.0,469501004.4688816,73877841137.17572
2022-03-15 09:00:00,154.0,154.0,146.0,148.0,82418195.15630664,12320430940.502632
2022-03-16 09:00:00,149.0,151.0,144.0,150.0,57538904.5918723,8485049885.688197
2022-03-17 09:00:00,151.0,167.0,147.0,154.0,416673437.7762673,65783945225.394775
2022-03-18 09:00:00,154.0,162.0,150.0,158.0,232553892.9873905,36468948034.20224
2022-03-19 09:00:00,157.0,159.0,154.0,157.0,92547905.90927054,14486556668.272474
2022-03-20 09:00:00,157.0,160.0,152.0,154.0,91376063.60975812,14299516455.938175
2022-03-21 09:00:00,154.0,157.0,150.0,152.0,125024740.5247596,19084041707.21334
2022-03-22 09:00:00,151.0,154.0,150.0,152.0,61720508.54779143,9392850363.550756
2022-03-23 09:00:00,152.0,153.0,150.0,152.0,57597048.13005046,8713497220.575678
2022-03-24 09:00:00,152.0,156.0,150.0,153.0,132503103.41684543,20275663740.264664
2022-03-25 09:00:00,154.0,154.0,151.0,153.0,51286749.65233443,7828383774.981075
2022-03-26 09:00:00,152.0,155.0,151.0,155.0,49059315.67825155,7485801855.291802
2022-03-27 09:00:00,155.0,161.0,153.0,158.0,170035980.83136743,26657324673.676823
2022-03-28 09:00:00,159.0,161.0,156.0,159.0,103761603.88034146,16463989948.450865
2022-03-29 09:00:00,159.0,169.0,155.0,159.0,178084861.72408772,28715366083.7448
2022-03-30 09:00:00,159.0,169.0,158.0,163.0,253208574.84647208,41286804612.397316
2022-03-31 09:00:00,163.0,171.0,159.0,163.0,240680361.43638125,39429841915.86619
2022-04-01 09:00:00,164.0,164.0,158.0,164.0,88786538.58496016,14300262274.527931
2022-04-02 09:00:00,164.0,168.0,162.0,165.0,118148292.08772089,19530400741.56572
2022-04-03 09:00:00,166.0,197.0,164.0,178.0,1222809904.347918,222735018705.08984
2022-04-04 09:00:00,178.0,188.0,166.0,171.0,403474090.7113602,72259220889.72426
2022-04-05 09:00:00,171.0,183.0,168.0,172.0,277697328.81140774,48791706851.20234
2022-04-06 09:00:00,172.0,172.0,150.0,151.0,168549868.2735263,26897788555.877758
2022-04-07 09:00:00,151.0,159.0,150.0,157.0,68640154.23401032,10597040023.697567
2022-04-08 09:00:00,157.0,167.0,153.0,155.0,154440852.09833118,24652566636.529552
2022-04-09 09:00:00,155.0,158.0,153.0,155.0,30945534.44127138,4780950288.058666
2022-04-10 09:00:00,155.0,160.0,152.0,152.0,42023234.3446117,6534040840.39954
2022-04-11 09:00:00,152.0,154.0,141.0,142.0,75331073.97361778,10998352465.346624
2022-04-12 09:00:00,143.0,146.0,137.0,144.0,70655509.10716654,10037160231.02206
2022-04-13 09:00:00,144.0,148.0,141.0,147.0,68537699.31955604,9906893291.631577
2022-04-14 09:00:00,147.0,148.0,141.0,143.0,46862126.87125403,6795555020.827099
2022-04-15 09:00:00,142.0,146.0,141.0,144.0,39476192.15553573,5627443978.877913
2022-04-16 09:00:00,144.0,144.0,141.0,143.0,15064373.02541063,2144765290.0679784
2022-04-17 09:00:00,143.0,143.0,138.0,139.0,18937156.78330021,2676446435.9612308
2022-04-18 09:00:00,140.0,146.0,131.0,139.0,81200431.12419511,11118803329.486897
2022-04-19 09:00:00,138.0,140.0,136.0,139.0,39288086.96004659,5424410186.532485
2022-04-20 09:00:00,139.0,140.0,135.0,138.0,31289036.39027035,4315854518.944924
2022-04-21 09:00:00,137.0,140.0,135.0,136.0,49081917.43227302,6752124472.201568
2022-04-22 09:00:00,136.0,138.0,134.0,136.0,34047555.6062096,4620268384.448996
2022-04-23 09:00:00,135.0,138.0,134.0,135.0,23968736.8940691,3251960474.2604737
2022-04-24 09:00:00,135.0,143.0,134.0,136.0,83643382.11363631,11518764936.261648
2022-04-25 09:00:00,135.0,136.0,125.0,131.0,61296422.54427889,7976139728.559601
2022-04-26 09:00:00,131.0,132.0,121.0,124.0,50813537.06859298,6461520580.832845
2022-04-27 09:00:00,124.0,126.0,121.0,124.0,36483560.1458994,4497921111.645072
2022-04-28 09:00:00,124.0,137.0,121.0,130.0,331125110.87418926,43499755156.58598
2022-04-29 09:00:00,130.0,133.0,122.0,122.0,81629848.09179378,10361155827.1637
2022-04-30 09:00:00,122.0,127.0,114.0,114.0,83368116.84484085,10202714626.67906
2022-05-01 09:00:00,114.0,117.0,105.0,112.0,62235302.03185083,6860359496.938199
2022-05-02 09:00:00,112.0,113.0,107.0,110.0,38280488.89039501,4213114806.31757
2022-05-03 09:00:00,109.0,111.0,108.0,108.0,25189366.02858601,2755287682.3897986
2022-05-04 09:00:00,108.0,116.0,108.0,115.0,95391118.21603097,10648708753.018597
2022-05-05 09:00:00,115.0,117.0,104.0,107.0,53070866.27182832,5882511511.4441
2022-05-06 09:00:00,107.0,107.0,102.0,106.0,39732142.16666201,4127358376.1319857
2022-05-07 09:00:00,105.0,108.0,102.0,104.0,26663115.96536063,2800371914.33286
2022-05-08 09:00:00,104.0,104.0,97.1,98.4,50488501.67522501,5035105913.914252
2022-05-09 09:00:00,98.4,99.2,82.1,84.5,71906585.38266216,6574566481.654434
2022-05-10 09:00:00,84.5,89.8,77.8,83.1,112235409.51621044,9503359320.85816
2022-05-11 09:00:00,82.9,84.0,62.5,66.0,95458987.86235027,7026311591.059069
2022-05-12 09:00:00,66.0,69.5,51.1,54.8,115874144.09800602,6508482195.944551
2022-05-13 09:00:00,54.8,62.4,54.1,59.8,91705534.16918164,5453645051.849495
2022-05-14 09:00:00,59.8,69.5,57.2,62.2,111395006.43445808,6947755246.550191
2022-05-15 09:00:00,62.3,64.5,60.7,64.4,42009589.53516166,2620944838.976341
2022-05-16 09:00:00,64.4,67.7,60.8,63.8,95250512.07283023,6117935044.528715
2022-05-17 09:00:00,63.6,65.6,62.6,64.9,30026587.44947119,1929131089.7665956
2022-05-18 09:00:00,64.7,67.5,60.0,60.0,35481022.59347732,2248946462.481268
2022-05-19 09:00:00,60.0,85.4,59.6,67.2,951478231.8424366,66929045566.04709
2022-05-20 09:00:00,67.3,70.3,62.0,64.4,321650324.79412735,21544789030.155357
