,open,high,low,close,volume,value
2019-03-22 09:00:00,9.0,40.0,9.0,24.6,9308222083.22033,250931344433.00693
2019-03-23 09:00:00,24.7,28.3,23.2,25.5,2793684059.6506166,73221933482.17023
2019-03-24 09:00:00,25.5,25.5,22.6,23.1,635482053.6931775,15106230314.257471
2019-03-25 09:00:00,23.1,24.0,19.5,20.2,619468596.214393,13138525491.474329
2019-03-26 09:00:00,20.2,22.4,19.5,20.5,1358877714.8404589,28749109422.22905
2019-03-27 09:00:00,20.5,20.6,18.9,19.9,307501006.65415215,5996283696.5498905
2019-03-28 09:00:00,19.8,20.8,19.1,19.6,367843554.24573797,7271273422.830414
2019-03-29 09:00:00,19.5,19.6,18.2,18.5,272471010.1625705,5086520859.828863
2019-03-30 09:00:00,18.5,18.6,16.4,17.2,261361552.45300418,4496117872.812417
2019-03-31 09:00:00,17.1,17.4,16.3,16.7,196834190.4173757,3318116339.3691707
2019-04-01 09:00:00,16.8,18.0,15.6,16.0,339130404.5193959,5617964503.568276
2019-04-02 09:00:00,16.1,16.1,14.1,15.2,375509297.4451488,5649531227.565494
2019-04-03 09:00:00,15.2,15.3,13.8,14.1,215610020.34594882,3131160627.9420605
2019-04-04 09:00:00,14.1,15.5,13.8,15.3,345789935.13656336,4965977928.441315
2019-04-05 09:00:00,15.3,16.1,14.5,14.9,271983069.51038617,4108449574.191619
2019-04-06 09:00:00,15.0,15.0,14.0,14.2,97874132.829289,1405749400.8624818
2019-04-07 09:00:00,14.2,14.6,13.9,14.5,86936855.6429721,1232326751.723533
2019-04-08 09:00:00,14.4,14.6,13.5,13.9,106463504.94456777,1502051797.4624784
2019-04-09 09:00:00,13.9,16.3,13.7,15.2,497524291.64506465,7585797717.804846
2019-04-10 09:00:00,15.2,16.0,14.6,15.3,226110261.70761958,3399983859.5832014
2019-04-11 09:00:00,15.3,15.3,12.6,13.4,249293584.4417528,3446520757.726835
2019-04-12 09:00:00,13.4,13.4,11.9,12.9,177541520.90656227,2238208840.950927
2019-04-13 09:00:00,12.8,13.2,12.4,12.8,66615390.77530221,847708484.7990826
2019-04-14 09:00:00,12.8,14.8,12.7,13.9,186882466.26775965,2559690735.6839705
2019-04-15 09:00:00,13.8,14.6,13.0,13.3,111198085.54026343,1520153053.7178771
2019-04-16 09:00:00,13.3,13.9,12.2,13.3,180482130.48806462,2374941367.9344826
2019-04-17 09:00:00,13.3,13.4,12.7,13.2,88307496.80600572,1151380460.5614803
2019-04-18 09:00:00,13.1,13.3,12.9,13.2,52505167.44569012,685899970.3714625
2019-04-19 09:00:00,13.2,13.7,12.9,13.5,99426515.90584144,1325707446.8844342
2019-04-20 09:00:00,13.5,13.7,13.3,13.4,48212146.14491764,648951469.0339665
2019-04-21 09:00:00,13.5,13.6,12.3,12.6,92508355.02365449,1188687886.9272554
2019-04-22 09:00:00,12.6,12.9,12.4,12.7,75040799.48695233,949115749.9137424
2019-04-23 09:00:00,12.7,13.5,12.6,12.7,111198368.15410338,1441785269.7231708
2019-04-24 09:00:00,12.6,12.7,11.0,11.5,111245905.48232701,1313242301.957573
2019-04-25 09:00:00,11.5,11.6,10.1,10.5,86915344.57249695,960916574.6828854
2019-04-26 09:00:00,10.5,10.5,9.84,10.3,132871738.61415873,1342508066.8578107
2019-04-27 09:00:00,10.3,10.3,9.9,10.1,51739045.08804694,519098773.1304908
2019-04-28 09:00:00,10.1,10.3,9.9,10.1,38753008.32759973,390484422.49099827
2019-04-29 09:00:00,10.0,10.1,9.42,9.49,54550505.81169128,532961841.9881699
2019-04-30 09:00:00,9.48,9.67,8.86,9.48,68059009.13072123,624208217.0030111
2019-05-01 09:00:00,9.48,9.72,9.18,9.64,45717456.41247472,431972843.27533066
2019-05-02 09:00:00,9.55,10.2,9.36,9.89,75878330.73863684,744391895.2221532
2019-05-03 09:00:00,9.89,9.89,9.31,9.53,40753007.55993551,388812389.968791
2019-05-04 09:00:00,9.53,9.58,8.63,9.21,39507825.77389388,361260330.1419734
2019-05-05 09:00:00,9.21,9.59,8.88,9.07,35981046.48769358,330910810.737513
2019-05-06 09:00:00,9.13,9.4,8.8,8.99,32150108.33946726,289992760.94760007
2019-05-07 09:00:00,8.95,9.08,8.5,8.69,70182647.2133222,621897657.9148321
2019-05-08 09:00:00,8.69,8.69,8.24,8.42,27762439.49885655,231946862.33761734
2019-05-09 09:00:00,8.4,8.42,7.58,7.71,47401611.44845998,376254341.3546609
2019-05-10 09:00:00,7.71,7.97,7.07,7.79,96326261.69070211,727406771.2332289
2019-05-11 09:00:00,7.79,8.41,7.41,7.85,205447958.69056466,1649021293.424132
2019-05-12 09:00:00,7.88,8.09,7.19,7.52,57838765.59077976,447595999.2239618
2019-05-13 09:00:00,7.52,8.01,7.51,7.7,60960568.61052741,476599381.0338701
2019-05-14 09:00:00,7.71,8.29,7.63,8.2,81016615.86570498,647397078.8629017
2019-05-15 09:00:00,8.2,9.05,8.01,8.99,100518681.2038609,848214864.7613817
2019-05-16 09:00:00,8.99,10.2,8.34,9.19,193421806.12715837,1812894260.9269826
2019-05-17 09:00:00,9.2,9.79,8.05,8.6,77930831.17544739,674882934.1006964
2019-05-18 09:00:00,8.64,9.22,8.53,9.04,52839115.22181819,468181059.2422707
2019-05-19 09:00:00,9.04,9.16,8.88,8.97,32004115.72530855,289003631.13456637
2019-05-20 09:00:00,8.97,9.5,8.75,9.34,78262487.00813916,713977982.8792604
2019-05-21 09:00:00,9.35,10.1,9.21,9.69,125987212.82749315,1212286439.7813005
2019-05-22 09:00:00,9.67,10.6,9.52,9.81,142158632.93695673,1445382266.188851
2019-05-23 09:00:00,9.82,10.1,9.1,9.81,56502565.39684762,549160250.3444536
2019-05-24 09:00:00,9.94,25.5,9.62,18.1,12347861678.12792,242829990165.23773
2019-05-25 09:00:00,18.1,30.2,17.3,26.2,10476745891.239664,264785911518.22684
2019-05-26 09:00:00,26.2,29.7,20.0,21.0,1865438393.5316293,44543011269.96247
2019-05-27 09:00:00,21.1,22.9,18.9,19.7,732950367.9437368,14974457006.541578
2019-05-28 09:00:00,19.6,20.4,18.5,19.4,502356080.66579795,9601697908.543653
2019-05-29 09:00:00,19.4,22.5,18.8,21.4,1326764117.225677,27079936883.246864
2019-05-30 09:00:00,21.3,21.7,16.4,17.8,621405923.9208609,12259000855.007198
2019-05-31 09:00:00,17.8,18.7,16.7,17.9,270790543.556045,4767794544.173181
2019-06-01 09:00:00,18.0,18.8,16.9,17.1,274090861.16163206,4802129364.869733
2019-06-02 09:00:00,17.2,18.3,16.9,17.6,288889021.29354036,5084557869.751432
2019-06-03 09:00:00,17.6,18.3,16.3,16.3,335595699.13314563,5743645288.630396
2019-06-04 09:00:00,16.3,17.2,14.7,15.6,301922258.32868683,4848681959.259156
2019-06-05 09:00:00,15.6,17.1,15.3,16.2,314913108.1343238,5094748396.521856
2019-06-06 09:00:00,16.3,19.2,16.1,17.3,825640940.9348665,14570951633.07705
2019-06-07 09:00:00,17.3,18.2,16.6,17.7,455169134.90073425,7956717614.913877
2019-06-08 09:00:00,17.7,18.8,17.1,18.7,283386452.38647145,5043470137.452051
2019-06-09 09:00:00,18.6,19.3,15.9,16.5,286179718.2636747,5109940017.6771145
2019-06-10 09:00:00,16.4,17.5,15.5,17.2,194123602.00096145,3235692683.039385
2019-06-11 09:00:00,17.2,17.3,16.1,16.6,149269929.9557287,2470125285.009664
2019-06-12 09:00:00,16.6,16.7,16.1,16.3,105909128.9688224,1728294815.6472087
2019-06-13 09:00:00,16.3,16.3,15.7,16.0,67597078.97043405,1080304638.8607106
2019-06-14 09:00:00,16.0,16.3,14.5,15.2,201343736.1095583,3060635298.4461875
2019-06-15 09:00:00,15.1,15.4,14.4,14.6,153668036.65634388,2270043996.149577
2019-06-16 09:00:00,14.7,14.9,14.0,14.3,110904015.6537139,1591265496.9897552
2019-06-17 09:00:00,14.4,15.1,14.2,14.6,218045247.19494548,3203076381.6431723
2019-06-18 09:00:00,14.6,14.6,13.9,14.1,107990771.91943069,1531527778.3100846
2019-06-19 09:00:00,14.2,15.2,14.1,14.7,212200949.42765388,3123554650.134357
2019-06-20 09:00:00,14.7,15.5,14.5,15.2,353680260.58114594,5302094710.782635
2019-06-21 09:00:00,15.3,15.3,13.6,13.7,200167044.76711306,2847854834.248583
2019-06-22 09:00:00,13.7,14.0,12.4,12.9,223517170.40053263,2911780717.5711913
2019-06-23 09:00:00,13.0,13.6,12.7,13.0,107672900.42450872,1413155855.273485
2019-06-24 09:00:00,12.9,13.4,12.7,13.1,128056012.87171775,1666018123.2765913
2019-06-25 09:00:00,13.0,13.3,12.6,12.9,133156441.39048941,1710738623.693572
2019-06-26 09:00:00,12.8,12.8,11.5,11.7,288679520.45454717,3538003107.885793
2019-06-27 09:00:00,11.8,11.9,10.5,10.9,131176321.58273283,1479402416.1991858
2019-06-28 09:00:00,10.9,11.4,10.5,11.3,71488792.37379935,785911841.0631402
2019-06-29 09:00:00,11.2,11.7,10.7,11.4,59619183.13813787,666934676.8442339
2019-06-30 09:00:00,11.5,13.1,11.1,11.8,284158869.208072,3446058266.4577465
2019-07-01 09:00:00,11.8,12.4,10.9,11.8,266792857.4865056,3120882029.108034
2019-07-02 09:00:00,11.8,12.0,10.5,11.3,150031092.2574925,1663212385.4495509
2019-07-03 09:00:00,11.3,11.5,10.6,11.1,97307237.8545939,1073872411.8391786
2019-07-04 09:00:00,11.0,11.3,10.5,10.7,81271166.59212923,880876960.3152832
2019-07-05 09:00:00,10.6,10.7,10.4,10.6,51541007.56036448,543769163.200488
2019-07-06 09:00:00,10.6,12.6,10.5,11.7,473508263.22426,5530564679.77022
2019-07-07 09:00:00,11.8,12.8,11.5,11.6,449332710.0903475,5493541813.991659
2019-07-08 09:00:00,11.6,12.0,10.7,11.0,214455148.0667292,2456338223.5420175
2019-07-09 09:00:00,11.0,11.4,10.7,11.1,159376124.13660917,1754120698.3661106
2019-07-10 09:00:00,11.1,11.7,10.3,10.7,145826732.83295092,1604827898.529646
2019-07-11 09:00:00,10.7,10.8,9.01,9.61,95901589.55385461,950660312.9372221
2019-07-12 09:00:00,9.61,10.1,9.27,9.98,79769834.14552426,778420823.4798573
2019-07-13 09:00:00,9.97,10.9,9.95,10.6,115510685.09879373,1204650739.0019736
2019-07-14 09:00:00,10.5,10.8,9.22,9.42,95549846.3526585,961247443.4963915
2019-07-15 09:00:00,9.4,9.42,8.05,8.95,148618913.02353594,1270688141.9232736
2019-07-16 09:00:00,8.97,9.12,7.26,7.37,62674278.85093998,516015280.1762732
2019-07-17 09:00:00,7.37,8.45,7.3,8.25,77904772.36185049,612459881.4380147
2019-07-18 09:00:00,8.25,8.59,7.83,8.46,52438914.63410693,432802209.6446363
2019-07-19 09:00:00,8.47,8.65,8.24,8.61,37340824.72683637,315287690.5874935
2019-07-20 09:00:00,8.63,8.82,8.37,8.66,51719495.16867968,443883307.6981396
2019-07-21 09:00:00,8.66,8.8,8.23,8.36,35582332.28040328,303758170.56064427
2019-07-22 09:00:00,8.41,9.45,8.36,8.97,209391415.53635347,1860478400.250346
2019-07-23 09:00:00,8.98,9.66,8.88,9.0,154648142.6899776,1425383092.3793366
2019-07-24 09:00:00,9.0,9.06,8.37,8.77,46050285.8547029,397513467.14347094
2019-07-25 09:00:00,8.77,9.07,8.63,8.91,30928775.66701816,271969120.8094748
2019-07-26 09:00:00,8.91,9.3,8.58,9.18,47320370.34192479,423065738.9959412
2019-07-27 09:00:00,9.15,9.29,8.3,8.65,24505458.30524871,216984580.21928665
2019-07-28 09:00:00,8.56,8.79,8.4,8.6,12319561.8545696,105685625.57140914
2019-07-29 09:00:00,8.6,9.19,8.6,8.79,73726029.57060236,657511977.6044847
2019-07-30 09:00:00,8.88,8.88,8.4,8.63,21707273.5249813,186834726.07135084
2019-07-31 09:00:00,8.61,9.1,8.51,9.05,24229342.41949122,209276393.2537155
2019-08-01 09:00:00,9.05,9.15,8.42,8.59,40053060.7298318,346970256.67986333
2019-08-02 09:00:00,8.59,8.67,8.14,8.28,23925508.64808521,201864117.73483166
2019-08-03 09:00:00,8.32,8.32,7.82,7.94,42339526.78357942,337975108.0561284
2019-08-04 09:00:00,7.92,8.0,7.59,7.72,26803786.61382714,206639603.85715932
2019-08-05 09:00:00,7.71,7.73,7.39,7.68,35182418.31776428,264855050.04709342
2019-08-06 09:00:00,7.68,8.07,7.2,7.74,35911646.70142104,273285823.28966165
2019-08-07 09:00:00,7.74,8.13,7.43,7.59,25851518.69427068,202251199.11282536
2019-08-08 09:00:00,7.59,8.03,7.49,7.75,21740570.15236426,168313292.31552374
2019-08-09 09:00:00,7.75,7.81,7.28,7.36,30507782.20307683,228254043.65027454
2019-08-10 09:00:00,7.4,8.38,7.36,7.92,201122881.40972543,1589739274.4249794
2019-08-11 09:00:00,7.92,9.05,7.86,8.71,345071243.0246416,2918584559.2939296
2019-08-12 09:00:00,8.71,8.91,8.45,8.54,72959289.94899394,631236637.8400891
2019-08-13 09:00:00,8.54,8.64,8.02,8.13,42673118.32537161,356155887.2456239
2019-08-14 09:00:00,8.13,8.21,7.32,7.34,43033427.48117099,338121205.0084081
2019-08-15 09:00:00,7.34,7.43,6.33,7.2,56011848.25769808,385342108.33281004
2019-08-16 09:00:00,7.19,7.2,6.78,7.18,31500401.36482781,219502920.53298795
2019-08-17 09:00:00,7.14,7.19,6.82,7.0,13898586.78325122,97296974.63538621
2019-08-18 09:00:00,7.0,7.15,6.72,7.01,24377593.40913152,169476917.89206025
2019-08-19 09:00:00,7.01,7.18,6.95,7.12,24315136.91823834,171455080.9244452
2019-08-20 09:00:00,7.12,7.17,6.86,6.95,23161061.80205971,161559776.0330316
2019-08-21 09:00:00,7.01,7.02,6.36,6.58,27507751.04915667,182154991.8373128
2019-08-22 09:00:00,6.64,6.93,6.36,6.79,33352417.44978217,219811058.08556682
2019-08-23 09:00:00,6.78,7.04,6.63,6.93,60097076.74613863,415208495.8137479
2019-08-24 09:00:00,6.95,7.05,6.77,7.05,45798930.4682479,316023279.0247114
2019-08-25 09:00:00,7.05,8.79,7.05,7.53,562548869.7582965,4378215882.791719
2019-08-26 09:00:00,7.53,7.69,6.91,7.03,186530960.73720974,1370413502.6625583
2019-08-27 09:00:00,7.06,7.1,6.63,6.88,66206112.16838772,451403443.4711211
2019-08-28 09:00:00,6.85,7.03,5.87,6.24,61431623.22721805,398919779.9628979
2019-08-29 09:00:00,6.24,6.27,5.63,5.9,49715602.95856559,289115681.35646623
2019-08-30 09:00:00,5.9,6.28,5.7,5.92,44077401.3505374,258572429.44277695
2019-08-31 09:00:00,5.86,5.93,5.71,5.78,22608695.50356482,131561720.93932573
2019-09-01 09:00:00,5.78,5.89,5.61,5.75,29229693.22083584,167212073.6860145
2019-09-02 09:00:00,5.72,5.79,5.51,5.63,37360933.22149468,209856997.91748345
2019-09-03 09:00:00,5.63,5.71,5.51,5.59,57030714.30785015,319149735.8630684
2019-09-04 09:00:00,5.58,5.61,5.38,5.49,87000583.41146134,475477119.52421355
2019-09-05 09:00:00,5.5,5.66,5.36,5.42,61250480.82380739,337207848.5077756
2019-09-06 09:00:00,5.43,5.51,5.21,5.3,45198217.59860532,243075689.93635795
2019-09-07 09:00:00,5.32,5.5,5.23,5.5,24485560.75993068,130337786.29395749
2019-09-08 09:00:00,5.5,5.66,5.4,5.57,51835625.10945894,285703538.8462052
