,open,high,low,close,volume,value
2018-11-30 09:00:00,7.0,299.0,7.0,104.0,910867801.1872511,110785572238.28534
2018-12-01 09:00:00,104.0,104.0,83.3,88.8,106828366.5510697,9711355730.178879
2018-12-02 09:00:00,89.0,90.0,75.3,77.6,38498162.27626169,3143356175.6181607
2018-12-03 09:00:00,77.6,77.6,68.4,70.8,22983726.60392839,1655123950.2706726
2018-12-04 09:00:00,70.8,87.9,70.6,73.9,110521121.89634886,8715072239.747507
2018-12-05 09:00:00,73.9,74.3,65.0,65.4,12023813.31569033,838814072.7466934
2018-12-06 09:00:00,65.5,71.4,55.3,56.6,15125894.74782162,964896275.7388299
2018-12-07 09:00:00,56.6,56.6,48.4,53.9,6945427.70368367,361429619.2359599
2018-12-08 09:00:00,54.4,64.5,50.0,52.7,6477035.95621948,366081423.1676748
2018-12-09 09:00:00,52.7,55.4,50.7,54.0,4438680.75522705,236175560.5495108
2018-12-10 09:00:00,54.0,55.4,51.4,54.7,4206320.13760045,224861890.84753093
2018-12-11 09:00:00,53.8,54.6,50.1,50.9,3788529.44200283,196003796.2458518
2018-12-12 09:00:00,51.0,51.7,49.8,50.4,1958949.66171207,99467919.86463729
2018-12-13 09:00:00,50.5,51.5,47.2,47.3,2503666.62023614,124581995.68739128
2018-12-14 09:00:00,47.3,48.6,45.2,46.4,2471646.09007466,115920388.2347024
2018-12-15 09:00:00,46.4,47.0,45.0,46.3,836203.44542126,38274310.1578968
2018-12-16 09:00:00,45.9,47.9,45.6,46.4,725252.60624569,33779227.02527605
2018-12-17 09:00:00,46.8,50.3,44.1,49.8,1542405.69557582,72059675.51028872
2018-12-18 09:00:00,49.4,51.0,47.7,50.9,1660437.05119999,81981413.95111793
2018-12-19 09:00:00,50.8,57.9,49.5,51.7,4776493.09347801,255276913.94339436
2018-12-20 09:00:00,51.7,56.5,51.1,55.2,3279169.20932574,176893847.8081542
2018-12-21 09:00:00,54.7,57.9,50.8,53.6,3774767.76686983,207211974.27551326
2018-12-22 09:00:00,56.5,97.3,53.6,62.7,88423345.20090914,5984164944.855755
2018-12-23 09:00:00,62.0,64.1,59.5,62.8,19574990.24338951,1208746920.621813
2018-12-24 09:00:00,62.6,65.8,60.0,60.8,15117036.61060742,949682717.198469
2018-12-25 09:00:00,61.1,66.3,51.7,54.0,12759236.58263289,755725208.8657166
2018-12-26 09:00:00,54.3,56.0,50.3,54.0,5438934.19522424,290031114.22145677
2018-12-27 09:00:00,53.9,53.9,48.7,49.0,2354253.10321962,120949059.81226027
2018-12-28 09:00:00,50.1,68.1,50.1,55.3,85570315.21599136,4912216603.041244
2018-12-29 09:00:00,55.3,62.0,54.6,56.2,26437570.75480921,1549345577.0662198
2018-12-30 09:00:00,56.3,59.0,54.1,55.3,2331959.54283839,129574699.43947978
2018-12-31 09:00:00,55.2,55.4,51.6,52.3,2124189.76246469,114526368.0655871
2019-01-01 09:00:00,53.9,56.7,51.6,55.1,2773053.51734132,149600084.52498135
2019-01-02 09:00:00,55.1,55.8,52.7,55.7,2492904.00531379,135322422.08467495
2019-01-03 09:00:00,55.6,63.3,55.3,59.4,23277918.50249136,1371738052.4203966
2019-01-04 09:00:00,59.3,59.3,55.4,57.2,12273130.44905864,696155160.9125172
2019-01-05 09:00:00,57.4,57.9,55.6,56.3,2126294.19288418,120114151.31602693
2019-01-06 09:00:00,56.0,58.1,55.2,57.6,2749632.79132008,154671153.49586898
2019-01-07 09:00:00,56.9,60.9,56.9,57.2,12066994.25037657,710512463.6349816
2019-01-08 09:00:00,57.7,59.3,56.1,56.3,4579156.27939478,262106390.91341063
2019-01-09 09:00:00,56.7,58.1,55.3,56.0,2263535.02103166,127462620.10113686
2019-01-10 09:00:00,56.3,59.6,48.9,49.8,9118690.3254994,497114952.3994983
2019-01-11 09:00:00,51.0,52.8,48.9,51.6,2052404.70679352,104403380.35374585
2019-01-12 09:00:00,51.6,52.9,50.5,51.9,731258.96918514,37485445.38450243
2019-01-13 09:00:00,51.8,53.7,47.7,49.3,717804.5957313,35864411.20094044
2019-01-14 09:00:00,49.3,52.1,48.0,51.0,272539.50241818,13627198.80644185
2019-01-15 09:00:00,51.0,54.7,49.0,51.7,2902975.31769283,151505157.97414604
2019-01-16 09:00:00,51.7,53.2,50.4,52.7,1103417.12776113,57544723.31213903
2019-01-17 09:00:00,52.7,53.9,51.6,52.5,1063175.87567124,56220741.10878777
2019-01-18 09:00:00,53.1,53.2,50.7,51.9,255156.94112943,13153715.27264665
2019-01-19 09:00:00,51.9,60.4,51.5,54.7,4259766.30321079,241114859.797593
2019-01-20 09:00:00,54.9,56.4,50.5,52.7,1481137.69650081,78254190.0118772
2019-01-21 09:00:00,51.9,52.9,50.6,51.9,347236.77298706,17818433.08632473
2019-01-22 09:00:00,52.9,57.0,51.0,54.9,2908010.0528221,158173701.69824046
2019-01-23 09:00:00,54.9,59.0,54.0,57.1,2405349.21797672,136376635.82213676
2019-01-24 09:00:00,57.0,58.8,55.0,57.0,1138742.61614168,65043222.65263154
2019-01-25 09:00:00,56.5,62.7,55.3,61.3,3791598.29807181,223894794.85841712
2019-01-26 09:00:00,60.5,71.9,60.5,68.5,12590510.24317062,845829761.4226518
2019-01-27 09:00:00,68.3,76.1,61.4,62.8,18592549.14378833,1296889489.8794572
