,open,high,low,close,volume,value
2020-08-25 09:00:00,15000.0,19700.0,12390.0,12680.0,4740440.39753521,66888739570.66708
2020-08-26 09:00:00,12670.0,13770.0,10830.0,11360.0,971668.87262003,11508509284.021355
2020-08-27 09:00:00,11350.0,11850.0,8970.0,9440.0,847494.82293063,8591815097.605387
2020-08-28 09:00:00,9440.0,9485.0,7990.0,8660.0,358032.98497224,3032578730.3542385
2020-08-29 09:00:00,8660.0,8780.0,7960.0,8180.0,172268.37258209,1400252443.5350072
2020-08-30 09:00:00,8180.0,8180.0,7940.0,8155.0,122044.09488529,977894799.0372136
2020-08-31 09:00:00,8155.0,8795.0,8050.0,8510.0,374222.60322036,3182444901.749179
2020-09-01 09:00:00,8510.0,8740.0,8005.0,8120.0,127430.40786571,1049850411.1546268
2020-09-02 09:00:00,8115.0,8135.0,7090.0,7470.0,167593.05752603,1261057641.8510904
2020-09-03 09:00:00,7470.0,7580.0,6535.0,6675.0,152414.38406562,1087183072.3761442
2020-09-04 09:00:00,6675.0,6985.0,6405.0,6730.0,73694.45536015,485418752.7865875
2020-09-05 09:00:00,6725.0,7280.0,5980.0,6075.0,71362.14328591,476856625.2907155
2020-09-06 09:00:00,6075.0,6375.0,5540.0,5930.0,37803.27567808,220980657.8659709
2020-09-07 09:00:00,5925.0,6225.0,5280.0,5770.0,108789.99879039,602243690.9669405
2020-09-08 09:00:00,5705.0,7960.0,5630.0,7740.0,3980753.56778737,28340142395.8013
2020-09-09 09:00:00,7740.0,9960.0,7330.0,8010.0,5031084.63928635,44778502622.760956
2020-09-10 09:00:00,8010.0,9000.0,7525.0,7855.0,2367465.5611602,19797086362.75418
2020-09-11 09:00:00,7850.0,8030.0,4785.0,6230.0,1063893.22187657,6625061450.9254055
2020-09-12 09:00:00,6230.0,6265.0,5470.0,5775.0,1157873.62138386,6585176798.655899
2020-09-13 09:00:00,5785.0,7250.0,5770.0,6200.0,4739852.40677231,31395960370.39807
2020-09-14 09:00:00,6195.0,6640.0,5690.0,6105.0,973241.19575292,5972354995.600989
2020-09-15 09:00:00,6105.0,6140.0,5500.0,5570.0,422486.42921856,2436020766.6955023
2020-09-16 09:00:00,5555.0,5570.0,5090.0,5200.0,272528.40351287,1428594663.7885191
2020-09-17 09:00:00,5200.0,5250.0,4800.0,5080.0,203817.22382156,1021195043.709688
2020-09-18 09:00:00,5080.0,5320.0,4920.0,5035.0,356490.34005132,1827688537.7011752
2020-09-19 09:00:00,5060.0,5220.0,5005.0,5080.0,103031.83218451,525016708.9787427
2020-09-20 09:00:00,5080.0,5105.0,4750.0,4860.0,140856.59958135,692000000.8436937
2020-09-21 09:00:00,4860.0,5105.0,4075.0,4245.0,177234.97154301,808762537.6451448
2020-09-22 09:00:00,4245.0,4310.0,3740.0,3975.0,107141.37874564,426040731.08274436
2020-09-23 09:00:00,3975.0,4205.0,3820.0,3835.0,113591.04006766,459100546.9026378
2020-09-24 09:00:00,3825.0,4100.0,3460.0,4010.0,147549.64804735,549411814.7986445
2020-09-25 09:00:00,3975.0,4025.0,3680.0,4000.0,94389.88493636,366235778.73130524
2020-09-26 09:00:00,4005.0,4010.0,3840.0,3980.0,79193.32025374,311114433.20157504
2020-09-27 09:00:00,3965.0,4015.0,3820.0,3975.0,74690.7074211,294045650.2478635
2020-09-28 09:00:00,3975.0,5065.0,3900.0,4505.0,1447463.62024049,6779969631.671288
2020-09-29 09:00:00,4515.0,5620.0,4370.0,5140.0,3291900.88810745,16791782021.416372
2020-09-30 09:00:00,5150.0,5585.0,4970.0,5190.0,2002624.00959591,10500374071.48661
2020-10-01 09:00:00,5185.0,5365.0,4600.0,4725.0,621845.75814089,3160148669.4764624
2020-10-02 09:00:00,4725.0,4730.0,4110.0,4405.0,584783.7110907,2557967123.704939
2020-10-03 09:00:00,4390.0,4580.0,4260.0,4435.0,389972.82229347,1737727371.8886473
2020-10-04 09:00:00,4435.0,4445.0,4160.0,4250.0,176308.90938576,758813956.3928874
2020-10-05 09:00:00,4250.0,4380.0,4005.0,4130.0,296465.37997863,1237431543.085561
2020-10-06 09:00:00,4130.0,4130.0,3805.0,3875.0,99735.28198484,393406412.7009264
2020-10-07 09:00:00,3870.0,4015.0,3605.0,3835.0,94601.15546553,355508602.3828008
2020-10-08 09:00:00,3825.0,4800.0,3670.0,4360.0,1165351.4907158,4798161399.87127
2020-10-09 09:00:00,4360.0,4755.0,4005.0,4415.0,1151858.8820817,5132284908.306727
2020-10-10 09:00:00,4415.0,4445.0,4075.0,4195.0,390519.55737567,1650914477.0045083
2020-10-11 09:00:00,4185.0,4200.0,3820.0,3950.0,380020.48254049,1524949430.8103366
2020-10-12 09:00:00,3950.0,4245.0,3900.0,4070.0,1243465.7563147,5057922113.494563
2020-10-13 09:00:00,4055.0,4195.0,3865.0,3945.0,384014.4825097,1532246207.5975676
2020-10-14 09:00:00,3940.0,4045.0,3790.0,3855.0,279458.8486208,1086562456.8514059
2020-10-15 09:00:00,3850.0,3850.0,3670.0,3765.0,143392.73747093,538278553.8984238
2020-10-16 09:00:00,3795.0,3825.0,3585.0,3695.0,165227.92364493,606357373.5166287
2020-10-17 09:00:00,3680.0,3720.0,3630.0,3690.0,49950.55990641,183318223.7625168
2020-10-18 09:00:00,3695.0,3790.0,3625.0,3675.0,82837.62172981,303734333.8679677
2020-10-19 09:00:00,3675.0,3675.0,3585.0,3605.0,118398.05076821,428077897.8004101
2020-10-20 09:00:00,3605.0,3750.0,3410.0,3465.0,207314.52095643,744073043.6799524
2020-10-21 09:00:00,3420.0,3540.0,3300.0,3400.0,197449.95357331,677646723.8152375
