,open,high,low,close,volume,value
2019-05-09 09:00:00,16.0,53.0,16.0,40.2,1080848807.7243564,45394373783.931946
2019-05-10 09:00:00,39.9,41.7,33.6,34.9,1296346401.9608517,46200142340.67348
2019-05-11 09:00:00,34.9,36.7,27.5,27.8,1128286330.0941706,34640819538.5414
2019-05-12 09:00:00,27.8,27.8,21.5,22.0,917356993.2016306,22057283997.8782
2019-05-13 09:00:00,22.0,29.3,20.8,26.3,1062982190.5539002,27388207246.07041
2019-05-14 09:00:00,26.3,26.9,23.5,24.9,314745433.57494324,7897112063.339866
2019-05-15 09:00:00,24.8,25.8,23.9,25.5,234780148.81593218,5806281009.0374155
2019-05-16 09:00:00,25.4,26.8,22.2,23.6,226351481.76589957,5634992406.51094
2019-05-17 09:00:00,23.6,23.9,20.7,22.0,86401867.14165194,1881712115.973237
2019-05-18 09:00:00,22.0,23.6,21.2,22.9,88064593.3800419,1994496711.639721
2019-05-19 09:00:00,22.8,23.8,22.5,23.0,58255481.1871181,1341923964.2012382
2019-05-20 09:00:00,23.0,24.5,21.3,22.4,101471712.70591071,2322115636.444156
2019-05-21 09:00:00,22.4,28.9,22.0,26.0,194388193.62733012,4843835845.081317
2019-05-22 09:00:00,26.1,30.6,22.9,23.0,107003975.97056086,2716708206.0460525
2019-05-23 09:00:00,23.0,24.0,21.6,23.4,81520509.10487218,1854996197.0942988
2019-05-24 09:00:00,23.3,24.8,22.6,23.5,86637156.4258546,2068412867.1630316
2019-05-25 09:00:00,23.5,29.8,23.1,26.8,520550267.8296328,13774365435.33367
2019-05-26 09:00:00,26.8,32.0,24.0,25.0,778319416.9390924,21942881946.058437
2019-05-27 09:00:00,25.0,26.6,24.2,25.1,190501540.15314937,4845807760.28071
2019-05-28 09:00:00,25.1,27.6,24.3,26.2,193187860.6076623,4961986994.8636055
2019-05-29 09:00:00,26.1,27.0,24.6,25.6,194538407.47328207,4991685806.858966
2019-05-30 09:00:00,25.5,27.0,24.2,24.5,255352273.95611006,6581581595.020679
2019-05-31 09:00:00,24.6,26.4,23.5,24.9,137130760.05388364,3359250922.2552195
2019-06-01 09:00:00,24.9,25.1,23.8,24.0,66705548.04658432,1627638042.2337627
2019-06-02 09:00:00,24.0,25.6,23.9,24.9,111544604.03127573,2768837515.5589023
2019-06-03 09:00:00,24.8,25.2,23.3,23.5,128073266.70563698,3104741131.0414624
2019-06-04 09:00:00,23.5,24.3,22.1,22.9,134639751.1063275,3094256778.984612
2019-06-05 09:00:00,22.9,25.0,22.5,24.5,248919263.8315802,5963480338.637689
2019-06-06 09:00:00,24.5,25.9,23.4,24.4,282441138.9442822,6971039396.479222
2019-06-07 09:00:00,24.5,27.3,24.4,26.0,483453860.52564836,12499242748.242191
2019-06-08 09:00:00,26.1,27.3,25.5,27.0,244870676.6631016,6456985025.64747
2019-06-09 09:00:00,26.9,26.9,24.5,25.1,171781714.44101477,4425830593.107077
2019-06-10 09:00:00,25.1,26.1,24.4,25.8,162482627.90216497,4096691206.283474
2019-06-11 09:00:00,25.8,26.0,24.7,25.8,98138231.99337573,2483213727.3318005
2019-06-12 09:00:00,25.7,26.5,25.3,26.1,117524919.18757223,3037319939.343088
2019-06-13 09:00:00,26.0,26.1,24.9,25.1,79759746.55707231,2022699153.2270653
2019-06-14 09:00:00,25.2,25.4,23.8,24.2,73409157.20027167,1800966042.5430186
2019-06-15 09:00:00,24.3,24.5,23.2,23.9,73570361.6561837,1752291267.7988248
2019-06-16 09:00:00,23.8,24.3,23.2,23.6,88171363.80266091,2087004630.521049
2019-06-17 09:00:00,23.6,24.3,23.4,23.7,62295299.59203444,1473248903.5432427
2019-06-18 09:00:00,23.7,24.2,23.1,23.9,79360037.89285614,1874244119.3839915
2019-06-19 09:00:00,23.9,24.3,23.6,24.0,43217690.87878116,1035848381.2673597
2019-06-20 09:00:00,24.0,24.2,22.8,23.0,60324770.27525466,1413684114.0771616
2019-06-21 09:00:00,23.0,23.1,22.0,22.2,47175635.85978395,1059358752.1968713
2019-06-22 09:00:00,22.2,22.5,19.5,21.0,80125616.61967357,1669631967.0212476
2019-06-23 09:00:00,20.9,21.1,20.0,20.6,22917239.42635219,468528491.8580521
2019-06-24 09:00:00,20.7,21.0,20.2,20.7,34961665.0310735,718896793.9834502
2019-06-25 09:00:00,20.5,21.2,20.3,20.7,48018639.53972335,993054800.79526
2019-06-26 09:00:00,20.6,20.8,18.1,18.9,67273148.22656435,1327890528.1087487
2019-06-27 09:00:00,19.1,19.2,16.4,17.2,34000892.12291532,608471734.8469679
2019-06-28 09:00:00,17.2,19.8,17.2,19.0,40067956.45275364,753412187.6583352
2019-06-29 09:00:00,19.0,20.0,18.0,19.7,21395735.25551244,411485537.6458888
2019-06-30 09:00:00,19.7,20.8,18.8,19.1,28149790.18512761,560591018.6781482
2019-07-01 09:00:00,19.1,20.6,18.8,20.3,32192242.93403203,638158433.5104173
2019-07-02 09:00:00,20.2,22.1,19.9,21.1,104053228.83665855,2181019127.3358927
2019-07-03 09:00:00,21.1,21.1,19.4,19.6,45685683.78666781,906460169.048162
2019-07-04 09:00:00,19.6,19.6,18.0,18.1,34604778.99356988,643795173.9769884
2019-07-05 09:00:00,18.1,18.7,17.5,18.2,12979318.12338689,233326129.85809916
2019-07-06 09:00:00,18.1,19.9,17.9,19.7,30646102.06890719,579485506.499679
2019-07-07 09:00:00,19.7,20.3,18.7,18.9,30427205.14358175,588874002.2489545
2019-07-08 09:00:00,18.9,18.9,17.8,17.9,22432026.86457007,410467970.83748573
2019-07-09 09:00:00,17.9,20.1,17.8,19.6,76622321.91131666,1457595800.1937602
2019-07-10 09:00:00,19.5,20.1,16.8,17.7,47897896.26319252,901997457.4532652
2019-07-11 09:00:00,17.7,17.8,15.2,15.8,20235954.38633111,329033720.5279201
2019-07-12 09:00:00,15.8,16.7,14.8,16.1,46345814.8193125,726348047.8288896
2019-07-13 09:00:00,16.1,16.4,15.5,15.7,20259802.02019682,321209109.884576
2019-07-14 09:00:00,15.7,15.9,12.7,13.0,39201912.78055831,559272127.557666
2019-07-15 09:00:00,12.8,13.2,11.2,12.8,60727203.03494389,729069455.0319148
