,open,high,low,close,volume,value
2018-10-12 09:00:00,26.0,600.0,26.0,32.4,570353375.8978502,25245290303.384834
2018-10-13 09:00:00,32.4,38.4,29.8,32.6,214960991.94362897,7330190842.211127
2018-10-14 09:00:00,32.6,34.6,30.1,32.2,65252861.69898215,2126081050.295199
2018-10-15 09:00:00,32.2,32.4,30.7,31.5,27220000.48805998,857112000.6067705
2018-10-16 09:00:00,31.5,31.8,31.0,31.6,14705852.59970788,461382599.1297157
2018-10-17 09:00:00,31.6,32.3,31.3,32.3,13477640.8741985,426654438.3911582
2018-10-18 09:00:00,32.2,32.6,31.4,32.1,14593507.37227722,466818750.7468565
2018-10-19 09:00:00,31.9,32.3,30.7,31.4,18714743.9506917,586072337.5860687
2018-10-20 09:00:00,31.5,34.0,31.5,32.8,29287316.06324575,951677644.0788262
2018-10-21 09:00:00,32.6,32.9,31.6,31.9,16234148.02890076,521772175.74229527
2018-10-22 09:00:00,32.0,32.7,31.5,32.4,15700715.44812513,501272888.9581212
2018-10-23 09:00:00,32.4,32.5,31.5,32.1,16451352.38549084,526203814.34324354
2018-10-24 09:00:00,32.2,32.3,31.5,32.1,14958499.64310706,477025454.43351334
2018-10-25 09:00:00,32.0,32.1,31.0,31.6,14811260.35349661,465217552.8293619
2018-10-26 09:00:00,31.7,31.8,30.9,31.6,12854745.28335038,402651120.4250199
2018-10-27 09:00:00,31.6,33.5,31.2,32.4,23816056.59604125,768886871.4962171
2018-10-28 09:00:00,32.4,32.4,31.6,32.3,7913232.0293957,252810679.8059856
2018-10-29 09:00:00,32.3,32.5,30.4,30.8,14995676.22008521,471546335.17887145
2018-10-30 09:00:00,30.7,31.2,30.4,31.0,14581410.28359419,448939468.5674157
2018-10-31 09:00:00,31.0,31.1,30.3,31.0,6206955.34593942,190948622.43098283
2018-11-01 09:00:00,31.0,31.3,30.6,31.0,4786431.69179235,147854259.01300123
2018-11-02 09:00:00,31.2,31.9,30.6,31.0,10424262.11802883,325673793.67346966
2018-11-03 09:00:00,31.0,31.2,30.4,30.5,6058138.6767286,186251959.48381075
