,open,high,low,close,volume,value
2020-04-07 09:00:00,3.9,5.32,3.9,4.64,12975392108.278088,61274344112.88032
2020-04-08 09:00:00,4.64,4.84,4.46,4.74,5056632641.271418,23791897128.01328
2020-04-09 09:00:00,4.78,4.82,4.57,4.65,68668742.9247435,323463942.980226
2020-04-10 09:00:00,4.65,4.7,4.06,4.42,38023230.94521405,165517651.64450222
2020-04-11 09:00:00,4.42,4.61,4.36,4.52,16521073.76131863,74526725.8150469
2020-04-12 09:00:00,4.52,4.68,4.33,4.52,14273140.59756617,64908807.30166271
2020-04-13 09:00:00,4.52,4.52,4.27,4.41,20368376.42655893,88688483.06146441
2020-04-14 09:00:00,4.38,4.56,4.29,4.46,16655560.57662199,73699131.86358961
2020-04-15 09:00:00,4.47,4.84,4.36,4.44,14687260.25005659,67190205.76362558
2020-04-16 09:00:00,4.45,4.65,4.3,4.62,19612279.79352615,88813959.7568763
2020-04-17 09:00:00,4.62,4.7,4.53,4.61,19900897.01695493,91547029.37891254
2020-04-18 09:00:00,4.61,4.84,4.6,4.77,13015432.63529146,60913564.40278874
2020-04-19 09:00:00,4.77,4.84,4.66,4.75,25946919.13030689,123061557.04050104
2020-04-20 09:00:00,4.74,4.87,4.45,4.53,23375946.29063072,109698965.9656822
2020-04-21 09:00:00,4.53,4.61,4.43,4.51,14988314.48534126,67456108.9574622
2020-04-22 09:00:00,4.51,4.82,4.5,4.7,7329368.45321493,34339031.46006909
2020-04-23 09:00:00,4.77,4.9,4.6,4.77,21958582.09455463,104326984.2925516
2020-04-24 09:00:00,4.8,5.03,4.74,4.96,25772363.52164978,126328466.35919759
2020-04-25 09:00:00,4.94,5.26,4.92,5.1,25605793.04228161,129534599.9618754
2020-04-26 09:00:00,5.1,7.0,5.07,5.47,254196871.38672397,1402963264.6835854
2020-04-27 09:00:00,5.47,5.57,5.18,5.32,171426590.31248513,929190847.8235586
2020-04-28 09:00:00,5.32,5.43,5.22,5.22,26630220.28308305,141284852.2134169
2020-04-29 09:00:00,5.23,5.8,5.17,5.7,62477269.86779537,337996469.15145814
2020-04-30 09:00:00,5.7,5.91,5.17,5.31,91907982.09472145,504926776.9102401
2020-05-01 09:00:00,5.31,5.66,5.25,5.42,53145566.60769596,287007507.2162177
2020-05-02 09:00:00,5.42,5.54,5.35,5.52,21966381.43588906,119034079.93046644
2020-05-03 09:00:00,5.47,5.55,5.21,5.3,17058995.63125134,92346092.06607942
2020-05-04 09:00:00,5.3,5.67,4.97,5.42,44788528.93043882,235523858.41858947
2020-05-05 09:00:00,5.42,5.56,5.18,5.38,46355702.90809031,246850113.14865172
2020-05-06 09:00:00,5.38,5.48,5.09,5.2,51472391.86649069,277196299.3408094
2020-05-07 09:00:00,5.2,5.5,5.08,5.42,34066422.050954,181996442.08514866
2020-05-08 09:00:00,5.42,5.88,5.4,5.74,38441765.08903156,216040222.00923544
2020-05-09 09:00:00,5.76,5.98,5.49,5.5,37064698.67296226,213658176.56141272
2020-05-10 09:00:00,5.5,5.51,4.54,5.06,62754676.90619199,313015240.24810845
2020-05-11 09:00:00,5.08,5.2,4.77,5.03,30253311.14673028,150680578.2643521
2020-05-12 09:00:00,5.01,5.18,4.89,5.17,17251604.95389207,86653479.81841365
2020-05-13 09:00:00,5.15,5.46,5.1,5.41,13139419.12786768,68344622.4675696
2020-05-14 09:00:00,5.41,5.56,5.31,5.41,40099575.84339746,217506103.97011286
2020-05-15 09:00:00,5.41,5.49,5.29,5.34,11594567.53400622,62425226.31014674
2020-05-16 09:00:00,5.33,5.51,5.28,5.39,67179067.35118166,360862867.6536962
2020-05-17 09:00:00,5.37,5.48,5.29,5.29,13639845.42765181,73623978.06495617
2020-05-18 09:00:00,5.3,5.53,5.3,5.41,15083902.15738449,82079861.01718114
2020-05-19 09:00:00,5.41,5.55,5.26,5.44,38941770.73780814,209233031.5861487
2020-05-20 09:00:00,5.44,5.58,5.33,5.47,23542317.94264304,128778867.68085553
2020-05-21 09:00:00,5.48,5.54,4.95,5.22,44019981.79736165,232103175.45952868
2020-05-22 09:00:00,5.2,5.77,5.1,5.65,66821265.75688509,360444272.24723154
2020-05-23 09:00:00,5.66,5.81,5.49,5.56,20785720.10668792,117360935.31129342
2020-05-24 09:00:00,5.61,5.82,5.42,5.47,39991738.48495431,224944342.82733235
2020-05-25 09:00:00,5.47,7.85,5.4,6.13,840245524.9941994,5070068689.263795
2020-05-26 09:00:00,6.13,6.25,5.71,5.95,130443241.46365425,779995308.2185228
2020-05-27 09:00:00,5.9,6.09,5.81,5.97,80583016.41285971,479455762.9901436
2020-05-28 09:00:00,5.97,6.73,5.87,6.67,716767819.9498036,4579024620.951153
2020-05-29 09:00:00,6.63,6.81,6.38,6.71,120551949.06831327,793273803.0297967
2020-05-30 09:00:00,6.71,7.49,6.63,7.48,101582225.3539583,712678076.2620326
2020-05-31 09:00:00,7.45,8.37,7.11,7.59,132460872.9962708,1020983509.9120592
2020-06-01 09:00:00,7.57,8.27,7.48,7.9,44953061.55404816,355047629.44503886
2020-06-02 09:00:00,7.88,9.29,7.81,8.8,273841707.77875406,2409073567.2695627
2020-06-03 09:00:00,8.81,9.05,8.24,8.74,61218644.74067475,523655524.0330877
2020-06-04 09:00:00,8.58,8.78,7.95,8.1,78173638.91192181,650263095.236332
2020-06-05 09:00:00,8.1,8.48,7.94,8.08,38702299.71359258,317669424.69529605
2020-06-06 09:00:00,8.08,8.88,7.86,8.77,38838927.60347572,323562348.9309795
2020-06-07 09:00:00,8.77,8.96,8.3,8.7,28596869.74922512,246064241.62291133
2020-06-08 09:00:00,8.7,9.41,8.5,9.32,78479457.24584909,711775119.5343119
2020-06-09 09:00:00,9.32,9.9,9.07,9.79,47159442.40716364,442612276.6019204
2020-06-10 09:00:00,9.78,10.9,9.49,10.7,165311287.19723234,1657377046.4710333
2020-06-11 09:00:00,10.7,12.6,10.3,10.5,733555443.605991,8459088816.891232
2020-06-12 09:00:00,10.5,12.1,10.2,11.7,546641293.4462084,6269747031.772216
2020-06-13 09:00:00,11.7,12.3,11.1,11.5,351010958.1876481,4100574133.97683
2020-06-14 09:00:00,11.6,11.6,10.1,10.3,211332025.76547906,2273840271.707851
2020-06-15 09:00:00,10.3,11.2,9.23,10.9,374427038.3156724,3772779905.2850122
2020-06-16 09:00:00,10.9,11.4,10.5,10.8,236209518.3896566,2578851387.6164246
2020-06-17 09:00:00,10.9,11.2,9.99,10.9,180643681.41859168,1938513300.3060286
2020-06-18 09:00:00,10.9,11.0,10.1,10.4,158586015.00815922,1677166262.8079617
