,open,high,low,close,volume,value
2017-09-25 09:00:00,4615.0,4705.0,4560.0,4620.0,0.0211,97.6695
2017-09-26 09:00:00,4665.0,5450.0,4620.0,5350.0,0.0516,261.071
2017-09-27 09:00:00,5350.0,5870.0,5350.0,5710.0,0.0506,282.801
2017-09-28 09:00:00,5720.0,5760.0,5090.0,5180.0,0.0498,269.235
2017-09-29 09:00:00,5190.0,5640.0,4865.0,5530.0,0.0523,277.348
2017-09-30 09:00:00,5530.0,5810.0,5490.0,5630.0,0.0525,294.708
2017-10-01 09:00:00,5630.0,5710.0,5410.0,5550.0,0.0523,291.734
2017-10-02 09:00:00,5540.0,5710.0,5500.0,5590.0,0.0524,292.559
2017-10-03 09:00:00,5550.0,5760.0,5320.0,5490.0,0.0483,266.967
2017-10-04 09:00:00,5460.0,5950.0,5360.0,5660.0,0.0474,270.56
2017-10-05 09:00:00,5650.0,5790.0,5450.0,5630.0,0.0471,266.334
2017-10-06 09:00:00,5620.0,5800.0,5520.0,5700.0,0.0485,274.652
2017-10-07 09:00:00,5710.0,5840.0,5530.0,5700.0,0.0521,295.074
2017-10-08 09:00:00,5660.0,5710.0,4910.0,4955.0,0.0519,281.9795
2017-10-09 09:00:00,4990.0,5400.0,4505.0,4695.0,0.0519,259.9055
2017-10-10 09:00:00,4700.0,5020.0,4425.0,4735.0,0.0516,242.7735
2017-10-11 09:00:00,4755.0,5180.0,4650.0,4810.0,0.0513,251.1585
2017-10-12 09:00:00,4810.0,4855.0,4265.0,4285.0,0.0512,235.264
2017-10-13 09:00:00,4265.0,4790.0,4110.0,4500.0,0.0511,224.0195
2017-10-14 09:00:00,4505.0,4695.0,4240.0,4520.0,0.0515,230.4305
2017-10-15 09:00:00,4540.0,4585.0,4115.0,4275.0,0.0515,222.7405
2017-10-16 09:00:00,4245.0,4780.0,4080.0,4525.0,0.0505,217.008
2017-10-17 09:00:00,4510.0,4570.0,4330.0,4425.0,0.0597,265.9935
2017-10-18 09:00:00,4460.0,4730.0,4315.0,4645.0,81.0187,372382.212
2017-10-19 09:00:00,4665.0,4700.0,4260.0,4465.0,234.0,1048595.0
2017-10-20 09:00:00,4375.0,4550.0,4275.0,4295.0,64.94,287794.15
2017-10-24 09:00:00,4285.0,4565.0,4285.0,4420.0,2.16,9591.5
2017-10-25 09:00:00,4420.0,4420.0,4050.0,4255.0,2.33,9785.0
2017-10-26 09:00:00,4290.0,4410.0,4040.0,4135.0,2.33,9813.7
2017-10-27 09:00:00,4170.0,4250.0,4040.0,4110.0,2.34,9671.5
2017-10-28 09:00:00,4090.0,4155.0,4005.0,4005.0,2.16,8825.3
2017-10-29 09:00:00,4030.0,4160.0,3840.0,4020.0,2.34,9398.15
2017-10-30 09:00:00,4020.0,4085.0,3850.0,3935.0,3.52,13980.25
2017-10-31 09:00:00,3905.0,4005.0,3565.0,3715.0,1.99,7638.7
2017-11-01 09:00:00,3725.0,3765.0,3015.0,3350.0,2.24,7705.4
2017-11-02 09:00:00,3320.0,4805.0,3035.0,3725.0,2.31,7780.2
2017-11-03 09:00:00,3740.0,4555.0,3405.0,4210.0,2.31,8885.65
2017-11-04 09:00:00,4145.0,4260.0,3830.0,4035.0,2.31,9367.2
2017-11-05 09:00:00,4025.0,4080.0,3790.0,3945.0,1.49,5877.1
2017-11-06 09:00:00,3885.0,4245.0,3885.0,4165.0,0.77,3057.75
2017-11-07 09:00:00,4160.0,4340.0,3820.0,4270.0,5.61,23251.2
2017-11-08 09:00:00,4270.0,5540.0,4160.0,5035.0,5.86,26729.05
2017-11-09 09:00:00,5030.0,5985.0,4955.0,5610.0,6.0,32726.4
2017-11-10 09:00:00,5625.0,5695.0,4615.0,4825.0,5.95,30860.05
2017-11-11 09:00:00,4860.0,5130.0,4535.0,4725.0,5.94,28793.15
2017-11-12 09:00:00,4665.0,4945.0,4130.0,4490.0,5.92,27016.7
2017-11-13 09:00:00,4480.0,5180.0,4420.0,5055.0,5.67,27433.9
2017-11-14 09:00:00,5010.0,5905.0,4980.0,5805.0,5.27,28808.95
2017-11-15 09:00:00,5815.0,6045.0,5385.0,5805.0,6.55,37527.85
2017-11-16 09:00:00,5805.0,5870.0,5075.0,5270.0,6.67,36891.45
2017-11-17 09:00:00,5205.0,5780.0,5000.0,5385.0,404108.2327132,2175001542.0585713
2017-11-18 09:00:00,5255.0,11000.0,5205.0,5810.0,740460.69569272,4321580353.9958725
2017-11-19 09:00:00,5880.0,6230.0,5425.0,5680.0,352260.97994336,2094461541.4720073
2017-11-20 09:00:00,5570.0,5940.0,5500.0,5725.0,1251569.25830934,7213240854.545881
2017-11-21 09:00:00,5720.0,5810.0,5200.0,5740.0,1084331.68973518,6084110456.699498
2017-11-22 09:00:00,5735.0,6225.0,5635.0,5830.0,1396439.08557722,8253674798.801902
2017-11-23 09:00:00,5830.0,5980.0,5675.0,5745.0,931001.76992764,5385081362.146354
2017-11-24 09:00:00,5745.0,5900.0,5560.0,5810.0,784821.35966102,4483999879.408642
2017-11-25 09:00:00,5810.0,6085.0,5700.0,6085.0,615635.22447831,3628496803.197354
2017-11-26 09:00:00,6085.0,6660.0,5950.0,6300.0,1571346.95674065,9810519327.594011
2017-11-27 09:00:00,6295.0,6715.0,6100.0,6575.0,1296506.89207334,8274707152.179654
2017-11-28 09:00:00,6575.0,7535.0,6495.0,7300.0,1267631.2150968,8656612383.431667
2017-11-29 09:00:00,7180.0,7635.0,5055.0,5510.0,1676277.73786402,11358822821.995028
2017-11-30 09:00:00,5500.0,6310.0,4635.0,5855.0,2013792.24123522,11242770033.919327
2017-12-01 09:00:00,5855.0,6780.0,5440.0,6670.0,1805496.67665919,10654886611.270414
2017-12-02 09:00:00,6670.0,7680.0,6340.0,7405.0,2525609.03379976,18208023910.500248
2017-12-03 09:00:00,7410.0,8195.0,6910.0,7280.0,4323790.58072756,31866688603.48351
2017-12-04 09:00:00,7280.0,7985.0,7000.0,7980.0,3084907.64176112,23437660989.74927
2017-12-05 09:00:00,7980.0,9360.0,7790.0,9275.0,3376074.95170626,29603637462.231403
2017-12-06 09:00:00,9265.0,11400.0,8525.0,11370.0,1601255.80344989,14922815560.669727
2017-12-07 09:00:00,11400.0,12940.0,10000.0,11540.0,1098816.92742035,12665981923.485443
2017-12-08 09:00:00,11540.0,12250.0,8020.0,10330.0,920509.77865286,9353143489.264984
2017-12-09 09:00:00,10330.0,12300.0,8750.0,10220.0,2968304.15916636,31526354436.819748
2017-12-10 09:00:00,10230.0,12120.0,7750.0,11200.0,1312590.73725633,13400992058.272593
2017-12-11 09:00:00,11210.0,13610.0,11000.0,12840.0,1826136.83841715,22605008824.25025
2017-12-12 09:00:00,12790.0,17230.0,11740.0,15900.0,3421519.30999701,50354413375.965775
2017-12-13 09:00:00,15900.0,18920.0,13800.0,15140.0,5182814.75292943,83730497896.00406
2017-12-14 09:00:00,15200.0,16000.0,13720.0,15200.0,2563840.01070519,38348466716.36804
2017-12-15 09:00:00,15200.0,16300.0,13700.0,14950.0,2832021.46554007,42943619871.03193
2017-12-16 09:00:00,14970.0,15870.0,14530.0,15230.0,1352382.68732779,20575089197.14766
2017-12-17 09:00:00,15230.0,15860.0,14550.0,15510.0,1058858.8283281,16172802844.966673
2017-12-18 09:00:00,15510.0,19600.0,14890.0,18100.0,2911389.13600527,49499494610.76619
2017-12-19 09:00:00,18100.0,23000.0,14500.0,20300.0,3191570.16315018,64110382062.212425
2017-12-20 09:00:00,20290.0,21800.0,17500.0,20930.0,1702401.52409087,33485049082.40568
2017-12-21 09:00:00,20930.0,23740.0,19000.0,22640.0,2313209.30491175,50178949164.81318
2017-12-22 09:00:00,22630.0,23640.0,13080.0,16940.0,1922820.03335551,34198818140.067715
2017-12-23 09:00:00,17010.0,22250.0,16410.0,20400.0,4033431.40794624,82151194312.74583
2017-12-24 09:00:00,20400.0,21000.0,17110.0,19430.0,1661484.01436259,31861659353.74615
2017-12-25 09:00:00,19430.0,21150.0,18600.0,20350.0,1979418.00493885,39252955996.5207
2017-12-26 09:00:00,20390.0,21320.0,19020.0,19780.0,1444704.65789326,28977433899.410255
2017-12-27 09:00:00,19790.0,20470.0,18650.0,19100.0,643825.98814747,12340009637.861336
2017-12-28 09:00:00,19100.0,19100.0,13730.0,17160.0,703051.8075769,11832966710.559752
2017-12-29 09:00:00,17150.0,18400.0,16110.0,18150.0,945881.97659338,16151580585.939129
2017-12-30 09:00:00,18170.0,19130.0,15700.0,16830.0,831489.08294278,14282514394.405758
2017-12-31 09:00:00,16820.0,17780.0,16420.0,17340.0,400003.24426693,6844533104.477045
2018-01-01 09:00:00,17340.0,17740.0,16500.0,17560.0,798533.3947394,13809513556.848965
2018-01-02 09:00:00,17560.0,18790.0,17130.0,18150.0,1298112.3741086,23400140605.98459
2018-01-03 09:00:00,18150.0,19420.0,16510.0,17980.0,1281997.50759354,23017530624.098263
2018-01-04 09:00:00,17980.0,19600.0,16400.0,18930.0,1363280.68508864,24688872322.719482
2018-01-05 09:00:00,18930.0,22230.0,18100.0,19200.0,2429422.79468678,48537683198.21603
2018-01-06 09:00:00,19200.0,20600.0,16710.0,19900.0,770887.30923899,14317424731.98069
2018-01-07 09:00:00,19900.0,21790.0,18000.0,20400.0,891197.17592826,18033731068.81391
2018-01-08 09:00:00,20410.0,23560.0,18600.0,22830.0,2872824.33221565,62317480984.54736
2018-01-09 09:00:00,22710.0,22900.0,19950.0,21400.0,953066.54821591,20455654182.929386
2018-01-10 09:00:00,21390.0,21610.0,16000.0,17880.0,523923.77910544,9932557291.187706
2018-01-11 09:00:00,17820.0,19200.0,9100.0,15280.0,508041.3605037,8036635377.068506
2018-01-12 09:00:00,15290.0,17180.0,14110.0,16800.0,408724.42927658,6590999924.223527
2018-01-13 09:00:00,16810.0,17840.0,16010.0,17310.0,343813.91999527,5926593110.01209
2018-01-14 09:00:00,17310.0,17740.0,14000.0,15280.0,279944.07469409,4398644591.157585
2018-01-15 09:00:00,15280.0,16280.0,14000.0,14850.0,209986.8645927,3221592861.2656302
2018-01-16 09:00:00,14970.0,15260.0,7600.0,10490.0,243978.02332797,2938370404.1499834
