,open,high,low,close,volume,value
2018-12-11 09:00:00,58.0,130.0,56.5,61.9,336481094.7559292,26395816761.954575
2018-12-12 09:00:00,61.8,61.8,51.9,55.9,41270008.34346684,2274150329.0067496
2018-12-13 09:00:00,55.8,55.8,47.6,48.3,22303330.3213491,1144279716.5259113
2018-12-14 09:00:00,48.3,48.4,42.0,43.7,23054531.2826266,1026848938.365407
2018-12-15 09:00:00,43.6,43.8,41.3,42.5,4939747.1591206,210785604.52742225
2018-12-16 09:00:00,42.5,44.8,41.9,43.3,5581103.36868861,241740397.40649554
2018-12-17 09:00:00,43.2,45.1,42.3,44.8,10380512.37103887,455321072.0383086
2018-12-18 09:00:00,44.8,47.8,42.8,45.8,32078598.10241045,1464865061.6581433
2018-12-19 09:00:00,45.8,47.8,43.8,45.0,27298622.51608539,1245277755.4206986
2018-12-20 09:00:00,44.9,47.6,44.3,47.6,17922793.73774635,822621745.3161029
2018-12-21 09:00:00,47.4,47.6,41.5,44.4,13671144.90269917,609632772.7355571
2018-12-22 09:00:00,44.4,57.0,42.7,47.1,35122381.49556942,1717056140.3524618
2018-12-23 09:00:00,47.1,49.5,45.8,47.3,10814936.75167194,511710378.39165014
2018-12-24 09:00:00,47.3,49.0,46.7,47.4,14502799.60537205,693487451.4537472
2018-12-25 09:00:00,47.1,49.6,41.2,43.4,8819128.27710719,394911076.37184924
2018-12-26 09:00:00,43.4,45.2,41.2,45.2,5452659.2496188,234496024.01434302
2018-12-27 09:00:00,45.3,45.3,41.9,42.5,1571094.25741257,68321973.64491881
2018-12-28 09:00:00,42.5,52.0,41.1,45.2,29183060.31029116,1336181030.440294
2018-12-29 09:00:00,45.2,48.4,44.3,45.1,7966032.51311784,366937178.11186206
2018-12-30 09:00:00,44.9,45.3,42.8,43.8,2545515.85482421,111889349.4807679
2018-12-31 09:00:00,43.8,44.8,41.3,43.0,1852778.43034497,79320134.68042774
2019-01-01 09:00:00,42.3,43.5,41.7,43.2,2377061.05518229,100769588.69064009
2019-01-02 09:00:00,43.2,45.0,42.5,44.0,1969179.39998937,85954030.8437248
2019-01-03 09:00:00,44.0,45.3,43.0,43.7,1776477.96263358,77768943.37729585
2019-01-04 09:00:00,43.9,45.4,43.1,44.1,2663137.50898894,117227507.3296168
2019-01-05 09:00:00,44.1,44.6,43.4,44.5,1190227.82155995,52512983.58021377
2019-01-06 09:00:00,44.1,45.4,43.0,44.5,1266152.3480902,55593391.38126969
2019-01-07 09:00:00,44.7,45.4,41.7,43.5,8372760.11078378,357853786.54256165
2019-01-08 09:00:00,43.5,47.7,43.5,44.1,16641065.84825233,755510323.4998271
2019-01-09 09:00:00,44.1,44.2,42.7,43.2,2271167.83950409,98859196.49633585
2019-01-10 09:00:00,43.4,44.7,37.9,39.2,8530521.44479062,360217102.5438087
2019-01-11 09:00:00,39.3,39.5,37.2,38.2,2135022.77772248,81290278.40094647
2019-01-12 09:00:00,38.2,39.7,37.0,39.3,680259.6225872,25934212.44053902
2019-01-13 09:00:00,39.3,39.3,35.8,36.6,702243.46597452,26473503.08046173
2019-01-14 09:00:00,36.1,39.5,36.1,37.9,2403765.95284512,91417599.07662942
2019-01-15 09:00:00,37.9,46.9,37.6,45.5,26285032.33351694,1124470412.9840662
2019-01-16 09:00:00,45.7,57.9,44.4,54.6,51045689.41530323,2550711820.691123
2019-01-17 09:00:00,54.6,55.0,47.2,49.4,5661884.68276935,287835881.28559136
