,open,high,low,close,volume,value
2020-08-04 09:00:00,3285.0,25000.0,3285.0,3850.0,6525960.62574835,34678129649.39144
2020-08-05 09:00:00,3865.0,3865.0,3665.0,3675.0,1260844.2344843,4727888664.005926
2020-08-06 09:00:00,3675.0,3985.0,3650.0,3800.0,620737.93881673,2360309760.1946425
2020-08-07 09:00:00,3810.0,3875.0,3545.0,3655.0,418059.07814405,1566768474.0770473
2020-08-08 09:00:00,3665.0,4170.0,3595.0,4000.0,1178369.5045956,4593005512.174039
2020-08-09 09:00:00,3990.0,4470.0,3855.0,4345.0,1617942.90531786,6714054924.928255
2020-08-10 09:00:00,4360.0,5070.0,4200.0,5000.0,1643597.24179078,7413481926.687087
2020-08-11 09:00:00,5030.0,5210.0,4500.0,4805.0,1557203.0116056,7614817290.984637
2020-08-12 09:00:00,4805.0,5335.0,4345.0,5185.0,2242350.72913163,11030857618.39853
2020-08-13 09:00:00,5185.0,5360.0,4710.0,4850.0,2981490.82003482,14898914891.794863
2020-08-14 09:00:00,4850.0,4990.0,4715.0,4840.0,1556971.95201131,7517526878.808222
2020-08-15 09:00:00,4840.0,5045.0,4645.0,4775.0,2239847.88444154,10827527655.675194
2020-08-16 09:00:00,4775.0,5070.0,4730.0,4940.0,1142854.41177704,5572619939.228056
2020-08-17 09:00:00,4925.0,4970.0,4695.0,4735.0,1609687.30948569,7756232488.1181755
2020-08-18 09:00:00,4730.0,4815.0,4400.0,4500.0,1584399.50481555,7342836200.914874
2020-08-19 09:00:00,4515.0,4730.0,4170.0,4300.0,5289499.63051432,23552695642.52212
2020-08-20 09:00:00,4300.0,4610.0,4125.0,4535.0,1483763.60383675,6509647870.539685
2020-08-21 09:00:00,4525.0,4595.0,4000.0,4045.0,1339302.12932822,5825339061.695515
2020-08-22 09:00:00,4045.0,4290.0,3880.0,4250.0,649728.37211654,2660095219.6136103
2020-08-23 09:00:00,4250.0,4290.0,3995.0,4175.0,431718.14427988,1784237908.4711266
2020-08-24 09:00:00,4175.0,4485.0,4090.0,4340.0,815311.30662428,3557202552.3972793
2020-08-25 09:00:00,4340.0,4370.0,3950.0,4095.0,525825.84365417,2188255526.9413533
2020-08-26 09:00:00,4090.0,4145.0,3930.0,4000.0,693100.73506791,2799767462.0809727
2020-08-27 09:00:00,4000.0,4045.0,3720.0,3805.0,691556.72952425,2677005148.778283
2020-08-28 09:00:00,3820.0,3895.0,3720.0,3845.0,328977.72798835,1258327147.8865798
2020-08-29 09:00:00,3845.0,4025.0,3770.0,3930.0,476760.29923131,1853881168.6041186
2020-08-30 09:00:00,3950.0,4045.0,3905.0,3965.0,453057.78740724,1798215722.1960266
2020-08-31 09:00:00,3955.0,4050.0,3825.0,3840.0,455542.02236178,1792634362.9436216
2020-09-01 09:00:00,3840.0,4105.0,3775.0,4040.0,617223.22865286,2439374608.4681168
2020-09-02 09:00:00,4035.0,4070.0,3580.0,3730.0,969569.08036488,3685147751.9056125
2020-09-03 09:00:00,3740.0,3740.0,3015.0,3125.0,1082197.01426802,3732919463.8978744
2020-09-04 09:00:00,3125.0,3435.0,3025.0,3315.0,1154676.8805605,3689193591.547579
2020-09-05 09:00:00,3315.0,3415.0,2905.0,3010.0,614316.13948297,1918056698.814703
2020-09-06 09:00:00,3015.0,3175.0,2845.0,3070.0,587749.87584902,1772480266.2707496
2020-09-07 09:00:00,3070.0,3120.0,2840.0,3060.0,599499.61642908,1782353744.0708315
2020-09-08 09:00:00,3060.0,3155.0,2900.0,3000.0,500053.65582171,1503709239.8198009
2020-09-09 09:00:00,3000.0,3105.0,2905.0,3020.0,508559.41909817,1527309858.9733012
2020-09-10 09:00:00,3020.0,3160.0,3000.0,3075.0,846627.07256745,2613991001.3969727
2020-09-11 09:00:00,3075.0,3135.0,2950.0,3065.0,528902.31176644,1593120435.45989
2020-09-12 09:00:00,3065.0,3125.0,2970.0,3080.0,450473.37855431,1364594264.2782798
2020-09-13 09:00:00,3080.0,3270.0,3025.0,3145.0,988136.76665753,3110654485.1446104
2020-09-14 09:00:00,3145.0,3200.0,3030.0,3095.0,588624.48969378,1826341862.4873407
2020-09-15 09:00:00,3095.0,3170.0,2965.0,2980.0,998390.4980047,3062761234.272889
2020-09-16 09:00:00,2980.0,3005.0,2870.0,2920.0,712604.77248077,2086109681.9191597
