,open,high,low,close,volume,value
2018-05-30 09:00:00,1240.0,2500.0,1240.0,1360.0,3074385.44528005,4616453655.239863
2018-05-31 09:00:00,1370.0,1500.0,1310.0,1420.0,721829.178507,1027100954.5307063
2018-06-01 09:00:00,1430.0,1455.0,1355.0,1375.0,210153.22403048,296167560.98753685
2018-06-02 09:00:00,1375.0,1440.0,1310.0,1410.0,195920.71543435,273688927.4514101
2018-06-03 09:00:00,1395.0,1505.0,1395.0,1465.0,205781.92410085,295840744.8244065
2018-06-04 09:00:00,1480.0,1520.0,1350.0,1380.0,220435.14608137,315651792.9482925
2018-06-05 09:00:00,1380.0,1420.0,1305.0,1375.0,105475.02912859,142080839.36100516
2018-06-06 09:00:00,1385.0,1460.0,1360.0,1460.0,147466.01079796,208755221.55176476
2018-06-07 09:00:00,1450.0,1470.0,1400.0,1405.0,70465.8171953,101900884.3432954
2018-06-08 09:00:00,1405.0,1445.0,1365.0,1405.0,88646.93656722,123960239.8087769
2018-06-09 09:00:00,1400.0,1415.0,1350.0,1350.0,24212.68616417,33531495.72749825
2018-06-10 09:00:00,1355.0,1390.0,1135.0,1170.0,159362.40606037,197609162.09543914
2018-06-11 09:00:00,1200.0,1205.0,1105.0,1175.0,69175.46929476,80683153.3012664
2018-06-12 09:00:00,1175.0,1180.0,999.0,1020.0,370597.04651275,411008644.97330195
2018-06-13 09:00:00,1025.0,1050.0,885.0,918.0,116414.83749371,111042386.48948216
2018-06-14 09:00:00,916.0,1080.0,895.0,1040.0,125670.70595389,123230815.94161405
2018-06-15 09:00:00,1045.0,1065.0,973.0,985.0,74763.22087284,76571918.79256807
2018-06-16 09:00:00,987.0,998.0,944.0,977.0,40802.77974458,39679567.54765481
2018-06-17 09:00:00,978.0,990.0,948.0,948.0,6462.43509618,6223791.07787709
2018-06-18 09:00:00,948.0,994.0,901.0,960.0,145254.10521923,134650983.90079355
2018-06-19 09:00:00,960.0,1045.0,938.0,982.0,147830.63715778,144667917.1876991
2018-06-20 09:00:00,993.0,999.0,905.0,974.0,123013.01467296,116469783.34155336
2018-06-21 09:00:00,993.0,998.0,950.0,950.0,27407.693012,26961941.70031668
2018-06-22 09:00:00,953.0,953.0,799.0,851.0,170426.7286894,150836178.86387348
2018-06-23 09:00:00,851.0,872.0,770.0,819.0,30196.93223618,24552052.60635831
2018-06-24 09:00:00,820.0,820.0,685.0,779.0,79352.70010969,57265709.52203571
2018-06-25 09:00:00,760.0,818.0,716.0,792.0,55567.66070852,42222021.48614676
2018-06-26 09:00:00,791.0,796.0,702.0,702.0,13569.49162444,10237721.74195277
2018-06-27 09:00:00,702.0,723.0,690.0,720.0,32012.32552897,22722119.05100718
2018-06-28 09:00:00,720.0,752.0,686.0,686.0,81617.19885224,58905160.64112947
2018-06-29 09:00:00,690.0,758.0,658.0,750.0,79523.0417205,55360337.70636578
2018-06-30 09:00:00,758.0,919.0,712.0,844.0,505357.87500028,426516841.99323726
2018-07-01 09:00:00,845.0,941.0,815.0,887.0,143330.05357286,122546787.99084672
2018-07-02 09:00:00,899.0,1150.0,876.0,1055.0,4076528.04662639,4231959191.928608
2018-07-03 09:00:00,1055.0,1090.0,982.0,990.0,1265681.84994819,1312257795.2544386
2018-07-04 09:00:00,1005.0,1105.0,940.0,1025.0,563671.0042218,580400510.1432889
2018-07-05 09:00:00,1025.0,1200.0,1025.0,1125.0,3470599.79701831,3939103595.208933
2018-07-06 09:00:00,1130.0,1185.0,1055.0,1135.0,1876962.18633884,2117303459.0300674
2018-07-07 09:00:00,1140.0,1170.0,1040.0,1100.0,711255.76790197,789148001.359011
2018-07-08 09:00:00,1100.0,1120.0,1060.0,1085.0,197383.35156209,214931011.62876284
2018-07-09 09:00:00,1075.0,1105.0,1010.0,1010.0,166453.61352541,176281040.330742
2018-07-10 09:00:00,1020.0,1040.0,920.0,921.0,409000.62195582,399801961.0275298
2018-07-11 09:00:00,921.0,973.0,878.0,935.0,339690.72910314,316594283.93593526
2018-07-12 09:00:00,942.0,953.0,852.0,887.0,184243.20927691,165156964.65599158
2018-07-13 09:00:00,882.0,1170.0,882.0,1120.0,1672592.68694873,1672461987.1338503
2018-07-14 09:00:00,1120.0,1165.0,1040.0,1130.0,651962.71231434,713065003.214443
2018-07-15 09:00:00,1130.0,1375.0,1095.0,1260.0,5033645.40970492,6378397398.771777
2018-07-16 09:00:00,1265.0,1340.0,1230.0,1295.0,3115542.92499775,3993408389.0217547
2018-07-17 09:00:00,1300.0,1430.0,1220.0,1375.0,3389953.6000673,4371692043.42266
